candidate_id,model,name,assumption,source_rounds,source_references,status,main_base_net_sharpe,main_base_annualized_return,main_base_cumulative_return,main_base_max_drawdown,main_base_trading_days,main_base_trade_count,main_base_commission,main_base_slippage_cost,main_base_annualized_return_excess_vs_buy_hold,main_stress_net_sharpe,main_stress_annualized_return,main_stress_cumulative_return,main_stress_max_drawdown,main_stress_trading_days,main_stress_trade_count,main_stress_commission,main_stress_slippage_cost,main_stress_annualized_return_excess_vs_buy_hold,earlier_base_net_sharpe,earlier_base_annualized_return,earlier_base_cumulative_return,earlier_base_max_drawdown,earlier_base_trading_days,earlier_base_trade_count,earlier_base_commission,earlier_base_slippage_cost,earlier_base_annualized_return_excess_vs_buy_hold,earlier_stress_net_sharpe,earlier_stress_annualized_return,earlier_stress_cumulative_return,earlier_stress_max_drawdown,earlier_stress_trading_days,earlier_stress_trade_count,earlier_stress_commission,earlier_stress_slippage_cost,earlier_stress_annualized_return_excess_vs_buy_hold,minimum_sharpe,minimum_annualized_excess,all_four_positive_excess,all_four_sharpe_at_least_1_2
SAVED_0285,B3_TREND_VOLUME,趋势与放量反弹各半,NEXT_OPEN,28,1,COMPLETE_COMPARABLE,0.5966906295105939,0.0353320175716728,0.2587786864999997,-0.0740391790976238,1604,113,2743.1627,8462.500000000047,-0.0009254540739441,0.4956893175867917,0.0289201143743579,0.2079997732000003,-0.0889775893342926,1604,113,5372.54536,14953.500000000027,-0.0071648301393847,0.0763553085795148,0.0028947537478808,0.0146668791000002,-0.1493779484132206,1219.0,85.0,1804.6241800000005,5372.799999999973,-0.036066474448763,-0.0124114864404152,-0.0033782790570919,-0.0169013844000017,-0.1698854132589191,1219.0,85.0,3554.07688,10071.10000000004,-0.0420785511427786,-0.0124114864404152,-0.0420785511427786,False,False
SAVED_0429,PEAK_AGE_EXIT,九项持仓高点时间继续收益退出,NEXT_OPEN,113,1,COMPLETE_COMPARABLE,0.5914337493013545,0.0446868506513749,0.3361091601999994,-0.1104140633211969,1604,48,2335.16796,7064.799999999841,0.0084293790057579,0.5286690350250471,0.03950215257154,0.2927673450000004,-0.124488803076586,1604,48,4590.231,12512.400000000049,0.0034172080577974,0.747697665787205,0.0863659520120778,0.5178144568999987,-0.1379164435416316,1219.0,18.0,924.40862,2691.7999999999693,0.0474047238154339,0.724697402620827,0.0833370825625643,0.4966178057999997,-0.1391665613986051,1219.0,18.0,1834.73884,5240.100000000004,0.0446368104768776,0.5286690350250471,0.0034172080577974,True,False
SAVED_0392,PRICE_CONFIRMED_STAGED_ENTRY,先半仓、回升确认后补足,NEXT_OPEN,81,1,COMPLETE_COMPARABLE,0.5901689292765501,0.0392551860882847,0.2907329670000022,-0.0948483582418655,1604,70,2168.6066,6579.199999999858,0.0029977144426677,0.5218699626436595,0.034318762250157,0.2506357373999999,-0.1074443172445651,1604,70,4266.55252,11733.100000000017,-0.0017661822635856,0.6577484351846178,0.0732648025681756,0.4278297506,-0.1360011013641311,1219.0,27.0,898.2498800000001,2608.1999999999816,0.0343035743715317,0.6350560376534667,0.070377173211237,0.408583741999998,-0.1380731026853754,1219.0,27.0,1783.2516,5076.700000000015,0.0316769011255503,0.5218699626436595,-0.0017661822635856,False,False
SAVED_0355,OLD_SESSION_VOLUME,原未加学习的日内强弱与放量回升各半,NEXT_OPEN,51,1,COMPLETE_COMPARABLE,0.5863565918658623,0.0398869480932512,0.2959425107999965,-0.0859830786433841,1604,50,1134.99784,3434.7999999999984,0.0036294764476342,0.5502708629290222,0.0372199759710172,0.2740712497999967,-0.0872449438894008,1604,50,2250.3500400000003,6164.000000000001,0.0011350314572745,0.3182975626286646,0.0239726181530673,0.1267416321000013,-0.1414828493405895,1219.0,43.0,971.27358,2909.50000000001,-0.0149886100435765,0.2797891007963649,0.0205911805372702,0.108123729,-0.1440038695033674,1219.0,43.0,1926.4542,5553.40000000001,-0.0181090915484164,0.2797891007963649,-0.0181090915484164,False,False
SAVED_0286,B4_SESSION_VOLUME,日内强弱与放量反弹各半,NEXT_OPEN,28,1,COMPLETE_COMPARABLE,0.5863565918658623,0.0398869480932512,0.2959425107999965,-0.0859830786433841,1604,50,1134.99784,3434.7999999999984,0.0036294764476342,0.5502708629290222,0.0372199759710172,0.2740712497999967,-0.0872449438894008,1604,50,2250.3500400000003,6164.000000000001,0.0011350314572745,0.3182975626286646,0.0239726181530673,0.1267416321000013,-0.1414828493405895,1219.0,43.0,971.27358,2909.50000000001,-0.0149886100435765,0.2797891007963649,0.0205911805372702,0.108123729,-0.1440038695033674,1219.0,43.0,1926.4542,5553.40000000001,-0.0181090915484164,0.2797891007963649,-0.0181090915484164,False,False
SAVED_0289,B7_TREND_ANCHOR,趋势占一半、其余各四分之一,NEXT_OPEN,28,1,COMPLETE_COMPARABLE,0.5805019348629683,0.0446626057559757,0.335903648399998,-0.1041181021828486,1604,145,3045.97032,9427.100000000028,0.0084051341103587,0.4978731738387684,0.0377027129772129,0.2780066714000039,-0.1189533612999801,1604,145,5954.16572,16585.800000000032,0.0016177684634703,0.3810819550093938,0.0288702539800926,0.1541513104000023,-0.1184380679588113,1219.0,113.0,2200.4379200000003,6517.899999999995,-0.0100909742165512,0.2965515529044179,0.0216032131804368,0.1136698407999984,-0.1373461098492941,1219.0,113.0,4323.43184,12277.500000000033,-0.0170970589052498,0.2965515529044179,-0.0170970589052498,False,False
SAVED_0415,PROFIT_DRAWDOWN_INTERACTION_EXIT,九项浮盈回撤交互继续收益退出,NEXT_OPEN,"102,103,104",3,COMPLETE_COMPARABLE,0.5746388506138655,0.0433887190132245,0.3251432374000005,-0.1059121363079277,1604,48,2356.55252,7124.899999999889,0.0071312473676075,0.5110273101550972,0.0381428825083947,0.2816040617999994,-0.1101073918902293,1604,48,4631.2876400000005,12718.300000000088,0.002057937994652,0.7809620972534113,0.0908541976995804,0.5496659221999991,-0.1379164435416316,1219.0,18.0,928.01556,2698.19999999997,0.0518929695029365,0.7580927128902314,0.0878196574517095,0.5280728749999994,-0.1391665613986051,1219.0,18.0,1841.925,5252.900000000004,0.0491193853660228,0.5110273101550972,0.002057937994652,True,False
SAVED_0284,B2_TREND_SESSION,趋势与日内强弱各半,NEXT_OPEN,28,1,COMPLETE_COMPARABLE,0.5339922400677327,0.0528077101878175,0.4064741839000014,-0.154747110278487,1604,135,3350.76322,10399.800000000005,0.0165502385422005,0.4666167315411984,0.0452058999119194,0.3405153240000003,-0.1738657694763804,1604,135,6532.635200000001,18206.30000000004,0.0091209553981768,0.5170276208448453,0.0528791794795045,0.2963579877000009,-0.1479060621119019,1219.0,105.0,2685.10246,7935.200000000028,0.0139179512828606,0.4460767442788046,0.0445926907838862,0.2457748334000014,-0.1509724315039135,1219.0,105.0,5262.233319999999,14949.400000000016,0.0058924186981995,0.4460767442788046,0.0058924186981995,True,False
SAVED_0295,W50_NONE,趋势50%、日内强弱50%；不额外缩减,NEXT_OPEN,29,1,COMPLETE_COMPARABLE,0.5339922400677327,0.0528077101878175,0.4064741839000014,-0.154747110278487,1604,135,3350.76322,10399.800000000005,0.0165502385422005,0.4666167315411984,0.0452058999119194,0.3405153240000003,-0.1738657694763804,1604,135,6532.635200000001,18206.30000000004,0.0091209553981768,0.5170276208448453,0.0528791794795045,0.2963579877000009,-0.1479060621119019,1219.0,105.0,2685.10246,7935.200000000028,0.0139179512828606,0.4460767442788046,0.0445926907838862,0.2457748334000014,-0.1509724315039135,1219.0,105.0,5262.233319999999,14949.400000000016,0.0058924186981995,0.4460767442788046,0.0058924186981995,True,False
SAVED_0322,OLD_EQUAL,原趋势与日内强弱各半,NEXT_OPEN,34,1,COMPLETE_COMPARABLE,0.5339922400677327,0.0528077101878175,0.4064741839000014,-0.154747110278487,1604,135,3350.76322,10399.800000000005,0.0165502385422005,0.4666167315411984,0.0452058999119194,0.3405153240000003,-0.1738657694763804,1604,135,6532.635200000001,18206.30000000004,0.0091209553981768,0.5170276208448453,0.0528791794795045,0.2963579877000009,-0.1479060621119019,1219.0,105.0,2685.10246,7935.200000000028,0.0139179512828606,0.4460767442788046,0.0445926907838862,0.2457748334000014,-0.1509724315039135,1219.0,105.0,5262.233319999999,14949.400000000016,0.0058924186981995,0.4460767442788046,0.0058924186981995,True,False
SAVED_0340,POSITIVE_SELF_YEAR,原策略过去一年赚钱才接受新进入,NEXT_OPEN,45,1,COMPLETE_COMPARABLE,0.532351804610118,0.0384898065052645,0.2844454365000008,-0.1148637699970404,1604,46,2180.2127,6608.399999999911,0.0022323348596475,0.4696060965917396,0.0335189074256164,0.2442393964000004,-0.1265484441305962,1604,46,4289.32072,11772.900000000043,-0.0025660370881262,0.6946449882812835,0.0759078856720962,0.4456300634999988,-0.1379164435416316,1219.0,14.0,694.4873,2028.5999999999344,0.0369466574754522,0.675992353853592,0.0735643836893807,0.4298384595999998,-0.1391665613986051,1219.0,14.0,1380.50808,3929.700000000003,0.034864111603694,0.4696060965917396,-0.0025660370881262,False,False
SAVED_0299,W75_NONE,趋势75%、日内强弱25%；不额外缩减,NEXT_OPEN,29,1,COMPLETE_COMPARABLE,0.5262866439801762,0.0505406645094925,0.3865215099999998,-0.1540170199277574,1604,137,4300.398,13349.000000000033,0.0142831928638756,0.4374302567318726,0.0408664492379144,0.3040548267999979,-0.1732146294525059,1604,137,8334.334640000001,23262.900000000045,0.0047815047241717,0.4469759804035045,0.0423180603296304,0.2321703263000011,-0.1395616776316499,1219.0,105.0,3109.2347400000003,9184.700000000004,0.0033568321329865,0.3582305225882714,0.0326524329793892,0.1756818665999985,-0.1461091484260211,1219.0,105.0,6073.82668,17208.200000000033,-0.0060478391062974,0.3582305225882714,-0.0060478391062974,False,False
SAVED_0421,SHARED_EPISODE_CONTINUATION_EXIT,十项共同持仓时段共享继续收益退出,NEXT_OPEN,108,1,COMPLETE_COMPARABLE,0.5256426081430152,0.0429468376316883,0.321427937800002,-0.1252352420000637,1604,54,2566.21244,7615.8000000000975,0.0066893659860714,0.4601438888301836,0.0370360394293628,0.2725744519999999,-0.1263829161291593,1604,54,5032.7096,13752.100000000051,0.0009510949156202,0.6177152484910301,0.0676720479508549,0.390743283599999,-0.1379164435416316,1219.0,18.0,912.14328,2672.19999999997,0.0287108197542109,0.5938970511531881,0.0646766705634186,0.3712003611999995,-0.1391665613986051,1219.0,18.0,1810.32776,5200.900000000004,0.025976398477732,0.4601438888301836,0.0009510949156202,True,False
SAVED_0184,D2_PRICE_EPS_DISTRIBUTION,D2_PRICE_EPS_DISTRIBUTION,NEXT_OPEN,16,1,EARLIER_NOT_AVAILABLE,0.5233363161939178,0.0504101735985516,0.3853803903000043,-0.2070950564389147,1604,16,388.52194,1131.6999999999846,0.0141527019529347,0.5140703353132249,0.0493171057460906,0.3758529845999995,-0.2096756513769086,1604,14,744.1030800000001,2001.0000000000216,0.0132321612323479,,,,,,,,,,,,,,,,,,,,,,
SAVED_0181,C1_ORIGINAL_PRICE_EPS,C1_ORIGINAL_PRICE_EPS,NEXT_OPEN,16,1,EARLIER_NOT_AVAILABLE,0.5222882061431741,0.0500392595567177,0.3821411672000017,-0.219543921620015,1604,16,393.76656,1160.6999999999698,0.0137817879111007,0.5148567613264263,0.0494365493565727,0.3768913646000015,-0.2199995609341875,1604,13,732.3270800000001,1983.7999999999893,0.01335160484283,,,,,,,,,,,,,,,,,,,,,,
SAVED_0165,E1_PRICE_FORWARD_EPS,E1_PRICE_FORWARD_EPS,NEXT_OPEN,11,1,EARLIER_NOT_AVAILABLE,0.5222882061431741,0.0500392595567177,0.3821411672000017,-0.219543921620015,1604,16,393.76656,1160.6999999999698,0.0137817879111007,0.5148567613264263,0.0494365493565727,0.3768913646000015,-0.2199995609341875,1604,13,732.3270800000001,1983.7999999999893,0.01335160484283,,,,,,,,,,,,,,,,,,,,,,
SAVED_0440,CYCLE_ANALOGUE_EXIT,不同周期相似状态继续收益退出,NEXT_OPEN,122,1,COMPLETE_COMPARABLE,0.520577686047198,0.0513098581375491,0.3932642021999989,-0.187290705038806,1604,46,2216.55956,6606.00000000002,0.0150523864919321,0.4757036214457993,0.0462626553764564,0.349524171399999,-0.2011381581468667,1604,46,4357.665720000001,11840.40000000006,0.0101777108627138,0.580531084894911,0.0683101002097325,0.3949348619999989,-0.1379164435416316,1219.0,18.0,895.2275999999999,2624.200000000036,0.0293488720130886,0.5586843780119279,0.0653142643117917,0.3753416981999991,-0.1391665613986051,1219.0,18.0,1776.76036,5105.700000000004,0.026613992226105,0.4757036214457993,0.0101777108627138,True,False
SAVED_0107,K2_MONTH_EDGE,原月末五个自然日与月初三日,NEXT_OPEN,"6,57,58",3,COMPLETE_COMPARABLE,0.5196477273626268,0.0549105138065872,0.4251987631999985,-0.2124098899685968,1604,160,8815.447360000002,27019.799999999977,0.0186530421609702,0.3741311229753937,0.0374080579032879,0.2756033265999997,-0.2348198029244613,1604,160,16661.83468,46136.100000000064,0.0013231133895453,-0.1652067435195026,-0.0376213229633543,-0.1756519860000016,-0.355215701618769,1219.0,122.0,4233.9972,12600.90000000007,-0.0765825511599982,-0.2806245790231963,-0.0551042749663761,-0.248370277999999,-0.3951250226750327,1219.0,122.0,8102.6556,23186.199999999903,-0.0938045470520627,-0.2806245790231963,-0.0938045470520627,False,False
SAVED_0370,LOW_ANCHORED_RECLAIM,阶段新低后重回固定起点量价价格,NEXT_OPEN,61,1,COMPLETE_COMPARABLE,0.5187503522719455,0.0460268036298303,0.3475090901999986,-0.1708826902570641,1604,50,2296.1819600000003,6867.100000000071,0.0097693319842133,0.4623046948093714,0.0403983732952157,0.300172817200001,-0.1937559815542008,1604,50,4513.136560000001,12558.399999999978,0.004313428781473,0.0862840447569114,0.002769764979902,0.0140300569000002,-0.2800977313541602,1219.0,42.0,1495.18862,4515.100000000072,-0.0361914632167418,0.0352440932937727,-0.0038005046250394,-0.0189975626000009,-0.3004407512774638,1219.0,42.0,2942.4125200000008,8715.80000000004,-0.0425007767107261,0.0352440932937727,-0.0425007767107261,False,False
SAVED_0298,W50_VOL15,趋势50%、日内强弱50%；按15%波动水平缩减,NEXT_OPEN,29,1,COMPLETE_COMPARABLE,0.51381558939812,0.0381389358337011,0.281571768499997,-0.1654137518905991,1604,154,2864.0463,8904.999999999993,0.0018814641880842,0.4308116843879118,0.0313655942186234,0.2271574963999988,-0.182759196991305,1604,154,5596.90072,15601.100000000037,-0.0047193502951191,0.703716963017263,0.0517696466546096,0.2894912403000029,-0.1120984307023656,1219.0,116.0,2082.65194,6148.900000000047,0.0128084184579657,0.6194892097506374,0.0451026088582313,0.248841095400003,-0.1155247101367431,1219.0,116.0,4094.08092,11644.20000000003,0.0064023367725446,0.4308116843879118,-0.0047193502951191,False,False
SAVED_0216,L04_FAST_QUICK_DRAWDOWN_Z20,L04_FAST_QUICK_DRAWDOWN_Z20,NEXT_OPEN,24,1,EARLIER_NOT_AVAILABLE,0.5117174028824062,0.0422227980984054,0.3153593975000001,-0.1182935852880994,1604,62,2892.2205000000004,9289.000000000076,0.0059653264527884,0.4389454866384808,0.0355308994706267,0.2603822595999988,-0.1324853308859511,1604,62,5657.34808,16037.100000000024,-0.0005540450431159,,,,,,,,,,,,,,,,,,,,,,
SAVED_0255,V3_VOLUME_BREAKOUT,放量突破二十日高点,NEXT_OPEN,26,1,EARLIER_NOT_AVAILABLE,0.5092389251880796,0.0464892308114953,0.3514624064000005,-0.1306413218832149,1604,40,1781.7187200000003,5454.000000000005,0.0102317591658784,0.4662753128894459,0.0420618573991363,0.3140136920000026,-0.1344064503619113,1604,40,3511.6616000000004,9734.00000000002,0.0059769128853937,,,,,,,,,,,,,,,,,,,,,,
SAVED_0347,VOLUME_ONLY,原放量突破策略,NEXT_OPEN,47,1,COMPLETE_COMPARABLE,0.5092389251880796,0.0464892308114953,0.3514624064000005,-0.1306413218832149,1604,40,1781.7187200000003,5454.000000000005,0.0102317591658784,0.4662753128894459,0.0420618573991363,0.3140136920000026,-0.1344064503619113,1604,40,3511.6616000000004,9734.00000000002,0.0059769128853937,0.0797609745709765,0.0027985427964428,0.0141766525000017,-0.1588866417999998,1219.0,32.0,1169.0695,3454.3000000000484,-0.036162685400201,0.0346644108116066,-0.0019466359398177,-0.0097671203999988,-0.1675010109999993,1219.0,32.0,2310.12408,6594.900000000016,-0.0406469080255043,0.0346644108116066,-0.0406469080255043,False,False
SAVED_0291,W25_NONE,趋势25%、日内强弱75%；不额外缩减,NEXT_OPEN,29,1,COMPLETE_COMPARABLE,0.5080071550031487,0.0541140945653064,0.4180822380000032,-0.1837717382796522,1604,137,2526.6524,7826.499999999983,0.0178566229196894,0.4615404026791441,0.0483877791539761,0.3677965962000034,-0.1978124863808155,1604,137,4957.780760000001,13764.90000000002,0.0123028346402334,0.5226147845077664,0.0616792332421406,0.351864944400001,-0.1767783817334245,1219.0,105.0,2213.6111200000005,6545.7000000000535,0.0227180050454967,0.4724876526022875,0.0547658444798342,0.3081015662000007,-0.180210785644036,1219.0,105.0,4353.98676,12420.599999999997,0.0160655723941475,0.4615404026791441,0.0123028346402334,True,False
SAVED_0399,THREE_POLICY_MIN_VARIANCE,三类既有信号的非负最小方差预算,NEXT_OPEN,"88,89,90",3,COMPLETE_COMPARABLE,0.5061413034476829,0.0248861199141256,0.1769527059999998,-0.1048586996504673,1604,74,1186.8588000000002,3521.5999999999963,-0.0113713517314913,0.454750928198037,0.0221771965586568,0.1564863736000011,-0.1106529073805351,1604,74,2270.32528,6276.100000000015,-0.0139077479550858,0.7268578072935807,0.040077502358984,0.2188862747999978,-0.0750628119822842,1219.0,50.0,881.1450400000001,2660.299999999997,0.0011162741623401,0.6766689866609192,0.0371567049751044,0.201741752599999,-0.0760070216911214,1219.0,50.0,1750.74948,5043.599999999999,-0.0015435671105822,0.454750928198037,-0.0139077479550858,False,False
SAVED_0294,W25_VOL15,趋势25%、日内强弱75%；按15%波动水平缩减,NEXT_OPEN,29,1,COMPLETE_COMPARABLE,0.5039259110736866,0.041184434048649,0.306697658999995,-0.1773892654415661,1604,161,2220.5682,6889.099999999969,0.004926962403032,0.4463775084900187,0.0359332367127151,0.2636315858000023,-0.1903191979606994,1604,161,4351.78284,12084.800000000032,-0.0001517078010275,0.6405543973691218,0.0544933086893436,0.306399914100001,-0.1315024776706842,1219.0,119.0,1692.71718,4995.500000000067,0.0155320804926996,0.5818953913688236,0.0490234440713839,0.2726206725999972,-0.1338972761227299,1219.0,119.0,3323.3654800000004,9499.5,0.0103231719856972,0.4463775084900187,-0.0001517078010275,False,False
SAVED_0214,L02_FAST_QUICK_ALL_Z20,L02_FAST_QUICK_ALL_Z20,NEXT_OPEN,24,1,EARLIER_NOT_AVAILABLE,0.503198601404162,0.0432841745184816,0.3242634365000011,-0.1124129888155189,1604,68,3198.4127000000003,10171.20000000009,0.0070267028728647,0.4262372654212769,0.03587571095432,0.2631665652000006,-0.1304895164309064,1604,68,6241.0869600000005,17644.800000000017,-0.0002092335594226,,,,,,,,,,,,,,,,,,,,,,
