date,factor_status,window_start,window_observations,high_age_trading_days,low_age_trading_days,aroon_up,aroon_down,raw_entry,raw_exit
2012-07-18,AROON_TIME_FACTORS_AVAILABLE,2012-06-12,26,21.0,0.0,16.0,100.0,0,True
2012-07-19,AROON_TIME_FACTORS_AVAILABLE,2012-06-13,26,22.0,1.0,12.0,96.0,0,True
2012-07-20,AROON_TIME_FACTORS_AVAILABLE,2012-06-14,26,23.0,2.0,8.0,92.0,0,True
2012-07-23,AROON_TIME_FACTORS_AVAILABLE,2012-06-15,26,24.0,0.0,4.0,100.0,0,True
2012-07-24,AROON_TIME_FACTORS_AVAILABLE,2012-06-18,26,25.0,1.0,0.0,96.0,0,True
2012-07-25,AROON_TIME_FACTORS_AVAILABLE,2012-06-19,26,25.0,0.0,0.0,100.0,0,True
2012-07-26,AROON_TIME_FACTORS_AVAILABLE,2012-06-20,26,25.0,0.0,0.0,100.0,0,True
2012-07-27,AROON_TIME_FACTORS_AVAILABLE,2012-06-21,26,25.0,0.0,0.0,100.0,0,True
2012-07-30,AROON_TIME_FACTORS_AVAILABLE,2012-06-25,26,25.0,0.0,0.0,100.0,0,True
2012-07-31,AROON_TIME_FACTORS_AVAILABLE,2012-06-26,26,20.0,0.0,20.0,100.0,0,True
2012-08-01,AROON_TIME_FACTORS_AVAILABLE,2012-06-27,26,21.0,1.0,16.0,96.0,0,True
2012-08-02,AROON_TIME_FACTORS_AVAILABLE,2012-06-28,26,22.0,0.0,12.0,100.0,0,True
2012-08-03,AROON_TIME_FACTORS_AVAILABLE,2012-06-29,26,23.0,1.0,8.0,96.0,0,True
2012-08-06,AROON_TIME_FACTORS_AVAILABLE,2012-07-02,26,24.0,2.0,4.0,92.0,0,True
2012-08-07,AROON_TIME_FACTORS_AVAILABLE,2012-07-03,26,25.0,3.0,0.0,88.0,0,True
2012-08-08,AROON_TIME_FACTORS_AVAILABLE,2012-07-04,26,23.0,4.0,8.0,84.0,0,True
2012-08-09,AROON_TIME_FACTORS_AVAILABLE,2012-07-05,26,24.0,5.0,4.0,80.0,0,True
2012-08-10,AROON_TIME_FACTORS_AVAILABLE,2012-07-06,26,25.0,6.0,0.0,76.0,0,True
2012-08-13,AROON_TIME_FACTORS_AVAILABLE,2012-07-09,26,25.0,7.0,0.0,72.0,0,True
2012-08-14,AROON_TIME_FACTORS_AVAILABLE,2012-07-10,26,22.0,8.0,12.0,68.0,0,True
2012-08-15,AROON_TIME_FACTORS_AVAILABLE,2012-07-11,26,23.0,9.0,8.0,64.0,0,True
2012-08-16,AROON_TIME_FACTORS_AVAILABLE,2012-07-12,26,24.0,0.0,4.0,100.0,0,True
2012-08-17,AROON_TIME_FACTORS_AVAILABLE,2012-07-13,26,25.0,0.0,0.0,100.0,0,True
2012-08-20,AROON_TIME_FACTORS_AVAILABLE,2012-07-16,26,25.0,0.0,0.0,100.0,0,True
2012-08-21,AROON_TIME_FACTORS_AVAILABLE,2012-07-17,26,23.0,1.0,8.0,96.0,0,True
2012-08-22,AROON_TIME_FACTORS_AVAILABLE,2012-07-18,26,24.0,2.0,4.0,92.0,0,True
2012-08-23,AROON_TIME_FACTORS_AVAILABLE,2012-07-19,26,25.0,3.0,0.0,88.0,0,True
2012-08-24,AROON_TIME_FACTORS_AVAILABLE,2012-07-20,26,25.0,4.0,0.0,84.0,0,True
2012-08-27,AROON_TIME_FACTORS_AVAILABLE,2012-07-23,26,12.0,5.0,52.0,80.0,0,True
2012-08-28,AROON_TIME_FACTORS_AVAILABLE,2012-07-24,26,13.0,6.0,48.0,76.0,0,True
2012-08-29,AROON_TIME_FACTORS_AVAILABLE,2012-07-25,26,14.0,7.0,44.0,72.0,0,True
2012-08-30,AROON_TIME_FACTORS_AVAILABLE,2012-07-26,26,15.0,0.0,40.0,100.0,0,True
2012-08-31,AROON_TIME_FACTORS_AVAILABLE,2012-07-27,26,16.0,1.0,36.0,96.0,0,True
2012-09-03,AROON_TIME_FACTORS_AVAILABLE,2012-07-30,26,17.0,2.0,32.0,92.0,0,True
2012-09-04,AROON_TIME_FACTORS_AVAILABLE,2012-07-31,26,18.0,3.0,28.0,88.0,0,True
2012-09-05,AROON_TIME_FACTORS_AVAILABLE,2012-08-01,26,19.0,0.0,24.0,100.0,0,True
2012-09-06,AROON_TIME_FACTORS_AVAILABLE,2012-08-02,26,20.0,1.0,20.0,96.0,0,True
2012-09-07,AROON_TIME_FACTORS_AVAILABLE,2012-08-03,26,21.0,2.0,16.0,92.0,0,True
2012-09-10,AROON_TIME_FACTORS_AVAILABLE,2012-08-06,26,22.0,3.0,12.0,88.0,0,True
2012-09-11,AROON_TIME_FACTORS_AVAILABLE,2012-08-07,26,23.0,4.0,8.0,84.0,0,True
2012-09-12,AROON_TIME_FACTORS_AVAILABLE,2012-08-08,26,24.0,5.0,4.0,80.0,0,True
2012-09-13,AROON_TIME_FACTORS_AVAILABLE,2012-08-09,26,25.0,6.0,0.0,76.0,0,True
2012-09-14,AROON_TIME_FACTORS_AVAILABLE,2012-08-10,26,25.0,7.0,0.0,72.0,0,True
2012-09-17,AROON_TIME_FACTORS_AVAILABLE,2012-08-13,26,25.0,8.0,0.0,68.0,0,True
2012-09-18,AROON_TIME_FACTORS_AVAILABLE,2012-08-14,26,25.0,9.0,0.0,64.0,0,True
2012-09-19,AROON_TIME_FACTORS_AVAILABLE,2012-08-15,26,8.0,10.0,68.0,60.0,0,False
2012-09-20,AROON_TIME_FACTORS_AVAILABLE,2012-08-16,26,9.0,11.0,64.0,56.0,0,False
2012-09-21,AROON_TIME_FACTORS_AVAILABLE,2012-08-17,26,10.0,0.0,60.0,100.0,0,True
2012-09-24,AROON_TIME_FACTORS_AVAILABLE,2012-08-20,26,11.0,0.0,56.0,100.0,0,True
2012-09-25,AROON_TIME_FACTORS_AVAILABLE,2012-08-21,26,12.0,1.0,52.0,96.0,0,True
2012-09-26,AROON_TIME_FACTORS_AVAILABLE,2012-08-22,26,13.0,2.0,48.0,92.0,0,True
2012-09-27,AROON_TIME_FACTORS_AVAILABLE,2012-08-23,26,14.0,3.0,44.0,88.0,0,True
2012-09-28,AROON_TIME_FACTORS_AVAILABLE,2012-08-24,26,15.0,4.0,40.0,84.0,0,True
2012-10-08,AROON_TIME_FACTORS_AVAILABLE,2012-08-27,26,16.0,5.0,36.0,80.0,0,True
2012-10-09,AROON_TIME_FACTORS_AVAILABLE,2012-08-28,26,17.0,6.0,32.0,76.0,0,True
2012-10-10,AROON_TIME_FACTORS_AVAILABLE,2012-08-29,26,18.0,7.0,28.0,72.0,0,True
2012-10-11,AROON_TIME_FACTORS_AVAILABLE,2012-08-30,26,19.0,8.0,24.0,68.0,0,True
2012-10-12,AROON_TIME_FACTORS_AVAILABLE,2012-08-31,26,20.0,9.0,20.0,64.0,0,True
2012-10-15,AROON_TIME_FACTORS_AVAILABLE,2012-09-03,26,21.0,10.0,16.0,60.0,0,True
2012-10-16,AROON_TIME_FACTORS_AVAILABLE,2012-09-04,26,22.0,11.0,12.0,56.0,0,True
2012-10-17,AROON_TIME_FACTORS_AVAILABLE,2012-09-05,26,23.0,12.0,8.0,52.0,0,True
2012-10-18,AROON_TIME_FACTORS_AVAILABLE,2012-09-06,26,24.0,13.0,4.0,48.0,0,True
2012-10-19,AROON_TIME_FACTORS_AVAILABLE,2012-09-07,26,25.0,14.0,0.0,44.0,0,True
2012-10-22,AROON_TIME_FACTORS_AVAILABLE,2012-09-10,26,0.0,15.0,100.0,40.0,0,False
2012-10-23,AROON_TIME_FACTORS_AVAILABLE,2012-09-11,26,1.0,16.0,96.0,36.0,0,False
2012-10-24,AROON_TIME_FACTORS_AVAILABLE,2012-09-12,26,2.0,17.0,92.0,32.0,0,False
2012-10-25,AROON_TIME_FACTORS_AVAILABLE,2012-09-13,26,3.0,18.0,88.0,28.0,1,False
2012-10-26,AROON_TIME_FACTORS_AVAILABLE,2012-09-14,26,4.0,19.0,84.0,24.0,1,False
2012-10-29,AROON_TIME_FACTORS_AVAILABLE,2012-09-17,26,5.0,20.0,80.0,20.0,1,False
2012-10-30,AROON_TIME_FACTORS_AVAILABLE,2012-09-18,26,6.0,21.0,76.0,16.0,1,False
2012-10-31,AROON_TIME_FACTORS_AVAILABLE,2012-09-19,26,7.0,22.0,72.0,12.0,1,False
2012-11-01,AROON_TIME_FACTORS_AVAILABLE,2012-09-20,26,8.0,23.0,68.0,8.0,0,False
2012-11-02,AROON_TIME_FACTORS_AVAILABLE,2012-09-21,26,9.0,24.0,64.0,4.0,0,False
2012-11-05,AROON_TIME_FACTORS_AVAILABLE,2012-09-24,26,10.0,25.0,60.0,0.0,0,False
2012-11-06,AROON_TIME_FACTORS_AVAILABLE,2012-09-25,26,11.0,24.0,56.0,4.0,0,False
2012-11-07,AROON_TIME_FACTORS_AVAILABLE,2012-09-26,26,12.0,25.0,52.0,0.0,0,False
2012-11-08,AROON_TIME_FACTORS_AVAILABLE,2012-09-27,26,13.0,25.0,48.0,0.0,0,False
2012-11-09,AROON_TIME_FACTORS_AVAILABLE,2012-09-28,26,14.0,9.0,44.0,64.0,0,True
2012-11-12,AROON_TIME_FACTORS_AVAILABLE,2012-10-08,26,15.0,10.0,40.0,60.0,0,True
2012-11-13,AROON_TIME_FACTORS_AVAILABLE,2012-10-09,26,16.0,0.0,36.0,100.0,0,True
2012-11-14,AROON_TIME_FACTORS_AVAILABLE,2012-10-10,26,17.0,1.0,32.0,96.0,0,True
2012-11-15,AROON_TIME_FACTORS_AVAILABLE,2012-10-11,26,18.0,0.0,28.0,100.0,0,True
2012-11-16,AROON_TIME_FACTORS_AVAILABLE,2012-10-12,26,19.0,0.0,24.0,100.0,0,True
2012-11-19,AROON_TIME_FACTORS_AVAILABLE,2012-10-15,26,20.0,0.0,20.0,100.0,0,True
2012-11-20,AROON_TIME_FACTORS_AVAILABLE,2012-10-16,26,21.0,1.0,16.0,96.0,0,True
2012-11-21,AROON_TIME_FACTORS_AVAILABLE,2012-10-17,26,22.0,2.0,12.0,92.0,0,True
2012-11-22,AROON_TIME_FACTORS_AVAILABLE,2012-10-18,26,23.0,3.0,8.0,88.0,0,True
2012-11-23,AROON_TIME_FACTORS_AVAILABLE,2012-10-19,26,24.0,4.0,4.0,84.0,0,True
2012-11-26,AROON_TIME_FACTORS_AVAILABLE,2012-10-22,26,25.0,5.0,0.0,80.0,0,True
2012-11-27,AROON_TIME_FACTORS_AVAILABLE,2012-10-23,26,25.0,6.0,0.0,76.0,0,True
2012-11-28,AROON_TIME_FACTORS_AVAILABLE,2012-10-24,26,25.0,0.0,0.0,100.0,0,True
2012-11-29,AROON_TIME_FACTORS_AVAILABLE,2012-10-25,26,18.0,0.0,28.0,100.0,0,True
2012-11-30,AROON_TIME_FACTORS_AVAILABLE,2012-10-26,26,19.0,0.0,24.0,100.0,0,True
2012-12-03,AROON_TIME_FACTORS_AVAILABLE,2012-10-29,26,20.0,0.0,20.0,100.0,0,True
2012-12-04,AROON_TIME_FACTORS_AVAILABLE,2012-10-30,26,21.0,0.0,16.0,100.0,0,True
2012-12-05,AROON_TIME_FACTORS_AVAILABLE,2012-10-31,26,22.0,1.0,12.0,96.0,0,True
2012-12-06,AROON_TIME_FACTORS_AVAILABLE,2012-11-01,26,23.0,2.0,8.0,92.0,0,True
2012-12-07,AROON_TIME_FACTORS_AVAILABLE,2012-11-02,26,24.0,3.0,4.0,88.0,0,True
2012-12-10,AROON_TIME_FACTORS_AVAILABLE,2012-11-05,26,25.0,4.0,0.0,84.0,0,True
2012-12-11,AROON_TIME_FACTORS_AVAILABLE,2012-11-06,26,25.0,5.0,0.0,80.0,0,True
2012-12-12,AROON_TIME_FACTORS_AVAILABLE,2012-11-07,26,25.0,6.0,0.0,76.0,0,True
2012-12-13,AROON_TIME_FACTORS_AVAILABLE,2012-11-08,26,25.0,7.0,0.0,72.0,0,True
2012-12-14,AROON_TIME_FACTORS_AVAILABLE,2012-11-09,26,0.0,8.0,100.0,68.0,0,False
2012-12-17,AROON_TIME_FACTORS_AVAILABLE,2012-11-12,26,0.0,9.0,100.0,64.0,0,False
2012-12-18,AROON_TIME_FACTORS_AVAILABLE,2012-11-13,26,0.0,10.0,100.0,60.0,0,False
2012-12-19,AROON_TIME_FACTORS_AVAILABLE,2012-11-14,26,1.0,11.0,96.0,56.0,0,False
2012-12-20,AROON_TIME_FACTORS_AVAILABLE,2012-11-15,26,2.0,12.0,92.0,52.0,0,False
2012-12-21,AROON_TIME_FACTORS_AVAILABLE,2012-11-16,26,0.0,13.0,100.0,48.0,0,False
2012-12-24,AROON_TIME_FACTORS_AVAILABLE,2012-11-19,26,1.0,14.0,96.0,44.0,0,False
2012-12-25,AROON_TIME_FACTORS_AVAILABLE,2012-11-20,26,0.0,15.0,100.0,40.0,0,False
2012-12-26,AROON_TIME_FACTORS_AVAILABLE,2012-11-21,26,1.0,16.0,96.0,36.0,0,False
2012-12-27,AROON_TIME_FACTORS_AVAILABLE,2012-11-22,26,0.0,17.0,100.0,32.0,0,False
2012-12-28,AROON_TIME_FACTORS_AVAILABLE,2012-11-23,26,0.0,18.0,100.0,28.0,1,False
2012-12-31,AROON_TIME_FACTORS_AVAILABLE,2012-11-26,26,0.0,19.0,100.0,24.0,1,False
2013-01-04,AROON_TIME_FACTORS_AVAILABLE,2012-11-27,26,0.0,20.0,100.0,20.0,1,False
2013-01-07,AROON_TIME_FACTORS_AVAILABLE,2012-11-28,26,1.0,21.0,96.0,16.0,1,False
2013-01-08,AROON_TIME_FACTORS_AVAILABLE,2012-11-29,26,2.0,22.0,92.0,12.0,1,False
2013-01-09,AROON_TIME_FACTORS_AVAILABLE,2012-11-30,26,3.0,23.0,88.0,8.0,1,False
2013-01-10,AROON_TIME_FACTORS_AVAILABLE,2012-12-03,26,4.0,24.0,84.0,4.0,1,False
2013-01-11,AROON_TIME_FACTORS_AVAILABLE,2012-12-04,26,5.0,25.0,80.0,0.0,1,False
2013-01-14,AROON_TIME_FACTORS_AVAILABLE,2012-12-05,26,0.0,25.0,100.0,0.0,1,False
2013-01-15,AROON_TIME_FACTORS_AVAILABLE,2012-12-06,26,0.0,25.0,100.0,0.0,1,False
2013-01-16,AROON_TIME_FACTORS_AVAILABLE,2012-12-07,26,1.0,25.0,96.0,0.0,1,False
2013-01-17,AROON_TIME_FACTORS_AVAILABLE,2012-12-10,26,2.0,21.0,92.0,16.0,1,False
2013-01-18,AROON_TIME_FACTORS_AVAILABLE,2012-12-11,26,0.0,22.0,100.0,12.0,1,False
2013-01-21,AROON_TIME_FACTORS_AVAILABLE,2012-12-12,26,1.0,23.0,96.0,8.0,1,False
2013-01-22,AROON_TIME_FACTORS_AVAILABLE,2012-12-13,26,0.0,24.0,100.0,4.0,1,False
2013-01-23,AROON_TIME_FACTORS_AVAILABLE,2012-12-14,26,1.0,25.0,96.0,0.0,1,False
2013-01-24,AROON_TIME_FACTORS_AVAILABLE,2012-12-17,26,0.0,24.0,100.0,4.0,1,False
2013-01-25,AROON_TIME_FACTORS_AVAILABLE,2012-12-18,26,1.0,25.0,96.0,0.0,1,False
2013-01-28,AROON_TIME_FACTORS_AVAILABLE,2012-12-19,26,2.0,24.0,92.0,4.0,1,False
2013-01-29,AROON_TIME_FACTORS_AVAILABLE,2012-12-20,26,0.0,25.0,100.0,0.0,1,False
2013-01-30,AROON_TIME_FACTORS_AVAILABLE,2012-12-21,26,0.0,25.0,100.0,0.0,1,False
2013-01-31,AROON_TIME_FACTORS_AVAILABLE,2012-12-24,26,0.0,24.0,100.0,4.0,1,False
2013-02-01,AROON_TIME_FACTORS_AVAILABLE,2012-12-25,26,0.0,25.0,100.0,0.0,1,False
2013-02-04,AROON_TIME_FACTORS_AVAILABLE,2012-12-26,26,0.0,25.0,100.0,0.0,1,False
2013-02-05,AROON_TIME_FACTORS_AVAILABLE,2012-12-27,26,0.0,25.0,100.0,0.0,1,False
2013-02-06,AROON_TIME_FACTORS_AVAILABLE,2012-12-28,26,0.0,25.0,100.0,0.0,1,False
2013-02-07,AROON_TIME_FACTORS_AVAILABLE,2012-12-31,26,1.0,19.0,96.0,24.0,1,False
2013-02-08,AROON_TIME_FACTORS_AVAILABLE,2013-01-04,26,0.0,20.0,100.0,20.0,1,False
2013-02-18,AROON_TIME_FACTORS_AVAILABLE,2013-01-07,26,1.0,21.0,96.0,16.0,1,False
2013-02-19,AROON_TIME_FACTORS_AVAILABLE,2013-01-08,26,2.0,22.0,92.0,12.0,1,False
2013-02-20,AROON_TIME_FACTORS_AVAILABLE,2013-01-09,26,3.0,23.0,88.0,8.0,1,False
2013-02-21,AROON_TIME_FACTORS_AVAILABLE,2013-01-10,26,4.0,24.0,84.0,4.0,1,False
2013-02-22,AROON_TIME_FACTORS_AVAILABLE,2013-01-11,26,5.0,25.0,80.0,0.0,1,False
2013-02-25,AROON_TIME_FACTORS_AVAILABLE,2013-01-14,26,6.0,25.0,76.0,0.0,1,False
2013-02-26,AROON_TIME_FACTORS_AVAILABLE,2013-01-15,26,7.0,24.0,72.0,4.0,1,False
2013-02-27,AROON_TIME_FACTORS_AVAILABLE,2013-01-16,26,8.0,25.0,68.0,0.0,0,False
2013-02-28,AROON_TIME_FACTORS_AVAILABLE,2013-01-17,26,9.0,25.0,64.0,0.0,0,False
2013-03-01,AROON_TIME_FACTORS_AVAILABLE,2013-01-18,26,10.0,25.0,60.0,0.0,0,False
2013-03-04,AROON_TIME_FACTORS_AVAILABLE,2013-01-21,26,11.0,0.0,56.0,100.0,0,True
2013-03-05,AROON_TIME_FACTORS_AVAILABLE,2013-01-22,26,12.0,1.0,52.0,96.0,0,True
2013-03-06,AROON_TIME_FACTORS_AVAILABLE,2013-01-23,26,13.0,2.0,48.0,92.0,0,True
2013-03-07,AROON_TIME_FACTORS_AVAILABLE,2013-01-24,26,14.0,3.0,44.0,88.0,0,True
2013-03-08,AROON_TIME_FACTORS_AVAILABLE,2013-01-25,26,15.0,4.0,40.0,84.0,0,True
2013-03-11,AROON_TIME_FACTORS_AVAILABLE,2013-01-28,26,16.0,5.0,36.0,80.0,0,True
2013-03-12,AROON_TIME_FACTORS_AVAILABLE,2013-01-29,26,17.0,0.0,32.0,100.0,0,True
2013-03-13,AROON_TIME_FACTORS_AVAILABLE,2013-01-30,26,18.0,0.0,28.0,100.0,0,True
2013-03-14,AROON_TIME_FACTORS_AVAILABLE,2013-01-31,26,19.0,0.0,24.0,100.0,0,True
2013-03-15,AROON_TIME_FACTORS_AVAILABLE,2013-02-01,26,20.0,0.0,20.0,100.0,0,True
2013-03-18,AROON_TIME_FACTORS_AVAILABLE,2013-02-04,26,21.0,0.0,16.0,100.0,0,True
2013-03-19,AROON_TIME_FACTORS_AVAILABLE,2013-02-05,26,22.0,0.0,12.0,100.0,0,True
2013-03-20,AROON_TIME_FACTORS_AVAILABLE,2013-02-06,26,23.0,1.0,8.0,96.0,0,True
2013-03-21,AROON_TIME_FACTORS_AVAILABLE,2013-02-07,26,24.0,2.0,4.0,92.0,0,True
2013-03-22,AROON_TIME_FACTORS_AVAILABLE,2013-02-08,26,25.0,3.0,0.0,88.0,0,True
2013-03-25,AROON_TIME_FACTORS_AVAILABLE,2013-02-18,26,25.0,4.0,0.0,84.0,0,True
2013-03-26,AROON_TIME_FACTORS_AVAILABLE,2013-02-19,26,25.0,5.0,0.0,80.0,0,True
2013-03-27,AROON_TIME_FACTORS_AVAILABLE,2013-02-20,26,25.0,6.0,0.0,76.0,0,True
2013-03-28,AROON_TIME_FACTORS_AVAILABLE,2013-02-21,26,19.0,0.0,24.0,100.0,0,True
2013-03-29,AROON_TIME_FACTORS_AVAILABLE,2013-02-22,26,20.0,0.0,20.0,100.0,0,True
2013-04-01,AROON_TIME_FACTORS_AVAILABLE,2013-02-25,26,21.0,0.0,16.0,100.0,0,True
2013-04-02,AROON_TIME_FACTORS_AVAILABLE,2013-02-26,26,22.0,0.0,12.0,100.0,0,True
2013-04-03,AROON_TIME_FACTORS_AVAILABLE,2013-02-27,26,23.0,1.0,8.0,96.0,0,True
2013-04-08,AROON_TIME_FACTORS_AVAILABLE,2013-02-28,26,24.0,0.0,4.0,100.0,0,True
2013-04-09,AROON_TIME_FACTORS_AVAILABLE,2013-03-01,26,25.0,1.0,0.0,96.0,0,True
2013-04-10,AROON_TIME_FACTORS_AVAILABLE,2013-03-04,26,23.0,2.0,8.0,92.0,0,True
2013-04-11,AROON_TIME_FACTORS_AVAILABLE,2013-03-05,26,24.0,3.0,4.0,88.0,0,True
2013-04-12,AROON_TIME_FACTORS_AVAILABLE,2013-03-06,26,25.0,4.0,0.0,84.0,0,True
2013-04-15,AROON_TIME_FACTORS_AVAILABLE,2013-03-07,26,25.0,0.0,0.0,100.0,0,True
2013-04-16,AROON_TIME_FACTORS_AVAILABLE,2013-03-08,26,14.0,0.0,44.0,100.0,0,True
2013-04-17,AROON_TIME_FACTORS_AVAILABLE,2013-03-11,26,15.0,1.0,40.0,96.0,0,True
2013-04-18,AROON_TIME_FACTORS_AVAILABLE,2013-03-12,26,16.0,2.0,36.0,92.0,0,True
2013-04-19,AROON_TIME_FACTORS_AVAILABLE,2013-03-13,26,17.0,3.0,32.0,88.0,0,True
2013-04-22,AROON_TIME_FACTORS_AVAILABLE,2013-03-14,26,18.0,4.0,28.0,84.0,0,True
2013-04-23,AROON_TIME_FACTORS_AVAILABLE,2013-03-15,26,19.0,5.0,24.0,80.0,0,True
2013-04-24,AROON_TIME_FACTORS_AVAILABLE,2013-03-18,26,20.0,6.0,20.0,76.0,0,True
2013-04-25,AROON_TIME_FACTORS_AVAILABLE,2013-03-19,26,21.0,7.0,16.0,72.0,0,True
2013-04-26,AROON_TIME_FACTORS_AVAILABLE,2013-03-20,26,22.0,8.0,12.0,68.0,0,True
2013-05-02,AROON_TIME_FACTORS_AVAILABLE,2013-03-21,26,23.0,0.0,8.0,100.0,0,True
2013-05-03,AROON_TIME_FACTORS_AVAILABLE,2013-03-22,26,24.0,1.0,4.0,96.0,0,True
2013-05-06,AROON_TIME_FACTORS_AVAILABLE,2013-03-25,26,25.0,2.0,0.0,92.0,0,True
2013-05-07,AROON_TIME_FACTORS_AVAILABLE,2013-03-26,26,24.0,3.0,4.0,88.0,0,True
2013-05-08,AROON_TIME_FACTORS_AVAILABLE,2013-03-27,26,25.0,4.0,0.0,84.0,0,True
2013-05-09,AROON_TIME_FACTORS_AVAILABLE,2013-03-28,26,1.0,5.0,96.0,80.0,0,False
2013-05-10,AROON_TIME_FACTORS_AVAILABLE,2013-03-29,26,2.0,6.0,92.0,76.0,0,False
2013-05-13,AROON_TIME_FACTORS_AVAILABLE,2013-04-01,26,3.0,7.0,88.0,72.0,0,False
2013-05-14,AROON_TIME_FACTORS_AVAILABLE,2013-04-02,26,4.0,8.0,84.0,68.0,0,False
2013-05-15,AROON_TIME_FACTORS_AVAILABLE,2013-04-03,26,5.0,9.0,80.0,64.0,0,False
2013-05-16,AROON_TIME_FACTORS_AVAILABLE,2013-04-08,26,6.0,10.0,76.0,60.0,0,False
2013-05-17,AROON_TIME_FACTORS_AVAILABLE,2013-04-09,26,0.0,11.0,100.0,56.0,0,False
2013-05-20,AROON_TIME_FACTORS_AVAILABLE,2013-04-10,26,0.0,12.0,100.0,52.0,0,False
2013-05-21,AROON_TIME_FACTORS_AVAILABLE,2013-04-11,26,1.0,13.0,96.0,48.0,0,False
2013-05-22,AROON_TIME_FACTORS_AVAILABLE,2013-04-12,26,2.0,14.0,92.0,44.0,0,False
2013-05-23,AROON_TIME_FACTORS_AVAILABLE,2013-04-15,26,3.0,15.0,88.0,40.0,0,False
2013-05-24,AROON_TIME_FACTORS_AVAILABLE,2013-04-16,26,4.0,16.0,84.0,36.0,0,False
2013-05-27,AROON_TIME_FACTORS_AVAILABLE,2013-04-17,26,5.0,17.0,80.0,32.0,0,False
2013-05-28,AROON_TIME_FACTORS_AVAILABLE,2013-04-18,26,0.0,18.0,100.0,28.0,1,False
