date,independent_high_age,independent_low_age,independent_up,independent_down
2014-01-08,24,1,4.0,96.0
2014-01-09,25,2,0.0,92.0
2014-01-10,25,0,0.0,100.0
2014-01-13,24,0,4.0,100.0
2014-01-14,25,0,0.0,100.0
2014-01-15,25,1,0.0,96.0
2014-01-16,25,2,0.0,92.0
2014-01-17,25,0,0.0,100.0
2014-01-20,25,0,0.0,100.0
2014-01-21,25,1,0.0,96.0
2014-01-22,25,2,0.0,92.0
2014-01-23,24,3,4.0,88.0
2014-01-24,25,4,0.0,84.0
2014-01-27,25,5,0.0,80.0
2014-01-28,19,6,24.0,76.0
2014-01-29,20,7,20.0,72.0
2014-01-30,21,8,16.0,68.0
2014-02-07,22,9,12.0,64.0
2014-02-10,23,10,8.0,60.0
2014-02-11,24,11,4.0,56.0
2014-02-12,25,12,0.0,52.0
2014-02-13,25,13,0.0,48.0
2014-02-14,25,14,0.0,44.0
2014-02-17,0,15,100.0,40.0
2014-02-18,1,16,96.0,36.0
2014-02-19,0,17,100.0,32.0
2014-02-20,0,18,100.0,28.0
2014-02-21,1,19,96.0,24.0
2014-02-24,2,20,92.0,20.0
2014-02-25,3,0,88.0,100.0
2014-02-26,4,0,84.0,100.0
2014-02-27,5,1,80.0,96.0
2014-02-28,6,0,76.0,100.0
2014-03-03,7,1,72.0,96.0
2014-03-04,8,2,68.0,92.0
2014-03-05,9,3,64.0,88.0
2014-03-06,10,4,60.0,84.0
2014-03-07,11,5,56.0,80.0
2014-03-10,12,0,52.0,100.0
2014-03-11,13,0,48.0,100.0
2014-03-12,14,1,44.0,96.0
2014-03-13,15,2,40.0,92.0
2014-03-14,16,3,36.0,88.0
2014-03-17,17,4,32.0,84.0
2014-03-18,18,5,28.0,80.0
2014-03-19,19,6,24.0,76.0
2014-03-20,20,0,20.0,100.0
2014-03-21,21,0,16.0,100.0
2014-03-24,22,1,12.0,96.0
2014-03-25,23,2,8.0,92.0
2014-03-26,24,3,4.0,88.0
2014-03-27,25,4,0.0,84.0
2014-03-28,25,5,0.0,80.0
2014-03-31,25,6,0.0,76.0
2014-04-01,25,7,0.0,72.0
2014-04-02,22,8,12.0,68.0
2014-04-03,23,9,8.0,64.0
2014-04-04,24,10,4.0,60.0
2014-04-08,0,11,100.0,56.0
2014-04-09,0,12,100.0,52.0
2014-04-10,0,13,100.0,48.0
2014-04-11,1,14,96.0,44.0
2014-04-14,2,15,92.0,40.0
2014-04-15,3,16,88.0,36.0
2014-04-16,4,17,84.0,32.0
2014-04-17,5,18,80.0,28.0
2014-04-18,6,19,76.0,24.0
2014-04-21,7,20,72.0,20.0
2014-04-22,8,21,68.0,16.0
2014-04-23,9,22,64.0,12.0
2014-04-24,10,23,60.0,8.0
2014-04-25,11,24,56.0,4.0
2014-04-28,12,25,52.0,0.0
2014-04-29,13,20,48.0,20.0
2014-04-30,14,21,44.0,16.0
2014-05-05,15,0,40.0,100.0
2014-05-06,16,1,36.0,96.0
2014-05-07,17,2,32.0,92.0
2014-05-08,18,3,28.0,88.0
2014-05-09,19,0,24.0,100.0
2014-05-12,20,1,20.0,96.0
2014-05-13,21,2,16.0,92.0
2014-05-14,22,3,12.0,88.0
2014-05-15,23,4,8.0,84.0
2014-05-16,24,5,4.0,80.0
2014-05-19,25,0,0.0,100.0
2014-05-20,25,1,0.0,96.0
2014-05-21,25,0,0.0,100.0
2014-05-22,25,1,0.0,96.0
2014-05-23,25,2,0.0,92.0
2014-05-26,25,3,0.0,88.0
2014-05-27,24,4,4.0,84.0
2014-05-28,25,5,0.0,80.0
2014-05-29,23,6,8.0,76.0
2014-05-30,24,7,4.0,72.0
2014-06-03,25,8,0.0,68.0
2014-06-04,25,9,0.0,64.0
2014-06-05,15,10,40.0,60.0
2014-06-06,16,11,36.0,56.0
2014-06-09,17,12,32.0,52.0
2014-06-10,18,13,28.0,48.0
2014-06-11,19,14,24.0,44.0
2014-06-12,20,15,20.0,40.0
2014-06-13,0,16,100.0,36.0
2014-06-16,0,17,100.0,32.0
2014-06-17,1,18,96.0,28.0
2014-06-18,2,19,92.0,24.0
2014-06-19,3,20,88.0,20.0
2014-06-20,4,21,84.0,16.0
2014-06-23,5,22,80.0,12.0
2014-06-24,6,23,76.0,8.0
2014-06-25,7,24,72.0,4.0
2014-06-26,8,25,68.0,0.0
2014-06-27,9,17,64.0,32.0
2014-06-30,10,18,60.0,28.0
2014-07-01,11,19,56.0,24.0
2014-07-02,12,20,52.0,20.0
2014-07-03,0,21,100.0,16.0
2014-07-04,1,22,96.0,12.0
2014-07-07,2,23,92.0,8.0
2014-07-08,3,24,88.0,4.0
2014-07-09,4,25,84.0,0.0
2014-07-10,5,24,80.0,4.0
2014-07-11,6,25,76.0,0.0
2014-07-14,0,25,100.0,0.0
2014-07-15,1,18,96.0,28.0
2014-07-16,0,19,100.0,24.0
2014-07-17,1,20,96.0,20.0
2014-07-18,0,21,100.0,16.0
2014-07-21,1,22,96.0,12.0
2014-07-22,0,23,100.0,8.0
2014-07-23,0,24,100.0,4.0
2014-07-24,0,25,100.0,0.0
2014-07-25,0,25,100.0,0.0
2014-07-28,0,25,100.0,0.0
2014-07-29,0,24,100.0,4.0
2014-07-30,1,25,96.0,0.0
2014-07-31,0,25,100.0,0.0
2014-08-01,0,25,100.0,0.0
2014-08-04,0,17,100.0,32.0
2014-08-05,0,18,100.0,28.0
2014-08-06,1,19,96.0,24.0
2014-08-07,2,20,92.0,20.0
2014-08-08,3,21,88.0,16.0
2014-08-11,4,22,84.0,12.0
2014-08-12,5,23,80.0,8.0
2014-08-13,6,24,76.0,4.0
2014-08-14,7,25,72.0,0.0
2014-08-15,8,25,68.0,0.0
2014-08-18,9,25,64.0,0.0
2014-08-19,10,23,60.0,8.0
2014-08-20,11,24,56.0,4.0
2014-08-21,12,25,52.0,0.0
2014-08-22,13,25,48.0,0.0
2014-08-25,14,25,44.0,0.0
2014-08-26,15,25,40.0,0.0
2014-08-27,16,25,36.0,0.0
2014-08-28,17,25,32.0,0.0
2014-08-29,18,25,28.0,0.0
2014-09-01,19,25,24.0,0.0
2014-09-02,0,3,100.0,88.0
2014-09-03,0,4,100.0,84.0
2014-09-04,0,5,100.0,80.0
2014-09-05,0,6,100.0,76.0
2014-09-09,1,7,96.0,72.0
2014-09-10,2,8,92.0,68.0
2014-09-11,0,9,100.0,64.0
2014-09-12,1,10,96.0,60.0
2014-09-15,2,11,92.0,56.0
2014-09-16,3,12,88.0,52.0
2014-09-17,4,13,84.0,48.0
2014-09-18,5,14,80.0,44.0
2014-09-19,6,15,76.0,40.0
2014-09-22,7,16,72.0,36.0
2014-09-23,8,17,68.0,32.0
2014-09-24,9,18,64.0,28.0
2014-09-25,0,19,100.0,24.0
2014-09-26,1,20,96.0,20.0
2014-09-29,2,21,92.0,16.0
2014-09-30,3,22,88.0,12.0
2014-10-08,0,23,100.0,8.0
2014-10-09,0,24,100.0,4.0
2014-10-10,1,25,96.0,0.0
2014-10-13,2,25,92.0,0.0
2014-10-14,3,25,88.0,0.0
2014-10-15,4,25,84.0,0.0
2014-10-16,5,13,80.0,48.0
2014-10-17,6,14,76.0,44.0
2014-10-20,7,15,72.0,40.0
2014-10-21,8,16,68.0,36.0
2014-10-22,9,17,64.0,32.0
2014-10-23,10,18,60.0,28.0
2014-10-24,11,19,56.0,24.0
2014-10-27,12,0,52.0,100.0
2014-10-28,13,1,48.0,96.0
2014-10-29,14,2,44.0,92.0
2014-10-30,15,3,40.0,88.0
2014-10-31,0,4,100.0,84.0
2014-11-03,0,5,100.0,80.0
2014-11-04,1,6,96.0,76.0
2014-11-05,2,7,92.0,72.0
2014-11-06,3,8,88.0,68.0
2014-11-07,0,9,100.0,64.0
2014-11-10,0,10,100.0,60.0
2014-11-11,0,11,100.0,56.0
2014-11-12,1,12,96.0,52.0
2014-11-13,0,13,100.0,48.0
2014-11-14,1,14,96.0,44.0
2014-11-17,0,15,100.0,40.0
2014-11-18,1,16,96.0,36.0
2014-11-19,2,17,92.0,32.0
2014-11-20,3,18,88.0,28.0
2014-11-21,4,19,84.0,24.0
2014-11-24,0,20,100.0,20.0
2014-11-25,0,21,100.0,16.0
2014-11-26,0,22,100.0,12.0
2014-11-27,0,23,100.0,8.0
2014-11-28,0,24,100.0,4.0
2014-12-01,0,25,100.0,0.0
2014-12-02,0,25,100.0,0.0
2014-12-03,0,25,100.0,0.0
2014-12-04,0,25,100.0,0.0
2014-12-05,0,25,100.0,0.0
2014-12-08,0,22,100.0,12.0
2014-12-09,0,23,100.0,8.0
2014-12-10,1,24,96.0,4.0
2014-12-11,2,25,92.0,0.0
2014-12-12,3,25,88.0,0.0
2014-12-15,4,25,84.0,0.0
2014-12-16,5,18,80.0,28.0
2014-12-17,6,19,76.0,24.0
2014-12-18,7,20,72.0,20.0
2014-12-19,0,21,100.0,16.0
2014-12-22,0,22,100.0,12.0
2014-12-23,1,23,96.0,8.0
2014-12-24,2,24,92.0,4.0
2014-12-25,3,25,88.0,0.0
2014-12-26,0,25,100.0,0.0
2014-12-29,0,25,100.0,0.0
2014-12-30,1,25,96.0,0.0
2014-12-31,2,25,92.0,0.0
2015-01-05,0,25,100.0,0.0
2015-01-06,1,25,96.0,0.0
2015-01-07,2,24,92.0,4.0
2015-01-08,3,25,88.0,0.0
2015-01-09,4,25,84.0,0.0
2015-01-12,5,22,80.0,12.0
2015-01-13,6,23,76.0,8.0
2015-01-14,7,24,72.0,4.0
2015-01-15,8,25,68.0,0.0
2015-01-16,9,25,64.0,0.0
2015-01-19,10,25,60.0,0.0
2015-01-20,11,24,56.0,4.0
2015-01-21,12,25,52.0,0.0
2015-01-22,13,19,48.0,24.0
2015-01-23,14,20,44.0,20.0
2015-01-26,15,21,40.0,16.0
2015-01-27,16,22,36.0,12.0
2015-01-28,17,23,32.0,8.0
2015-01-29,18,24,28.0,4.0
2015-01-30,19,25,24.0,0.0
2015-02-02,20,25,20.0,0.0
2015-02-03,21,11,16.0,56.0
2015-02-04,22,12,12.0,52.0
2015-02-05,23,13,8.0,48.0
2015-02-06,24,14,4.0,44.0
2015-02-09,25,15,0.0,40.0
2015-02-10,22,16,12.0,36.0
2015-02-11,23,17,8.0,32.0
2015-02-12,24,18,4.0,28.0
2015-02-13,25,19,0.0,24.0
2015-02-16,21,20,16.0,20.0
2015-02-17,22,21,12.0,16.0
2015-02-25,23,22,8.0,12.0
2015-02-26,24,23,4.0,8.0
2015-02-27,25,24,0.0,4.0
2015-03-02,21,25,16.0,0.0
2015-03-03,22,12,12.0,52.0
2015-03-04,23,13,8.0,48.0
2015-03-05,24,14,4.0,44.0
2015-03-06,25,15,0.0,40.0
2015-03-09,24,16,4.0,36.0
2015-03-10,25,17,0.0,32.0
2015-03-11,7,18,72.0,28.0
2015-03-12,8,19,68.0,24.0
2015-03-13,0,20,100.0,20.0
2015-03-16,0,21,100.0,16.0
2015-03-17,0,22,100.0,12.0
2015-03-18,0,23,100.0,8.0
2015-03-19,1,24,96.0,4.0
2015-03-20,0,25,100.0,0.0
2015-03-23,0,25,100.0,0.0
2015-03-24,1,25,96.0,0.0
2015-03-25,2,24,92.0,4.0
2015-03-26,3,25,88.0,0.0
2015-03-27,4,14,84.0,44.0
2015-03-30,0,15,100.0,40.0
2015-03-31,0,16,100.0,36.0
2015-04-01,1,17,96.0,32.0
2015-04-02,2,18,92.0,28.0
2015-04-03,0,19,100.0,24.0
2015-04-07,0,20,100.0,20.0
2015-04-08,0,21,100.0,16.0
2015-04-09,0,22,100.0,12.0
2015-04-10,0,23,100.0,8.0
2015-04-13,0,24,100.0,4.0
2015-04-14,0,25,100.0,0.0
2015-04-15,1,24,96.0,4.0
2015-04-16,0,25,100.0,0.0
2015-04-17,0,25,100.0,0.0
2015-04-20,0,25,100.0,0.0
2015-04-21,1,25,96.0,0.0
2015-04-22,0,25,100.0,0.0
2015-04-23,0,25,100.0,0.0
2015-04-24,1,25,96.0,0.0
2015-04-27,0,25,100.0,0.0
2015-04-28,0,22,100.0,12.0
2015-04-29,1,23,96.0,8.0
2015-04-30,2,24,92.0,4.0
2015-05-04,3,25,88.0,0.0
2015-05-05,4,25,84.0,0.0
2015-05-06,5,24,80.0,4.0
2015-05-07,6,25,76.0,0.0
2015-05-08,7,25,72.0,0.0
2015-05-11,8,25,68.0,0.0
2015-05-12,9,25,64.0,0.0
2015-05-13,10,25,60.0,0.0
2015-05-14,11,25,56.0,0.0
2015-05-15,12,25,52.0,0.0
2015-05-18,13,25,48.0,0.0
2015-05-19,14,22,44.0,12.0
2015-05-20,0,23,100.0,8.0
2015-05-21,0,24,100.0,4.0
2015-05-22,0,25,100.0,0.0
2015-05-25,0,11,100.0,56.0
2015-05-26,0,12,100.0,52.0
2015-05-27,0,13,100.0,48.0
2015-05-28,1,14,96.0,44.0
2015-05-29,2,15,92.0,40.0
2015-06-01,3,16,88.0,36.0
2015-06-02,4,17,84.0,32.0
2015-06-03,5,18,80.0,28.0
2015-06-04,6,19,76.0,24.0
2015-06-05,0,20,100.0,20.0
2015-06-08,0,21,100.0,16.0
2015-06-09,1,22,96.0,12.0
2015-06-10,2,23,92.0,8.0
2015-06-11,3,24,88.0,4.0
2015-06-12,4,25,84.0,0.0
2015-06-15,5,25,80.0,0.0
2015-06-16,6,21,76.0,16.0
2015-06-17,7,22,72.0,12.0
2015-06-18,8,23,68.0,8.0
2015-06-19,9,24,64.0,4.0
2015-06-23,10,0,60.0,100.0
2015-06-24,11,1,56.0,96.0
2015-06-25,12,2,52.0,92.0
2015-06-26,13,0,48.0,100.0
2015-06-29,14,0,44.0,100.0
2015-06-30,15,1,40.0,96.0
2015-07-01,16,2,36.0,92.0
2015-07-02,17,0,32.0,100.0
2015-07-03,18,0,28.0,100.0
2015-07-06,19,1,24.0,96.0
2015-07-07,20,0,20.0,100.0
2015-07-08,21,0,16.0,100.0
2015-07-09,22,0,12.0,100.0
