period,cost,model,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,9,2022-08-10,2022-08-09,194605.8112,-2988.7999999999884,154.24128000000002,463.9999999999901,0.0,21,2,1,2022-09-08,2022-09-07,False,-3607.0412799999785,-0.01853511597499499
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,10,2024-02-19,2024-02-08,156954.55672,3884.2000000000116,126.91928,369.60000000000036,0.0,5,2,1,2024-02-26,2024-02-23,False,3387.680720000011,0.02158383159300997
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,11,2024-06-18,2024-06-17,237790.77827999997,-535.2000000000116,189.7284,535.2000000000005,0.0,22,1,1,2024-07-18,2024-07-17,False,-1260.128400000012,-0.005299315680426446
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,12,2024-08-02,2024-08-01,239629.01328,-11868.199999999983,186.65656,556.8000000000004,0.0,29,3,3,2024-09-12,2024-09-11,False,-12611.656559999983,-0.05262992317738922
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,13,2024-09-25,2024-09-24,181708.6544,26935.99999999997,155.89600000000002,467.9999999999946,0.0,3,1,1,2024-09-30,2024-09-27,False,26312.103999999974,0.1448038019261232
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,14,2025-04-10,2025-04-09,74921.55664000001,1979.6000000000058,60.64240000000001,156.80000000000013,0.0,17,1,1,2025-05-08,2025-05-07,False,1762.1576000000057,0.023520034540489034
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,15,2025-06-03,2025-05-30,256852.7,3185.0,206.466,520.0000000000005,5720.0,17,1,1,2025-06-26,2025-06-25,False,8178.534,0.03184133941360164
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,16,2025-12-19,2025-12-18,265193.53500000003,13175.0,217.11400000000003,565.0000000000225,0.0,11,2,1,2026-01-07,2026-01-06,False,12392.885999999979,0.04673147857846526
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,17,2026-01-16,2026-01-15,277525.966,-14491.299999999988,215.90948,564.999999999988,6949.5,13,1,2,2026-02-04,2026-02-03,False,-8322.709479999976,-0.02998893977365698
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,18,2026-05-06,2026-04-30,269474.04652000003,4092.2000000000116,216.90872000000002,553.0000000000373,0.0,5,1,1,2026-05-13,2026-05-12,False,3322.2912799999744,0.012328798720708705
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,19,2026-06-05,2026-06-04,187298.28936,738.8999999999942,149.92188,380.9999999999919,0.0,10,1,2,2026-06-22,2026-06-18,False,207.97812000000226,0.0011104112093637665
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,20,2026-07-23,2026-07-22,88446.8646,-684.5,70.38140000000001,184.99999999999605,0.0,16,1,1,2026-08-14,2026-08-13,True,-939.881399999996,-0.010626508969544592
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,1,2020-02-05,2020-02-04,56842.72800000001,5085.0,47.43600000000001,135.00000000000512,0.0,13,1,1,2020-02-24,2020-02-21,False,4902.563999999995,0.0862478662178211
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,2,2020-07-01,2020-06-30,135875.12832000002,18924.599999999977,116.09688000000001,323.99999999999307,0.0,4,1,2,2020-07-07,2020-07-06,False,18484.503119999983,0.13604037286696843
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,3,2020-08-19,2020-08-18,122476.17087999999,-4541.599999999991,96.02432,251.9999999999996,0.0,30,2,1,2020-09-30,2020-09-29,False,-4889.624319999992,-0.03992306654321158
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,4,2021-01-05,2021-01-04,147084.01008,8806.599999999977,121.01032000000001,331.20000000000874,0.0,7,1,2,2021-01-14,2021-01-13,False,8354.38967999997,0.05680012174984867
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,5,2021-02-03,2021-02-02,101185.25792,4618.400000000009,82.67488,220.80000000000837,0.0,7,1,1,2021-02-19,2021-02-18,False,4314.925120000001,0.042643812040401234
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,6,2021-06-08,2021-06-07,230872.61211999998,-13581.500000000015,178.99308,496.4000000000098,0.0,35,3,4,2021-07-28,2021-07-27,False,-14256.893080000025,-0.06175220589867871
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,7,2021-10-29,2021-10-28,236480.85452000002,9899.399999999965,192.86044000000004,520.900000000004,0.0,31,3,2,2021-12-13,2021-12-10,False,9185.639559999961,0.03884305805070194
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,8,2022-05-13,2022-05-12,118126.63175999999,5504.39999999998,96.55575999999999,273.79999999999603,0.0,17,2,1,2022-06-08,2022-06-07,False,5134.044239999984,0.043462208000909684
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,9,2022-08-10,2022-08-09,203538.28276,-2062.0999999999767,161.74628,485.9999999999896,0.0,21,2,2,2022-09-08,2022-09-07,False,-2709.846279999966,-0.013313693341882286
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,10,2024-02-19,2024-02-08,111856.52472,3376.199999999997,90.694,264.80000000000024,0.0,5,1,1,2024-02-26,2024-02-23,False,3020.705999999997,0.02700518371692173
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,11,2024-06-18,2024-06-17,231392.82012,-520.7999999999884,184.6236,520.8000000000004,0.0,22,1,1,2024-07-18,2024-07-17,False,-1226.223599999989,-0.005299315680426346
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,12,2024-08-02,2024-08-01,230277.17404,-11528.5,179.32228000000003,536.0000000000005,0.0,29,3,2,2024-09-12,2024-09-11,False,-12243.82228,-0.053169934584455174
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,13,2024-09-25,2024-09-24,118460.06508,14520.899999999994,100.42044000000001,295.1999999999976,0.0,3,1,2,2024-09-30,2024-09-27,False,14125.279559999997,0.11924085598349729
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,14,2025-04-10,2025-04-09,89064.91172,2353.300000000003,72.09020000000001,186.40000000000018,0.0,17,1,1,2025-05-08,2025-05-07,False,2094.8098000000027,0.02352003454048899
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,15,2025-06-03,2025-05-30,233538.378,2895.899999999994,187.72524,472.8000000000004,5200.799999999999,17,1,1,2025-06-26,2025-06-25,False,7436.1747599999935,0.03184133941360162
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,16,2025-12-19,2025-12-18,216258.56884000002,10870.399999999994,177.10144000000003,461.0000000000233,0.0,11,2,1,2026-01-07,2026-01-06,False,10232.29855999997,0.04731511271384759
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,17,2026-01-16,2026-01-15,226566.79048,-10857.100000000006,176.65292000000002,462.9999999999901,5067.6,13,2,1,2026-02-04,2026-02-03,False,-6429.152919999996,-0.02837641344691037
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,18,2026-05-06,2026-04-30,193895.62724,2003.9000000000524,155.69764000000004,396.0000000000267,0.0,5,2,1,2026-05-13,2026-05-12,False,1452.2023600000257,0.007489608614032949
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,19,2026-06-05,2026-06-04,161735.26823999998,2043.999999999971,130.02248,328.999999999993,0.0,10,1,2,2026-06-22,2026-06-18,False,1584.9775199999779,0.009799826205178823
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,20,2026-07-23,2026-07-22,88446.8646,-684.5,70.38140000000001,184.99999999999605,0.0,16,1,1,2026-08-14,2026-08-13,True,-939.881399999996,-0.010626508969544592
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,1,2015-01-05,2014-12-31,93129.22212,-7329.800000000003,35.757560000000005,103.59999999999255,906.5000000000001,11,2,1,2015-01-20,2015-01-19,False,-6562.657559999995,-0.07046829567140375
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,2,2015-02-11,2015-02-10,193116.83318000002,46134.500000000015,86.72008,277.90000000001555,0.0,60,4,3,2015-05-15,2015-05-14,False,45769.87992,0.23700616443590336
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,3,2015-06-03,2015-06-02,65532.40386,-6858.0,24.820880000000002,76.1999999999916,0.0,13,1,1,2015-06-23,2015-06-19,False,-6959.020879999992,-0.10619205873886269
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,4,2015-09-29,2015-09-28,263806.05065999995,5312.0,106.50572000000001,289.999999999994,0.0,60,5,2,2015-12-29,2015-12-28,False,4915.494280000006,0.01863298536065506
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,5,2016-05-03,2016-04-29,363377.06088,-10.89999999999418,145.22838000000002,456.0000000000239,0.0,60,4,3,2016-07-28,2016-07-27,False,-612.1283800000181,-0.0016845542713059825
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,6,2017-05-18,2017-05-17,235736.43786,27165.599999999977,99.6534,277.2000000000003,0.0,44,1,1,2017-07-21,2017-07-20,False,26788.746599999977,0.11363854838558887
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,7,2018-10-09,2018-10-08,94153.827,-7249.800000000003,36.181560000000005,112.40000000000009,0.0,8,1,1,2018-10-19,2018-10-18,False,-7398.381560000003,-0.07857759791325321
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,8,2019-02-28,2019-02-27,177344.76186000003,6762.0,72.23748,193.20000000002162,0.0,4,1,1,2019-03-06,2019-03-05,False,6496.562519999979,0.036632390220403085
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,9,2019-05-31,2019-05-30,262068.10314,11059.900000000023,106.96162000000001,283.2000000000003,0.0,16,5,1,2019-06-25,2019-06-24,False,10669.738380000023,0.04071360937160719
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,1,2015-01-05,2014-12-31,65731.215,-5107.600000000006,26.122280000000003,73.19999999999452,640.5000000000001,11,2,1,2015-01-20,2015-01-19,False,-4566.42228,-0.06947113757139588
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,2,2015-02-11,2015-02-10,97237.14353999999,30234.299999999996,45.86434,135.60000000000773,0.0,60,3,3,2015-05-15,2015-05-14,False,30052.835659999986,0.3090674465117056
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,3,2015-06-03,2015-06-02,56244.34662,-5886.0,21.30296,65.3999999999928,0.0,13,1,1,2015-06-23,2015-06-19,False,-5972.702959999992,-0.10619205873886269
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,4,2015-09-29,2015-09-28,84245.67168,9341.599999999991,35.565920000000006,99.19999999999192,0.0,60,2,1,2015-12-29,2015-12-28,False,9206.834079999999,0.10928554424696586
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,5,2016-05-03,2016-04-29,325730.63310000004,3934.7000000000116,131.17746,408.4000000000155,0.0,60,4,5,2016-07-28,2016-07-27,False,3395.122539999996,0.010423098704866626
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,6,2017-05-18,2017-05-17,231314.25360000003,24241.5,97.3011,272.0000000000002,0.0,44,1,3,2017-07-21,2017-07-20,False,23872.1989,0.10320245522474797
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,7,2018-10-09,2018-10-08,101190.234,-7791.599999999991,38.88552,120.8000000000001,0.0,8,1,1,2018-10-19,2018-10-18,False,-7951.285519999991,-0.07857759791325308
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,8,2019-02-28,2019-02-27,76739.24478000001,2926.0,31.25804,83.60000000000936,0.0,4,1,1,2019-03-06,2019-03-05,False,2811.1419599999904,0.03663239022040308
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,9,2019-05-31,2019-05-30,147044.30298,8807.899999999994,60.53522,161.599999999997,0.0,16,3,1,2019-06-25,2019-06-24,False,8585.764779999998,0.058388965815069874
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,1,2015-01-05,2014-12-31,93199.66496,-7329.800000000003,71.51512,207.20000000000016,906.5000000000001,11,2,1,2015-01-20,2015-01-19,False,-6702.015120000003,-0.07191029198309258
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,2,2015-02-11,2015-02-10,193259.17276000002,46126.70000000001,172.80184000000003,485.8999999999927,0.0,60,4,3,2015-05-15,2015-05-14,False,45467.99816000002,0.2352695476786745
