fit_index,fit_origin,source_input_identity,first_fit_index,reused,independent_normal_equation_error,nonzero_factor_count
2192,2021-06-01,b224467a4c83ce451899986b74c0d5eba08d4707960778f083f4a99f6e1be270,2130,True,6.72639027810007e-16,20
2213,2021-07-01,b224467a4c83ce451899986b74c0d5eba08d4707960778f083f4a99f6e1be270,2130,True,6.72639027810007e-16,20
2235,2021-08-02,3df8c73148a81d3c08ba967fdaee6466ac8a67818bfcb318038d2f599d6ad3a2,2235,False,5.390111100511685e-16,20
2257,2021-09-01,3df8c73148a81d3c08ba967fdaee6466ac8a67818bfcb318038d2f599d6ad3a2,2235,True,5.390111100511685e-16,20
2277,2021-10-08,3df8c73148a81d3c08ba967fdaee6466ac8a67818bfcb318038d2f599d6ad3a2,2235,True,5.390111100511685e-16,20
2293,2021-11-01,3df8c73148a81d3c08ba967fdaee6466ac8a67818bfcb318038d2f599d6ad3a2,2235,True,5.390111100511685e-16,20
2315,2021-12-01,3df8c73148a81d3c08ba967fdaee6466ac8a67818bfcb318038d2f599d6ad3a2,2235,True,5.390111100511685e-16,20
2338,2022-01-04,3df8c73148a81d3c08ba967fdaee6466ac8a67818bfcb318038d2f599d6ad3a2,2235,True,5.390111100511685e-16,20
2357,2022-02-07,0f5222175dd17bd92e61c20526fb0e24a6c22d718229286979758bc2e6c491af,2357,False,3.8510861166685117e-16,20
2373,2022-03-01,0f5222175dd17bd92e61c20526fb0e24a6c22d718229286979758bc2e6c491af,2357,True,3.8510861166685117e-16,20
2396,2022-04-01,0f5222175dd17bd92e61c20526fb0e24a6c22d718229286979758bc2e6c491af,2357,True,3.8510861166685117e-16,20
2415,2022-05-05,0f5222175dd17bd92e61c20526fb0e24a6c22d718229286979758bc2e6c491af,2357,True,3.8510861166685117e-16,20
2434,2022-06-01,0f5222175dd17bd92e61c20526fb0e24a6c22d718229286979758bc2e6c491af,2357,True,3.8510861166685117e-16,20
2455,2022-07-01,0f5222175dd17bd92e61c20526fb0e24a6c22d718229286979758bc2e6c491af,2357,True,3.8510861166685117e-16,20
2476,2022-08-01,0f5222175dd17bd92e61c20526fb0e24a6c22d718229286979758bc2e6c491af,2357,True,3.8510861166685117e-16,20
2499,2022-09-01,30ab2721f0bdd726f8b6e662d2be018afbd58119cf6f6a01975c94b5d21c8018,2499,False,4.2197148553135833e-16,20
2520,2022-10-10,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,False,6.435824095873954e-16,20
2536,2022-11-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2558,2022-12-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2580,2023-01-03,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2596,2023-02-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2616,2023-03-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2639,2023-04-03,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2658,2023-05-04,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2678,2023-06-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2698,2023-07-03,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2719,2023-08-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2742,2023-09-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2762,2023-10-09,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2779,2023-11-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2801,2023-12-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2822,2024-01-02,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2844,2024-02-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2859,2024-03-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2880,2024-04-01,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2900,2024-05-06,17b957dab1feba0346e4807b22b4599b395e50ababd2a3d7b8aec6ed98febc1c,2520,True,6.435824095873954e-16,20
2920,2024-06-03,34ab0d2f68bf733e5eaa7fe477ad6614b1ecf5b7e5e155fca64a1eccc0838373,2920,False,3.387047586844716e-16,20
2939,2024-07-01,34ab0d2f68bf733e5eaa7fe477ad6614b1ecf5b7e5e155fca64a1eccc0838373,2920,True,3.387047586844716e-16,20
2962,2024-08-01,809a769c9601b74a5197ad52b31032c37debd34d8c634e4b86c3bd77c54981b0,2962,False,3.8510861166685117e-16,20
2984,2024-09-02,809a769c9601b74a5197ad52b31032c37debd34d8c634e4b86c3bd77c54981b0,2962,True,3.8510861166685117e-16,20
3003,2024-10-08,80b70ce1ab7735bdf8db232156b9232c296dace97d5c7365ac9e83096d0fb5a2,3003,False,1.326575568144639e-15,20
3021,2024-11-01,3e36f43424e1105e20ed0afea18c69131c45d412850cb0f4bb4691484919bfdb,3021,False,4.119968255444917e-16,20
3042,2024-12-02,3e36f43424e1105e20ed0afea18c69131c45d412850cb0f4bb4691484919bfdb,3021,True,4.119968255444917e-16,20
3064,2025-01-02,3e36f43424e1105e20ed0afea18c69131c45d412850cb0f4bb4691484919bfdb,3021,True,4.119968255444917e-16,20
3082,2025-02-05,3e36f43424e1105e20ed0afea18c69131c45d412850cb0f4bb4691484919bfdb,3021,True,4.119968255444917e-16,20
3100,2025-03-03,3e36f43424e1105e20ed0afea18c69131c45d412850cb0f4bb4691484919bfdb,3021,True,4.119968255444917e-16,20
3121,2025-04-01,3e36f43424e1105e20ed0afea18c69131c45d412850cb0f4bb4691484919bfdb,3021,True,4.119968255444917e-16,20
3142,2025-05-06,3e36f43424e1105e20ed0afea18c69131c45d412850cb0f4bb4691484919bfdb,3021,True,4.119968255444917e-16,20
3161,2025-06-03,3e36f43424e1105e20ed0afea18c69131c45d412850cb0f4bb4691484919bfdb,3021,True,4.119968255444917e-16,20
3181,2025-07-01,3e36f43424e1105e20ed0afea18c69131c45d412850cb0f4bb4691484919bfdb,3021,True,4.119968255444917e-16,20
3204,2025-08-01,b0da015f06c4bbe956c45e465e700ba39c3cc1e09d3a2b9155b5cffb7aa1e8fb,3204,False,2.0729945537922845e-16,20
3225,2025-09-01,b0da015f06c4bbe956c45e465e700ba39c3cc1e09d3a2b9155b5cffb7aa1e8fb,3204,True,2.0729945537922845e-16,20
3247,2025-10-09,b0da015f06c4bbe956c45e465e700ba39c3cc1e09d3a2b9155b5cffb7aa1e8fb,3204,True,2.0729945537922845e-16,20
3264,2025-11-03,c9504d50fd1de1635fe8a1a1443b4ec86842aca978f6cd485adeef7a3453844e,3264,False,3.0791341698588326e-16,20
3284,2025-12-01,c9504d50fd1de1635fe8a1a1443b4ec86842aca978f6cd485adeef7a3453844e,3264,True,3.0791341698588326e-16,20
3307,2026-01-05,c9504d50fd1de1635fe8a1a1443b4ec86842aca978f6cd485adeef7a3453844e,3264,True,3.0791341698588326e-16,20
3327,2026-02-02,46eb66811ae4fd5cbed9468c8ecc3d4c39a06dfdf20e0ad0fdfefe52ba4d3e68,3327,False,2.5343225781848666e-16,20
3341,2026-03-02,1583c28b59faf0f67f0be7f63c2c8d5aab62bbd8ffb1a86f4ed882f5af46bda4,3341,False,3.386505485758473e-16,20
3363,2026-04-01,1583c28b59faf0f67f0be7f63c2c8d5aab62bbd8ffb1a86f4ed882f5af46bda4,3341,True,3.386505485758473e-16,20
3384,2026-05-06,1583c28b59faf0f67f0be7f63c2c8d5aab62bbd8ffb1a86f4ed882f5af46bda4,3341,True,3.386505485758473e-16,20
3402,2026-06-01,1583c28b59faf0f67f0be7f63c2c8d5aab62bbd8ffb1a86f4ed882f5af46bda4,3341,True,3.386505485758473e-16,20
3423,2026-07-01,1583c28b59faf0f67f0be7f63c2c8d5aab62bbd8ffb1a86f4ed882f5af46bda4,3341,True,3.386505485758473e-16,20
3446,2026-08-03,c48622b70d8a67ef85d94c3a6c40e3b661e0f4fdaef87baa7427cd32a13034a6,3446,False,3.391384395534658e-16,20
