fit_index,fit_origin,source_input_identity,first_fit_index,reused,rho,coefficient_joint_solution_max_error
2536,2022-11-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2558,2022-12-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2580,2023-01-03,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2596,2023-02-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2616,2023-03-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2639,2023-04-03,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2658,2023-05-04,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2678,2023-06-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2698,2023-07-03,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2719,2023-08-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2742,2023-09-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2762,2023-10-09,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2779,2023-11-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2801,2023-12-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2822,2024-01-02,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2844,2024-02-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2859,2024-03-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2880,2024-04-01,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2900,2024-05-06,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,True,0.3495685826165458,1.1449174941446927e-16
2920,2024-06-03,3a9521c2802691ccafd408f66e7a03c1fbbca5e4287be1a4446bdc5a5460bdaf,2920,False,0.307321237361406,9.020562075079397e-17
2939,2024-07-01,3a9521c2802691ccafd408f66e7a03c1fbbca5e4287be1a4446bdc5a5460bdaf,2920,True,0.307321237361406,9.020562075079397e-17
2962,2024-08-01,37e668b715a4abd0f0c525697cdfeab9bc45c15fec5d9d766b44a960834b42c2,2962,False,0.32214799327734395,1.457167719820518e-16
2984,2024-09-02,37e668b715a4abd0f0c525697cdfeab9bc45c15fec5d9d766b44a960834b42c2,2962,True,0.32214799327734395,1.457167719820518e-16
3003,2024-10-08,fa6e65d7e8a4bb558a6c97d0747ea1e71dbdb782c1aefa1affa6f18288001c94,3003,False,0.30691001711808097,8.326672684688674e-17
3021,2024-11-01,3eb7440a34012ff3959347fc1475d55689caafcb1a970a9727ddd926c9aad004,3021,False,-0.05386639154497629,1.1796119636642288e-16
3042,2024-12-02,3eb7440a34012ff3959347fc1475d55689caafcb1a970a9727ddd926c9aad004,3021,True,-0.05386639154497629,1.1796119636642288e-16
3064,2025-01-02,3eb7440a34012ff3959347fc1475d55689caafcb1a970a9727ddd926c9aad004,3021,True,-0.05386639154497629,1.1796119636642288e-16
3082,2025-02-05,3eb7440a34012ff3959347fc1475d55689caafcb1a970a9727ddd926c9aad004,3021,True,-0.05386639154497629,1.1796119636642288e-16
3100,2025-03-03,3eb7440a34012ff3959347fc1475d55689caafcb1a970a9727ddd926c9aad004,3021,True,-0.05386639154497629,1.1796119636642288e-16
3121,2025-04-01,3eb7440a34012ff3959347fc1475d55689caafcb1a970a9727ddd926c9aad004,3021,True,-0.05386639154497629,1.1796119636642288e-16
3142,2025-05-06,3eb7440a34012ff3959347fc1475d55689caafcb1a970a9727ddd926c9aad004,3021,True,-0.05386639154497629,1.1796119636642288e-16
3161,2025-06-03,3eb7440a34012ff3959347fc1475d55689caafcb1a970a9727ddd926c9aad004,3021,True,-0.05386639154497629,1.1796119636642288e-16
3181,2025-07-01,3eb7440a34012ff3959347fc1475d55689caafcb1a970a9727ddd926c9aad004,3021,True,-0.05386639154497629,1.1796119636642288e-16
3204,2025-08-01,68ea458467909b7131088f4951f82b2714633d35517e58c015a4238810cdb90b,3204,False,-0.0542014238884535,1.43982048506075e-16
3225,2025-09-01,68ea458467909b7131088f4951f82b2714633d35517e58c015a4238810cdb90b,3204,True,-0.0542014238884535,1.43982048506075e-16
3247,2025-10-09,68ea458467909b7131088f4951f82b2714633d35517e58c015a4238810cdb90b,3204,True,-0.0542014238884535,1.43982048506075e-16
3264,2025-11-03,b734bee389aa1e5dbb839b1fe6f99960721e3d29df210318ec5bfe5dabd3d916,3264,False,-0.045232664353526346,6.938893903907228e-17
3284,2025-12-01,b734bee389aa1e5dbb839b1fe6f99960721e3d29df210318ec5bfe5dabd3d916,3264,True,-0.045232664353526346,6.938893903907228e-17
3307,2026-01-05,b734bee389aa1e5dbb839b1fe6f99960721e3d29df210318ec5bfe5dabd3d916,3264,True,-0.045232664353526346,6.938893903907228e-17
3327,2026-02-02,bb0068205b033a8099bd1b4362cec6c1bd244836ea23b65bc48d5968da444394,3327,False,-0.04249444609359114,9.71445146547012e-17
3341,2026-03-02,c73f7b5c899701edfe8fe4aa3c89f9a133bb9fdf3155bed99757cd467559901d,3341,False,-0.038152974012816816,3.191891195797325e-16
3363,2026-04-01,c73f7b5c899701edfe8fe4aa3c89f9a133bb9fdf3155bed99757cd467559901d,3341,True,-0.038152974012816816,3.191891195797325e-16
3384,2026-05-06,c73f7b5c899701edfe8fe4aa3c89f9a133bb9fdf3155bed99757cd467559901d,3341,True,-0.038152974012816816,3.191891195797325e-16
3402,2026-06-01,c73f7b5c899701edfe8fe4aa3c89f9a133bb9fdf3155bed99757cd467559901d,3341,True,-0.038152974012816816,3.191891195797325e-16
3423,2026-07-01,c73f7b5c899701edfe8fe4aa3c89f9a133bb9fdf3155bed99757cd467559901d,3341,True,-0.038152974012816816,3.191891195797325e-16
3446,2026-08-03,1f832b7394aebe2608ca5182298fb019d6ba7ed50da529dec23ec7e4fd09bd4d,3446,False,-0.03547646876919836,1.586187778346293e-16
