拟合收盘,成熟参考周期,状态行数,周期目标平均值,周期截距,新周期使用的平均截距
2020-05-06,8,1,-0.025405979073243636,-0.12138407959122452,0.004488338295533725
2020-05-06,9,59,0.027753862878604908,-0.019374886587377037,0.004488338295533725
2020-05-06,10,59,0.008058596622428638,-0.005960147141230554,0.004488338295533725
2020-05-06,11,59,-0.009137820667817292,-0.04712405897353219,0.004488338295533725
2020-05-06,12,59,-0.035002789938302165,-0.07346439140445646,0.004488338295533725
2020-05-06,13,59,0.01734099869304303,0.027723662935947177,0.004488338295533725
2020-05-06,14,59,0.04432397497238787,0.04361821176389194,0.004488338295533725
2020-05-06,15,56,-0.054517590356695164,-0.09277575181437771,0.004488338295533725
2020-05-06,16,7,-0.04122629696962168,-0.1376482808913812,0.004488338295533725
2020-05-06,17,43,-0.04746811142656885,-0.020144524217274824,0.004488338295533725
2020-05-06,18,38,0.051028270268516716,0.02040359975060068,0.004488338295533725
2020-05-06,19,28,-0.061151317876876415,-0.06684964414536512,0.004488338295533725
2020-06-01,1,59,0.02092881846220858,0.011934510680157898,0.004686170740688509
2020-06-01,2,52,0.09501125267143296,0.24953695734501674,0.004686170740688509
2020-06-01,3,6,-0.03344760127158214,-0.04740260412647927,0.004686170740688509
2020-06-01,4,59,0.17983739018447756,0.31678749034568376,0.004686170740688509
2020-06-01,5,25,-0.08038605495456558,-0.023493308614599688,0.004686170740688509
2020-06-01,6,59,0.024250487101779742,0.07272933301445779,0.004686170740688509
2020-06-01,8,1,-0.025405979073243636,-0.11735024944318878,0.004686170740688509
2020-06-01,9,59,0.027753862878604908,-0.018825657626685838,0.004686170740688509
2020-06-01,10,59,0.008058596622428638,-0.005592959536753714,0.004686170740688509
2020-06-01,11,59,-0.009137820667817292,-0.04714176758589293,0.004686170740688509
2020-06-01,12,59,-0.035002789938302165,-0.0734925570086448,0.004686170740688509
2020-06-01,13,59,0.01734099869304303,0.0280299784205474,0.004686170740688509
2020-06-01,14,59,0.04432397497238787,0.04340418797166232,0.004686170740688509
2020-06-01,15,56,-0.054517590356695164,-0.09303524575580846,0.004686170740688509
2020-06-01,16,7,-0.04122629696962168,-0.13484371634950026,0.004686170740688509
2020-06-01,17,43,-0.04746811142656885,-0.02015706656554395,0.004686170740688509
2020-06-01,18,38,0.051028270268516716,0.022229473370627494,0.004686170740688509
2020-06-01,19,28,-0.061151317876876415,-0.06374131546294359,0.004686170740688509
2020-06-01,20,42,0.008247154753474551,-0.010538238999030424,0.004686170740688509
2020-07-01,1,59,0.02092881846220858,0.011934510680157898,0.004686170740688509
2020-07-01,2,52,0.09501125267143296,0.24953695734501674,0.004686170740688509
2020-07-01,3,6,-0.03344760127158214,-0.04740260412647927,0.004686170740688509
2020-07-01,4,59,0.17983739018447756,0.31678749034568376,0.004686170740688509
2020-07-01,5,25,-0.08038605495456558,-0.023493308614599688,0.004686170740688509
2020-07-01,6,59,0.024250487101779742,0.07272933301445779,0.004686170740688509
2020-07-01,8,1,-0.025405979073243636,-0.11735024944318878,0.004686170740688509
2020-07-01,9,59,0.027753862878604908,-0.018825657626685838,0.004686170740688509
2020-07-01,10,59,0.008058596622428638,-0.005592959536753714,0.004686170740688509
2020-07-01,11,59,-0.009137820667817292,-0.04714176758589293,0.004686170740688509
2020-07-01,12,59,-0.035002789938302165,-0.0734925570086448,0.004686170740688509
2020-07-01,13,59,0.01734099869304303,0.0280299784205474,0.004686170740688509
2020-07-01,14,59,0.04432397497238787,0.04340418797166232,0.004686170740688509
2020-07-01,15,56,-0.054517590356695164,-0.09303524575580846,0.004686170740688509
2020-07-01,16,7,-0.04122629696962168,-0.13484371634950026,0.004686170740688509
2020-07-01,17,43,-0.04746811142656885,-0.02015706656554395,0.004686170740688509
2020-07-01,18,38,0.051028270268516716,0.022229473370627494,0.004686170740688509
2020-07-01,19,28,-0.061151317876876415,-0.06374131546294359,0.004686170740688509
2020-07-01,20,42,0.008247154753474551,-0.010538238999030424,0.004686170740688509
2020-08-03,1,59,0.02092881846220858,0.011934510680157898,0.004686170740688509
2020-08-03,2,52,0.09501125267143296,0.24953695734501674,0.004686170740688509
2020-08-03,3,6,-0.03344760127158214,-0.04740260412647927,0.004686170740688509
2020-08-03,4,59,0.17983739018447756,0.31678749034568376,0.004686170740688509
2020-08-03,5,25,-0.08038605495456558,-0.023493308614599688,0.004686170740688509
2020-08-03,6,59,0.024250487101779742,0.07272933301445779,0.004686170740688509
2020-08-03,8,1,-0.025405979073243636,-0.11735024944318878,0.004686170740688509
2020-08-03,9,59,0.027753862878604908,-0.018825657626685838,0.004686170740688509
2020-08-03,10,59,0.008058596622428638,-0.005592959536753714,0.004686170740688509
2020-08-03,11,59,-0.009137820667817292,-0.04714176758589293,0.004686170740688509
2020-08-03,12,59,-0.035002789938302165,-0.0734925570086448,0.004686170740688509
2020-08-03,13,59,0.01734099869304303,0.0280299784205474,0.004686170740688509
2020-08-03,14,59,0.04432397497238787,0.04340418797166232,0.004686170740688509
2020-08-03,15,56,-0.054517590356695164,-0.09303524575580846,0.004686170740688509
2020-08-03,16,7,-0.04122629696962168,-0.13484371634950026,0.004686170740688509
2020-08-03,17,43,-0.04746811142656885,-0.02015706656554395,0.004686170740688509
2020-08-03,18,38,0.051028270268516716,0.022229473370627494,0.004686170740688509
