report_month,category,listed_publication_date,publication_date_status,days_after_report_month_end,category_scope,current_fund_count,previous_fund_count_same_report,current_shares_100m,previous_shares_100m_same_report,current_nav_100m,previous_nav_100m_same_report,share_change_100m,share_log_growth_same_report,nav_change_100m,nav_log_growth_same_report,count_change,source_url,raw_path,source_sha256,cash_net_subscription_amount,original_first_publication_proven
2023-06,混合基金,2023-08-31,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,62,OPEN_ENDED_SUBCATEGORY,4792,4756,38580.06,38852.92,46303.03,46040.53,-272.8600000000006,-0.007047672178053262,262.5,0.005685306199129106,36,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433659593839.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126433659593839.pdf,28489884aa1ac84ca0596c7456904794da76dbc1d3143a998841148ed448ce8e,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-07,股票基金,2023-09-30,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,61,OPEN_ENDED_SUBCATEGORY,2112,2089,23484.9,22932.34,28255.48,26977.71,552.5600000000013,0.02380952005322458,1277.7700000000004,0.046276451591081784,23,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433764713767.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126433764713767.pdf,285b73179d5e5eaba6864d13946183f9d61affddf58a1e7539159ff055217a8a,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-07,混合基金,2023-09-30,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,61,OPEN_ENDED_SUBCATEGORY,4810,4792,38129.62,38580.06,45888.72,46303.03,-450.43999999999505,-0.011744154772625161,-414.3099999999977,-0.0089880664848514,18,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433764713767.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126433764713767.pdf,285b73179d5e5eaba6864d13946183f9d61affddf58a1e7539159ff055217a8a,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-08,股票基金,2023-11-01,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,62,OPEN_ENDED_SUBCATEGORY,2125,2112,24732.58,23484.9,28452.29,28255.48,1247.6800000000003,0.051763741387491735,196.8100000000013,0.006941228343212767,13,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433863894612.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126433863894612.pdf,3895ddeeb57ecb6933416a5fb56bcb3f9930e416158285838eb6af4508e206c5,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-08,混合基金,2023-11-01,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,62,OPEN_ENDED_SUBCATEGORY,4843,4810,37716.45,38129.62,43577.52,45888.72,-413.17000000000553,-0.01089506910559701,-2311.2000000000044,-0.05167791417141249,33,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433863894612.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126433863894612.pdf,3895ddeeb57ecb6933416a5fb56bcb3f9930e416158285838eb6af4508e206c5,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-09,股票基金,2023-11-26,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,57,OPEN_ENDED_SUBCATEGORY,2170,2125,25143.65,24732.58,28254.55,28452.29,411.0699999999997,0.016483976756218745,-197.7400000000016,-0.00697414285414408,45,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433960681337.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126433960681337.pdf,b5bfe578f3be0d3e4e435a47a11a351ad38c27ee51aedf9bb9c77dcfd666dc1f,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-09,混合基金,2023-11-26,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,57,OPEN_ENDED_SUBCATEGORY,4872,4843,37416.21,37716.45,42350.03,43577.52,-300.23999999999796,-0.007992305828108472,-1227.489999999998,-0.028572291578880072,29,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433960681337.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126433960681337.pdf,b5bfe578f3be0d3e4e435a47a11a351ad38c27ee51aedf9bb9c77dcfd666dc1f,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-10,股票基金,2023-12-06,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,36,OPEN_ENDED_SUBCATEGORY,2189,2170,25285.59,25143.65,27741.16,28254.55,141.9399999999987,0.005629288675640128,-513.3899999999994,-0.018337275686940664,19,https://www.amac.org.cn/sjtj/tjbg/gmjj/202312/P020231206628834034099.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231206628834034099.pdf,0825295111fa5b09d0a2ff33f9c69b4cdd59f26ab02c4e19f11143b823fce686,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-10,混合基金,2023-12-06,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,36,OPEN_ENDED_SUBCATEGORY,4877,4872,36563.45,37416.21,40531.56,42350.03,-852.760000000002,-0.023054925419488087,-1818.4700000000012,-0.04388819957344135,5,https://www.amac.org.cn/sjtj/tjbg/gmjj/202312/P020231206628834034099.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231206628834034099.pdf,0825295111fa5b09d0a2ff33f9c69b4cdd59f26ab02c4e19f11143b823fce686,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-11,股票基金,2023-12-26,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,26,OPEN_ENDED_SUBCATEGORY,2230,2189,25603.58,25285.59,27766.49,27741.16,317.9900000000016,0.01249751720609243,25.330000000001746,0.000912667056099327,41,https://www.amac.org.cn/sjtj/tjbg/gmjj/202312/P020231226608616055468.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231226608616055468.pdf,006236daff01a978c3992b2aecf82ed2031ff49103031bd7791899907f37a460,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
