report_month,category,same_scope,previous_month_shares_difference_100m,previous_month_nav_difference_100m,source_url,previous_source_url
2023-01,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433028116173.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432900698784.pdf
2023-02,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433161838446.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433028116173.pdf
2023-03,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433271963701.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433161838446.pdf
2023-04,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433416059718.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433271963701.pdf
2023-05,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433524944208.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433416059718.pdf
2023-06,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433659593839.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433524944208.pdf
2023-07,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433764713767.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433659593839.pdf
2023-08,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433863894612.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433764713767.pdf
2023-09,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433960681337.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433863894612.pdf
2023-10,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202312/P020231206628834034099.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126433960681337.pdf
2023-11,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202312/P020231226608616055468.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202312/P020231206628834034099.pdf
2023-12,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202401/P020240125599282291079.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202312/P020231226608616055468.pdf
2024-01,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202402/P020240226580300463041.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202401/P020240125599282291079.pdf
