fit_index,fit_origin,cycles,rows,missing_features,largest_gradient
2013,2020-09-01,19,829,0,3.196228004487267e-16
2035,2020-10-09,20,888,0,4.49293380277993e-16
2051,2020-11-02,20,888,0,4.49293380277993e-16
2072,2020-12-01,20,888,0,4.49293380277993e-16
2095,2021-01-04,20,888,0,4.49293380277993e-16
2115,2021-02-01,20,888,0,4.49293380277993e-16
2130,2021-03-01,20,862,0,3.391384395534658e-16
2153,2021-04-01,20,862,0,3.391384395534658e-16
2174,2021-05-06,20,862,0,3.391384395534658e-16
2192,2021-06-01,20,862,0,3.391384395534658e-16
2213,2021-07-01,20,862,0,3.391384395534658e-16
2235,2021-08-02,20,844,0,2.42861286636753e-16
2257,2021-09-01,20,844,0,2.42861286636753e-16
2277,2021-10-08,20,844,0,2.42861286636753e-16
2293,2021-11-01,20,844,0,2.42861286636753e-16
2315,2021-12-01,20,844,0,2.42861286636753e-16
2338,2022-01-04,20,844,0,2.42861286636753e-16
2357,2022-02-07,20,892,0,6.002143226879753e-16
2373,2022-03-01,20,892,0,6.002143226879753e-16
2396,2022-04-01,20,892,0,6.002143226879753e-16
2415,2022-05-05,20,892,0,6.002143226879753e-16
2434,2022-06-01,20,892,0,6.002143226879753e-16
2455,2022-07-01,20,892,0,6.002143226879753e-16
2476,2022-08-01,20,892,0,6.002143226879753e-16
2499,2022-09-01,20,890,0,2.7755575615628914e-16
2520,2022-10-10,20,885,0,1.8301332671555315e-16
2536,2022-11-01,20,885,0,1.8301332671555315e-16
2558,2022-12-01,20,885,0,1.8301332671555315e-16
2580,2023-01-03,20,885,0,1.8301332671555315e-16
2596,2023-02-01,20,885,0,1.8301332671555315e-16
2616,2023-03-01,20,885,0,1.8301332671555315e-16
2639,2023-04-03,20,885,0,1.8301332671555315e-16
2658,2023-05-04,20,885,0,1.8301332671555315e-16
2678,2023-06-01,20,885,0,1.8301332671555315e-16
2698,2023-07-03,20,885,0,1.8301332671555315e-16
2719,2023-08-01,20,885,0,1.8301332671555315e-16
2742,2023-09-01,20,885,0,1.8301332671555315e-16
2762,2023-10-09,20,885,0,1.8301332671555315e-16
2779,2023-11-01,20,885,0,1.8301332671555315e-16
2801,2023-12-01,20,885,0,1.8301332671555315e-16
2822,2024-01-02,20,885,0,1.8301332671555315e-16
2844,2024-02-01,20,885,0,1.8301332671555315e-16
2859,2024-03-01,20,885,0,1.8301332671555315e-16
2880,2024-04-01,20,885,0,1.8301332671555315e-16
2900,2024-05-06,20,885,0,1.8301332671555315e-16
2920,2024-06-03,20,885,0,2.480654570646834e-16
2939,2024-07-01,20,885,0,2.480654570646834e-16
2962,2024-08-01,20,915,0,1.3183898417423734e-16
2984,2024-09-02,20,915,0,1.3183898417423734e-16
3003,2024-10-08,20,896,0,2.393918396847994e-16
3021,2024-11-01,20,842,0,7.979727989493313e-17
3042,2024-12-02,20,842,0,7.979727989493313e-17
3064,2025-01-02,20,842,0,7.979727989493313e-17
3082,2025-02-05,20,842,0,7.979727989493313e-17
3100,2025-03-03,20,842,0,7.979727989493313e-17
3121,2025-04-01,20,842,0,7.979727989493313e-17
3142,2025-05-06,20,842,0,7.979727989493313e-17
3161,2025-06-03,20,842,0,7.979727989493313e-17
3181,2025-07-01,20,842,0,7.979727989493313e-17
3204,2025-08-01,20,842,0,3.382710778154774e-16
3225,2025-09-01,20,842,0,3.382710778154774e-16
3247,2025-10-09,20,842,0,3.382710778154774e-16
3264,2025-11-03,20,842,0,3.4867941867133823e-16
3284,2025-12-01,20,842,0,3.4867941867133823e-16
3307,2026-01-05,20,842,0,3.4867941867133823e-16
3327,2026-02-02,20,842,0,3.5908775952719907e-16
3341,2026-03-02,20,795,0,1.7433970933566911e-16
3363,2026-04-01,20,795,0,1.7433970933566911e-16
3384,2026-05-06,20,795,0,1.7433970933566911e-16
3402,2026-06-01,20,795,0,1.7433970933566911e-16
3423,2026-07-01,20,795,0,1.7433970933566911e-16
3446,2026-08-03,20,790,0,3.200564813177209e-16
