period,cost,episode_id,parent,first_origin,last_origin,ended_by_explicit_zero,right_censored_at_terminal,positive_target_origins,unknown_target_origins
evaluation,STRESS,21,VINTAGE_REFERENCE_RISK,2026-04-30,2026-05-12,True,False,5,0
evaluation,STRESS,22,VINTAGE_REFERENCE_RISK,2026-06-04,2026-06-18,True,False,10,0
evaluation,STRESS,23,MODEL_SUPPORT_REFERENCE_ROUTER,2026-07-22,2026-07-30,True,False,6,0
evaluation,STRESS,24,MODEL_SUPPORT_REFERENCE_ROUTER,2026-08-06,2026-08-13,False,True,6,0
earlier_diagnostic,BASE,1,VINTAGE_REFERENCE_RISK,2014-12-31,2015-01-19,True,False,11,0
earlier_diagnostic,BASE,2,VINTAGE_REFERENCE_RISK,2015-02-10,2015-05-14,True,False,60,0
earlier_diagnostic,BASE,3,VINTAGE_REFERENCE_RISK,2015-06-02,2015-06-19,True,False,13,0
earlier_diagnostic,BASE,4,MODEL_SUPPORT_REFERENCE_ROUTER,2015-09-28,2015-12-28,True,False,60,0
earlier_diagnostic,BASE,5,MODEL_SUPPORT_REFERENCE_ROUTER,2016-04-29,2016-07-27,True,False,60,0
earlier_diagnostic,BASE,6,MODEL_SUPPORT_REFERENCE_ROUTER,2017-05-17,2017-08-11,True,False,60,0
earlier_diagnostic,BASE,7,MODEL_SUPPORT_REFERENCE_ROUTER,2018-02-12,2018-03-05,True,False,10,0
earlier_diagnostic,BASE,8,MODEL_SUPPORT_REFERENCE_ROUTER,2018-10-08,2018-10-18,True,False,8,0
earlier_diagnostic,BASE,9,VINTAGE_REFERENCE_RISK,2019-02-27,2019-03-05,True,False,4,0
earlier_diagnostic,BASE,10,VINTAGE_REFERENCE_RISK,2019-05-30,2019-06-24,True,False,16,0
earlier_diagnostic,STRESS,1,VINTAGE_REFERENCE_RISK,2014-12-31,2015-01-19,True,False,11,0
earlier_diagnostic,STRESS,2,VINTAGE_REFERENCE_RISK,2015-02-10,2015-05-14,True,False,60,0
earlier_diagnostic,STRESS,3,VINTAGE_REFERENCE_RISK,2015-06-02,2015-06-19,True,False,13,0
earlier_diagnostic,STRESS,4,MODEL_SUPPORT_REFERENCE_ROUTER,2015-09-28,2015-12-28,True,False,60,0
earlier_diagnostic,STRESS,5,MODEL_SUPPORT_REFERENCE_ROUTER,2016-04-29,2016-07-27,True,False,60,0
earlier_diagnostic,STRESS,6,MODEL_SUPPORT_REFERENCE_ROUTER,2017-05-17,2017-08-11,True,False,60,0
earlier_diagnostic,STRESS,7,MODEL_SUPPORT_REFERENCE_ROUTER,2018-02-12,2018-03-05,True,False,10,0
earlier_diagnostic,STRESS,8,MODEL_SUPPORT_REFERENCE_ROUTER,2018-10-08,2018-10-18,True,False,8,0
earlier_diagnostic,STRESS,9,VINTAGE_REFERENCE_RISK,2019-02-27,2019-03-05,True,False,4,0
earlier_diagnostic,STRESS,10,VINTAGE_REFERENCE_RISK,2019-05-30,2019-07-02,True,False,22,0
