拟合收盘,当前状态,下一日状态,发生次数,当前状态总次数
2015-12-01,1,0,25,112
2015-12-01,1,1,83,112
2015-12-01,1,2,0,112
2015-12-01,1,3,4,112
2015-12-01,2,0,2,90
2015-12-01,2,1,0,90
2015-12-01,2,2,67,90
2015-12-01,2,3,21,90
2015-12-01,3,0,1,177
2015-12-01,3,1,2,177
2015-12-01,3,2,23,177
2015-12-01,3,3,151,177
2016-01-04,0,0,97,126
2016-01-04,0,1,27,126
2016-01-04,0,2,0,126
2016-01-04,0,3,2,126
2016-01-04,1,0,26,116
2016-01-04,1,1,86,116
2016-01-04,1,2,0,116
2016-01-04,1,3,4,116
2016-01-04,2,0,3,91
2016-01-04,2,1,0,91
2016-01-04,2,2,68,91
2016-01-04,2,3,20,91
2016-01-04,3,0,1,171
2016-01-04,3,1,3,171
2016-01-04,3,2,22,171
2016-01-04,3,3,145,171
2016-02-01,0,0,106,135
2016-02-01,0,1,27,135
2016-02-01,0,2,0,135
2016-02-01,0,3,2,135
2016-02-01,1,0,26,113
2016-02-01,1,1,83,113
2016-02-01,1,2,0,113
2016-02-01,1,3,4,113
2016-02-01,2,0,2,85
2016-02-01,2,1,0,85
2016-02-01,2,2,63,85
2016-02-01,2,3,20,85
2016-02-01,3,0,1,171
2016-02-01,3,1,3,171
2016-02-01,3,2,22,171
2016-02-01,3,3,145,171
2016-03-01,0,0,99,128
2016-03-01,0,1,27,128
2016-03-01,0,2,0,128
2016-03-01,0,3,2,128
2016-03-01,1,0,26,120
2016-03-01,1,1,90,120
2016-03-01,1,2,0,120
2016-03-01,1,3,4,120
2016-03-01,2,0,2,85
2016-03-01,2,1,0,85
2016-03-01,2,2,63,85
2016-03-01,2,3,20,85
2016-03-01,3,0,1,171
2016-03-01,3,1,3,171
2016-03-01,3,2,22,171
2016-03-01,3,3,145,171
2016-04-01,0,0,97,126
2016-04-01,0,1,27,126
2016-04-01,0,2,0,126
2016-04-01,0,3,2,126
2016-04-01,1,0,25,122
2016-04-01,1,1,93,122
2016-04-01,1,2,0,122
2016-04-01,1,3,4,122
2016-04-01,2,0,2,85
2016-04-01,2,1,0,85
2016-04-01,2,2,63,85
2016-04-01,2,3,20,85
2016-04-01,3,0,1,171
2016-04-01,3,1,3,171
2016-04-01,3,2,22,171
2016-04-01,3,3,145,171
2016-05-03,0,0,101,130
2016-05-03,0,1,27,130
2016-05-03,0,2,0,130
2016-05-03,0,3,2,130
2016-05-03,1,0,26,118
2016-05-03,1,1,88,118
2016-05-03,1,2,0,118
2016-05-03,1,3,4,118
2016-05-03,2,0,2,85
2016-05-03,2,1,0,85
2016-05-03,2,2,63,85
2016-05-03,2,3,20,85
2016-05-03,3,0,1,171
2016-05-03,3,1,3,171
2016-05-03,3,2,22,171
2016-05-03,3,3,145,171
2016-06-01,0,0,96,127
2016-06-01,0,1,29,127
2016-06-01,0,2,0,127
2016-06-01,0,3,2,127
2016-06-01,1,0,28,121
2016-06-01,1,1,89,121
2016-06-01,1,2,0,121
2016-06-01,1,3,4,121
2016-06-01,2,0,2,85
2016-06-01,2,1,0,85
2016-06-01,2,2,63,85
2016-06-01,2,3,20,85
2016-06-01,3,0,1,171
2016-06-01,3,1,3,171
2016-06-01,3,2,22,171
2016-06-01,3,3,145,171
2016-07-01,0,0,93,124
2016-07-01,0,1,29,124
2016-07-01,0,2,0,124
2016-07-01,0,3,2,124
2016-07-01,1,0,28,121
2016-07-01,1,1,88,121
2016-07-01,1,2,0,121
2016-07-01,1,3,5,121
2016-07-01,2,0,2,85
2016-07-01,2,1,0,85
2016-07-01,2,2,63,85
2016-07-01,2,3,20,85
2016-07-01,3,0,1,174
2016-07-01,3,1,3,174
2016-07-01,3,2,22,174
2016-07-01,3,3,148,174
2016-08-01,0,0,88,118
2016-08-01,0,1,28,118
2016-08-01,0,2,0,118
2016-08-01,0,3,2,118
2016-08-01,1,0,27,111
2016-08-01,1,1,80,111
2016-08-01,1,2,0,111
2016-08-01,1,3,4,111
2016-08-01,2,0,2,93
2016-08-01,2,1,0,93
2016-08-01,2,2,70,93
2016-08-01,2,3,21,93
2016-08-01,3,0,0,182
2016-08-01,3,1,3,182
2016-08-01,3,2,24,182
2016-08-01,3,3,155,182
2016-09-01,0,0,87,116
2016-09-01,0,1,28,116
2016-09-01,0,2,0,116
2016-09-01,0,3,1,116
2016-09-01,1,0,27,111
2016-09-01,1,1,80,111
2016-09-01,1,2,0,111
2016-09-01,1,3,4,111
2016-09-01,2,0,2,101
2016-09-01,2,1,0,101
2016-09-01,2,2,78,101
2016-09-01,2,3,21,101
2016-09-01,3,0,0,176
2016-09-01,3,1,3,176
2016-09-01,3,2,23,176
2016-09-01,3,3,150,176
2016-10-10,0,0,87,116
2016-10-10,0,1,28,116
2016-10-10,0,2,0,116
2016-10-10,0,3,1,116
2016-10-10,1,0,27,111
2016-10-10,1,1,80,111
2016-10-10,1,2,0,111
2016-10-10,1,3,4,111
2016-10-10,2,0,2,106
2016-10-10,2,1,0,106
2016-10-10,2,2,82,106
2016-10-10,2,3,22,106
2016-10-10,3,0,0,171
2016-10-10,3,1,3,171
2016-10-10,3,2,24,171
2016-10-10,3,3,144,171
2016-11-01,0,0,87,116
2016-11-01,0,1,28,116
2016-11-01,0,2,0,116
2016-11-01,0,3,1,116
2016-11-01,1,0,27,111
2016-11-01,1,1,80,111
2016-11-01,1,2,0,111
2016-11-01,1,3,4,111
2016-11-01,2,0,2,102
2016-11-01,2,1,0,102
2016-11-01,2,2,78,102
2016-11-01,2,3,22,102
2016-11-01,3,0,0,175
2016-11-01,3,1,3,175
2016-11-01,3,2,25,175
2016-11-01,3,3,147,175
2016-12-01,0,0,87,116
2016-12-01,0,1,28,116
2016-12-01,0,2,0,116
2016-12-01,0,3,1,116
2016-12-01,1,0,27,111
2016-12-01,1,1,80,111
2016-12-01,1,2,0,111
2016-12-01,1,3,4,111
2016-12-01,2,0,2,93
2016-12-01,2,1,0,93
2016-12-01,2,2,69,93
2016-12-01,2,3,22,93
2016-12-01,3,0,0,184
2016-12-01,3,1,3,184
2016-12-01,3,2,24,184
2016-12-01,3,3,157,184
2017-01-03,0,0,90,122
2017-01-03,0,1,29,122
2017-01-03,0,2,1,122
2017-01-03,0,3,2,122
2017-01-03,1,0,28,112
2017-01-03,1,1,80,112
2017-01-03,1,2,0,112
2017-01-03,1,3,4,112
2017-01-03,2,0,4,102
2017-01-03,2,1,0,102
2017-01-03,2,2,77,102
2017-01-03,2,3,21,102
2017-01-03,3,0,0,168
2017-01-03,3,1,3,168
2017-01-03,3,2,24,168
2017-01-03,3,3,141,168
2017-02-03,0,0,94,127
2017-02-03,0,1,29,127
2017-02-03,0,2,1,127
2017-02-03,0,3,3,127
2017-02-03,1,0,28,113
2017-02-03,1,1,80,113
2017-02-03,1,2,0,113
2017-02-03,1,3,5,113
2017-02-03,2,0,4,99
2017-02-03,2,1,0,99
2017-02-03,2,2,76,99
2017-02-03,2,3,19,99
2017-02-03,3,0,1,165
2017-02-03,3,1,4,165
2017-02-03,3,2,22,165
2017-02-03,3,3,138,165
2017-03-01,0,0,94,127
2017-03-01,0,1,29,127
2017-03-01,0,2,1,127
2017-03-01,0,3,3,127
2017-03-01,1,0,28,113
2017-03-01,1,1,80,113
2017-03-01,1,2,0,113
2017-03-01,1,3,5,113
2017-03-01,2,0,4,91
2017-03-01,2,1,0,91
2017-03-01,2,2,70,91
2017-03-01,2,3,17,91
2017-03-01,3,0,1,173
2017-03-01,3,1,4,173
2017-03-01,3,2,20,173
2017-03-01,3,3,148,173
2017-04-05,0,0,94,127
2017-04-05,0,1,29,127
2017-04-05,0,2,1,127
2017-04-05,0,3,3,127
2017-04-05,1,0,28,113
2017-04-05,1,1,80,113
2017-04-05,1,2,0,113
2017-04-05,1,3,5,113
2017-04-05,2,0,4,89
2017-04-05,2,1,0,89
2017-04-05,2,2,67,89
2017-04-05,2,3,18,89
2017-04-05,3,0,1,175
2017-04-05,3,1,4,175
2017-04-05,3,2,21,175
2017-04-05,3,3,149,175
2017-05-02,0,0,94,127
2017-05-02,0,1,29,127
2017-05-02,0,2,1,127
2017-05-02,0,3,3,127
2017-05-02,1,0,28,113
2017-05-02,1,1,80,113
2017-05-02,1,2,0,113
2017-05-02,1,3,5,113
2017-05-02,2,0,4,100
2017-05-02,2,1,0,100
2017-05-02,2,2,75,100
2017-05-02,2,3,21,100
2017-05-02,3,0,1,164
2017-05-02,3,1,4,164
2017-05-02,3,2,24,164
2017-05-02,3,3,135,164
2017-06-01,0,0,100,134
2017-06-01,0,1,30,134
2017-06-01,0,2,1,134
2017-06-01,0,3,3,134
2017-06-01,1,0,28,119
2017-06-01,1,1,84,119
2017-06-01,1,2,1,119
2017-06-01,1,3,6,119
2017-06-01,2,0,4,99
2017-06-01,2,1,0,99
2017-06-01,2,2,73,99
2017-06-01,2,3,22,99
2017-06-01,3,0,2,152
2017-06-01,3,1,5,152
2017-06-01,3,2,23,152
2017-06-01,3,3,122,152
2017-07-03,0,0,100,134
2017-07-03,0,1,30,134
2017-07-03,0,2,1,134
2017-07-03,0,3,3,134
2017-07-03,1,0,28,119
2017-07-03,1,1,84,119
2017-07-03,1,2,1,119
2017-07-03,1,3,6,119
2017-07-03,2,0,4,94
2017-07-03,2,1,0,94
2017-07-03,2,2,69,94
2017-07-03,2,3,21,94
2017-07-03,3,0,2,157
2017-07-03,3,1,5,157
2017-07-03,3,2,24,157
2017-07-03,3,3,126,157
2017-08-01,0,0,96,130
2017-08-01,0,1,30,130
2017-08-01,0,2,1,130
2017-08-01,0,3,3,130
2017-08-01,1,0,28,119
2017-08-01,1,1,84,119
2017-08-01,1,2,1,119
2017-08-01,1,3,6,119
2017-08-01,2,0,3,91
2017-08-01,2,1,0,91
2017-08-01,2,2,63,91
2017-08-01,2,3,25,91
2017-08-01,3,0,2,164
2017-08-01,3,1,5,164
2017-08-01,3,2,26,164
2017-08-01,3,3,131,164
2017-09-01,0,0,91,121
2017-09-01,0,1,26,121
2017-09-01,0,2,1,121
2017-09-01,0,3,3,121
2017-09-01,1,0,25,107
2017-09-01,1,1,77,107
2017-09-01,1,2,1,107
2017-09-01,1,3,4,107
2017-09-01,2,0,3,100
2017-09-01,2,1,0,100
2017-09-01,2,2,71,100
2017-09-01,2,3,26,100
2017-09-01,3,0,2,176
2017-09-01,3,1,3,176
2017-09-01,3,2,27,176
2017-09-01,3,3,144,176
2017-10-09,0,0,82,110
2017-10-09,0,1,24,110
2017-10-09,0,2,1,110
2017-10-09,0,3,3,110
2017-10-09,1,0,22,97
2017-10-09,1,1,70,97
2017-10-09,1,2,1,97
2017-10-09,1,3,4,97
2017-10-09,2,0,3,110
2017-10-09,2,1,0,110
2017-10-09,2,2,78,110
2017-10-09,2,3,29,110
2017-10-09,3,0,2,187
2017-10-09,3,1,3,187
2017-10-09,3,2,30,187
2017-10-09,3,3,152,187
2017-11-01,0,0,75,99
2017-11-01,0,1,20,99
2017-11-01,0,2,1,99
2017-11-01,0,3,3,99
2017-11-01,1,0,19,91
2017-11-01,1,1,67,91
2017-11-01,1,2,1,91
2017-11-01,1,3,4,91
2017-11-01,2,0,3,111
2017-11-01,2,1,0,111
2017-11-01,2,2,78,111
2017-11-01,2,3,30,111
2017-11-01,3,0,2,203
2017-11-01,3,1,3,203
2017-11-01,3,2,31,203
2017-11-01,3,3,167,203
2017-12-01,0,0,73,96
2017-12-01,0,1,19,96
2017-12-01,0,2,1,96
2017-12-01,0,3,3,96
2017-12-01,1,0,18,72
2017-12-01,1,1,49,72
2017-12-01,1,2,1,72
2017-12-01,1,3,4,72
2017-12-01,2,0,3,120
2017-12-01,2,1,0,120
2017-12-01,2,2,85,120
2017-12-01,2,3,32,120
2017-12-01,3,0,2,216
2017-12-01,3,1,3,216
2017-12-01,3,2,34,216
2017-12-01,3,3,177,216
2018-01-02,0,0,62,82
2018-01-02,0,1,16,82
2018-01-02,0,2,1,82
2018-01-02,0,3,3,82
2018-01-02,1,0,14,65
2018-01-02,1,1,46,65
2018-01-02,1,2,1,65
2018-01-02,1,3,4,65
2018-01-02,2,0,3,132
2018-01-02,2,1,0,132
2018-01-02,2,2,92,132
2018-01-02,2,3,37,132
2018-01-02,3,0,2,225
2018-01-02,3,1,3,225
2018-01-02,3,2,38,225
2018-01-02,3,3,182,225
2018-02-01,0,0,55,74
2018-02-01,0,1,16,74
2018-02-01,0,2,1,74
2018-02-01,0,3,2,74
2018-02-01,1,0,14,63
2018-02-01,1,1,45,63
2018-02-01,1,2,1,63
2018-02-01,1,3,3,63
2018-02-01,2,0,2,131
2018-02-01,2,1,0,131
2018-02-01,2,2,92,131
2018-02-01,2,3,37,131
2018-02-01,3,0,2,236
2018-02-01,3,1,2,236
2018-02-01,3,2,38,236
2018-02-01,3,3,194,236
2018-03-01,0,0,48,66
2018-03-01,0,1,14,66
2018-03-01,0,2,1,66
2018-03-01,0,3,3,66
2018-03-01,1,0,13,62
2018-03-01,1,1,44,62
2018-03-01,1,2,1,62
2018-03-01,1,3,4,62
2018-03-01,2,0,3,136
2018-03-01,2,1,0,136
2018-03-01,2,2,96,136
2018-03-01,2,3,37,136
2018-03-01,3,0,2,240
2018-03-01,3,1,3,240
2018-03-01,3,2,38,240
2018-03-01,3,3,197,240
2018-04-02,0,0,50,70
2018-04-02,0,1,14,70
2018-04-02,0,2,2,70
2018-04-02,0,3,4,70
2018-04-02,1,0,11,48
2018-04-02,1,1,31,48
2018-04-02,1,2,1,48
2018-04-02,1,3,5,48
2018-04-02,2,0,4,138
2018-04-02,2,1,0,138
2018-04-02,2,2,97,138
2018-04-02,2,3,37,138
2018-04-02,3,0,4,248
2018-04-02,3,1,4,248
2018-04-02,3,2,38,248
2018-04-02,3,3,202,248
2018-05-02,0,0,50,72
2018-05-02,0,1,16,72
2018-05-02,0,2,2,72
2018-05-02,0,3,4,72
2018-05-02,1,0,15,46
2018-05-02,1,1,25,46
2018-05-02,1,2,1,46
2018-05-02,1,3,5,46
2018-05-02,2,0,4,138
2018-05-02,2,1,0,138
2018-05-02,2,2,97,138
2018-05-02,2,3,37,138
2018-05-02,3,0,4,248
2018-05-02,3,1,4,248
2018-05-02,3,2,38,248
2018-05-02,3,3,202,248
2018-06-01,0,0,51,72
2018-06-01,0,1,15,72
2018-06-01,0,2,2,72
2018-06-01,0,3,4,72
2018-06-01,1,0,13,46
2018-06-01,1,1,27,46
2018-06-01,1,2,1,46
2018-06-01,1,3,5,46
2018-06-01,2,0,4,138
2018-06-01,2,1,0,138
2018-06-01,2,2,97,138
2018-06-01,2,3,37,138
2018-06-01,3,0,4,248
2018-06-01,3,1,4,248
2018-06-01,3,2,38,248
2018-06-01,3,3,202,248
2018-07-02,0,0,58,76
2018-07-02,0,1,12,76
2018-07-02,0,2,2,76
2018-07-02,0,3,4,76
2018-07-02,1,0,11,42
2018-07-02,1,1,25,42
2018-07-02,1,2,1,42
2018-07-02,1,3,5,42
2018-07-02,2,0,4,138
2018-07-02,2,1,0,138
2018-07-02,2,2,97,138
2018-07-02,2,3,37,138
2018-07-02,3,0,4,248
2018-07-02,3,1,4,248
2018-07-02,3,2,38,248
2018-07-02,3,3,202,248
2018-08-01,0,0,60,79
2018-08-01,0,1,13,79
2018-08-01,0,2,2,79
2018-08-01,0,3,4,79
2018-08-01,1,0,12,47
2018-08-01,1,1,30,47
2018-08-01,1,2,1,47
2018-08-01,1,3,4,47
2018-08-01,2,0,4,138
2018-08-01,2,1,0,138
2018-08-01,2,2,97,138
2018-08-01,2,3,37,138
2018-08-01,3,0,4,240
2018-08-01,3,1,4,240
2018-08-01,3,2,38,240
2018-08-01,3,3,194,240
2018-09-03,0,0,69,90
2018-09-03,0,1,15,90
2018-09-03,0,2,2,90
2018-09-03,0,3,4,90
2018-09-03,1,0,14,59
2018-09-03,1,1,40,59
2018-09-03,1,2,1,59
2018-09-03,1,3,4,59
2018-09-03,2,0,4,126
2018-09-03,2,1,0,126
2018-09-03,2,2,87,126
2018-09-03,2,3,35,126
2018-09-03,3,0,4,229
2018-09-03,3,1,4,229
2018-09-03,3,2,36,229
2018-09-03,3,3,185,229
2018-10-08,0,0,79,101
2018-10-08,0,1,16,101
2018-10-08,0,2,2,101
2018-10-08,0,3,4,101
2018-10-08,1,0,15,67
2018-10-08,1,1,47,67
2018-10-08,1,2,1,67
2018-10-08,1,3,4,67
2018-10-08,2,0,4,118
2018-10-08,2,1,0,118
2018-10-08,2,2,81,118
2018-10-08,2,3,33,118
2018-10-08,3,0,4,218
2018-10-08,3,1,4,218
2018-10-08,3,2,34,218
2018-10-08,3,3,176,218
2018-11-01,0,0,91,114
2018-11-01,0,1,17,114
2018-11-01,0,2,2,114
2018-11-01,0,3,4,114
2018-11-01,1,0,16,72
2018-11-01,1,1,51,72
2018-11-01,1,2,1,72
2018-11-01,1,3,4,72
2018-11-01,2,0,4,108
2018-11-01,2,1,0,108
2018-11-01,2,2,73,108
2018-11-01,2,3,31,108
2018-11-01,3,0,4,210
2018-11-01,3,1,4,210
2018-11-01,3,2,32,210
2018-11-01,3,3,170,210
2018-12-03,0,0,99,126
2018-12-03,0,1,21,126
2018-12-03,0,2,2,126
2018-12-03,0,3,4,126
2018-12-03,1,0,19,82
2018-12-03,1,1,58,82
2018-12-03,1,2,1,82
2018-12-03,1,3,4,82
2018-12-03,2,0,4,104
2018-12-03,2,1,0,104
2018-12-03,2,2,71,104
2018-12-03,2,3,29,104
2018-12-03,3,0,4,192
2018-12-03,3,1,4,192
2018-12-03,3,2,30,192
2018-12-03,3,3,154,192
2019-01-02,0,0,110,139
2019-01-02,0,1,23,139
2019-01-02,0,2,2,139
2019-01-02,0,3,4,139
2019-01-02,1,0,22,89
2019-01-02,1,1,62,89
2019-01-02,1,2,1,89
2019-01-02,1,3,4,89
2019-01-02,2,0,4,100
2019-01-02,2,1,0,100
2019-01-02,2,2,68,100
2019-01-02,2,3,28,100
2019-01-02,3,0,4,176
2019-01-02,3,1,4,176
2019-01-02,3,2,28,176
2019-01-02,3,3,140,176
2019-02-01,0,0,108,136
2019-02-01,0,1,24,136
2019-02-01,0,2,1,136
2019-02-01,0,3,3,136
2019-02-01,1,0,22,107
2019-02-01,1,1,79,107
2019-02-01,1,2,1,107
2019-02-01,1,3,5,107
2019-02-01,2,0,2,90
2019-02-01,2,1,0,90
2019-02-01,2,2,60,90
2019-02-01,2,3,28,90
2019-02-01,3,0,4,171
2019-02-01,3,1,4,171
2019-02-01,3,2,28,171
2019-02-01,3,3,135,171
2019-03-01,0,0,104,131
2019-03-01,0,1,24,131
2019-03-01,0,2,1,131
2019-03-01,0,3,2,131
2019-03-01,1,0,22,106
2019-03-01,1,1,79,106
2019-03-01,1,2,1,106
2019-03-01,1,3,4,106
2019-03-01,2,0,2,90
2019-03-01,2,1,0,90
2019-03-01,2,2,60,90
2019-03-01,2,3,28,90
2019-03-01,3,0,3,177
2019-03-01,3,1,3,177
2019-03-01,3,2,27,177
2019-03-01,3,3,144,177
2019-04-01,0,0,104,131
2019-04-01,0,1,24,131
2019-04-01,0,2,1,131
2019-04-01,0,3,2,131
2019-04-01,1,0,22,106
2019-04-01,1,1,79,106
2019-04-01,1,2,1,106
2019-04-01,1,3,4,106
2019-04-01,2,0,2,93
2019-04-01,2,1,0,93
2019-04-01,2,2,63,93
2019-04-01,2,3,28,93
2019-04-01,3,0,3,174
2019-04-01,3,1,3,174
2019-04-01,3,2,28,174
2019-04-01,3,3,140,174
2019-05-06,0,0,104,131
2019-05-06,0,1,24,131
2019-05-06,0,2,1,131
2019-05-06,0,3,2,131
2019-05-06,1,0,22,106
2019-05-06,1,1,79,106
2019-05-06,1,2,1,106
2019-05-06,1,3,4,106
2019-05-06,2,0,2,95
2019-05-06,2,1,0,95
2019-05-06,2,2,68,95
2019-05-06,2,3,25,95
2019-05-06,3,0,3,172
2019-05-06,3,1,3,172
2019-05-06,3,2,26,172
2019-05-06,3,3,140,172
2019-06-03,0,0,100,127
2019-06-03,0,1,24,127
2019-06-03,0,2,1,127
2019-06-03,0,3,2,127
2019-06-03,1,0,22,106
2019-06-03,1,1,79,106
2019-06-03,1,2,1,106
2019-06-03,1,3,4,106
2019-06-03,2,0,2,97
2019-06-03,2,1,0,97
2019-06-03,2,2,69,97
2019-06-03,2,3,26,97
2019-06-03,3,0,2,174
2019-06-03,3,1,3,174
2019-06-03,3,2,26,174
2019-06-03,3,3,143,174
2019-07-01,0,0,98,124
2019-07-01,0,1,23,124
2019-07-01,0,2,1,124
2019-07-01,0,3,2,124
2019-07-01,1,0,22,100
2019-07-01,1,1,75,100
2019-07-01,1,2,0,100
2019-07-01,1,3,3,100
2019-07-01,2,0,2,100
2019-07-01,2,1,0,100
2019-07-01,2,2,72,100
2019-07-01,2,3,26,100
2019-07-01,3,0,2,180
2019-07-01,3,1,2,180
2019-07-01,3,2,27,180
2019-07-01,3,3,149,180
2019-08-01,0,0,98,124
2019-08-01,0,1,23,124
2019-08-01,0,2,1,124
2019-08-01,0,3,2,124
2019-08-01,1,0,22,100
2019-08-01,1,1,75,100
2019-08-01,1,2,0,100
2019-08-01,1,3,3,100
2019-08-01,2,0,2,100
2019-08-01,2,1,0,100
2019-08-01,2,2,72,100
2019-08-01,2,3,26,100
2019-08-01,3,0,2,180
2019-08-01,3,1,2,180
2019-08-01,3,2,28,180
2019-08-01,3,3,148,180
2019-09-02,0,0,102,129
2019-09-02,0,1,24,129
2019-09-02,0,2,1,129
2019-09-02,0,3,2,129
2019-09-02,1,0,22,105
2019-09-02,1,1,79,105
2019-09-02,1,2,0,105
2019-09-02,1,3,4,105
2019-09-02,2,0,3,96
2019-09-02,2,1,0,96
2019-09-02,2,2,67,96
2019-09-02,2,3,26,96
2019-09-02,3,0,2,174
2019-09-02,3,1,2,174
2019-09-02,3,2,27,174
2019-09-02,3,3,143,174
2019-10-08,0,0,102,129
