period,date,panic_budget,learned_budget,panic_sd,learned_sd,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,panic_state,learned_state,target,panic_active_days,learned_active_days,panic_active_exposure,learned_active_exposure,panic_reference_return,learned_reference_return
evaluation,2021-04-01,0.6286203320481649,0.371379667951835,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2021-04-01,2021-02-01,2020-04-03,242,0.0,0.0,0.0,0,55,0.0,0.0,0.0,0.0
evaluation,2021-05-06,0.6286203320481649,0.371379667951835,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2021-05-06,2021-02-01,2020-05-08,242,0.0,0.0,0.0,0,55,0.0,0.0,0.0,0.0
evaluation,2021-06-01,0.6286203320481649,0.371379667951835,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2021-06-01,2021-02-01,2020-06-03,242,0.0,0.0,0.0,0,55,0.0,0.0,0.0,0.0
evaluation,2021-07-01,0.6286203320481649,0.371379667951835,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2021-07-01,2021-02-01,2020-07-06,242,0.0,1.0,0.371379667951835,0,69,0.0,1.0,0.0,-0.00038009622734525017
evaluation,2021-08-02,0.42684641431345033,0.5731535856865496,0.016573154361553193,0.01234257568958329,RISK_BUDGET_AVAILABLE,True,2021-08-02,2021-08-02,2020-08-05,242,1.0,0.0,0.42684641431345033,3,75,1.0,0.0,0.024801042554067898,0.0
evaluation,2021-09-01,0.5588507281554806,0.44114927184451946,0.009942312661654905,0.01259498547347387,RISK_BUDGET_AVAILABLE,True,2021-09-01,2021-09-01,2020-09-04,242,0.0,0.0,0.0,10,63,0.0,0.0,0.0,0.0
evaluation,2021-10-08,0.5570202711556447,0.44297972884435544,0.009942312661654905,0.01250185806279876,RISK_BUDGET_AVAILABLE,True,2021-10-08,2021-10-08,2020-10-12,242,0.0,0.0,0.0,10,57,0.0,0.0,0.0,0.0
evaluation,2021-11-01,0.5533757148925407,0.4466242851074593,0.009942312661654905,0.012318708499034443,RISK_BUDGET_AVAILABLE,True,2021-11-01,2021-11-01,2020-11-03,242,0.0,1.0,0.4466242851074593,10,59,0.0,1.0,0.0,-0.0032073896151796344
evaluation,2021-12-01,0.5279707133735345,0.4720292866264656,0.009942312661654905,0.01112060216871796,RISK_BUDGET_AVAILABLE,True,2021-12-01,2021-12-01,2020-12-03,242,0.0,1.0,0.4720292866264656,10,79,0.0,1.0,0.0,0.002642803631357271
evaluation,2022-01-04,0.5191718193832541,0.4808281806167458,0.009942312661654905,0.01073516229187664,RISK_BUDGET_AVAILABLE,True,2022-01-04,2022-01-04,2021-01-06,242,0.0,0.0,0.0,10,84,0.0,0.0,0.0,0.0
evaluation,2022-02-07,0.5058852344792172,0.4941147655207828,0.009942312661654905,0.010179151733718894,RISK_BUDGET_AVAILABLE,True,2022-02-07,2022-02-07,2021-02-02,242,0.0,0.0,0.0,10,72,0.0,0.0,0.0,0.0
evaluation,2022-03-01,0.4464369997448927,0.5535630002551074,0.009942312661654905,0.008018267538020703,RISK_BUDGET_AVAILABLE,True,2022-03-01,2022-03-01,2021-03-03,242,0.0,0.0,0.0,10,59,0.0,0.0,0.0,0.0
evaluation,2022-04-01,0.4464369997448927,0.5535630002551074,0.009942312661654905,0.008018267538020703,RISK_BUDGET_AVAILABLE,True,2022-04-01,2022-04-01,2021-04-06,242,0.0,0.0,0.0,10,59,0.0,0.0,0.0,0.0
evaluation,2022-05-05,0.4464369997448927,0.5535630002551074,0.009942312661654905,0.008018267538020703,RISK_BUDGET_AVAILABLE,True,2022-05-05,2022-05-05,2021-05-06,242,0.0,0.0,0.0,10,59,0.0,0.0,0.0,0.0
evaluation,2022-06-01,0.4528680979230295,0.5471319020769704,0.009942312661654905,0.008229379802105363,RISK_BUDGET_AVAILABLE,True,2022-06-01,2022-06-01,2021-06-02,242,0.0,0.0,0.0,10,66,0.0,0.0,0.0,0.0
evaluation,2022-07-01,0.45885240218464546,0.5411475978153546,0.009942312661654905,0.008430332254062397,RISK_BUDGET_AVAILABLE,True,2022-07-01,2022-07-01,2021-07-02,242,0.0,0.0,0.0,10,52,0.0,0.0,0.0,0.0
evaluation,2022-08-01,0.4217585811148349,0.5782414188851651,0.010268053460800198,0.0074893280159482965,RISK_BUDGET_AVAILABLE,True,2022-08-01,2022-08-01,2021-08-02,242,0.0,0.0,0.0,8,38,0.0,0.0,0.0,0.0
evaluation,2022-09-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2022-09-01,2022-08-01,2021-09-02,242,0.0,0.0,0.0,0,51,0.0,0.0,0.0,0.0
evaluation,2022-10-10,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2022-10-10,2022-08-01,2021-10-12,242,0.0,0.0,0.0,0,51,0.0,0.0,0.0,0.0
evaluation,2022-11-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2022-11-01,2022-08-01,2021-11-03,242,0.0,0.0,0.0,0,48,0.0,0.0,0.0,0.0
evaluation,2022-12-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2022-12-01,2022-08-01,2021-12-03,242,0.0,0.0,0.0,0,28,0.0,0.0,0.0,0.0
evaluation,2023-01-03,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-01-03,2022-08-01,2022-01-05,242,0.0,0.0,0.0,0,23,0.0,0.0,0.0,0.0
evaluation,2023-02-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-02-01,2022-08-01,2022-01-27,242,0.0,0.0,0.0,0,23,0.0,0.0,0.0,0.0
evaluation,2023-03-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-03-01,2022-08-01,2022-03-03,242,0.0,0.0,0.0,0,23,0.0,0.0,0.0,0.0
evaluation,2023-04-03,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-04-03,2022-08-01,2022-04-07,242,0.0,0.0,0.0,0,23,0.0,0.0,0.0,0.0
evaluation,2023-05-04,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-05-04,2022-08-01,2022-05-09,242,0.0,0.0,0.0,0,23,0.0,0.0,0.0,0.0
evaluation,2023-06-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-06-01,2022-08-01,2022-06-07,242,0.0,0.0,0.0,0,16,0.0,0.0,0.0,0.0
evaluation,2023-07-03,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-07-03,2022-08-01,2022-07-05,242,0.0,0.0,0.0,0,13,0.0,0.0,0.0,0.0
evaluation,2023-08-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-08-01,2022-08-01,2022-08-03,242,0.0,0.0,0.0,0,13,0.0,0.0,0.0,0.0
evaluation,2023-09-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-09-01,2022-08-01,2022-09-05,242,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
evaluation,2023-10-09,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-10-09,2022-08-01,2022-10-11,242,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
evaluation,2023-11-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-11-01,2022-08-01,2022-11-03,242,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
evaluation,2023-12-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2023-12-01,2022-08-01,2022-12-05,242,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
evaluation,2024-01-02,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-01-02,2022-08-01,2023-01-04,242,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
evaluation,2024-02-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-02-01,2022-08-01,2023-02-10,242,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
evaluation,2024-03-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-03-01,2022-08-01,2023-03-03,242,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0
evaluation,2024-04-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-04-01,2022-08-01,2023-04-03,242,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0
evaluation,2024-05-06,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-05-06,2022-08-01,2023-05-05,242,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0
evaluation,2024-06-03,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-06-03,2022-08-01,2023-06-02,242,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0
evaluation,2024-07-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-07-01,2022-08-01,2023-07-03,242,0.0,1.0,0.5782414188851651,0,15,0.0,1.0,0.0,0.004014276588118371
evaluation,2024-08-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-08-01,2022-08-01,2023-08-03,242,0.0,1.0,0.5782414188851651,0,28,0.0,0.0,0.0,0.0
evaluation,2024-09-02,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-09-02,2022-08-01,2023-09-04,242,0.0,1.0,0.5782414188851651,0,35,0.0,1.0,0.0,-0.017643307370088124
evaluation,2024-10-08,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-10-08,2022-08-01,2023-10-09,242,0.0,0.0,0.0,0,47,0.0,0.0,0.0,0.0
evaluation,2024-11-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-11-01,2022-08-01,2023-11-02,242,0.0,0.0,0.0,0,47,0.0,0.0,0.0,0.0
evaluation,2024-12-02,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2024-12-02,2022-08-01,2023-12-01,242,0.0,0.0,0.0,0,47,0.0,0.0,0.0,0.0
evaluation,2025-01-02,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2025-01-02,2022-08-01,2024-01-03,242,0.0,0.0,0.0,0,47,0.0,0.0,0.0,0.0
evaluation,2025-02-05,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2025-02-05,2022-08-01,2024-01-29,242,0.0,0.0,0.0,0,47,0.0,0.0,0.0,0.0
evaluation,2025-03-03,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2025-03-03,2022-08-01,2024-03-01,242,0.0,0.0,0.0,0,42,0.0,0.0,0.0,0.0
evaluation,2025-04-01,0.4217585811148349,0.5782414188851651,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2025-04-01,2022-08-01,2024-04-01,242,0.0,0.0,0.0,0,42,0.0,0.0,0.0,0.0
evaluation,2025-05-06,0.6733433037709416,0.3266566962290583,0.006420270830188155,0.013234219355698408,RISK_BUDGET_AVAILABLE,True,2025-05-06,2025-05-06,2024-05-07,242,0.0,0.0,0.0,11,52,0.0,0.0,0.0,0.0
evaluation,2025-06-03,0.6712042105336499,0.32879578946635013,0.006420270830188155,0.013106350361064124,RISK_BUDGET_AVAILABLE,True,2025-06-03,2025-06-03,2024-06-03,242,0.0,1.0,0.32879578946635013,11,53,0.0,1.0,0.0,0.0020716086281438173
evaluation,2025-07-01,0.6675995914833198,0.33240040851668023,0.006420270830188155,0.012894599626314243,RISK_BUDGET_AVAILABLE,True,2025-07-01,2025-07-01,2024-07-02,242,0.0,0.0,0.0,11,54,0.0,0.0,0.0,0.0
evaluation,2025-08-01,0.6916118711898058,0.3083881288101942,0.006420270830188155,0.014398529345287096,RISK_BUDGET_AVAILABLE,True,2025-08-01,2025-08-01,2024-08-02,242,0.0,0.0,0.0,11,41,0.0,0.0,0.0,0.0
evaluation,2025-09-01,0.7024720890969639,0.29752791090303615,0.006420270830188155,0.015158446980526789,RISK_BUDGET_AVAILABLE,True,2025-09-01,2025-09-01,2024-09-02,242,0.0,0.0,0.0,11,35,0.0,0.0,0.0,0.0
evaluation,2025-10-09,0.316309287901089,0.6836907120989111,0.006420270830188155,0.0029703362331696403,RISK_BUDGET_AVAILABLE,True,2025-10-09,2025-10-09,2024-10-11,242,0.0,0.0,0.0,11,22,0.0,0.0,0.0,0.0
evaluation,2025-11-03,0.316309287901089,0.6836907120989111,0.006420270830188155,0.0029703362331696403,RISK_BUDGET_AVAILABLE,True,2025-11-03,2025-11-03,2024-11-05,242,0.0,0.0,0.0,11,22,0.0,0.0,0.0,0.0
evaluation,2025-12-01,0.316309287901089,0.6836907120989111,0.006420270830188155,0.0029703362331696403,RISK_BUDGET_AVAILABLE,True,2025-12-01,2025-12-01,2024-12-03,242,0.0,0.0,0.0,11,22,0.0,0.0,0.0,0.0
evaluation,2026-01-05,0.41139770162092965,0.5886022983790704,0.006420270830188155,0.004487384216128681,RISK_BUDGET_AVAILABLE,True,2026-01-05,2026-01-05,2025-01-06,242,0.0,1.0,0.5886022983790704,11,32,0.0,1.0,0.0,0.019123404691441692
evaluation,2026-02-02,0.4447716793521582,0.5552283206478419,0.006420270830188155,0.005143027711026325,RISK_BUDGET_AVAILABLE,True,2026-02-02,2026-02-02,2025-02-11,242,0.0,0.0,0.0,11,41,0.0,0.0,0.0,0.0
evaluation,2026-03-02,0.4447716793521582,0.5552283206478419,0.006420270830188155,0.005143027711026325,RISK_BUDGET_AVAILABLE,True,2026-03-02,2026-03-02,2025-03-03,242,0.0,0.0,0.0,11,41,0.0,0.0,0.0,0.0
evaluation,2026-04-01,0.4447716793521582,0.5552283206478419,0.006420270830188155,0.005143027711026325,RISK_BUDGET_AVAILABLE,True,2026-04-01,2026-04-01,2025-04-02,242,0.0,0.0,0.0,11,41,0.0,0.0,0.0,0.0
evaluation,2026-05-06,0.4447716793521582,0.5552283206478419,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2026-05-06,2026-04-01,2025-05-07,242,0.0,1.0,0.5552283206478419,0,32,0.0,1.0,0.0,0.0036993468073034386
evaluation,2026-06-01,0.4447716793521582,0.5552283206478419,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2026-06-01,2026-04-01,2025-06-03,242,0.0,0.0,0.0,0,38,0.0,0.0,0.0,0.0
evaluation,2026-07-01,0.4447716793521582,0.5552283206478419,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2026-07-01,2026-04-01,2025-07-02,242,0.0,0.0,0.0,0,38,0.0,0.0,0.0,0.0
evaluation,2026-08-03,0.4447716793521582,0.5552283206478419,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2026-08-03,2026-04-01,2025-08-04,242,0.0,0.0,0.0,0,45,0.0,0.0,0.0,0.0
earlier_diagnostic,2015-01-05,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-01-05,,2015-01-05,1,0.0,1.0,0.5,0,1,0.0,1.0,0.0,0.022514227600000103
earlier_diagnostic,2015-02-02,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-02-02,,2015-01-05,21,0.0,0.0,0.0,0,12,0.0,0.0,0.0,0.0
earlier_diagnostic,2015-03-02,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-03-02,,2015-01-05,36,0.0,1.0,0.5,0,21,0.0,1.0,0.0,0.007863960647574553
earlier_diagnostic,2015-04-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-04-01,,2015-01-05,58,0.0,1.0,0.5,0,43,0.0,1.0,0.0,0.01636682798858491
earlier_diagnostic,2015-05-04,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-05-04,,2015-01-05,79,0.0,1.0,0.5,0,64,0.0,1.0,0.0,0.005484599359622422
earlier_diagnostic,2015-06-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-06-01,,2015-01-05,99,0.0,0.0,0.0,0,73,0.0,0.0,0.0,0.0
earlier_diagnostic,2015-07-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-07-01,,2015-01-05,120,0.0,0.0,0.0,4,87,0.0,0.0,0.0,0.0
earlier_diagnostic,2015-08-03,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-08-03,,2015-01-05,143,0.0,0.0,0.0,6,87,0.0,0.0,0.0,0.0
earlier_diagnostic,2015-09-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-09-01,,2015-01-05,164,1.0,0.0,0.5,9,87,1.0,0.0,-0.003827409150660932,0.0
earlier_diagnostic,2015-10-08,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-10-08,,2015-01-05,184,0.0,1.0,0.5,17,90,0.0,1.0,0.0,0.0355918565077209
earlier_diagnostic,2015-11-02,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-11-02,,2015-01-05,201,0.0,1.0,0.5,17,107,0.0,1.0,0.0,-0.016560072692800354
earlier_diagnostic,2015-12-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-12-01,,2015-01-05,222,0.0,1.0,0.5,17,128,0.0,1.0,0.0,0.007677180059363353
earlier_diagnostic,2016-01-04,0.37578507844357906,0.624214921556421,0.03221704036699583,0.01939505549041444,RISK_BUDGET_AVAILABLE,True,2016-01-04,2016-01-04,2015-01-08,242,0.0,0.0,0.0,17,145,0.0,0.0,0.0,0.0
earlier_diagnostic,2016-02-01,0.36718729171319003,0.63281270828681,0.03044011518506208,0.01766276705235609,RISK_BUDGET_AVAILABLE,True,2016-02-01,2016-02-01,2015-02-05,242,1.0,0.0,0.36718729171319003,22,136,1.0,0.0,-0.011099311836974768,0.0
earlier_diagnostic,2016-03-01,0.3966700959767268,0.6033299040232732,0.027381372627605986,0.01800237587386024,RISK_BUDGET_AVAILABLE,True,2016-03-01,2016-03-01,2015-03-06,242,1.0,0.0,0.3966700959767268,30,124,0.0,0.0,0.0,0.0
earlier_diagnostic,2016-04-01,0.4054840155296199,0.5945159844703801,0.027646854063401075,0.018856275853332882,RISK_BUDGET_AVAILABLE,True,2016-04-01,2016-04-01,2015-04-09,242,0.0,0.0,0.0,32,101,0.0,0.0,0.0,0.0
earlier_diagnostic,2016-05-03,0.4078922256459376,0.5921077743540625,0.027646854063401075,0.019045412548975977,RISK_BUDGET_AVAILABLE,True,2016-05-03,2016-05-03,2015-05-08,242,0.0,1.0,0.5921077743540625,32,82,0.0,1.0,0.0,0.016885217148883136
earlier_diagnostic,2016-06-01,0.3943523781489924,0.6056476218510076,0.027646854063401075,0.018001561064368288,RISK_BUDGET_AVAILABLE,True,2016-06-01,2016-06-01,2015-06-08,242,0.0,1.0,0.6056476218510076,32,94,0.0,1.0,0.0,-0.004100927545583555
earlier_diagnostic,2016-07-01,0.38690347849272927,0.6130965215072708,0.02438401377963642,0.01538788660513399,RISK_BUDGET_AVAILABLE,True,2016-07-01,2016-07-01,2015-07-07,242,0.0,1.0,0.6130965215072708,28,103,0.0,1.0,0.0,-0.0009487622367908566
earlier_diagnostic,2016-08-01,0.4016079569245305,0.5983920430754696,0.021743898113331692,0.01459331319311835,RISK_BUDGET_AVAILABLE,True,2016-08-01,2016-08-01,2015-08-05,242,0.0,0.0,0.0,26,122,0.0,0.0,0.0,0.0
earlier_diagnostic,2016-09-01,0.40124708524148794,0.598752914758512,0.02177657890051632,0.01459331319311835,RISK_BUDGET_AVAILABLE,True,2016-09-01,2016-09-01,2015-09-09,242,0.0,0.0,0.0,20,122,0.0,0.0,0.0,0.0
earlier_diagnostic,2016-10-10,0.38496741610504254,0.6150325838949574,0.022432508545745487,0.014041182658844053,RISK_BUDGET_AVAILABLE,True,2016-10-10,2016-10-10,2015-10-14,242,0.0,0.0,0.0,15,116,0.0,0.0,0.0,0.0
earlier_diagnostic,2016-11-01,0.36261537927970844,0.6373846207202916,0.022432508545745487,0.012762109925586783,RISK_BUDGET_AVAILABLE,True,2016-11-01,2016-11-01,2015-11-05,242,0.0,0.0,0.0,15,100,0.0,0.0,0.0,0.0
earlier_diagnostic,2016-12-01,0.33118355163287944,0.6688164483671206,0.022432508545745487,0.011108096803469908,RISK_BUDGET_AVAILABLE,True,2016-12-01,2016-12-01,2015-12-07,242,0.0,0.0,0.0,15,78,0.0,0.0,0.0,0.0
earlier_diagnostic,2017-01-03,0.311443123884131,0.6885568761158691,0.022432508545745487,0.01014651190102816,RISK_BUDGET_AVAILABLE,True,2017-01-03,2017-01-03,2016-01-07,242,0.0,0.0,0.0,15,61,0.0,0.0,0.0,0.0
earlier_diagnostic,2017-02-03,0.37547956425152507,0.624520435748475,0.016876295375458525,0.01014651190102816,RISK_BUDGET_AVAILABLE,True,2017-02-03,2017-02-03,2016-02-02,242,0.0,0.0,0.0,10,61,0.0,0.0,0.0,0.0
earlier_diagnostic,2017-03-01,0.37547956425152507,0.624520435748475,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2017-03-01,2017-02-03,2016-03-04,242,0.0,0.0,0.0,0,61,0.0,0.0,0.0,0.0
earlier_diagnostic,2017-04-05,0.37547956425152507,0.624520435748475,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2017-04-05,2017-02-03,2016-04-07,242,0.0,0.0,0.0,0,61,0.0,0.0,0.0,0.0
earlier_diagnostic,2017-05-02,0.37547956425152507,0.624520435748475,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2017-05-02,2017-02-03,2016-05-04,242,0.0,0.0,0.0,0,60,0.0,0.0,0.0,0.0
earlier_diagnostic,2017-06-01,0.37547956425152507,0.624520435748475,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2017-06-01,2017-02-03,2016-06-01,242,0.0,1.0,0.624520435748475,0,49,0.0,1.0,0.0,0.002284387129777299
earlier_diagnostic,2017-07-03,0.37547956425152507,0.624520435748475,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2017-07-03,2017-02-03,2016-07-05,242,0.0,1.0,0.624520435748475,0,49,0.0,1.0,0.0,-0.004327794293438436
