model,period,cost,origin,source_target,normal_requested_quantity,own_shares,observed_daily_return,return_floor
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2024-08-29,0.9980079086055997,82800,0,-0.0029788501638368103,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2024-09-02,0.9979989587393908,200,81700,-0.017688679245283057,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2025-05-30,0.21418517446357183,18700,0,-0.0017650025214321907,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2025-06-03,0.21395632023099806,18700,0,-0.0005051780752716173,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2025-06-26,0.9960449854834913,30400,56700,-0.0037490627343164107,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2025-06-27,0.9868863237835589,29800,56700,-0.005770195684897228,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2025-09-04,0.9996805940512354,82800,0,-0.020444053638162263,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2025-12-18,0.7660123638008273,61600,0,-0.006597148329431701,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-01-08,0.5650056583444579,100,45100,-0.007753519689859045,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-01-14,0.5651460667531388,100,45100,-0.006127450980392246,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-01-16,0.7628476253045811,1500,59400,-0.0032820512820512793,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-05-14,0.8763522636587191,100,68700,-0.015148495116603655,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-06-04,0.998830919151409,77200,0,-0.007854984894259731,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-06-05,0.9961365551806789,78300,0,-0.016849370686155107,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-06-08,0.9960521049400449,80000,0,-0.021474292793722927,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-06-10,0.9960890947961212,500,78600,-0.008702859510982153,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-06-11,0.9960620371456183,500,78600,-0.0068979933110366876,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-07-22,0.8317446983807218,66600,2000,-0.0045957802381449975,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-07-24,0.8316466048147074,400,68500,-0.017965322749112222,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2026-08-06,0.7274383962318134,59300,0,-0.0010606703436573106,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2020-01-16,0.8421252269477324,4900,35900,-0.0014450867052023808,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2020-08-18,0.33025339657878733,15600,0,-0.0014353085913471064,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2020-08-19,0.32687218795748885,15700,0,-0.015605749486653053,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2020-08-20,0.32452360725070806,15800,0,-0.010638297872340274,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2020-12-29,0.9736395936728114,800,43700,-0.003118908382066299,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2021-06-07,0.05968278714438144,2800,0,-0.001133144475920722,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2021-06-08,0.8581136046337003,41800,0,-0.00794100964265454,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2021-10-28,0.2116906361633844,10900,0,-0.004225352112676051,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2021-11-03,0.32361430931996177,6000,10900,-0.004070832485243314,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2021-11-10,0.5269684892896366,10600,16900,-0.0050844010575553655,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2021-11-18,0.8698562593953629,100,44900,-0.008872756604153986,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2021-11-25,0.870997315683447,100,44800,-0.0038022813688213253,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2021-11-26,0.8708353020852186,100,44800,-0.008437123342707853,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2021-11-29,0.8708082535544845,100,44800,-0.0014181523500810256,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2021-11-30,0.8707386392344487,100,44800,-0.0036518563603166188,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2022-01-27,0.024716097790794842,100,1300,-0.017212069698257615,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2022-01-28,0.024522763526420646,100,1300,-0.015351351351351239,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2022-05-12,0.22031806984247687,14600,0,-0.0050365147318055525,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2022-08-08,0.02512193473637164,100,1500,-0.0033191085822665833,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2022-08-19,0.8998132216655306,100,57200,-0.007077140835102691,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2022-08-23,0.8999182438668045,100,57200,-0.003305004721435134,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2022-08-24,0.8992928871391579,100,57200,-0.018237801989578584,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2022-10-28,0.02467289562338093,100,1700,-0.023306233062330595,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2022-10-31,0.02453692635270581,100,1700,-0.01082130965593786,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2023-04-10,0.9951296798960502,1400,63100,-0.0036434296818070866,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2023-10-19,0.02458765029981065,100,1700,-0.02094098449823223,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2023-10-20,0.02452501329335713,100,1700,-0.0050000000000001155,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2023-10-23,0.024391760295430758,100,1700,-0.010608598548296988,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-03-04,0.9995904703206763,76500,0,-0.0008498583569404028,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-06-07,0.024920770677128813,100,1800,-0.006390664073353758,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-06-11,0.024833077850571903,100,1800,-0.006991051454138697,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-06-12,0.024818990056028514,100,1800,-0.0011264432554209947,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-06-13,0.02477309560007814,100,1800,-0.0036650690724556734,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-06-17,0.6948822892291784,51500,1900,-0.002813731007315634,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-08-01,0.8092965874196291,63100,0,-0.007126567844925824,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-08-02,0.8044019897635535,63400,0,-0.01033591731266148,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-08-05,0.7642197360352189,60900,0,-0.011314186248912117,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-08-27,0.9995450190707293,80400,0,-0.005008839127872866,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-08-28,0.9990513720283478,80800,0,-0.005922416345868986,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-08-29,0.9990485407999062,81000,0,-0.0029788501638368103,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-09-02,0.9990442621274467,100,80000,-0.017688679245283057,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-10-09,0.31327263602462946,100,25200,-0.08839528558476872,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-10-11,0.3108675156133393,100,25200,-0.026676456191874753,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-10-15,0.30839129016513894,100,25200,-0.026980198019802004,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-10-16,0.3070379586793354,100,25200,-0.0063597049096921765,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2024-10-17,0.30469766649519175,100,25200,-0.011008704557091686,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2025-01-10,0.024763628245572173,100,2000,-0.01112260734609416,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2025-01-13,0.02471449189275227,100,2000,-0.0039236201935652915,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2025-05-30,0.22666546741243496,19300,0,-0.0017650025214321907,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2025-06-03,0.2264590321497716,19300,0,-0.0005051780752716173,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2025-06-26,0.9961278127763389,28000,56500,-0.0037490627343164107,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2025-06-27,0.9869031310900088,27400,56500,-0.005770195684897228,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2025-09-04,0.9990548063994346,80200,0,-0.020444053638162263,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2025-12-18,0.7655062022845706,59600,0,-0.006597148329431701,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2026-01-16,0.7640617953660822,1400,57600,-0.0032820512820512793,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2026-05-14,0.8768387699096403,100,66400,-0.015148495116603655,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2026-06-04,0.9993509395442135,74600,0,-0.007854984894259731,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2026-06-05,0.997274895421961,75800,0,-0.016849370686155107,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2026-06-08,0.9972152591257761,77400,0,-0.021474292793722927,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2026-06-10,0.9972413806456863,500,76000,-0.008702859510982153,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2026-06-11,0.9972222731124992,500,76000,-0.0068979933110366876,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2026-07-22,0.8295859404235078,64100,2000,-0.0045957802381449975,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2026-07-24,0.8298750236522549,300,66000,-0.017965322749112222,0.0
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,2026-08-06,0.7275948994333977,57200,0,-0.0010606703436573106,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2015-01-08,0.625254228977634,9100,25700,-0.021845985800109213,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2015-01-09,0.6233374971882698,9100,25700,-0.007258514796203208,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2015-01-12,0.6226098098929347,9100,25700,-0.003093363329583876,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2015-01-13,0.6221452704205921,9100,25700,-0.001974612129760245,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2015-01-14,0.6216129658333784,9100,25700,-0.0022611644997173608,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2015-02-25,0.9740981838679931,14700,39400,-0.01535399488200162,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2015-03-31,0.9807982497703936,5800,47800,-0.011040235525024533,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2015-09-29,0.8881812235382984,45500,19100,-0.0193133047210301,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2015-10-14,0.755618401273368,100,52800,-0.010872675250357733,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2016-01-21,0.024176432474618828,100,1900,-0.02871568318081419,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2016-04-29,0.8000894873756073,64700,0,-0.0012674271229404788,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2016-05-04,0.9537774473774961,300,75700,-0.0037348272642390157,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2016-06-06,0.9137530165890966,12700,60000,-0.005944931163955003,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2017-05-17,0.9042839879324437,67300,0,-0.006697728596389063,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2017-05-18,0.9017509669919562,67400,0,-0.004397537379067784,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2017-06-14,0.920478639848495,100,68300,-0.010036241984945682,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2017-06-15,0.9203433858384542,100,68300,-0.003379329766262984,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2017-06-16,0.9202755806952616,100,68300,-0.0016953941791467697,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2017-10-20,0.9992755711529732,70000,0,-0.0005018820577163963,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2017-12-25,0.6388596728220387,6700,38200,-0.0046330163374787015,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2018-01-11,0.7628580472830636,51300,0,-0.0014097744360902498,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2018-10-08,0.35625258571803636,31800,0,-0.0476054732041048,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-02-27,0.5487830200825529,43100,0,-0.005420054200542035,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-02-28,0.9318698099967265,73400,0,-0.0019073569482289665,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-05-30,0.8946454886338637,71500,0,-0.0005476451259583959,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-05-31,0.8932390416216491,71800,0,-0.004931506849314982,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-06-13,0.9235752198754568,100,73900,-0.0018924033522572659,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-06-14,0.9233431204609905,100,73900,-0.005958829902491969,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-09-10,0.9516137047132798,1600,73100,-0.0027247956403270157,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-09-11,0.9513619659769069,1600,73100,-0.0072031793343269035,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-11-11,0.9992053361154636,77400,0,-0.016608824987605297,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-11-12,0.9986484373565628,77400,0,-0.001260398285858333,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-11-13,0.9986474146497585,77500,0,-0.0007571933366986583,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,2019-12-27,0.9993682719717526,76000,0,-0.0009947774185524727,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-01-08,0.6254737024887097,9100,25700,-0.021845985800109213,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-01-09,0.6236348779836264,9100,25700,-0.007258514796203208,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-01-12,0.6229074176483009,9100,25700,-0.003093363329583876,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-01-13,0.6224430223609403,9100,25700,-0.001974612129760245,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-01-14,0.6219108823199441,9100,25700,-0.0022611644997173608,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-02-25,0.975283343848709,14800,39300,-0.01535399488200162,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-03-31,0.9805320918657424,5700,47800,-0.011040235525024533,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-09-29,0.888289246186751,45400,19000,-0.0193133047210301,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-10-21,0.6699546160332278,100,46500,-0.029977997799779943,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-11-02,0.6698442484265662,100,46500,-0.01673640167364021,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2015-11-03,0.6683460642994973,100,46500,-0.007659574468085073,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2016-04-29,0.7999501996573642,64400,0,-0.0012674271229404788,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2016-05-04,0.9540268549392156,200,75400,-0.0037348272642390157,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2016-05-09,0.952601438482724,100,75600,-0.020460358056266004,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2016-05-10,0.9525692324084247,100,75600,-0.000979112271540461,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2016-06-06,0.9198629267667641,12800,60100,-0.005944931163955003,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2017-05-17,0.9041969660838096,66600,0,-0.006697728596389063,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2017-05-18,0.9023473576997677,66800,0,-0.004397537379067784,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2017-10-20,0.9990097442589676,69200,0,-0.0005018820577163963,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2017-12-25,0.6390029048485317,6700,37700,-0.0046330163374787015,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2018-01-11,0.7623686630123797,50600,0,-0.0014097744360902498,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2018-10-08,0.3564595996541422,31400,0,-0.0476054732041048,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-01-02,0.024546683997379602,100,2200,-0.013729977116704872,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-02-27,0.5485970913582696,42400,0,-0.005420054200542035,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-02-28,0.9314233074319906,72100,0,-0.0019073569482289665,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-05-30,0.8946584184507765,70200,0,-0.0005476451259583959,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-05-31,0.8938996103715016,70500,0,-0.004931506849314982,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-06-14,0.9240948057415901,100,72600,-0.005958829902491969,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-09-10,0.977245177973934,1600,75800,-0.0027247956403270157,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-09-11,0.9771860196643477,1700,75800,-0.0072031793343269035,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-11-11,0.9998066073314041,78000,0,-0.016608824987605297,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-11-12,0.9989590136345465,78100,0,-0.001260398285858333,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-11-13,0.9989582256409317,78100,0,-0.0007571933366986583,0.0
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,2019-12-27,0.9993739650105843,76500,0,-0.0009947774185524727,0.0
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2019-12-31,0.8478720000000001,41400,0,0.005153374233128893,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-01-16,0.8415716747322038,4800,35600,-0.0014450867052023808,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-01-17,0.841937761558629,4900,35600,0.001205981669078593,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-01-20,0.8007490403241089,2800,35600,0.00722717417489771,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-08-18,0.3307380586957388,15600,0,-0.0014353085913471064,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-08-19,0.3272881125060397,15700,0,-0.015605749486653053,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-08-20,0.32493805634613737,15700,0,-0.010638297872340274,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-08-21,0.4845280634766865,23300,0,0.008433480919249448,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-08-24,0.486504981166599,23200,0,0.006272214091574302,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-08-25,0.4869716515824186,23200,0,0.0018699355911075966,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-08-26,0.4838968272320211,23400,0,-0.012235586893405315,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-08-27,0.4857773593042617,23300,0,0.0075582615998321945,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-09-10,0.3902954484636555,1000,17700,0.0008611410118408713,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-09-11,0.391999286065842,1000,17700,0.007743600774360093,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-09-14,0.39331430931595973,1000,17700,0.005763073639274419,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-09-15,0.3950103435833699,1000,17700,0.007427843803056167,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-09-16,0.39365429298696014,1000,17700,-0.005898462186644138,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-09-17,0.392243248259421,1000,17700,-0.006145369781733412,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-09-28,0.615903576394093,12000,17600,0.002155636990730736,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-09-29,0.5839800127254916,10400,17600,0.0023661002366099915,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-12-14,0.9559234629877068,43000,0,0.008881711748082388,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-12-15,0.9550188477784446,42800,0,0.0030012004801920344,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-12-16,0.9550829656681321,42800,0,0.0019948134849390176,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2020-12-29,0.9731741361104365,700,42200,-0.003118908382066299,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2021-01-04,0.9985660551646752,2100,41900,0.008889729525250578,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2021-03-10,0.024976130712902875,1200,0,0.00421771440048202,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2021-06-07,0.05932244181669258,2700,0,-0.001133144475920722,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2021-06-08,0.8580575209254394,40300,0,-0.00794100964265454,0.01
BUY_STRENGTH_BAND00_R01,evaluation,BASE,2021-06-09,0.8565615397180184,40200,0,0.0015246807699638154,0.01
