input,model,reason
134,F1_PRIMARY_FULL_H60,非标准完整四场景
135,F2_EARNINGS_H60,非标准完整四场景
136,F3_PRICE_H60,非标准完整四场景
137,F4_FULL_H20,非标准完整四场景
138,FULL_ET_H20,非标准完整四场景
139,FULL_ET_H60,非标准完整四场景
140,FULL_RIDGE_H20,非标准完整四场景
141,FULL_RIDGE_H60,非标准完整四场景
142,PRICE_ET_H20,非标准完整四场景
143,PRICE_ET_H60,非标准完整四场景
144,PRICE_RIDGE_H20,非标准完整四场景
145,PRICE_RIDGE_H60,非标准完整四场景
146,A1_PRIMARY_CONTEXT4_BLEND,非标准完整四场景
147,A2_GLOBAL,非标准完整四场景
148,A3_CONTEXT4_ONLY,非标准完整四场景
149,A4_CONTEXT2_BLEND,非标准完整四场景
150,A5_CONTEXT4_HARD,非标准完整四场景
151,A6_EQUAL_FAMILIES,非标准完整四场景
152,CASH,非标准完整四场景
153,F_MIXED,非标准完整四场景
154,F_PREDICTION,非标准完整四场景
155,F_REVERSAL,非标准完整四场景
156,F_TREND,非标准完整四场景
157,M1_PRICE_FLOW,非标准完整四场景
158,M2_PRICE_ONLY,非标准完整四场景
159,M3_FLOW_ONLY,非标准完整四场景
160,R1_POSITIVE_FLOW,非标准完整四场景
161,R2_NEGATIVE_FLOW,非标准完整四场景
162,R3_QUARTER_TREND,非标准完整四场景
163,R4_FLOW_AND_TREND,非标准完整四场景
164,E1_PRICE_FORWARD_EPS,非标准完整四场景
165,E2_MATCHED_PRICE,非标准完整四场景
166,E3_FORWARD_EPS,非标准完整四场景
167,E4_EARNINGS_AND_PRICE_REGIME,非标准完整四场景
168,S1_PRICE_PLUS_EPS_RESIDUAL,非标准完整四场景
169,S2_PRICE_ALL_MATURE_MONTHS,非标准完整四场景
170,X1_FORWARD_EPS_DAILY_EXIT,非标准完整四场景
171,X2_FORWARD_EPS_MONTHLY_EXIT_ONLY,非标准完整四场景
172,Y1_EPS_DAILY_EXIT,非标准完整四场景
173,Y2_EPS_MONTHLY_EXIT,非标准完整四场景
174,Y3_PRICE_EPS_DAILY_EXIT,非标准完整四场景
175,Y4_PRICE_EPS_MONTHLY_EXIT,非标准完整四场景
176,Z0_ORIGINAL_MONTHLY,非标准完整四场景
177,Z1_FORECAST_EXPIRY,非标准完整四场景
178,Z2_FORECAST_EXPIRY_AND_TREND,非标准完整四场景
179,C0_ORIGINAL_EPS,非标准完整四场景
180,C1_ORIGINAL_PRICE_EPS,非标准完整四场景
181,C2_MATCHED_PRICE,非标准完整四场景
182,D1_EPS_DISTRIBUTION,非标准完整四场景
183,D2_PRICE_EPS_DISTRIBUTION,非标准完整四场景
184,D3_EPS_DISTRIBUTION_COHERENT_TREND,非标准完整四场景
185,V1_EPS_REPORTED_VALUATION,非标准完整四场景
186,V2_MATCHED_EPS,非标准完整四场景
187,V3_EPS_VALUATION_COHERENT_TREND,非标准完整四场景
188,O1_EPS_OPTIONAL_VALUATION,非标准完整四场景
189,C0_ORIGINAL_GUOSEN_EPS,非标准完整四场景
190,S1_POOLED_EPS,非标准完整四场景
191,S2_MATCHED_SOOCHOW_EPS,非标准完整四场景
192,S3_POOLED_EPS_INFORMATION_QUALITY,非标准完整四场景
193,Q1_RELATION_QUALIFIED_PE,非标准完整四场景
194,Q2_MATCHED_RAW_REPORTED_PE,非标准完整四场景
195,Q3_MATCHED_EPS_PROFIT_NO_PE,非标准完整四场景
196,G1_GUOSEN_RELATION_QUALIFIED_PE,非标准完整四场景
197,G2_GUOSEN_EPS_PROFIT_NO_PE,非标准完整四场景
198,D1_DRAWDOWN_RECOVERY,非标准完整四场景
199,R1_RSI2_BULL,非标准完整四场景
200,R2_Z_CONFIRM,非标准完整四场景
201,R3_SHOCK_RECOVERY,非标准完整四场景
202,R4_BAND_REENTRY,非标准完整四场景
203,R5_PULLBACK_DOUBLE,非标准完整四场景
204,S1_TREND_REBOUND,非标准完整四场景
205,S2_PULLBACK_SHOCK,非标准完整四场景
206,T1_BAND60,非标准完整四场景
207,T2_CHANNEL20,非标准完整四场景
208,T3_EMA10_40,非标准完整四场景
209,T4_PULLBACK20,非标准完整四场景
210,A1_PAST756,非标准完整四场景
211,A2_PAST504,非标准完整四场景
212,L01_FAST_QUICK_ALL_Z15,非标准完整四场景
213,L02_FAST_QUICK_ALL_Z20,非标准完整四场景
214,L03_FAST_QUICK_DRAWDOWN_Z15,非标准完整四场景
215,L04_FAST_QUICK_DRAWDOWN_Z20,非标准完整四场景
216,L05_FAST_QUICK_VOLATILITY_Z15,非标准完整四场景
217,L06_FAST_QUICK_VOLATILITY_Z20,非标准完整四场景
218,L07_FAST_PATIENT_ALL_Z15,非标准完整四场景
219,L08_FAST_PATIENT_ALL_Z20,非标准完整四场景
220,L09_FAST_PATIENT_DRAWDOWN_Z15,非标准完整四场景
221,L10_FAST_PATIENT_DRAWDOWN_Z20,非标准完整四场景
222,L11_FAST_PATIENT_VOLATILITY_Z15,非标准完整四场景
223,L12_FAST_PATIENT_VOLATILITY_Z20,非标准完整四场景
224,L13_SLOW_QUICK_ALL_Z15,非标准完整四场景
225,L14_SLOW_QUICK_ALL_Z20,非标准完整四场景
226,L15_SLOW_QUICK_DRAWDOWN_Z15,非标准完整四场景
227,L16_SLOW_QUICK_DRAWDOWN_Z20,非标准完整四场景
228,L17_SLOW_QUICK_VOLATILITY_Z15,非标准完整四场景
229,L18_SLOW_QUICK_VOLATILITY_Z20,非标准完整四场景
230,L19_SLOW_PATIENT_ALL_Z15,非标准完整四场景
231,L20_SLOW_PATIENT_ALL_Z20,非标准完整四场景
232,L21_SLOW_PATIENT_DRAWDOWN_Z15,非标准完整四场景
233,L22_SLOW_PATIENT_DRAWDOWN_Z20,非标准完整四场景
234,L23_SLOW_PATIENT_VOLATILITY_Z15,非标准完整四场景
235,L24_SLOW_PATIENT_VOLATILITY_Z20,非标准完整四场景
236,D20_INTRA,非标准完整四场景
237,D20_NIGHT,非标准完整四场景
238,D60_INTRA,非标准完整四场景
239,D60_NIGHT,非标准完整四场景
240,P20_NN,非标准完整四场景
241,P20_NP,非标准完整四场景
242,P20_PN,非标准完整四场景
243,P20_PP,非标准完整四场景
244,P5_NN,非标准完整四场景
245,P5_NP,非标准完整四场景
246,P5_PN,非标准完整四场景
247,P5_PP,非标准完整四场景
248,P60_NN,非标准完整四场景
249,P60_NP,非标准完整四场景
250,P60_PN,非标准完整四场景
251,P60_PP,非标准完整四场景
252,V1_CLIMAX_RECOVERY,非标准完整四场景
253,V2_QUIET_PULLBACK,非标准完整四场景
254,V3_VOLUME_BREAKOUT,非标准完整四场景
255,V4_SELLING_ABSORBED,非标准完整四场景
256,V5_FAILED_BREAKDOWN,非标准完整四场景
257,V6_PANIC_RECOVERY,非标准完整四场景
258,R2_Z_CONFIRM_D100_L1,非标准完整四场景
259,R2_Z_CONFIRM_D100_L1,非标准完整四场景
260,R2_Z_CONFIRM_D100_L3,非标准完整四场景
261,R2_Z_CONFIRM_D100_L3,非标准完整四场景
262,R2_Z_CONFIRM_D50_L1,非标准完整四场景
263,R2_Z_CONFIRM_D50_L1,非标准完整四场景
264,R2_Z_CONFIRM_D50_L3,非标准完整四场景
265,R2_Z_CONFIRM_D50_L3,非标准完整四场景
266,S1_TREND_REBOUND_D100_L1,非标准完整四场景
267,S1_TREND_REBOUND_D100_L1,非标准完整四场景
268,S1_TREND_REBOUND_D100_L3,非标准完整四场景
269,S1_TREND_REBOUND_D100_L3,非标准完整四场景
270,S1_TREND_REBOUND_D50_L1,非标准完整四场景
271,S1_TREND_REBOUND_D50_L1,非标准完整四场景
272,S1_TREND_REBOUND_D50_L3,非标准完整四场景
273,S1_TREND_REBOUND_D50_L3,非标准完整四场景
274,V1_CLIMAX_RECOVERY_D100_L1,找不到指标相符的完整来源
275,V1_CLIMAX_RECOVERY_D100_L1,非标准完整四场景
276,V1_CLIMAX_RECOVERY_D100_L3,非标准完整四场景
277,V1_CLIMAX_RECOVERY_D100_L3,非标准完整四场景
278,V1_CLIMAX_RECOVERY_D50_L1,非标准完整四场景
279,V1_CLIMAX_RECOVERY_D50_L1,非标准完整四场景
280,V1_CLIMAX_RECOVERY_D50_L3,非标准完整四场景
281,V1_CLIMAX_RECOVERY_D50_L3,非标准完整四场景
303,D60_INTRA__DAY_LOW,非标准完整四场景
304,D60_INTRA__TRIGGER,非标准完整四场景
306,R2_Z_CONFIRM__DAY_LOW,非标准完整四场景
307,R2_Z_CONFIRM__TRIGGER,非标准完整四场景
309,S1_TREND_REBOUND__DAY_LOW,非标准完整四场景
310,S1_TREND_REBOUND__TRIGGER,非标准完整四场景
372,BREADTH_GATED_REARM_RIDGE,本金、年化或费用不同
407,ENTRY_WAIT_POLICY,找不到指标相符的完整来源
408,IMMEDIATE_VALUE_CONTROL,找不到指标相符的完整来源
426,POOLED_RETURN_STATE_CONTROL,找不到指标相符的完整来源
449,S1_POOLED_EPS,非标准完整四场景
450,S2_MATCHED_SOOCHOW_EPS,非标准完整四场景
451,S3_POOLED_EPS_INFORMATION_QUALITY,非标准完整四场景
452,Q1_RELATION_QUALIFIED_PE,非标准完整四场景
453,Q2_MATCHED_RAW_REPORTED_PE,非标准完整四场景
454,Q3_MATCHED_EPS_PROFIT_NO_PE,非标准完整四场景
