node,configuration,direct_parents,program,entry_function,output_kind,required_state_cn,rule_cn,saved_folder,prices,factors,dividends,replay_start,complete_checkpoint_verified,restoration
MODEL_SUPPORT_REFERENCE_ROUTER,config/510300_model_support_reference_router_v1.json,VINTAGE_REFERENCE_RISK；JOINT_DOWNSIDE_REFERENCE_PAIR；WITHIN_CYCLE_SAVED_MODELS,research/model_support_reference_router_inputs_v1.py,support_routed_frames,TARGET_ONLY,15:05之前最近可用模型支持记录,最近已形成模型记录满足原十个成熟周期及一百行要求时取137，否则取131；不按后续表现选择。,reports/research/510300_model_support_reference_router_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
TREND_NOISE_REFERENCE_BLEND,config/510300_trend_noise_reference_blend_v1.json,VINTAGE_REFERENCE_RISK；MODEL_SUPPORT_REFERENCE_ROUTER,research/trend_noise_reference_blend_inputs_v1.py,trend_noise_frames,TARGET_ONLY,两个父目标、原趋势与波动因素,一百二十日正趋势幅度除以正趋势与同尺度二十日波动幅度之和，分配131预算，余下分配139；零正趋势时131预算为零。,reports/research/510300_trend_noise_reference_blend_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
RETURN_RUNS_STATE,config/510300_return_runs_state_v1.json,,research/return_runs_state_inputs_v1.py,return_runs_state_factors,FACTOR_TARGET_ONLY,六十日完整收益、进入计数、两个退出计数、方向状态,六十日收益相对窗口中位数的连续段分数低于负一且六十日动量为正，连续两次进入；连续两次分数非负或连续两次动量非正退出；仓位受二十日10%波动预算限制。,reports/research/510300_return_runs_state_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
RETURN_LAG_STATE,config/510300_return_lag_state_v1.json,,research/return_lag_state_inputs_v1.py,return_lag_state_factors,FACTOR_DIRECTION_ONLY,六十日收益、进入计数、相关与动量退出计数、方向,六十日窗口中59组相邻收益的相关为正且动量为正连续两次允许；相关非正或动量非正分别连续两次退出；缺失或常数相关未定义时重置。,reports/research/510300_return_lag_state_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
RETURN_SIGN_BALANCE,config/510300_return_sign_balance_v1.json,,research/return_sign_balance_inputs_v1.py,return_sign_balance_factors,FACTOR_DIRECTION_ONLY,六十日收益、进入计数、日数与动量退出计数、方向,六十日上涨日数减下跌日数为正且动量为正连续两次允许；日数差非正或动量非正分别连续两次退出；平盘保留在分母。,reports/research/510300_return_sign_balance_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
EITHER_CONFIRMED_RUNS_AUXILIARY,config/510300_return_confirmation_auxiliary_batch_v1.json,TREND_NOISE_REFERENCE_BLEND；RETURN_RUNS_STATE；RETURN_LAG_STATE；RETURN_SIGN_BALANCE,research/return_confirmation_auxiliary_batch_inputs_v1.py,return_confirmation_auxiliary_batch_frames,ACCOUNT_BOTH_COSTS,账户实际净收益；各父目标与方向,核心目标加连续段辅助；相邻收益相关方向或涨跌日数方向任一允许时才接纳辅助，封顶100%；所需因素未知则未知。,reports/research/510300_return_confirmation_auxiliary_batch_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
ACCOUNT_VOLATILITY_EXPOSURE,config/510300_account_volatility_exposure_v1.json,EITHER_CONFIRMED_RUNS_AUXILIARY,research/account_volatility_exposure_inputs_v1.py,risk_budget,TARGET_ONLY,174的最近六十日实际净收益窗口,按174实际账户六十日波动把目标缩放到10%年化风险，封顶100%；准备期和零波动按原规则；该层无需重放账户。,reports/research/510300_account_volatility_exposure_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
TWO_CLOSE_ZERO_EXIT,config/510300_two_close_zero_exit_v1.json,ACCOUNT_VOLATILITY_EXPOSURE,research/two_close_zero_exit_inputs_v1.py,confirmation_request,ACCOUNT_BOTH_COSTS,账户状态、连续明确零计数,首次明确零保持份额；连续第二次及之后零全部退出；正目标或未知重置计数；正目标按十个百分点调仓。,reports/research/510300_two_close_zero_exit_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
RISK_EPISODE_30_10,config/510300_risk_window_clock_batch_v1.json,EITHER_CONFIRMED_RUNS_AUXILIARY,research/episode_account_risk_budget_inputs_v1.py,fixed_episode_budget,TARGET_ONLY,174的三十日实际收益窗口、正目标区间起点和固定乘数,正目标区间开始时，以三十日实际账户波动确定10%风险预算并固定乘数；来源目标每日变化仍保留。,reports/research/510300_risk_window_clock_batch_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
CONFIRMED_RISK_EPISODE_30_10,config/510300_confirmed_exit_existing_budget_batch_v1.json,RISK_EPISODE_30_10,research/confirmed_exit_existing_budget_batch_inputs_v1.py,simulate_mapped_confirmation,ACCOUNT_BOTH_COSTS,账户状态、连续明确零计数,只用三十日区间固定10%风险预算来源，并在该来源外执行连续两次明确零退出。,reports/research/510300_confirmed_exit_existing_budget_batch_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
R2_Z_CONFIRM,config/510300_simple_price_entry_exit_v1.json,,research/simple_price_entry_exit_v1.py,simulate_policy,ACCOUNT_BOTH_COSTS,实际持仓周期、成本、分红、退出等待和冷却日,二十日标准化偏离低于负1.5后首日上涨进入；偏离回到零、5%止损或十日到期退出；退出后一日等待。,reports/research/510300_mean_rebound_auxiliary_v1/reference_sources,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
MEAN_REBOUND_AUX_50,config/510300_mean_rebound_auxiliary_v1.json,ACCOUNT_VOLATILITY_EXPOSURE；R2_Z_CONFIRM,research/mean_rebound_auxiliary_inputs_v1.py,rebound_frames,ACCOUNT_BOTH_COSTS,账户状态；两个父目标,181原目标加上一半均值反弹目标，封顶100%；任一来源未知则未知；十个百分点调仓、明确零退出。,reports/research/510300_mean_rebound_auxiliary_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
INTENT_MIX_80_15_05,config/510300_three_source_order_intent_mix_v1.json,TWO_CLOSE_ZERO_EXIT；CONFIRMED_RISK_EPISODE_30_10；MEAN_REBOUND_AUX_50,research/three_source_order_intent_mix_inputs_v1.py,source_plan,TARGET_ONLY,三个父账户的份额、净值和当日申请,以三个父来源计划持有比例按80%、15%、5%合并；未知传播；不能用原始目标代替计划份额。,reports/research/510300_three_source_order_intent_mix_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
INTENT_MIX_BAND_20,config/510300_finite_rebalance_band_batch_v1.json,INTENT_MIX_80_15_05,research/finite_rebalance_band_batch_inputs_v1.py,band_frames,TARGET_ONLY,无需该层实际账户,供206读取的原始目标等于200目标；该层实际成交不参与206计算，因此不重放201账户。,reports/research/510300_finite_rebalance_band_batch_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
ADD_GATE_EXPOSURE_115,config/510300_addition_gate_exposure_batch_v1.json,INTENT_MIX_BAND_20,research/addition_gate_exposure_batch_inputs_v1.py,simulate_gate_account,ACCOUNT_BOTH_COSTS,普通账户状态；已有持仓加仓许可,目标乘1.15后封顶100%；二十个百分点调仓门槛；已有持仓仅当当日含分红收益达到1%才加仓；初始买入和卖出保持原规则。,reports/research/510300_addition_gate_exposure_batch_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
RUNS_OPPORTUNITY_CAPPED_SUM,config/510300_runs_opportunity_union_v1.json,TREND_NOISE_REFERENCE_BLEND；RETURN_RUNS_STATE,research/runs_opportunity_union_inputs_v1.py,runs_opportunity_union_frames,ACCOUNT_BOTH_COSTS,账户状态,核心目标与收益连续段目标相加封顶100%；任一未知则未知；十个百分点调仓；明确零退出。,reports/research/510300_runs_opportunity_union_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
SELECTED_MIX_BAND10_SIMPLE2,config/510300_incremental_selected_intent_mix_v1.json,ADD_GATE_EXPOSURE_115；RUNS_OPPORTUNITY_CAPPED_SUM,research/incremental_selected_intent_mix_inputs_v1.py,simulate_gate_account,ACCOUNT_BOTH_COSTS,现金、份额、分红权利、待执行申请,按两个来源计划持有比例的85%和15%合成目标；十个百分点调仓门槛；明确零全部退出；不重复加仓过滤。,reports/research/510300_incremental_selected_intent_mix_v1,candidate_prices.parquet,candidate_features.parquet,data/reference/510300_dividends.csv,2020-01-02,False,原纯函数重算因素；仅必要账户重放并增加可恢复状态
