period,cost,model,state,days,mean_daily_return,annualized_arithmetic_return,annualized_volatility,conditional_sharpe,net_pnl,trade_days,mean_exposure
主历史,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,上升高波动,99,0.00018624208273309567,0.04507058402140915,0.047524528686977395,0.9483646711841948,4678.896999999997,10,0.0466494284768746
主历史,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,非上升,177,0.00011847678194535793,0.02867138123077662,0.020694884699217986,1.3854332434072485,5594.087560000044,9,0.04060747989549182
主历史,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,上升稳定,607,0.0004497724906062825,0.10884494272672036,0.06397191452412339,1.7014488863808452,67520.73847999985,50,0.2323317776352376
主历史,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,压力回撤,721,0.00017123694519754663,0.041439340737806286,0.02983972976079637,1.388730429866344,29603.940479999932,24,0.0660828293219875
主历史,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,上升高波动,99,0.0001873290258675739,0.04533362425995288,0.04758742594520092,0.9526387141039443,4588.2211600000155,10,0.0466458985389471
主历史,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,非上升,177,0.00011881346225625408,0.02875285786601349,0.02074153092701687,1.3862456906959297,5423.747640000045,9,0.04063574379258302
主历史,STRESS,BUY_HOLD,上升稳定,607,0.00031477514017241073,0.0761755839217234,0.15581652870042312,0.4888799959610225,40672.93999999997,1,0.9465736064618085
主历史,STRESS,BUY_HOLD,压力回撤,721,0.00047227692898768185,0.114291016815019,0.17991712649167843,0.6352425644164855,64522.38848000017,1,0.953979730912611
主历史,STRESS,BUY_HOLD,上升高波动,99,-0.001492562176587359,-0.36120004673414086,0.31049877748863747,-1.1632897548118648,-39397.60000000012,0,0.9686234587811959
主历史,STRESS,BUY_HOLD,非上升,177,-0.0002327637266450874,-0.05632882184811115,0.15945555290914387,-0.35325719813725603,-12826.0,0,0.9646859133850829
较早历史,BASE,TREND_NOISE_REFERENCE_BLEND,上升高波动,138,0.00038970761399275517,0.09430924258624675,0.08974029268687668,1.0509130264964939,11556.499260000011,11,0.22868634463031673
