period,model,cost,entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage
early,MONTHLY_Z20,BASE,2018-08-01,873,220612.95706000004,2018-12-03,955,83,-10019.30263999998,-0.04541574880062471,210593.65442000006,-0.07110121304313943,43.902640000000005,127.59999999999266
early,MONTHLY_Z20,BASE,2019-02-01,997,210593.65442000006,2019-05-06,1054,58,22663.33455999996,0.10761641713477776,233256.98898000002,-0.029408081428176303,62.265440000000005,179.20000000000016
early,MONTHLY_Z20,BASE,2019-06-03,1074,233256.98898000002,2019-10-08,1158,85,3963.6030400000163,0.01699242992603267,237220.59202000004,-0.05537653454147806,77.79696000000001,203.20000000001198
early,MONTHLY_Z20,BASE,2019-11-01,1176,237220.59202000004,2019-12-02,1197,22,-3137.556500000006,-0.013226324381382049,234083.03552000003,-0.0412270380881804,90.0565,230.00000000000023
early,MONTHLY_Z20,STRESS,2015-01-05,0,200000.0,2015-10-08,183,184,11913.837519999972,0.05956918759999996,211913.83751999997,-0.13034404393971843,74.56248,206.39999999999884
early,MONTHLY_Z20,STRESS,2015-11-02,200,211913.83751999997,2015-12-01,221,22,833.6138399999763,0.00393373953185705,212747.45135999995,-0.029012548925428483,60.986160000000005,170.4000000000096
early,MONTHLY_Z20,STRESS,2016-01-04,244,212747.45135999995,2016-03-01,280,37,-21228.626160000014,-0.09978322195774769,191518.82519999993,-0.10441536318294353,67.22616000000001,176.40000000000998
early,MONTHLY_Z20,STRESS,2016-04-01,303,191518.82519999993,2016-05-03,323,21,-1584.866880000016,-0.008275253768630697,189933.95831999992,-0.017307533008366183,75.26688000000001,236.8000000000002
early,MONTHLY_Z20,STRESS,2016-06-01,344,189933.95831999992,2018-04-02,791,448,39176.31932000001,0.20626284876344192,229110.27763999993,-0.10820917683816167,300.78068,857.3000000000006
early,MONTHLY_Z20,STRESS,2018-06-01,831,229110.27763999993,2018-07-02,851,21,-9839.291599999997,-0.0429456578786066,219270.98603999993,-0.06403428481726581,108.29160000000002,296.0000000000003
early,MONTHLY_Z20,STRESS,2018-08-01,873,219270.98603999993,2018-12-03,955,83,-10126.454960000003,-0.046182375255760966,209144.53107999993,-0.07148111842366944,87.25496000000001,253.60000000000025
early,MONTHLY_Z20,STRESS,2019-02-01,997,209144.53107999993,2019-05-06,1054,58,22266.20523999998,0.10646324398261653,231410.7363199999,-0.02958270404300023,123.69476,356.00000000000034
early,MONTHLY_Z20,STRESS,2019-06-03,1074,231410.7363199999,2019-10-08,1158,85,3646.8367600000347,0.015759151100738444,235057.57307999994,-0.055526862870526994,154.06324,402.4000000000003
early,MONTHLY_Z20,STRESS,2019-11-01,1176,235057.57307999994,2019-12-02,1197,22,-3421.5335600000108,-0.014556151138493734,231636.03951999993,-0.04156688459392521,178.23356,455.2000000000004
early,MONTHLY_LOGVOL20,BASE,2015-03-02,35,200000.0,2015-08-03,142,108,17267.79258000001,0.08633896289999998,217267.79258,-0.10548920672918682,38.30742000000001,109.19999999998265
early,MONTHLY_LOGVOL20,BASE,2015-11-02,200,217267.79258,2015-12-01,221,22,976.0479599999962,0.004492372976268921,218243.84054,-0.028819301261551855,31.352040000000002,87.6000000000098
early,MONTHLY_LOGVOL20,BASE,2016-01-04,244,218243.84054,2016-02-01,264,21,-20700.392639999976,-0.0948498367183287,197543.44790000003,-0.10388331887810887,34.59264,103.2000000000001
early,MONTHLY_LOGVOL20,BASE,2016-04-01,303,197543.44790000003,2018-11-01,933,631,18317.56482000003,0.09272676474328168,215861.01272000006,-0.18579431465156926,186.13518,562.4000000000044
early,MONTHLY_LOGVOL20,STRESS,2015-03-02,35,200000.0,2015-08-03,142,108,17132.28515999997,0.08566142579999991,217132.28515999997,-0.10566760075305637,76.61484,206.39999999999884
early,MONTHLY_LOGVOL20,STRESS,2015-11-02,200,217132.28515999997,2015-12-01,221,22,857.0959199999925,0.003947344446582068,217989.38107999996,-0.02910958548442788,62.704080000000005,175.20000000000988
early,MONTHLY_LOGVOL20,STRESS,2016-01-04,244,217989.38107999996,2016-02-01,264,21,-20812.39559999999,-0.09547435520431169,197176.98547999997,-0.1043308141310495,69.1956,180.60000000000304
early,MONTHLY_LOGVOL20,STRESS,2016-04-01,303,197176.98547999997,2018-11-01,933,631,17606.62115999998,0.0892934898925406,214783.60663999995,-0.18651905599811414,369.37884,1078.8000000000156
main,MONTHLY_MOM20,BASE,2020-01-02,0,200000.0,2020-03-02,36,37,-10140.86196000001,-0.05070430980000007,189859.13804,-0.1063795068761183,66.26196,206.9999999999956
main,MONTHLY_MOM20,BASE,2020-05-06,79,189859.13804,2020-06-01,97,19,938.7010799999989,0.0049441975229143065,190797.83912,-0.024655604727107483,53.09891999999999,136.80000000000013
main,MONTHLY_MOM20,BASE,2020-09-01,161,190797.83912,2022-04-01,544,384,-14261.848779999942,-0.07474848166928205,176535.99034000005,-0.19181512241403387,134.04878000000002,403.2000000000153
main,MONTHLY_MOM20,BASE,2022-06-01,582,176535.99034000005,2022-08-01,624,43,2372.6996999999974,0.013440317158162962,178908.69004000004,-0.03723259401087364,36.00030000000001,130.20000000000493
main,MONTHLY_MOM20,BASE,2022-09-01,647,178908.69004000004,2022-10-10,668,22,-8141.907919999998,-0.04550873363490415,170766.78212000005,-0.0517788616380922,48.30792,150.9999999999968
main,MONTHLY_MOM20,BASE,2023-02-01,744,170766.78212000005,2023-03-01,764,21,-3830.050920000009,-0.022428547709639313,166936.73120000004,-0.034343547911189654,60.250919999999994,219.60000000000832
main,MONTHLY_MOM20,BASE,2023-08-01,867,166936.73120000004,2023-09-01,890,24,-5946.318840000022,-0.03562019453271781,160990.41236000002,-0.05049865847497392,41.118840000000006,129.50000000000875
main,MONTHLY_MOM20,BASE,2023-10-09,910,160990.41236000002,2023-11-01,927,18,-2779.8253799999948,-0.017267024410024256,158210.58698000002,-0.04740611518634219,50.12538,134.80000000000013
main,MONTHLY_MOM20,BASE,2023-12-01,949,158210.58698000002,2024-01-02,970,22,-2853.4781800000055,-0.018035949644512272,155357.10880000002,-0.05452080258756897,62.57818,177.20000000000016
main,MONTHLY_MOM20,BASE,2024-03-01,1007,155357.10880000002,2024-04-01,1028,22,802.8440199999895,0.005167732755850585,156159.95282,-0.01502596112863075,33.65598,95.60000000000008
main,MONTHLY_MOM20,BASE,2024-11-01,1169,156159.95282,2024-12-02,1190,22,186.37304000000586,0.0011934752581208574,156346.32586,-0.013980956628555585,10.826960000000001,27.200000000000024
main,MONTHLY_MOM20,BASE,2025-01-02,1212,156346.32586,2025-03-03,1248,37,-1303.4413800000038,-0.008336885263086846,155042.88448,-0.04016668652401423,46.941379999999995,145.50000000000983
main,MONTHLY_MOM20,BASE,2025-05-06,1290,155042.88448,2025-06-03,1309,20,865.49424,0.0055822893317729605,155908.37872,-0.010396324850246663,24.90576,63.60000000000005
main,MONTHLY_MOM20,BASE,2025-12-01,1432,155908.37872,2026-01-05,1455,24,3176.2093199999945,0.020372281118413937,159084.58804,-0.017446001429800684,46.39068,147.6000000000056
main,MONTHLY_MOM20,BASE,2026-04-01,1511,159084.58804,2026-05-06,1532,22,6965.329680000024,0.04378381190671132,166049.91772000003,-0.011380318556470703,38.670320000000004,123.59999999998638
main,MONTHLY_MOM20,BASE,2026-08-03,1594,166049.91772000003,2026-09-01,1615,22,675.0295199999819,0.004065220442555306,166724.94724,-0.01450682994040653,24.57048,79.200000000003
main,MONTHLY_MOM20,STRESS,2020-01-02,0,200000.0,2020-03-02,36,37,-10372.723920000019,-0.05186361960000008,189627.27607999998,-0.10661103491348856,132.52392,372.59999999999576
main,MONTHLY_MOM20,STRESS,2020-05-06,79,189627.27607999998,2020-06-01,97,19,746.6126799999911,0.00393726417124185,190373.88875999997,-0.02462631084926803,105.88731999999999,272.80000000000024
main,MONTHLY_MOM20,STRESS,2020-09-01,161,190373.88875999997,2022-04-01,544,384,-14619.805319999985,-0.07679522341654133,175754.08344,-0.19290246415657453,261.00532,719.9000000000226
main,MONTHLY_MOM20,STRESS,2022-06-01,582,175754.08344,2022-08-01,624,43,2239.5311999999976,0.01274241346867222,177993.61463999999,-0.03757015698556476,71.6688,215.9999999999954
main,MONTHLY_MOM20,STRESS,2022-09-01,647,177993.61463999999,2022-10-10,668,22,-8255.975999999995,-0.0463835515487343,169737.63864,-0.05218978959447673,95.976,269.99999999999693
main,MONTHLY_MOM20,STRESS,2023-02-01,744,169737.63864,2023-03-01,764,21,-4014.6433599999873,-0.02365205143754079,165722.99528,-0.034383677509032484,119.84336000000002,364.00000000002456
main,MONTHLY_MOM20,STRESS,2023-08-01,867,165722.99528,2023-09-01,890,24,-6067.5201599999855,-0.03661242152755273,159655.47512000002,-0.050694026806648695,81.92016000000001,232.19999999999732
main,MONTHLY_MOM20,STRESS,2023-10-09,910,159655.47512000002,2023-11-01,927,18,-2938.3583199999994,-0.01840436926946276,156717.11680000002,-0.047404255273855056,99.35832000000002,267.2000000000002
main,MONTHLY_MOM20,STRESS,2023-12-01,949,156717.11680000002,2024-01-02,970,22,-3065.3262800000084,-0.01955961379708082,153651.79052,-0.055303476588716816,124.02628000000001,351.19999999998083
main,MONTHLY_MOM20,STRESS,2024-03-01,1007,153651.79052,2024-04-01,1028,22,665.1329600000172,0.004328833121625353,154316.92348000003,-0.015008488687886623,66.46704,188.80000000000018
main,MONTHLY_MOM20,STRESS,2024-11-01,1169,154316.92348000003,2024-12-02,1190,22,146.16452000002027,0.0009471710341539819,154463.08800000005,-0.013942041767961988,21.33548,53.60000000000005
main,MONTHLY_MOM20,STRESS,2025-01-02,1212,154463.08800000005,2025-03-03,1248,37,-1454.8909200000053,-0.0094190200315043,153008.19708000004,-0.0407603401014488,92.19092,259.2000000000226
main,MONTHLY_MOM20,STRESS,2025-05-06,1290,153008.19708000004,2025-06-03,1309,20,767.21504000001,0.00501420874594638,153775.41212000005,-0.010564178500858112,49.184960000000004,125.60000000000011
main,MONTHLY_MOM20,STRESS,2025-12-01,1432,153775.41212000005,2026-01-05,1455,24,2994.450119999994,0.019472879823357214,156769.86224000005,-0.01747993669231418,91.64988,242.99999999999483
main,MONTHLY_MOM20,STRESS,2026-04-01,1511,156769.86224000005,2026-05-06,1532,22,6744.585679999989,0.04302220837366466,163514.44792000004,-0.011384448098682443,76.21432,203.0000000000137
main,MONTHLY_MOM20,STRESS,2026-08-03,1594,163514.44792000004,2026-09-01,1615,22,588.6036000000022,0.0035997039251722818,164103.05152000004,-0.014511872170225315,48.39640000000001,130.00000000000875
main,MONTHLY_Z20,BASE,2020-01-02,0,200000.0,2020-02-03,16,17,-16418.00628,-0.08209003140000004,183581.99372,-0.09670739044134324,65.00628,206.9999999999956
main,MONTHLY_Z20,BASE,2020-03-02,36,183581.99372,2020-05-06,79,44,-1089.3199800000002,-0.0059336972974671776,182492.67374,-0.044416399455088795,19.21998,49.2000000000055
main,MONTHLY_Z20,BASE,2020-09-01,161,182492.67374,2022-08-01,624,464,-12320.448659999995,-0.0675120179210762,170172.22508,-0.1914588841198661,142.24866000000003,437.4000000000166
main,MONTHLY_Z20,BASE,2023-09-01,890,170172.22508,2024-03-01,1007,118,-11772.937940000003,-0.0691824881202876,158399.28714,-0.12744779960093844,67.03794,179.999999999988
main,MONTHLY_Z20,BASE,2024-06-03,1068,158399.28714,2024-08-01,1110,43,-3386.7058400000387,-0.02138081490863486,155012.58129999996,-0.04604726377099666,57.505840000000006,162.40000000000015
main,MONTHLY_Z20,BASE,2024-11-01,1169,155012.58129999996,2025-02-05,1230,62,-2183.892380000005,-0.014088484700306103,152828.68891999996,-0.04960348717404994,45.992380000000004,128.5000000000116
main,MONTHLY_Z20,BASE,2025-03-03,1248,152828.68891999996,2025-06-03,1309,62,-2381.9781599999696,-0.015585935970744647,150446.71076,-0.07641545371244307,45.578160000000004,115.2000000000001
main,MONTHLY_Z20,BASE,2025-12-01,1432,150446.71076,2026-01-05,1455,24,3072.9179599999916,0.0204252917493295,153519.62871999998,-0.01749081576922762,44.88204,142.8000000000054
main,MONTHLY_Z20,BASE,2026-04-01,1511,153519.62871999998,2026-05-06,1532,22,6728.643720000022,0.04382920787459832,160248.27244,-0.011392102487063682,37.35628,119.39999999998685
main,MONTHLY_Z20,BASE,2026-08-03,1594,160248.27244,2026-09-01,1615,22,654.5740800000203,0.004084749682684352,160902.84652000002,-0.014575570169536145,23.82592,76.80000000000291
main,MONTHLY_Z20,STRESS,2020-01-02,0,200000.0,2020-02-03,16,17,-16648.61256000001,-0.08324306280000004,183351.38744,-0.0973225295120621,130.01256,372.5999999999957
main,MONTHLY_Z20,STRESS,2020-03-02,36,183351.38744,2020-05-06,79,44,-1157.7399600000062,-0.006314323421080514,182193.64747999999,-0.04447953513124514,38.43996,98.40000000000009
main,MONTHLY_Z20,STRESS,2020-09-01,161,182193.64747999999,2022-08-01,624,464,-12734.720599999971,-0.06989662250105566,169458.92688,-0.19257258885635686,277.92060000000004,773.6000000000231
main,MONTHLY_Z20,STRESS,2023-09-01,890,169458.92688,2024-03-01,1007,118,-11949.855280000018,-0.07051770892224607,157509.0716,-0.1279009056312117,129.75528000000003,358.39999999999435
main,MONTHLY_Z20,STRESS,2024-06-03,1068,157509.0716,2024-08-01,1110,43,-3588.8451199999836,-0.022785005863751095,153920.22648,-0.04611105717740982,114.44512000000002,323.1999999999823
main,MONTHLY_Z20,STRESS,2024-11-01,1169,153920.22648,2025-02-05,1230,62,-2327.8496400000004,-0.015123741000358182,151592.37684,-0.04985569305920712,91.34964000000002,242.80000000001417
main,MONTHLY_Z20,STRESS,2025-03-03,1248,151592.37684,2025-06-03,1309,62,-2512.7082000000228,-0.016575425838543878,149079.66864,-0.07627918020764668,90.20819999999999,228.00000000000023
main,MONTHLY_Z20,STRESS,2025-12-01,1432,149079.66864,2026-01-05,1455,24,2908.1902400000254,0.019507624792370448,151987.85888,-0.017510739796745334,89.00976,235.99999999999497
main,MONTHLY_Z20,STRESS,2026-04-01,1511,151987.85888,2026-05-06,1532,22,6545.238320000004,0.043064218209480254,158533.09720000002,-0.01139555430456507,73.96168,197.0000000000133
main,MONTHLY_Z20,STRESS,2026-08-03,1594,158533.09720000002,2026-09-01,1615,22,570.4927199999802,0.0035985717183097954,159103.58992,-0.014507368684770539,46.90728,126.0000000000085
main,MONTHLY_LOGVOL20,BASE,2020-01-02,0,200000.0,2020-03-02,36,37,-10140.86196000001,-0.05070430980000007,189859.13804,-0.1063795068761183,66.26196,206.9999999999956
main,MONTHLY_LOGVOL20,BASE,2020-05-06,79,189859.13804,2020-06-01,97,19,938.7010799999989,0.0049441975229143065,190797.83912,-0.024655604727107483,53.09891999999999,136.80000000000013
main,MONTHLY_LOGVOL20,BASE,2020-09-01,161,190797.83912,2022-05-05,563,403,-16856.929659999965,-0.08834968853812863,173940.90946000002,-0.19220233637444772,133.52965999999998,390.60000000001105
main,MONTHLY_LOGVOL20,BASE,2022-07-01,603,173940.90946000002,2022-11-01,684,82,-25346.637619999994,-0.14571981771676767,148594.27184000003,-0.1484721902407834,53.637620000000005,166.6999999999981
main,MONTHLY_LOGVOL20,BASE,2023-08-01,867,148594.27184000003,2023-11-01,927,61,-10105.124660000001,-0.06800480620733995,138489.14718000003,-0.09365414259389626,43.72466,131.1000000000078
main,MONTHLY_LOGVOL20,BASE,2024-02-01,992,138489.14718000003,2024-03-01,1007,16,7184.533140000014,0.05187795062859313,145673.68032000004,-0.006019562112849708,32.566860000000005,97.1999999999893
main,MONTHLY_LOGVOL20,BASE,2025-01-02,1212,145673.68032000004,2025-02-05,1230,19,-2627.2534400000004,-0.018035196435133183,143046.42688000004,-0.040294754049638004,43.25344,136.00000000000918
main,MONTHLY_LOGVOL20,BASE,2025-03-03,1248,143046.42688000004,2025-05-06,1290,43,-3082.0997799999896,-0.021546150066268477,139964.32710000005,-0.07625837879213448,42.39978000000001,107.6000000000001
main,MONTHLY_LOGVOL20,BASE,2025-06-03,1309,139964.32710000005,2025-09-01,1373,65,26202.822879999992,0.18721072306716358,166167.14998000005,-0.0235066073624276,60.377120000000005,176.49999999999625
main,MONTHLY_LOGVOL20,BASE,2025-12-01,1432,166167.14998000005,2026-03-02,1489,58,4486.156099999993,0.026997851865064426,170653.30608000004,-0.03802242584394189,63.3439,202.80000000000769
main,MONTHLY_LOGVOL20,STRESS,2020-01-02,0,200000.0,2020-03-02,36,37,-10372.723920000019,-0.05186361960000008,189627.27607999998,-0.10661103491348856,132.52392,372.59999999999576
main,MONTHLY_LOGVOL20,STRESS,2020-05-06,79,189627.27607999998,2020-06-01,97,19,746.6126799999911,0.00393726417124185,190373.88875999997,-0.02462631084926803,105.88731999999999,272.80000000000024
main,MONTHLY_LOGVOL20,STRESS,2020-09-01,161,190373.88875999997,2022-05-05,563,403,-17193.775319999986,-0.09031582761686285,173180.11344,-0.19334833148149222,259.97532,707.400000000024
main,MONTHLY_LOGVOL20,STRESS,2022-07-01,603,173180.11344,2022-11-01,684,82,-25378.53152000002,-0.14654414422007334,147801.58191999997,-0.14885739481243299,104.73152000000002,295.50000000001745
main,MONTHLY_LOGVOL20,STRESS,2023-08-01,867,147801.58191999997,2023-11-01,927,61,-10211.658919999987,-0.06909032222352818,137589.92299999998,-0.09388544490143902,83.15892,238.19999999999766
main,MONTHLY_LOGVOL20,STRESS,2024-02-01,992,137589.92299999998,2024-03-01,1007,16,6996.702359999996,0.05085185170137785,144586.62535999998,-0.006012180843037007,64.59764000000001,192.80000000000018
main,MONTHLY_LOGVOL20,STRESS,2025-01-02,1212,144586.62535999998,2025-02-05,1230,19,-2758.8708000000042,-0.019081092688419954,141827.75455999997,-0.04082307049703726,85.8708,243.0000000000212
main,MONTHLY_LOGVOL20,STRESS,2025-03-03,1248,141827.75455999997,2025-05-06,1290,43,-3208.0690799999866,-0.022619473106322174,138619.68548,-0.07637951758952088,84.16908000000001,213.6000000000002
main,MONTHLY_LOGVOL20,STRESS,2025-06-03,1309,138619.68548,2025-09-01,1373,65,25780.271999999997,0.1859784338041912,164399.95747999998,-0.023545801802968724,119.72800000000001,314.99999999999636
main,MONTHLY_LOGVOL20,STRESS,2025-12-01,1432,164399.95747999998,2026-03-02,1489,58,4238.412080000009,0.02578110204508799,168638.36956,-0.03799975066117389,125.18792000000002,333.99999999999284
main,MONTHLY_MEAN,BASE,2020-01-02,0,200000.0,2020-05-06,79,80,-11194.751140000037,-0.05597375570000018,188805.24885999996,-0.1063795068761183,66.05114,207.00000000000122
main,MONTHLY_MEAN,BASE,2020-09-01,161,188805.24885999996,2022-10-10,668,508,-23345.678140000004,-0.12364951864929852,165459.57071999996,-0.21228160666427642,168.37814000000003,500.5000000000103
main,MONTHLY_MEAN,BASE,2023-08-01,867,165459.57071999996,2024-01-02,970,104,-17395.590339999995,-0.10513499016287065,148063.98037999996,-0.13980698885979725,64.29034,194.89999999999537
main,MONTHLY_MEAN,BASE,2024-02-01,992,148063.98037999996,2024-03-01,1007,16,7687.154800000018,0.051917791081066866,155751.13517999998,-0.00602396728136545,34.845200000000006,103.99999999998855
main,MONTHLY_MEAN,BASE,2024-11-01,1169,155751.13517999998,2024-12-02,1190,22,186.37304000000586,0.0011966079077665448,155937.50822,-0.014017208947213478,10.826960000000001,27.200000000000024
main,MONTHLY_MEAN,BASE,2025-01-02,1212,155937.50822,2025-02-05,1230,19,-2810.7748199999915,-0.01802500791557149,153126.7334,-0.0402719905665041,46.274820000000005,145.50000000000983
main,MONTHLY_MEAN,BASE,2025-03-03,1248,153126.7334,2025-04-01,1269,22,-362.7820799999754,-0.002369162274573622,152763.95132000002,-0.02302831109752068,45.982079999999996,115.19999999998731
main,MONTHLY_MEAN,BASE,2025-05-06,1290,152763.95132000002,2025-06-03,1309,20,854.6075199999905,0.005594300963123189,153618.55884,-0.010418341543438792,24.592480000000002,62.800000000000054
main,MONTHLY_MEAN,STRESS,2020-01-02,0,200000.0,2020-05-06,79,80,-11426.40227999998,-0.057132011399999905,188573.59772000002,-0.10661103491348856,132.10228,372.59999999999576
main,MONTHLY_MEAN,STRESS,2020-09-01,161,188573.59772000002,2022-10-10,668,508,-23633.810479999986,-0.1253293714801592,164939.78724000003,-0.2134301001059331,327.51048000000003,902.1000000000245
main,MONTHLY_MEAN,STRESS,2023-08-01,867,164939.78724000003,2024-01-02,970,104,-17559.886679999996,-0.10646240651716743,147379.90056000004,-0.1400150186342759,124.78668000000002,362.3999999999788
main,MONTHLY_MEAN,STRESS,2024-02-01,992,147379.90056000004,2024-03-01,1007,16,7519.277639999986,0.051019695436276935,154899.17820000002,-0.0060310983019818964,69.42236,207.2000000000002
main,MONTHLY_MEAN,STRESS,2024-11-01,1169,154899.17820000002,2024-12-02,1190,22,146.16452000002027,0.0009436106872775518,155045.34272000004,-0.013890258249694587,21.33548,53.60000000000005
main,MONTHLY_MEAN,STRESS,2025-01-02,1212,155045.34272000004,2025-02-05,1230,19,-2953.0135600000212,-0.019046128753012148,152092.32916000002,-0.04074826685642219,91.91356000000002,260.1000000000227
main,MONTHLY_MEAN,STRESS,2025-03-03,1248,152092.32916000002,2025-04-01,1269,22,-520.3255200000131,-0.0034211161264591228,151572.00364,-0.02332957507377109,91.32552000000001,228.8000000000002
main,MONTHLY_MEAN,STRESS,2025-05-06,1290,151572.00364,2025-06-03,1309,20,762.3283200000005,0.005029479730376929,152334.33196,-0.010595851944300572,48.871680000000005,124.80000000000011
