period,model,cost,reused,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error,ending_shares,unfilled_requests,source
early,BUY_HOLD,STRESS,True,1219,244018.44672,44018.44672000001,0.040281711191537006,0.2837540157753378,0.2516753186789463,-0.4504213486795602,1,79.95328,221.6000000000002,0.9638788321706482,5.4569682106375694e-11,55400,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\early_BUY_HOLD_STRESS\ledger.parquet
early,ETF_VOL10,BASE,True,1219,286636.74690000014,86636.74690000014,0.07406255394127004,0.7178531006417013,0.10760982691550798,-0.21276804875993882,82,580.3531,1730.9000000000146,0.5998046387595299,7.66249286243692e-11,65400,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\early_ETF_VOL10_BASE\ledger.parquet
early,ETF_VOL10,STRESS,True,1219,283538.13156,83538.13156000001,0.07174747062553721,0.6978542759175911,0.10759936309164887,-0.21433055064705464,82,1143.96844,3300.2000000000126,0.5999783945940378,7.821654435247183e-11,64700,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\early_ETF_VOL10_STRESS\ledger.parquet
main,MONTHLY_MOM20,BASE,False,1624,166724.94724,-33275.05275999999,-0.026752155732935656,-0.31896000778962497,0.07592088371677175,-0.29540209202735035,46,777.75276,2371.600000000035,0.2886129751295001,4.473577064345591e-11,0,0.0,
main,MONTHLY_MOM20,STRESS,False,1624,164103.05152000004,-35896.94847999996,-0.02904826332209476,-0.3499981544660548,0.07593282302418523,-0.30073994174682794,46,1537.64848,4269.100000000054,0.2885814361714213,5.4569682106375694e-11,0,0.0,
main,MONTHLY_Z20,BASE,False,1624,160902.84652000002,-39097.15347999998,-0.031893513586464084,-0.37255046523130625,0.07865027123689912,-0.29093399336980663,39,548.6534800000001,1618.7000000000126,0.3249403990199824,4.318323476582009e-11,0,0.0,
main,MONTHLY_Z20,STRESS,False,1624,159103.58992,-40896.41008,-0.033514418764273524,-0.39373505216468885,0.07866932266956327,-0.2965579608337928,39,1082.01008,2956.000000000027,0.32485920743062446,4.1382008930668235e-11,0,0.0,
main,MONTHLY_LOGVOL20,BASE,False,1624,170653.30608000004,-29346.69391999996,-0.023368779640501436,-0.24004844433304984,0.08378458318159189,-0.3646151857432396,38,592.19392,1752.3000000000152,0.33913322477144303,4.473577064345591e-11,0,0.0,
main,MONTHLY_LOGVOL20,STRESS,False,1624,168638.36956,-31361.630440000008,-0.025095805871524157,-0.26114075867706027,0.08379123771673898,-0.36866739549247485,38,1165.83044,3184.900000000046,0.3391237288193492,5.4569682106375694e-11,0,0.0,
main,MONTHLY_MEAN,BASE,False,1624,153618.55884,-46381.44115999999,-0.038553890185236694,-0.4734786082541709,0.07677084344038468,-0.32133837495271655,36,461.24116000000004,1357.0999999999926,0.29149321752185026,3.944933268940076e-11,0,0.0,
main,MONTHLY_MEAN,STRESS,False,1624,152334.33196,-47665.66803999999,-0.039755884492968074,-0.4903489892661406,0.07669217597691905,-0.3227883522352506,35,907.2680400000002,2511.600000000022,0.29025761196893,4.865796654485166e-11,0,0.0,
main,MONTHLY_VOL10,BASE,False,1624,286208.55016,86208.55015999998,0.054859306705334676,0.48158954325709946,0.1276797634709183,-0.31113357176227063,49,587.64984,1782.3000000000047,0.6543414291358766,7.764811016386375e-11,41000,0.0,
main,MONTHLY_VOL10,STRESS,False,1624,283600.76651999995,83600.76651999995,0.053421492500308254,0.47091526399243105,0.12767718182282645,-0.31444439656037926,49,1164.13348,3212.300000000024,0.654541569383868,6.193090484885033e-11,40600,0.0,
main,BUY_HOLD,BASE,True,1624,245794.88935999997,45794.88935999997,0.03120072193302348,0.26097761645112616,0.17950709453877048,-0.4095181596707963,1,39.91064,145.2000000000055,0.9526022041653335,8.185452315956354e-11,48400,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\main_BUY_HOLD_BASE\ledger.parquet
main,BUY_HOLD,STRESS,True,1624,245658.13999999998,45658.139999999985,0.031115209781257258,0.26046555084381023,0.17961831268883494,-0.4097147841252322,1,79.86,241.99999999999483,0.9532084912704749,6.184563972055912e-11,48400,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\main_BUY_HOLD_STRESS\ledger.parquet
main,ETF_VOL10,BASE,True,1624,214724.5001599999,14724.500159999909,0.010642005755874706,0.14972280813451824,0.11456895182970402,-0.32965358688076196,145,924.0998400000001,2687.199999999977,0.6632160690729344,5.2949644668842666e-11,31800,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\main_ETF_VOL10_BASE\ledger.parquet
main,ETF_VOL10,STRESS,True,1624,212038.81371999992,12038.813719999918,0.00874825233002019,0.13335479607697423,0.11452567042495308,-0.33733138831491305,141,1718.78628,4767.700000000015,0.6634909446854078,5.616129783447832e-11,31400,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\main_ETF_VOL10_STRESS\ledger.parquet
