period,model,cost,year,partial_year,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error
early,MONTHLY_Z20,STRESS,2019,False,244,231636.03951999993,22491.508440000005,0.10661362908170502,1.0971120299930064,0.09654710362957702,-0.055526862870526994,10,455.99156,1213.600000000001,0.3896826441942332,4.581579560181126e-11
early,MONTHLY_LOGVOL20,BASE,2015,False,244,218243.84054,18243.840540000005,0.09043867344722156,0.8804962414680773,0.10454607800938244,-0.10548920672918682,5,69.65946,196.79999999999245,0.19959829803751108,4.1154635255225e-11
early,MONTHLY_LOGVOL20,BASE,2016,False,244,204079.43220000004,-14164.408339999965,-0.06438728160418294,-0.603050191890643,0.10176695103690325,-0.12493528427897405,8,92.10834,280.1999999999891,0.5994316743268417,3.842615114990622e-11
early,MONTHLY_LOGVOL20,BASE,2017,False,244,246241.08702000004,42161.654819999996,0.2047383832180265,1.9598040831904564,0.09749378398168716,-0.058803541813177485,6,61.845180000000006,190.5000000000099,0.8977287303892983,5.411493475548923e-11
early,MONTHLY_LOGVOL20,BASE,2018,False,243,206035.84418000007,-40205.24283999999,-0.1626618987859848,-1.4646695753243886,0.11652523532180749,-0.20465194445204138,5,90.94284000000002,267.5000000000137,0.49506523834831917,4.9965365178650245e-11
early,MONTHLY_LOGVOL20,BASE,2019,False,244,252868.9815200001,46833.137340000016,0.2252470253493737,1.857372115840708,0.11280549686499855,-0.07029049563306944,9,84.96266,225.59999999999576,0.6207957286778341,5.3432813729159534e-11
early,MONTHLY_LOGVOL20,STRESS,2015,False,244,217989.38107999996,17989.381079999963,0.0891777013774806,0.8690971250984685,0.10459089291515505,-0.10566760075305637,5,139.31892,381.6000000000087,0.19968374309636558,4.092726157978177e-11
early,MONTHLY_LOGVOL20,STRESS,2016,False,244,203468.17799999999,-14521.203079999977,-0.06608670464805366,-0.6203272783537319,0.10184859018018282,-0.126126943907923,8,183.10307999999998,533.8000000000034,0.5995249896914993,4.146727405895945e-11
early,MONTHLY_LOGVOL20,STRESS,2017,False,244,245258.75272,41790.574720000004,0.20354694661743644,1.9498218684485387,0.09748461625326042,-0.05909699979771044,6,122.52528000000001,354.29999999999745,0.8977047714245355,4.774847184307873e-11
early,MONTHLY_LOGVOL20,STRESS,2018,False,243,204916.30699999997,-40342.44571999999,-0.16387118544101809,-1.4784087605830734,0.11642691166333215,-0.20573630669385035,5,181.04572000000002,515.700000000018,0.49460016084081004,5.127276381244883e-11
early,MONTHLY_LOGVOL20,STRESS,2019,False,244,251197.37855999992,46281.07155999995,0.22380909394595916,1.846920959932478,0.1128076272715372,-0.07079318702571691,9,169.02844,448.8000000000004,0.6208264350329936,5.411493475548923e-11
early,MONTHLY_MEAN,BASE,2015,False,244,220099.76714000004,20099.76714000004,0.09963534111289318,0.8438428881539444,0.12128348770921699,-0.13015892300256293,4,34.03286000000001,97.99999999998685,0.3143232867970252,3.342393029015511e-11
early,MONTHLY_MEAN,BASE,2016,False,244,210547.97484000007,-9551.792299999972,-0.04304960933368274,-0.36416666126376646,0.10554270291203426,-0.10485239471117058,8,59.5923,183.1999999999917,0.6393359859088398,5.047695594839752e-11
early,MONTHLY_MEAN,BASE,2017,False,244,254055.26042000006,43507.28557999997,0.204781966608079,1.9591819649258957,0.09754581147603975,-0.058870401282601015,6,63.714420000000004,197.4000000000102,0.8980965355087217,4.956746124662459e-11
early,MONTHLY_MEAN,BASE,2018,False,243,214161.8952000001,-39893.36521999998,-0.15643354417768962,-1.3815241583018782,0.11804908317121479,-0.1987074884332699,5,70.56522000000001,205.10000000000616,0.5188139985132991,6.093614501878619e-11
early,MONTHLY_MEAN,BASE,2019,False,244,262784.6978800001,48622.80268000002,0.22498149386500765,1.856338778809011,0.11274793808557984,-0.0702339682694233,9,88.39732000000001,234.79999999999563,0.6202385085185843,4.1808334572124295e-11
early,MONTHLY_MEAN,STRESS,2015,False,244,219980.72231999997,19980.722319999943,0.09904545779917551,0.8393052889306436,0.12130239385964754,-0.13034404393971843,4,67.07768,183.9999999999988,0.31444617111035655,3.342393029015511e-11
early,MONTHLY_MEAN,STRESS,2016,False,244,210189.50251999998,-9791.219799999992,-0.04415278909943143,-0.3751497827006634,0.10552999717118214,-0.10541549548267715,8,118.31980000000001,355.60000000000025,0.6392817922435555,3.9392489270539954e-11
early,MONTHLY_MEAN,STRESS,2017,False,244,253358.79855999997,43169.29603999996,0.2035385620411716,1.9496866453317234,0.09748797486264833,-0.0591104183986344,6,126.40396000000001,365.4999999999974,0.8977162754898027,5.3660187404602766e-11
early,MONTHLY_MEAN,STRESS,2018,False,243,213417.43215999997,-39941.36640000003,-0.15705253544394682,-1.3906571362769362,0.1178206489089512,-0.19929374166818048,5,140.06640000000002,389.8000000000186,0.517963881277628,5.013589543523267e-11
early,MONTHLY_MEAN,STRESS,2019,False,244,261484.17963999993,48066.74747999996,0.22318585429711613,1.8440165879917407,0.11270253214228831,-0.07079131225475332,9,176.35252000000003,468.40000000000043,0.6202979037225935,4.5929482439532876e-11
early,MONTHLY_VOL10,BASE,2015,False,244,220099.76714000004,20099.76714000004,0.09963534111289318,0.8438428881539444,0.12128348770921699,-0.13015892300256293,4,34.03286000000001,97.99999999998685,0.3143232867970252,3.342393029015511e-11
early,MONTHLY_VOL10,BASE,2016,False,244,210547.97484000007,-9551.792299999972,-0.04304960933368274,-0.36416666126376646,0.10554270291203426,-0.10485239471117058,8,59.5923,183.1999999999917,0.6393359859088398,5.047695594839752e-11
early,MONTHLY_VOL10,BASE,2017,False,244,254055.26042000006,43507.28557999997,0.204781966608079,1.9591819649258957,0.09754581147603975,-0.058870401282601015,6,63.714420000000004,197.4000000000102,0.8980965355087217,4.956746124662459e-11
early,MONTHLY_VOL10,BASE,2018,False,243,214161.8952000001,-39893.36521999998,-0.15643354417768962,-1.3815241583018782,0.11804908317121479,-0.1987074884332699,5,70.56522000000001,205.10000000000616,0.5188139985132991,6.093614501878619e-11
early,MONTHLY_VOL10,BASE,2019,False,244,262784.6978800001,48622.80268000002,0.22498149386500765,1.856338778809011,0.11274793808557984,-0.0702339682694233,9,88.39732000000001,234.79999999999563,0.6202385085185843,4.1808334572124295e-11
early,MONTHLY_VOL10,STRESS,2015,False,244,219980.72231999997,19980.722319999943,0.09904545779917551,0.8393052889306436,0.12130239385964754,-0.13034404393971843,4,67.07768,183.9999999999988,0.31444617111035655,3.342393029015511e-11
early,MONTHLY_VOL10,STRESS,2016,False,244,210189.50251999998,-9791.219799999992,-0.04415278909943143,-0.3751497827006634,0.10552999717118214,-0.10541549548267715,8,118.31980000000001,355.60000000000025,0.6392817922435555,3.9392489270539954e-11
early,MONTHLY_VOL10,STRESS,2017,False,244,253358.79855999997,43169.29603999996,0.2035385620411716,1.9496866453317234,0.09748797486264833,-0.0591104183986344,6,126.40396000000001,365.4999999999974,0.8977162754898027,5.3660187404602766e-11
early,MONTHLY_VOL10,STRESS,2018,False,243,213417.43215999997,-39941.36640000003,-0.15705253544394682,-1.3906571362769362,0.1178206489089512,-0.19929374166818048,5,140.06640000000002,389.8000000000186,0.517963881277628,5.013589543523267e-11
early,MONTHLY_VOL10,STRESS,2019,False,244,261484.17963999993,48066.74747999996,0.22318585429711613,1.8440165879917407,0.11270253214228831,-0.07079131225475332,9,176.35252000000003,468.40000000000043,0.6202979037225935,4.5929482439532876e-11
early,BUY_HOLD,BASE,2015,False,244,211427.84552000003,11427.845520000032,0.05665785001998458,0.3460119360486186,0.4350739619955508,-0.43466162819451115,1,39.954480000000004,110.79999999998779,0.9906242317356818,4.729372449219227e-11
early,BUY_HOLD,BASE,2016,False,244,190985.24552000003,-20442.600000000006,-0.0959350762729646,-0.40186790215491414,0.20051785749300552,-0.23006051960832563,0,0.0,0.0,0.9739326622920318,2.8194335754960775e-11
early,BUY_HOLD,BASE,2017,False,244,233809.44551999998,42824.19999999995,0.22219936121839834,1.9687346347172605,0.10473700035089835,-0.05958847248503196,0,0.0,0.0,0.9631673667014324,2.7284841053187847e-11
early,BUY_HOLD,BASE,2018,False,243,180016.04552,-53793.399999999965,-0.2292448192644463,-1.1579700719660369,0.20638273395388013,-0.2922695615592902,0,0.0,0.0,0.9504537085805125,2.5920599000528455e-11
early,BUY_HOLD,BASE,2019,False,244,244169.24552000003,64153.20000000001,0.35299024139827173,1.7475188069902752,0.18255793564005285,-0.12633350787105357,0,0.0,0.0,0.937673712314042,2.546585164964199e-11
early,BUY_HOLD,STRESS,2015,False,244,211277.04672,11277.046720000013,0.05591037463670823,0.3444450629356903,0.4353397262480663,-0.43488312260291695,1,79.95328,221.6000000000002,0.9913142163882507,5.4569682106375694e-11
early,BUY_HOLD,STRESS,2016,False,244,190834.44672,-20442.600000000006,-0.09600357889213063,-0.4017467584787717,0.200683252793763,-0.23022472509502145,0,0.0,0.0,0.9747284060099238,2.8194335754960775e-11
early,BUY_HOLD,STRESS,2017,False,244,233658.64671999996,42824.19999999995,0.22237480406150723,1.9688079596053027,0.1048099307377603,-0.05962510574846125,0,0.0,0.0,0.9638530223829878,2.7284841053187847e-11
early,BUY_HOLD,STRESS,2018,False,243,179865.24672,-53793.399999999965,-0.22939285259943776,-1.1578981192496922,0.20653427699168342,-0.2924433147665295,0,0.0,0.0,0.9511358932824813,2.5920599000528455e-11
early,BUY_HOLD,STRESS,2019,False,244,244018.44672,64153.20000000001,0.353285836887542,1.7476358967042982,0.1826838641019383,-0.1264122590004152,0,0.0,0.0,0.9383103976302198,2.546585164964199e-11
early,ETF_VOL10,BASE,2015,False,244,225422.06570000004,25422.065700000036,0.12600540500975055,1.099345763275428,0.11386495588266793,-0.10590924260368817,10,56.734300000000005,159.7000000000054,0.30051789971499654,3.410605131648481e-11
early,ETF_VOL10,BASE,2016,False,244,223911.69814000005,-1510.3675599999842,-0.006645439614178739,-0.012320625588361988,0.10393706079656787,-0.08540912665409928,20,141.96756000000002,426.9999999999877,0.6366474150047161,3.2741809263825417e-11
early,ETF_VOL10,BASE,2017,False,244,272567.34022,48655.64207999996,0.21533794321812327,2.0678229425246193,0.09659842941737455,-0.05162431951850932,8,73.25792,218.90000000000452,0.9082480487681948,7.463540896424092e-11
early,ETF_VOL10,BASE,2018,False,243,230367.42550000007,-42199.91471999994,-0.1542385594354072,-1.4558281361607852,0.11081299304872323,-0.20783721063327154,21,141.71472,432.8000000000111,0.5276481703447745,7.66249286243692e-11
early,ETF_VOL10,BASE,2019,False,244,286636.74690000014,56269.32140000007,0.24203215689256252,2.010750993058092,0.11087515093485134,-0.05644351032102912,23,166.67860000000002,492.5000000000059,0.6256659367337601,7.139533408917487e-11
early,ETF_VOL10,STRESS,2015,False,244,224671.60844000004,24671.60844000001,0.12228747264406592,1.0700682005919,0.11389112997354858,-0.10623141454432172,10,106.89156000000001,302.8000000000003,0.30122016126934475,3.7047698242531624e-11
early,ETF_VOL10,STRESS,2016,False,244,222617.09736000007,-2054.5110799999675,-0.009069892907020538,-0.035992029935558875,0.10381540642463948,-0.08592451184216043,20,280.11108,853.1999999999862,0.636686147170384,4.0472514228895307e-11
early,ETF_VOL10,STRESS,2017,False,244,270678.90428,48061.806919999915,0.2139478379774844,2.0566824737972786,0.09656311438496662,-0.05183509308668999,8,145.59308000000001,410.10000000001094,0.9079038088229792,4.729372449219227e-11
early,ETF_VOL10,STRESS,2018,False,243,228426.68292000005,-42252.22135999997,-0.1555075974208736,-1.468174168846594,0.11089681794022026,-0.20927512033533935,21,281.02136,802.00000000001,0.5282715723396224,5.2295945351943374e-11
early,ETF_VOL10,STRESS,2019,False,244,283538.13156,55111.44863999996,0.23906833246046344,1.9894021095772796,0.11086234791484291,-0.056668608952340715,23,330.35136000000006,932.1000000000051,0.6255164029487834,7.821654435247183e-11
main,MONTHLY_MOM20,BASE,2020,False,243,201181.62076000002,1181.620760000049,0.005883719229820228,0.10916821099635929,0.1054061071223694,-0.1063795068761183,7,145.97924,423.5999999999988,0.35995858488355204,3.5697667044587433e-11
main,MONTHLY_MOM20,BASE,2021,False,243,195840.68502,-5340.935740000015,-0.02644003824008212,-0.18139492945038516,0.11274136020127835,-0.10523977050583433,9,72.13574000000001,206.1000000000078,0.6440438918531297,4.473577064345591e-11
main,MONTHLY_MOM20,BASE,2022,False,242,170766.78212000005,-25073.902899999957,-0.1280321445844581,-1.6654215307160392,0.08030683116643664,-0.1280321445844581,7,119.6029,398.50000000000614,0.3065482078502426,3.387867764104158e-11
main,MONTHLY_MOM20,BASE,2023,False,242,155343.81880000004,-15422.96332000001,-0.09031594510671337,-1.3539718195069559,0.06818889427591968,-0.12818223004371143,7,183.06332,572.5000000000271,0.2745684479471758,2.7284841053187847e-11
main,MONTHLY_MOM20,BASE,2024,False,242,156346.32586,1002.5070599999744,0.006453472482807143,0.34096661791260663,0.019416638112263133,-0.01502596112863075,5,75.49294,211.39999999999034,0.0623409391787552,3.183231456205249e-11
main,MONTHLY_MOM20,BASE,2025,False,243,158443.90564,2097.57978,0.013360661620110736,0.30324151742870237,0.04747152788427336,-0.04016668652401423,6,94.72022,282.9000000000127,0.200580043204854,3.717559593496844e-11
main,MONTHLY_MOM20,BASE,2026,True,169,166724.94724,8281.041600000026,0.07567734866494802,1.9025788740428016,0.03873861069174064,-0.01450682994040653,5,86.75840000000001,276.5999999999922,0.11998332118509494,3.89945853385143e-11
main,MONTHLY_MOM20,STRESS,2020,False,243,200658.36971999996,658.3697199999297,0.003278279717277899,0.08457518889277384,0.10541912763314379,-0.10661103491348856,7,290.53028,782.9000000000143,0.3598762875978388,4.9681148084346205e-11
main,MONTHLY_MOM20,STRESS,2021,False,243,195107.53928,-5550.8304399999615,-0.02755083244830614,-0.1918128602899379,0.11263266060778639,-0.10567930456617736,9,139.53044,377.500000000005,0.6432867068105301,5.4569682106375694e-11
main,MONTHLY_MOM20,STRESS,2022,False,242,169737.63864,-25369.900640000007,-0.13003034497601607,-1.6928007351281529,0.08035996314582416,-0.13003034497601607,7,237.00064000000003,690.8999999999917,0.306538984226537,3.04964942188235e-11
main,MONTHLY_MOM20,STRESS,2023,False,242,153757.1154,-15980.52323999998,-0.09414837727237035,-1.4145231416111699,0.06825040154840462,-0.13137201844777813,7,363.72324000000003,1039.0000000000223,0.27499499671984134,3.83124643121846e-11
main,MONTHLY_MOM20,STRESS,2024,False,242,154463.08800000005,705.9726000000373,0.004591479218138517,0.2471948751929332,0.019280316774054177,-0.015008488687886623,5,149.2274,417.9999999999809,0.06224293643404582,2.6147972675971687e-11
main,MONTHLY_MOM20,STRESS,2025,False,243,156208.80440000008,1745.716400000034,0.011255065059528002,0.2582325139534053,0.04774095645296538,-0.0407603401014488,6,186.5836,506.3000000000202,0.20086121689722575,3.751665644813329e-11
main,MONTHLY_MOM20,STRESS,2026,True,169,164103.05152000004,7894.247119999956,0.07314832273625971,1.8457413540053345,0.03865409071699461,-0.014511872170225315,5,171.05288000000002,454.5000000000199,0.12002576916607106,4.368416739453096e-11
main,MONTHLY_Z20,BASE,2020,False,243,192433.72918000002,-7566.270819999947,-0.03767864013164246,-0.36978635505995394,0.09222117063436232,-0.12647352833591596,6,109.87082,332.70000000000397,0.3043754844533838,3.54702933691442e-11
main,MONTHLY_Z20,BASE,2021,False,243,187495.69376000005,-4938.035419999971,-0.025556726587464773,-0.17458822772170415,0.11225405920590094,-0.10533642186656433,8,68.33542,197.10000000000747,0.6355539704794024,4.0472514228895307e-11
main,MONTHLY_Z20,BASE,2022,False,242,170172.22508,-17323.46868000005,-0.09239395493623759,-1.1703315709491113,0.08008325381348771,-0.12423599504006033,5,48.26868,163.8000000000062,0.2918620009094028,4.318323476582009e-11
main,MONTHLY_Z20,BASE,2023,False,242,157727.05184,-12445.173240000004,-0.07313281138651961,-1.2801799469991373,0.05800656193932385,-0.11756630256288492,2,33.973240000000004,89.99999999999577,0.2626451605992885,3.9335645851679146e-11
main,MONTHLY_Z20,BASE,2024,False,242,155600.02881999995,-2127.0230200000515,-0.013485467427348685,-0.17868974341867275,0.06442280293373576,-0.04787206704186375,7,103.72302,285.3999999999961,0.3109019553440855,2.8109070626669563e-11
main,MONTHLY_Z20,BASE,2025,False,243,152899.78152000002,-2700.24729999993,-0.017282977234044483,-0.19996631997305553,0.07351783255248774,-0.07641545371244307,6,100.54729999999999,282.1000000000107,0.2861902659961903,3.303313178548706e-11
main,MONTHLY_Z20,BASE,2026,True,169,160902.84652000002,8003.065000000002,0.07579018607424914,1.9016089211457659,0.0388150928867027,-0.014575570169536145,5,83.935,267.59999999999246,0.12027875470022514,4.305888978706207e-11
main,MONTHLY_Z20,STRESS,2020,False,243,192029.88595999996,-7970.114040000073,-0.03968987455928352,-0.39059812144668726,0.09257416429363237,-0.12775312009694395,6,218.21404,602.2000000000133,0.30462508436152097,3.319655661471188e-11
main,MONTHLY_Z20,STRESS,2021,False,243,186883.73443999997,-5146.151519999956,-0.026689903415513583,-0.1854869420262337,0.11205227687623376,-0.10561779560077778,8,133.35152000000002,360.90000000000805,0.6346178222918809,4.1040948417503387e-11
main,MONTHLY_Z20,STRESS,2022,False,242,169458.92688,-17424.807559999957,-0.09323875944695592,-1.1821349185962904,0.08007186168183562,-0.12468682643689999,5,94.80756000000002,281.4999999999975,0.29187387936948883,4.1382008930668235e-11
main,MONTHLY_Z20,STRESS,2023,False,242,156962.45328000002,-12496.473599999998,-0.0737433774076075,-1.2921040219188051,0.05798217417915573,-0.11768445006190131,2,67.6736,179.20000000000016,0.26240769043952133,3.033306938959868e-11
main,MONTHLY_Z20,STRESS,2024,False,242,154459.56836000003,-2502.8849199999822,-0.015945755610325296,-0.21672744474406486,0.06458789152926962,-0.048253918065926826,7,202.68492000000003,567.9999999999809,0.31145916073005925,3.0809133022557944e-11
main,MONTHLY_Z20,STRESS,2025,False,243,151442.9632,-3016.6051600000355,-0.019450479502372442,-0.23022019052343398,0.07346445281356985,-0.07627918020764668,6,199.30516,523.2000000000074,0.2861407894042038,3.751665644813329e-11
main,MONTHLY_Z20,STRESS,2026,True,169,159103.58992,7660.62672,0.07321814344449562,1.8462234317329151,0.038679774241936866,-0.014507368684770539,5,165.97328,441.0000000000193,0.12008199961468108,2.55226950685028e-11
main,MONTHLY_LOGVOL20,BASE,2020,False,243,201181.62076000002,1181.620760000049,0.005883719229820228,0.10916821099635929,0.1054061071223694,-0.1063795068761183,7,145.97924,423.5999999999988,0.35995858488355204,3.5697667044587433e-11
main,MONTHLY_LOGVOL20,BASE,2021,False,243,195840.68502,-5340.935740000015,-0.02644003824008212,-0.18139492945038516,0.11274136020127835,-0.10523977050583433,9,72.13574000000001,206.1000000000078,0.6440438918531297,4.473577064345591e-11
main,MONTHLY_LOGVOL20,BASE,2022,False,242,148594.27184000003,-47246.413179999974,-0.24124922344493938,-2.857551807277881,0.09498423017610046,-0.2436938134439537,8,88.41318,271.3999999999984,0.41635882575582567,3.888089850079268e-11
main,MONTHLY_LOGVOL20,BASE,2023,False,242,138489.14718000003,-10105.124660000001,-0.06800480620733995,-1.5207221637505621,0.045622766551439986,-0.09365414259389626,3,43.72466,131.1000000000078,0.16958028392650015,2.5561774918969604e-11
main,MONTHLY_LOGVOL20,BASE,2024,False,242,145673.68032000004,7184.533140000014,0.05187795062859313,1.8982951099576035,0.026833842324320158,-0.006019562112849708,2,32.566860000000005,97.1999999999893,0.03564214568995791,2.9103830456733704e-11
main,MONTHLY_LOGVOL20,BASE,2025,False,243,168877.89624000006,23204.215920000017,0.15858407389883955,1.615337636325343,0.09389212112154414,-0.07625837879213448,7,170.48408,499.0000000000085,0.5124152365372362,3.7687186704715714e-11
main,MONTHLY_LOGVOL20,BASE,2026,True,169,170653.30608000004,1775.4098399999784,0.015088202178130006,0.2915720297650517,0.05687569134490037,-0.03802242584394189,2,38.89016,123.9000000000047,0.18840348463413442,2.4272139853565022e-11
main,MONTHLY_LOGVOL20,STRESS,2020,False,243,200658.36971999996,658.3697199999297,0.003278279717277899,0.08457518889277384,0.10541912763314379,-0.10661103491348856,7,290.53028,782.9000000000143,0.3598762875978388,4.9681148084346205e-11
main,MONTHLY_LOGVOL20,STRESS,2021,False,243,195107.53928,-5550.8304399999615,-0.02755083244830614,-0.1918128602899379,0.11263266060778639,-0.10567930456617736,9,139.53044,377.500000000005,0.6432867068105301,5.4569682106375694e-11
main,MONTHLY_LOGVOL20,STRESS,2022,False,242,147801.58191999997,-47305.95736000003,-0.24246093992355144,-2.875990304435962,0.09493208893825085,-0.2445142127057225,8,173.05736000000002,487.90000000001817,0.41625511049773545,3.183231456205249e-11
main,MONTHLY_LOGVOL20,STRESS,2023,False,242,137589.92299999998,-10211.658919999987,-0.06909032222352818,-1.5450908717756986,0.04565625413296465,-0.09388544490143902,3,83.15892,238.19999999999766,0.16991582019441173,3.529976311256178e-11
main,MONTHLY_LOGVOL20,STRESS,2024,False,242,144586.62535999998,6996.702359999996,0.05085185170137785,1.8655183973445617,0.02678128987783076,-0.006012180843037007,2,64.59764000000001,192.80000000000018,0.035597663349070024,2.3646862246096134e-11
main,MONTHLY_LOGVOL20,STRESS,2025,False,243,167003.58707999997,22416.961719999992,0.1543568234714381,1.5730005963783948,0.09410707025161913,-0.07637951758952088,7,338.13828,901.600000000015,0.5130839225203594,3.1889157980913296e-11
main,MONTHLY_LOGVOL20,STRESS,2026,True,169,168638.36956,1634.7824800000235,0.014046830724893988,0.2734643104372445,0.056891810669955335,-0.03799975066117389,2,76.81752000000002,203.99999999999565,0.18828955639625847,2.6830093702301383e-11
main,MONTHLY_MEAN,BASE,2020,False,243,199063.92263999998,-936.0773599999957,-0.0046611709080830455,0.009862152407023001,0.10615846451093662,-0.1063795068761183,6,92.37736000000001,285.9000000000042,0.35325973503053365,3.8198777474462986e-11
main,MONTHLY_MEAN,BASE,2021,False,243,193755.49689999997,-5308.425740000006,-0.02655867018337732,-0.18258998373059854,0.11269740453037844,-0.10529678364042094,9,71.62574000000001,203.70000000000772,0.6437209934958068,3.944933268940076e-11
main,MONTHLY_MEAN,BASE,2022,False,242,165459.57071999996,-28295.92618000001,-0.1460393466648533,-1.6626194801716792,0.09236208652025656,-0.1460393466648533,7,70.42618,217.89999999999958,0.4300239936391417,3.9108272176235914e-11
main,MONTHLY_MEAN,BASE,2023,False,242,148051.29037999996,-17408.280339999998,-0.10521168563563643,-1.7141478912486194,0.06366117830317937,-0.13980698885979725,3,34.68034,110.30000000000469,0.32145348657712325,3.842615114990622e-11
main,MONTHLY_MEAN,BASE,2024,False,242,155937.50822,7886.217840000027,0.05326679571490822,1.7875090877411164,0.029273380095751044,-0.014017208947213478,5,75.28216,215.79999999997924,0.05101488827458152,1.9326762412674725e-11
main,MONTHLY_MEAN,BASE,2025,False,243,153618.55884,-2318.9493799999764,-0.014810275117498217,-0.30717379068019157,0.045255583894386164,-0.0402719905665041,6,116.84938,323.49999999999716,0.1519156997892974,3.4503955248510465e-11
main,MONTHLY_MEAN,BASE,2026,True,169,153618.55884,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0
main,MONTHLY_MEAN,STRESS,2020,False,243,198750.06968000002,-1249.930320000014,-0.0062240130729073195,-0.004783927214562796,0.10629843865471386,-0.10661103491348856,6,183.63032,508.50000000001387,0.3537014422317576,3.348077370901592e-11
