period,origin,status,sample_count,window_start,window_end,independent_budget_reference,saved_budget_reference,budget_absolute_error,whole_window_at_or_before_origin
evaluation,2023-03-01,UPDATED,242,2022-03-03,2023-03-01,0.6275988033570093,0.6275988033570095,1.1102230246251565e-16,True
evaluation,2023-04-03,UPDATED,242,2022-04-07,2023-04-03,0.6999977935049351,0.6999977935049353,2.220446049250313e-16,True
evaluation,2023-05-04,UPDATED,242,2022-05-09,2023-05-04,0.7511348011228487,0.7511348011228487,0.0,True
evaluation,2023-06-01,UPDATED,242,2022-06-07,2023-06-01,0.7885687969197767,0.7885687969197768,1.1102230246251565e-16,True
evaluation,2023-07-03,UPDATED,242,2022-07-05,2023-07-03,0.7963513506666069,0.7963513506666069,0.0,True
evaluation,2023-08-01,UPDATED,242,2022-08-03,2023-08-01,0.7963513506666069,0.7963513506666069,0.0,True
evaluation,2023-09-01,DEGENERATE_RISK,242,2022-09-05,2023-09-01,0.7963513506666069,0.7963513506666069,0.0,True
evaluation,2023-10-09,DEGENERATE_RISK,242,2022-10-11,2023-10-09,0.7963513506666069,0.7963513506666069,0.0,True
evaluation,2023-11-01,DEGENERATE_RISK,242,2022-11-03,2023-11-01,0.7963513506666069,0.7963513506666069,0.0,True
evaluation,2023-12-01,DEGENERATE_RISK,242,2022-12-05,2023-12-01,0.7963513506666069,0.7963513506666069,0.0,True
evaluation,2024-01-02,DEGENERATE_RISK,242,2023-01-04,2024-01-02,0.7963513506666069,0.7963513506666069,0.0,True
evaluation,2024-02-01,DEGENERATE_RISK,242,2023-02-10,2024-02-01,0.7963513506666069,0.7963513506666069,0.0,True
evaluation,2024-03-01,UPDATED,242,2023-03-03,2024-03-01,0.8914794939796955,0.8914794939796955,0.0,True
evaluation,2024-04-01,UPDATED,242,2023-04-03,2024-04-01,0.9655251228950915,0.9655251228950916,1.1102230246251565e-16,True
evaluation,2024-05-06,UPDATED,242,2023-05-05,2024-05-06,0.9831554700429974,0.9831554700429972,2.220446049250313e-16,True
evaluation,2024-06-03,UPDATED,242,2023-06-02,2024-06-03,0.9857840720907617,0.9857840720907618,1.1102230246251565e-16,True
evaluation,2024-07-01,UPDATED,242,2023-07-03,2024-07-01,0.9637982608360356,0.9637982608360358,2.220446049250313e-16,True
evaluation,2024-08-01,UPDATED,242,2023-08-03,2024-08-01,0.9280134078846681,0.9280134078846682,1.1102230246251565e-16,True
evaluation,2024-09-02,UPDATED,242,2023-09-04,2024-09-02,0.8997971341841683,0.8997971341841685,2.220446049250313e-16,True
evaluation,2024-10-08,UPDATED,242,2023-10-09,2024-10-08,0.6567465742506098,0.6567465742506098,0.0,True
evaluation,2024-11-01,UPDATED,242,2023-11-02,2024-11-01,0.6897125395813066,0.6897125395813067,1.1102230246251565e-16,True
evaluation,2024-12-02,UPDATED,242,2023-12-01,2024-12-02,0.6897125395813066,0.6897125395813067,1.1102230246251565e-16,True
evaluation,2025-01-02,UPDATED,242,2024-01-03,2025-01-02,0.6897125395813066,0.6897125395813067,1.1102230246251565e-16,True
evaluation,2025-02-05,UPDATED,242,2024-01-29,2025-02-05,0.6897125395813066,0.6897125395813067,1.1102230246251565e-16,True
evaluation,2025-03-03,UPDATED,242,2024-03-01,2025-03-03,0.6951243237079944,0.6951243237079946,2.220446049250313e-16,True
evaluation,2025-04-01,UPDATED,242,2024-04-01,2025-04-01,0.6550509174576655,0.6550509174576653,2.220446049250313e-16,True
evaluation,2025-05-06,UPDATED,242,2024-05-07,2025-05-06,0.31796608594475145,0.3179660859447514,5.551115123125783e-17,True
evaluation,2025-06-03,UPDATED,242,2024-06-03,2025-06-03,0.1920439948505706,0.1920439948505705,1.1102230246251565e-16,True
evaluation,2025-07-01,UPDATED,242,2024-07-02,2025-07-01,0.23361235096141797,0.2336123509614179,8.326672684688674e-17,True
evaluation,2025-08-01,UPDATED,242,2024-08-02,2025-08-01,0.42809720048897987,0.4280972004889798,5.551115123125783e-17,True
evaluation,2025-09-01,UPDATED,242,2024-09-02,2025-09-01,0.43589332580470086,0.435893325804701,1.6653345369377348e-16,True
evaluation,2025-10-09,UPDATED,242,2024-10-11,2025-10-09,0.7675721275818881,0.7675721275818883,2.220446049250313e-16,True
evaluation,2025-11-03,UPDATED,242,2024-11-05,2025-11-03,0.7435116741503691,0.7435116741503691,0.0,True
evaluation,2025-12-01,UPDATED,242,2024-12-03,2025-12-01,0.7435116741503691,0.743511674150369,1.1102230246251565e-16,True
evaluation,2026-01-05,UPDATED,242,2025-01-06,2026-01-05,0.6116947953401125,0.6116947953401127,2.220446049250313e-16,True
evaluation,2026-02-02,UPDATED,242,2025-02-11,2026-02-02,0.5447498410745942,0.5447498410745942,0.0,True
evaluation,2026-03-02,UPDATED,242,2025-03-03,2026-03-02,0.5420187013696749,0.5420187013696749,0.0,True
evaluation,2026-04-01,UPDATED,242,2025-04-02,2026-04-01,0.5420187013696749,0.542018701369675,1.1102230246251565e-16,True
evaluation,2026-05-06,UPDATED,242,2025-05-07,2026-05-06,0.6517179259753169,0.6517179259753169,0.0,True
evaluation,2026-06-01,UPDATED,242,2025-06-03,2026-06-01,0.6358109611166322,0.6358109611166319,2.220446049250313e-16,True
evaluation,2026-07-01,UPDATED,242,2025-07-02,2026-07-01,0.4984480123279162,0.4984480123279163,1.1102230246251565e-16,True
evaluation,2026-08-03,UPDATED,242,2025-08-04,2026-08-03,0.2786555829175785,0.2786555829175786,5.551115123125783e-17,True
earlier_diagnostic,2014-12-31,INITIAL_HALF,0,,,0.5,0.5,0.0,True
earlier_diagnostic,2015-01-05,INSUFFICIENT_WINDOW,1,2015-01-05,2015-01-05,0.5,0.5,0.0,True
earlier_diagnostic,2015-02-02,INSUFFICIENT_WINDOW,21,2015-01-05,2015-02-02,0.5,0.5,0.0,True
earlier_diagnostic,2015-03-02,INSUFFICIENT_WINDOW,36,2015-01-05,2015-03-02,0.5,0.5,0.0,True
earlier_diagnostic,2015-04-01,INSUFFICIENT_WINDOW,58,2015-01-05,2015-04-01,0.5,0.5,0.0,True
earlier_diagnostic,2015-05-04,INSUFFICIENT_WINDOW,79,2015-01-05,2015-05-04,0.5,0.5,0.0,True
earlier_diagnostic,2015-06-01,INSUFFICIENT_WINDOW,99,2015-01-05,2015-06-01,0.5,0.5,0.0,True
earlier_diagnostic,2015-07-01,INSUFFICIENT_WINDOW,120,2015-01-05,2015-07-01,0.5,0.5,0.0,True
earlier_diagnostic,2015-08-03,INSUFFICIENT_WINDOW,143,2015-01-05,2015-08-03,0.5,0.5,0.0,True
earlier_diagnostic,2015-09-01,INSUFFICIENT_WINDOW,164,2015-01-05,2015-09-01,0.5,0.5,0.0,True
earlier_diagnostic,2015-10-08,INSUFFICIENT_WINDOW,184,2015-01-05,2015-10-08,0.5,0.5,0.0,True
earlier_diagnostic,2015-11-02,INSUFFICIENT_WINDOW,201,2015-01-05,2015-11-02,0.5,0.5,0.0,True
earlier_diagnostic,2015-12-01,INSUFFICIENT_WINDOW,222,2015-01-05,2015-12-01,0.5,0.5,0.0,True
earlier_diagnostic,2016-01-04,UPDATED,242,2015-01-08,2016-01-04,0.07310629483104038,0.0731062948310404,2.7755575615628914e-17,True
earlier_diagnostic,2016-02-01,UPDATED,242,2015-02-05,2016-02-01,0.01255347860092061,0.0125534786009207,9.020562075079397e-17,True
earlier_diagnostic,2016-03-01,UPDATED,242,2015-03-06,2016-03-01,0.0025059854191997423,0.0025059854191997,4.206704429243757e-17,True
earlier_diagnostic,2016-04-01,UPDATED,242,2015-04-09,2016-04-01,0.0,0.0,0.0,True
earlier_diagnostic,2016-05-03,DEGENERATE_RISK,242,2015-05-08,2016-05-03,0.0,0.0,0.0,True
earlier_diagnostic,2016-06-01,DEGENERATE_RISK,242,2015-06-08,2016-06-01,0.0,0.0,0.0,True
earlier_diagnostic,2016-07-01,DEGENERATE_RISK,242,2015-07-07,2016-07-01,0.0,0.0,0.0,True
earlier_diagnostic,2016-08-01,DEGENERATE_RISK,242,2015-08-05,2016-08-01,0.0,0.0,0.0,True
earlier_diagnostic,2016-09-01,DEGENERATE_RISK,242,2015-09-09,2016-09-01,0.0,0.0,0.0,True
earlier_diagnostic,2016-10-10,UPDATED,242,2015-10-14,2016-10-10,0.12587580203004323,0.1258758020300432,2.7755575615628914e-17,True
earlier_diagnostic,2016-11-01,UPDATED,242,2015-11-05,2016-11-01,0.13994303552482917,0.1399430355248291,8.326672684688674e-17,True
earlier_diagnostic,2016-12-01,UPDATED,242,2015-12-07,2016-12-01,0.15920639615216015,0.1592063961521601,5.551115123125783e-17,True
earlier_diagnostic,2017-01-03,UPDATED,242,2016-01-07,2017-01-03,0.17423870585561002,0.17423870585561,2.7755575615628914e-17,True
earlier_diagnostic,2017-02-03,UPDATED,242,2016-02-02,2017-02-03,0.17423870585561002,0.1742387058556099,1.1102230246251565e-16,True
earlier_diagnostic,2017-03-01,UPDATED,242,2016-03-04,2017-03-01,0.2487594078782309,0.2487594078782309,0.0,True
earlier_diagnostic,2017-04-05,UPDATED,242,2016-04-07,2017-04-05,0.2487594078782309,0.2487594078782309,0.0,True
earlier_diagnostic,2017-05-02,UPDATED,242,2016-05-04,2017-05-02,0.2597776527108472,0.2597776527108471,1.1102230246251565e-16,True
earlier_diagnostic,2017-06-01,UPDATED,242,2016-06-01,2017-06-01,0.35096867524624625,0.3509686752462463,5.551115123125783e-17,True
earlier_diagnostic,2017-07-03,UPDATED,242,2016-07-05,2017-07-03,0.43648048474842704,0.4364804847484271,5.551115123125783e-17,True
earlier_diagnostic,2017-08-01,UPDATED,242,2016-08-03,2017-08-01,0.5657092238349593,0.5657092238349594,1.1102230246251565e-16,True
earlier_diagnostic,2017-09-01,UPDATED,242,2016-09-05,2017-09-01,0.5594461886969437,0.5594461886969436,1.1102230246251565e-16,True
earlier_diagnostic,2017-10-09,UPDATED,242,2016-10-13,2017-10-09,0.31447926250434677,0.3144792625043467,5.551115123125783e-17,True
earlier_diagnostic,2017-11-01,UPDATED,242,2016-11-07,2017-11-01,0.39315277437542306,0.393152774375423,5.551115123125783e-17,True
earlier_diagnostic,2017-12-01,UPDATED,242,2016-12-07,2017-12-01,0.759964336265898,0.7599643362658981,1.1102230246251565e-16,True
earlier_diagnostic,2018-01-02,UPDATED,242,2017-01-06,2018-01-02,0.7981777561220068,0.7981777561220071,3.3306690738754696e-16,True
earlier_diagnostic,2018-02-01,UPDATED,242,2017-02-14,2018-02-01,0.8031371231352724,0.8031371231352726,2.220446049250313e-16,True
earlier_diagnostic,2018-03-01,UPDATED,242,2017-03-07,2018-03-01,0.7075745341191253,0.7075745341191255,2.220446049250313e-16,True
earlier_diagnostic,2018-04-02,UPDATED,242,2017-04-10,2018-04-02,0.7015030197131134,0.7015030197131134,0.0,True
earlier_diagnostic,2018-05-02,UPDATED,242,2017-05-05,2018-05-02,0.7015030197131134,0.7015030197131134,0.0,True
earlier_diagnostic,2018-06-01,UPDATED,242,2017-06-08,2018-06-01,0.7222865303158871,0.7222865303158871,0.0,True
earlier_diagnostic,2018-07-02,UPDATED,242,2017-07-06,2018-07-02,0.7786459742354134,0.7786459742354137,3.3306690738754696e-16,True
earlier_diagnostic,2018-08-01,UPDATED,242,2017-08-07,2018-08-01,0.8619550723042836,0.8619550723042836,0.0,True
earlier_diagnostic,2018-09-03,UPDATED,242,2017-09-07,2018-09-03,0.8653040209133345,0.8653040209133344,1.1102230246251565e-16,True
earlier_diagnostic,2018-10-08,UPDATED,242,2017-10-11,2018-10-08,0.8850742951641616,0.8850742951641616,0.0,True
earlier_diagnostic,2018-11-01,UPDATED,242,2017-11-06,2018-11-01,0.7876096042242395,0.7876096042242392,3.3306690738754696e-16,True
earlier_diagnostic,2018-12-03,UPDATED,242,2017-12-06,2018-12-03,0.5918925929592547,0.5918925929592547,0.0,True
earlier_diagnostic,2019-01-02,UPDATED,242,2018-01-04,2019-01-02,0.43671209867472005,0.4367120986747199,1.6653345369377348e-16,True
earlier_diagnostic,2019-02-01,UPDATED,242,2018-02-05,2019-02-01,0.38714770753322103,0.3871477075332209,1.1102230246251565e-16,True
earlier_diagnostic,2019-03-01,UPDATED,242,2018-03-05,2019-03-01,0.49387294913006885,0.4938729491300688,5.551115123125783e-17,True
earlier_diagnostic,2019-04-01,UPDATED,242,2018-04-03,2019-04-01,0.4790402435509655,0.4790402435509653,2.220446049250313e-16,True
earlier_diagnostic,2019-05-06,UPDATED,242,2018-05-08,2019-05-06,0.4790402435509655,0.4790402435509653,2.220446049250313e-16,True
earlier_diagnostic,2019-06-03,UPDATED,242,2018-06-05,2019-06-03,0.4784813170890591,0.4784813170890591,0.0,True
earlier_diagnostic,2019-07-01,UPDATED,242,2018-07-03,2019-07-01,0.2739332702535251,0.273933270253525,1.1102230246251565e-16,True
earlier_diagnostic,2019-08-01,UPDATED,242,2018-08-03,2019-08-01,0.2739332702535251,0.273933270253525,1.1102230246251565e-16,True
earlier_diagnostic,2019-09-02,UPDATED,242,2018-09-04,2019-09-02,0.32235363513592485,0.3223536351359248,5.551115123125783e-17,True
earlier_diagnostic,2019-10-08,UPDATED,242,2018-10-10,2019-10-08,0.34413705372867565,0.3441370537286757,5.551115123125783e-17,True
earlier_diagnostic,2019-11-01,UPDATED,242,2018-11-05,2019-11-01,0.42951234604090816,0.4295123460409082,5.551115123125783e-17,True
earlier_diagnostic,2019-12-02,UPDATED,242,2018-12-04,2019-12-02,0.5261745608393593,0.5261745608393592,1.1102230246251565e-16,True
