model,period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
ADD_GATE_EXPOSURE_105,evaluation,STRESS,7,2021-02-03,2021-02-02,44543.510279999995,2033.0999999999985,36.39492,97.20000000000368,0.0,7,1,1,2021-02-19,2021-02-18,False,1899.505079999995,0.04264381204040112
ADD_GATE_EXPOSURE_105,evaluation,STRESS,8,2021-03-11,2021-03-10,6544.0,-153.40000000000055,10.0,14.300000000000157,0.0,10,1,1,2021-03-25,2021-03-24,False,-177.7000000000007,-0.027154645476772724
ADD_GATE_EXPOSURE_105,evaluation,STRESS,9,2021-06-08,2021-06-07,231564.78887999998,-2331.600000000006,186.95528000000002,525.6000000000199,0.0,31,2,2,2021-07-22,2021-07-21,False,-3044.155280000026,-0.013146019715361598
ADD_GATE_EXPOSURE_105,evaluation,STRESS,10,2021-07-29,2021-07-28,253147.61856,8307.599999999977,205.53312,567.5999999999603,0.0,10,1,1,2021-08-12,2021-08-11,False,7534.466880000016,0.029763135528822794
ADD_GATE_EXPOSURE_105,evaluation,STRESS,11,2021-10-29,2021-10-28,332924.1164,6073.499999999971,268.3698,730.9999999999761,0.0,32,3,2,2021-12-14,2021-12-13,False,5074.130199999994,0.015241101350265516
ADD_GATE_EXPOSURE_105,evaluation,STRESS,12,2022-01-10,2022-01-07,6855.2,-179.19999999999982,10.0,13.999999999999702,105.0,10,1,1,2022-01-24,2022-01-21,False,-98.19999999999952,-0.014324892052748209
ADD_GATE_EXPOSURE_105,evaluation,STRESS,13,2022-01-27,2022-01-26,6582.200000000001,-123.19999999999891,10.0,14.000000000000945,0.0,10,1,1,2022-02-17,2022-02-16,False,-147.19999999999985,-0.022363343562942454
ADD_GATE_EXPOSURE_105,evaluation,STRESS,14,2022-03-11,2022-03-10,6777.799999999999,-308.7999999999993,10.0,15.999999999999659,0.0,3,1,1,2022-03-16,2022-03-15,False,-334.79999999999893,-0.04939655935554294
ADD_GATE_EXPOSURE_105,evaluation,STRESS,15,2022-04-25,2022-04-22,6718.3,17.0,10.0,13.600000000000767,0.0,10,1,1,2022-05-12,2022-05-11,False,-6.600000000000767,-0.0009823913787715295
ADD_GATE_EXPOSURE_105,evaluation,STRESS,16,2022-05-13,2022-05-12,471120.3728,5203.200000000012,378.37428,1131.5000000000182,0.0,20,3,2,2022-06-13,2022-06-10,False,3693.3257199999935,0.007839452363415165
ADD_GATE_EXPOSURE_105,evaluation,STRESS,17,2022-08-05,2022-08-04,254519.10296,-5033.399999999994,203.6164,597.9999999999887,0.0,21,2,2,2022-09-05,2022-09-02,False,-5835.016399999983,-0.02292565207145575
ADD_GATE_EXPOSURE_105,evaluation,STRESS,18,2022-09-21,2022-09-20,6777.8,-328.10000000000036,10.0,13.600000000000012,0.0,10,1,1,2022-10-12,2022-10-11,False,-351.7000000000004,-0.05188999380329906
ADD_GATE_EXPOSURE_105,evaluation,STRESS,19,2022-10-27,2022-10-26,6742.4,127.80000000000018,10.0,14.400000000000013,0.0,7,1,1,2022-11-07,2022-11-04,False,103.40000000000018,0.015335785476981518
ADD_GATE_EXPOSURE_105,evaluation,STRESS,20,2023-01-17,2023-01-16,204163.23263999997,-1082.399999999965,162.63551999999999,492.0000000000332,0.0,2,1,1,2023-01-19,2023-01-18,False,-1737.0355199999983,-0.008508072180963673
ADD_GATE_EXPOSURE_105,evaluation,STRESS,21,2023-04-03,2023-03-31,261246.45679999999,1867.5999999999767,209.40303999999998,643.9999999999862,0.0,7,1,1,2023-04-13,2023-04-12,False,1014.1969599999906,0.0038821462783566853
ADD_GATE_EXPOSURE_105,evaluation,STRESS,22,2023-05-29,2023-05-26,6570.400000000001,-30.600000000000364,10.0,13.599999999999257,0.0,10,1,1,2023-06-12,2023-06-09,False,-54.19999999999962,-0.008249117253135214
ADD_GATE_EXPOSURE_105,evaluation,STRESS,23,2023-08-23,2023-08-22,6488.8,170.0,10.0,13.600000000000012,0.0,9,1,1,2023-09-05,2023-09-04,False,146.39999999999998,0.022561952903464428
ADD_GATE_EXPOSURE_105,evaluation,STRESS,24,2023-10-18,2023-10-17,6670.400000000001,-34.19999999999982,10.0,14.400000000000812,0.0,10,1,1,2023-11-01,2023-10-31,False,-58.600000000000634,-0.008785080355001293
