fit_origin,status,groups,rows,iterations,maximum_normal_equation_residual
2020-06-01,NO_VIEW_REPEATED_TRAINING_POLICY,17,727,10,6.661338147750939e-16
2020-07-01,NO_VIEW_REPEATED_TRAINING_POLICY,17,727,10,6.661338147750939e-16
2020-08-03,NO_VIEW_REPEATED_TRAINING_POLICY,17,727,10,6.661338147750939e-16
2020-09-01,NO_VIEW_REPEATED_TRAINING_POLICY,17,727,10,6.661338147750939e-16
2020-10-09,NO_VIEW_REPEATED_TRAINING_POLICY,19,751,8,5.551115123125783e-16
2020-11-02,NO_VIEW_REPEATED_TRAINING_POLICY,19,751,8,5.551115123125783e-16
2020-12-01,NO_VIEW_REPEATED_TRAINING_POLICY,19,751,8,5.551115123125783e-16
2021-01-04,NO_VIEW_REPEATED_TRAINING_POLICY,19,751,8,5.551115123125783e-16
2021-02-01,NO_VIEW_REPEATED_TRAINING_POLICY,19,751,8,5.551115123125783e-16
2021-03-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,721,13,6.800116025829084e-16
2021-04-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,721,13,6.800116025829084e-16
2021-05-06,NO_VIEW_REPEATED_TRAINING_POLICY,20,721,13,6.800116025829084e-16
2021-06-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,721,13,6.800116025829084e-16
2021-07-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,721,13,6.800116025829084e-16
2021-08-02,NO_VIEW_REPEATED_TRAINING_POLICY,20,736,14,4.440892098500626e-16
2021-09-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,736,14,4.440892098500626e-16
2021-10-08,NO_VIEW_REPEATED_TRAINING_POLICY,20,745,6,5.551115123125783e-16
2021-11-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,745,6,5.551115123125783e-16
2021-12-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,745,6,5.551115123125783e-16
2022-01-04,NO_VIEW_REPEATED_TRAINING_POLICY,20,745,6,5.551115123125783e-16
2022-02-07,NO_VIEW_REPEATED_TRAINING_POLICY,20,701,8,1.6653345369377348e-16
2022-03-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,701,8,1.6653345369377348e-16
2022-04-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,701,8,1.6653345369377348e-16
2022-05-05,NO_VIEW_REPEATED_TRAINING_POLICY,20,701,8,1.6653345369377348e-16
2022-06-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,701,8,1.6653345369377348e-16
2022-07-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,701,8,1.6653345369377348e-16
2022-08-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,701,8,1.6653345369377348e-16
2022-09-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,696,5,1.6653345369377348e-16
2022-10-10,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2022-11-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2022-12-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-01-03,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-02-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-03-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-04-03,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-05-04,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-06-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-07-03,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-08-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-09-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-10-09,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-11-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2023-12-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2024-01-02,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2024-02-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2024-03-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2024-04-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2024-05-06,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2024-06-03,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2024-07-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2024-08-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,678,7,1.1102230246251565e-16
2024-09-02,NO_VIEW_REPEATED_TRAINING_POLICY,20,743,6,2.7755575615628914e-16
2024-10-08,NO_VIEW_REPEATED_TRAINING_POLICY,20,563,4,8.500145032286355e-17
2024-11-01,FIT_COMPLETE,20,278,4,1.6653345369377348e-16
2024-12-02,FIT_COMPLETE,20,278,4,1.6653345369377348e-16
2025-01-02,FIT_COMPLETE,20,278,4,1.6653345369377348e-16
2025-02-05,FIT_COMPLETE,20,278,4,1.6653345369377348e-16
2025-03-03,FIT_COMPLETE,20,278,4,1.6653345369377348e-16
2025-04-01,FIT_COMPLETE,20,278,4,1.6653345369377348e-16
2025-05-06,FIT_COMPLETE,20,278,4,1.6653345369377348e-16
2025-06-03,FIT_COMPLETE,20,278,4,1.6653345369377348e-16
2025-07-01,FIT_COMPLETE,20,278,4,1.6653345369377348e-16
2025-08-01,FIT_COMPLETE,20,278,4,1.6653345369377348e-16
2025-09-01,FIT_COMPLETE,20,291,3,2.7755575615628914e-16
2025-10-09,FIT_COMPLETE,20,274,4,1.5265566588595902e-16
2025-11-03,FIT_COMPLETE,20,274,4,1.5265566588595902e-16
2025-12-01,FIT_COMPLETE,20,274,4,1.5265566588595902e-16
2026-01-05,FIT_COMPLETE,20,274,4,1.5265566588595902e-16
2026-02-02,FIT_COMPLETE,20,274,4,1.5265566588595902e-16
2026-03-02,NO_VIEW_REPEATED_TRAINING_POLICY,20,364,5,2.706168622523819e-16
2026-04-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,364,5,2.706168622523819e-16
2026-05-06,NO_VIEW_REPEATED_TRAINING_POLICY,20,364,5,2.706168622523819e-16
2026-06-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,364,5,2.706168622523819e-16
2026-07-01,NO_VIEW_REPEATED_TRAINING_POLICY,20,364,5,2.706168622523819e-16
2026-08-03,NO_VIEW_REPEATED_TRAINING_POLICY,20,339,4,3.3306690738754696e-16
