fit_origin,cycles,rows,huber_delta,objective,maximum_gradient
2020-07-01,19,829,0.007629621907330269,0.0020242844996663646,6.193313628957697e-08
2020-08-03,19,829,0.007629621907330269,0.0020242844996663646,6.193313628957697e-08
2020-09-01,19,829,0.007629621907330269,0.0020242844996663646,6.193313628957697e-08
2020-10-09,20,888,0.00769892797551591,0.0020600994656195847,4.390332106370132e-08
2020-11-02,20,888,0.00769892797551591,0.0020600994656195847,4.390332106370132e-08
2020-12-01,20,888,0.00769892797551591,0.0020600994656195847,4.390332106370132e-08
2021-01-04,20,888,0.00769892797551591,0.0020600994656195847,4.390332106370132e-08
2021-02-01,20,888,0.00769892797551591,0.0020600994656195847,4.390332106370132e-08
2021-03-01,20,862,0.007635431730564877,0.00205555626813511,2.4428306037715952e-08
2021-04-01,20,862,0.007635431730564877,0.00205555626813511,2.4428306037715952e-08
2021-05-06,20,862,0.007635431730564877,0.00205555626813511,2.4428306037715952e-08
2021-06-01,20,862,0.007635431730564877,0.00205555626813511,2.4428306037715952e-08
2021-07-01,20,862,0.007635431730564877,0.00205555626813511,2.4428306037715952e-08
2021-08-02,20,844,0.006677741267608554,0.0014246535491807969,4.8019100767730805e-08
2021-09-01,20,844,0.006677741267608554,0.0014246535491807969,4.8019100767730805e-08
2021-10-08,20,844,0.006677741267608554,0.0014246535491807969,4.8019100767730805e-08
2021-11-01,20,844,0.006677741267608554,0.0014246535491807969,4.8019100767730805e-08
2021-12-01,20,844,0.006677741267608554,0.0014246535491807969,4.8019100767730805e-08
2022-01-04,20,844,0.006677741267608554,0.0014246535491807969,4.8019100767730805e-08
2022-02-07,20,892,0.0060059530741651285,0.0013150703182340786,2.5542796444795457e-08
2022-03-01,20,892,0.0060059530741651285,0.0013150703182340786,2.5542796444795457e-08
2022-04-01,20,892,0.0060059530741651285,0.0013150703182340786,2.5542796444795457e-08
2022-05-05,20,892,0.0060059530741651285,0.0013150703182340786,2.5542796444795457e-08
2022-06-01,20,892,0.0060059530741651285,0.0013150703182340786,2.5542796444795457e-08
2022-07-01,20,892,0.0060059530741651285,0.0013150703182340786,2.5542796444795457e-08
2022-08-01,20,892,0.0060059530741651285,0.0013150703182340786,2.5542796444795457e-08
2022-09-01,20,890,0.0070647974158720706,0.0008625547359247736,5.9070718823328594e-08
2022-10-10,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2022-11-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2022-12-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-01-03,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-02-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-03-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-04-03,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-05-04,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-06-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-07-03,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-08-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-09-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-10-09,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-11-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2023-12-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2024-01-02,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2024-02-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2024-03-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
