period,cost,origin,execution_date,previous_expert,selected_expert,previous_expert_current_state,selected_target,filled_quantity,reason
earlier_diagnostic,BASE,2015-08-31,2015-09-01,PANIC,LEARNED,1.0,0.0,-65900,市场状态切换且原专家仍持有
earlier_diagnostic,BASE,2015-12-02,2015-12-03,LEARNED,PANIC,1.0,0.0,-66700,市场状态切换且原专家仍持有
earlier_diagnostic,BASE,2015-12-28,2015-12-29,LEARNED,LEARNED,0.0,0.0,-68100,所选专家状态退出
earlier_diagnostic,BASE,2016-01-11,2016-01-12,PANIC,LEARNED,0.0,0.0,-71700,所选专家状态退出
earlier_diagnostic,BASE,2016-02-01,2016-02-02,PANIC,LEARNED,1.0,0.0,-80700,市场状态切换且原专家仍持有
earlier_diagnostic,BASE,2016-03-02,2016-03-03,PANIC,PANIC,0.0,0.0,-79700,所选专家状态退出
earlier_diagnostic,BASE,2016-06-06,2016-06-07,LEARNED,PANIC,1.0,0.0,-76800,市场状态切换且原专家仍持有
earlier_diagnostic,BASE,2016-06-15,2016-06-16,LEARNED,PANIC,1.0,0.0,-76900,市场状态切换且原专家仍持有
earlier_diagnostic,BASE,2016-07-27,2016-07-28,LEARNED,LEARNED,0.0,0.0,-76500,所选专家状态退出
earlier_diagnostic,BASE,2017-06-01,2017-06-02,LEARNED,PANIC,1.0,0.0,-72700,市场状态切换且原专家仍持有
earlier_diagnostic,BASE,2017-07-19,2017-07-20,LEARNED,PANIC,1.0,0.0,-73500,市场状态切换且原专家仍持有
earlier_diagnostic,BASE,2017-07-25,2017-07-26,LEARNED,PANIC,1.0,0.0,-73000,市场状态切换且原专家仍持有
earlier_diagnostic,BASE,2017-08-11,2017-08-14,LEARNED,LEARNED,0.0,0.0,-73200,所选专家状态退出
earlier_diagnostic,BASE,2018-02-23,2018-02-26,PANIC,LEARNED,1.0,0.0,-69100,市场状态切换且原专家仍持有
earlier_diagnostic,BASE,2018-10-18,2018-10-19,PANIC,LEARNED,0.0,0.0,-87300,所选专家状态退出
earlier_diagnostic,BASE,2019-03-08,2019-03-11,LEARNED,LEARNED,0.0,0.0,-71300,所选专家状态退出
earlier_diagnostic,BASE,2019-07-04,2019-07-05,LEARNED,LEARNED,0.0,0.0,-71500,所选专家状态退出
earlier_diagnostic,STRESS,2015-01-19,2015-01-20,LEARNED,PANIC,0.0,0.0,-55400,所选专家状态退出
earlier_diagnostic,STRESS,2015-05-11,2015-05-12,LEARNED,PANIC,1.0,0.0,-54200,市场状态切换且原专家仍持有
earlier_diagnostic,STRESS,2015-05-14,2015-05-15,LEARNED,LEARNED,0.0,0.0,-53400,所选专家状态退出
earlier_diagnostic,STRESS,2015-06-19,2015-06-23,LEARNED,LEARNED,0.0,0.0,-47800,所选专家状态退出
earlier_diagnostic,STRESS,2015-06-26,2015-06-29,PANIC,PANIC,0.0,0.0,-45900,所选专家状态退出
earlier_diagnostic,STRESS,2015-07-10,2015-07-13,PANIC,PANIC,0.0,0.0,-51700,所选专家状态退出
earlier_diagnostic,STRESS,2015-08-31,2015-09-01,PANIC,LEARNED,1.0,0.0,-65300,市场状态切换且原专家仍持有
earlier_diagnostic,STRESS,2015-12-02,2015-12-03,LEARNED,PANIC,1.0,0.0,-66000,市场状态切换且原专家仍持有
earlier_diagnostic,STRESS,2015-12-28,2015-12-29,LEARNED,LEARNED,0.0,0.0,-67300,所选专家状态退出
earlier_diagnostic,STRESS,2016-01-11,2016-01-12,PANIC,LEARNED,0.0,0.0,-70700,所选专家状态退出
earlier_diagnostic,STRESS,2016-02-01,2016-02-02,PANIC,LEARNED,1.0,0.0,-79400,市场状态切换且原专家仍持有
earlier_diagnostic,STRESS,2016-03-02,2016-03-03,PANIC,PANIC,0.0,0.0,-78400,所选专家状态退出
earlier_diagnostic,STRESS,2016-06-06,2016-06-07,LEARNED,PANIC,1.0,0.0,-75400,市场状态切换且原专家仍持有
earlier_diagnostic,STRESS,2016-06-15,2016-06-16,LEARNED,PANIC,1.0,0.0,-75300,市场状态切换且原专家仍持有
earlier_diagnostic,STRESS,2016-07-27,2016-07-28,LEARNED,LEARNED,0.0,0.0,-74900,所选专家状态退出
earlier_diagnostic,STRESS,2017-06-01,2017-06-02,LEARNED,PANIC,1.0,0.0,-71100,市场状态切换且原专家仍持有
earlier_diagnostic,STRESS,2017-07-19,2017-07-20,LEARNED,PANIC,1.0,0.0,-71700,市场状态切换且原专家仍持有
earlier_diagnostic,STRESS,2017-07-25,2017-07-26,LEARNED,PANIC,1.0,0.0,-71100,市场状态切换且原专家仍持有
earlier_diagnostic,STRESS,2017-08-11,2017-08-14,LEARNED,LEARNED,0.0,0.0,-71200,所选专家状态退出
earlier_diagnostic,STRESS,2018-02-23,2018-02-26,PANIC,LEARNED,1.0,0.0,-67100,市场状态切换且原专家仍持有
earlier_diagnostic,STRESS,2018-10-18,2018-10-19,PANIC,LEARNED,0.0,0.0,-84700,所选专家状态退出
earlier_diagnostic,STRESS,2019-03-08,2019-03-11,LEARNED,LEARNED,0.0,0.0,-69100,所选专家状态退出
earlier_diagnostic,STRESS,2019-07-04,2019-07-05,LEARNED,LEARNED,0.0,0.0,-69200,所选专家状态退出
