period,cost,entry_date,exit_date,parent_net_profit,new_net_profit,profit_difference,new_buy_trades,new_sell_trades
evaluation,STRESS,2024-08-02,2024-09-12,-15728.388680000018,-12307.18899999999,3421.199680000029,3,2
evaluation,STRESS,2024-09-25,2024-09-30,35268.33939999998,14187.593279999997,-21080.746119999985,1,2
evaluation,STRESS,2025-04-10,2025-05-08,6563.137999999999,2112.791,-4450.346999999999,1,1
evaluation,STRESS,2025-06-03,2025-06-26,9059.2992,7536.833639999977,-1522.4655600000224,1,1
evaluation,STRESS,2025-12-19,2026-01-07,14202.847999999958,10284.740399999977,-3918.107599999981,2,1
evaluation,STRESS,2026-01-16,2026-02-04,-9032.071839999953,-6979.193039999983,2052.8787999999704,2,2
evaluation,STRESS,2026-05-06,2026-05-13,3694.772399999958,1326.2091600000224,-2368.563239999936,2,1
evaluation,STRESS,2026-06-05,2026-06-22,3692.656800000013,1561.253399999995,-2131.403400000018,1,2
evaluation,STRESS,2026-07-23,2026-08-14,-3261.6424799999513,-929.7205199999873,2331.921959999964,1,1
earlier_diagnostic,BASE,2015-01-05,2015-01-20,-14646.807119999981,-4602.404800000003,10044.40231999998,2,1
earlier_diagnostic,BASE,2015-02-11,2015-05-15,68456.19839999998,32422.03667999998,-36034.161720000004,3,3
earlier_diagnostic,BASE,2015-06-03,2015-06-23,-26904.561039999964,-6027.4984,20877.062639999964,1,1
earlier_diagnostic,BASE,2015-09-29,2015-12-29,37641.26950000003,9027.421200000003,-28613.848300000027,2,1
earlier_diagnostic,BASE,2016-05-03,2016-07-28,6923.63051999994,3554.6416199999653,-3368.9888999999744,3,5
earlier_diagnostic,BASE,2017-05-18,2017-07-21,30731.679,24123.19622000002,-6608.48277999998,1,2
earlier_diagnostic,BASE,2018-10-09,2018-10-19,-23722.21275999999,-7819.641719999991,15902.571039999999,1,1
earlier_diagnostic,BASE,2019-02-28,2019-03-06,10195.433519999966,3012.89855999999,-7182.534959999975,1,1
earlier_diagnostic,BASE,2019-05-31,2019-06-25,16392.5474,8546.665140000014,-7845.882259999986,3,1
earlier_diagnostic,STRESS,2015-01-05,2015-01-20,-14945.014240000006,-4700.381760000008,10244.632479999997,2,1
earlier_diagnostic,STRESS,2015-02-11,2015-05-15,67900.24240000002,32239.861000000008,-35660.38140000001,3,3
earlier_diagnostic,STRESS,2015-06-03,2015-06-23,-27135.059880000004,-6104.001200000008,21031.058679999995,1,1
earlier_diagnostic,STRESS,2015-09-29,2015-12-29,37051.55819999998,8824.415999999994,-28227.142199999984,2,1
earlier_diagnostic,STRESS,2016-05-03,2016-07-28,6435.197519999987,3018.005760000041,-3417.191759999946,3,5
earlier_diagnostic,STRESS,2017-05-18,2017-07-21,30032.571199999977,23621.73319999998,-6410.837999999996,1,2
earlier_diagnostic,STRESS,2018-10-09,2018-10-19,-23956.907839999978,-7922.9684,16033.939439999978,1,1
earlier_diagnostic,STRESS,2019-02-28,2019-03-06,9662.759120000057,2863.9953599999994,-6798.763760000058,1,1
earlier_diagnostic,STRESS,2019-05-31,2019-07-03,23211.302120000033,12093.39756000001,-11117.904560000023,3,1
