scenario,model,year,days,net_return,pnl_cny,contribution_to_initial_capital,cost_cny,return_minus_M0,return_minus_BUY_HOLD
BASE,M1,2023,242,-0.0978122633635325,-17261.70000000001,-0.08630850000000005,7.10000000000008,0.00018043039926682325,-0.00620152984305003
BASE,M1,2024,242,0.0562598814020582,8957.48290000009,0.04478741450000045,551.0170999999717,-0.07687831747704776,-0.10294808885298318
BASE,M1,2025,243,0.09183526502617345,15444.272079999966,0.07722136039999983,583.727920000023,-0.030526905758388095,-0.0981700029355029
BASE,M1,2026,149,0.042217300282302805,7751.853120000014,0.03875926560000007,312.34687999997476,-0.0040312374630562045,0.022126634067181555
STRESS,BUY_HOLD,2020,243,0.2808047000000005,56160.94,0.2808047,321.85999999999484,0.10068087580000051,0.0
STRESS,BUY_HOLD,2021,243,-0.03911134929470493,-10018.799999999988,-0.050093999999999944,0.0,-0.019843886903277826,0.0
STRESS,BUY_HOLD,2022,242,-0.19565117943640215,-48158.0,-0.24079,0.0,0.05510850603328521,0.0
STRESS,BUY_HOLD,2023,242,-0.09167400984745552,-18150.0,-0.09075,0.0,0.00559695260724942,0.0
STRESS,BUY_HOLD,2024,242,0.15932903507643248,28652.800000000017,0.14326400000000009,0.0,0.030290000701568176,0.0
STRESS,BUY_HOLD,2025,243,0.19012989494689653,39639.600000000006,0.19819800000000004,0.0,0.0699769854017501,0.0
STRESS,BUY_HOLD,2026,149,0.01952708678402625,4845.1884799999825,0.024225942399999912,333.6115199999948,-0.04582260066420406,0.0
STRESS,M0,2020,243,0.1801238242,36024.76483999996,0.1801238241999998,1375.0351600000063,0.0,-0.10068087580000051
STRESS,M0,2021,243,-0.019267462391427105,-4547.5982799999765,-0.022737991399999883,893.1982800000304,0.0,0.019843886903277826
STRESS,M0,2022,242,-0.25075968546968735,-58045.14148000002,-0.2902257074000001,1121.641480000011,0.0,-0.05510850603328521
STRESS,M0,2023,242,-0.09727096245470494,-16869.899999999994,-0.08434949999999997,8.199999999999648,0.0,-0.00559695260724942
STRESS,M0,2024,242,0.1290390343748643,20202.625439999974,0.10101312719999987,818.0745599999908,0.0,-0.030290000701568176
STRESS,M0,2025,243,0.12015290954514643,21238.799080000026,0.10619399540000013,811.3009199999913,0.0,-0.0699769854017501
STRESS,M0,2026,149,0.0653496874482303,12939.47008,0.06469735039999999,616.8299199999803,0.0,0.04582260066420406
STRESS,M1,2020,243,0.2745530310000003,54910.60619999998,0.2745530309999999,1534.9938000000172,0.09442920680000028,-0.006251669000000237
STRESS,M1,2021,243,0.006924627838415592,1765.1610799999326,0.008825805399999663,1993.0389200000175,0.026192090229842698,0.04603597713312052
STRESS,M1,2022,242,-0.24851605679789582,-63788.04956000007,-0.31894024780000035,1282.1495600000308,0.0022436286717915366,-0.05286487736149367
STRESS,M1,2023,242,-0.09803060673592705,-18908.899999999965,-0.09454449999999982,8.999999999999915,-0.0007596442812221049,-0.006356596888471525
STRESS,M1,2024,242,0.05074652463847051,8828.820360000012,0.044144101800000064,1109.879640000011,-0.07829250973639379,-0.10858251043796197
STRESS,M1,2025,243,0.12071930424669954,22068.41087999998,0.1103420543999999,1141.5891200000246,0.0005663947015531051,-0.06941059070019699
STRESS,M1,2026,149,0.06688654681482768,13703.451440000004,0.06851725720000003,641.9485599999794,0.001536859366597379,0.04735946003080144
ZERO_COST_DIAGNOSTIC,BUY_HOLD,2020,243,0.28299749999999957,56599.5,0.2829975,0.0,0.03545499999999882,0.0
ZERO_COST_DIAGNOSTIC,BUY_HOLD,2021,243,-0.03912517366557512,-10039.5,-0.0501975,0.0,-0.13573110091855384,0.0
ZERO_COST_DIAGNOSTIC,BUY_HOLD,2022,242,-0.19572315055158981,-48257.5,-0.2412875,0.0,0.10607958141423765,0.0
ZERO_COST_DIAGNOSTIC,BUY_HOLD,2023,242,-0.09171593903253893,-18187.5,-0.0909375,0.0,-0.009196197937297923,0.0
ZERO_COST_DIAGNOSTIC,BUY_HOLD,2024,242,0.1594092663020853,28712.0,0.14356,0.0,0.06962331731899431,0.0
ZERO_COST_DIAGNOSTIC,BUY_HOLD,2025,243,0.19021247252510493,39721.5,0.1986075,0.0,0.07762411244422802,0.0
ZERO_COST_DIAGNOSTIC,BUY_HOLD,2026,149,0.020879224779066542,5189.5,0.0259475,0.0,-0.002427529850640004,0.0
ZERO_COST_DIAGNOSTIC,M0,2020,243,0.24754250000000075,49508.5,0.2475425,0.0,0.0,-0.03545499999999882
ZERO_COST_DIAGNOSTIC,M0,2021,243,0.09660592725297873,24104.0,0.12052,0.0,0.0,0.13573110091855384
ZERO_COST_DIAGNOSTIC,M0,2022,242,-0.30180273196582746,-82576.99999999991,-0.41288499999999956,0.0,0.0,-0.10607958141423765
ZERO_COST_DIAGNOSTIC,M0,2023,242,-0.082519741095241,-15764.200000000012,-0.07882100000000006,0.0,0.0,0.009196197937297923
ZERO_COST_DIAGNOSTIC,M0,2024,242,0.08978594898309099,15736.899999999994,0.07868449999999998,0.0,0.0,-0.06962331731899431
ZERO_COST_DIAGNOSTIC,M0,2025,243,0.1125883600808769,21505.29999999996,0.1075264999999998,0.0,0.0,-0.07762411244422802
ZERO_COST_DIAGNOSTIC,M0,2026,149,0.023306754629706546,4952.999999999971,0.024764999999999853,0.0,0.0,0.002427529850640004
ZERO_COST_DIAGNOSTIC,M1,2020,243,0.2454420000000011,49088.399999999994,0.24544199999999997,0.0,-0.0021004999999996443,-0.037555499999998465
ZERO_COST_DIAGNOSTIC,M1,2021,243,-0.0174391902633763,-4343.900000000023,-0.021719500000000117,0.0,-0.11404511751635503,0.021685983402198822
ZERO_COST_DIAGNOSTIC,M1,2022,242,-0.2617190580380762,-64054.29999999996,-0.3202714999999998,0.0,0.04008367392775125,-0.0659959074864864
ZERO_COST_DIAGNOSTIC,M1,2023,242,-0.08254127783355115,-14914.399999999994,-0.07457199999999997,0.0,-2.1536738310151682e-05,0.009174661198987771
ZERO_COST_DIAGNOSTIC,M1,2024,242,0.07224757775260228,11976.899999999994,0.05988449999999997,0.0,-0.01753837123048871,-0.08716168854948302
ZERO_COST_DIAGNOSTIC,M1,2025,243,0.11569613288574546,20565.300000000047,0.10282650000000024,0.0,0.0031077728048685554,-0.07451633963935947
ZERO_COST_DIAGNOSTIC,M1,2026,149,0.06748303230165713,13383.099999999977,0.06691549999999988,0.0,0.04417627767195058,0.046603807522590586
