path,bytes,sha256,storage,assets,reason,captured_mtime_ns,changed_since_inventory
data/raw/510300_forward_eps_csi_originals_v1/AP202506121689269258.pdf,1767429,80d088a1c105b579c8c9430ee2e99e1fc4be171369b0ee10068e2dc6e57132eb,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706507409068400,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506121689561448.html,42127,b8e115b61f54c48723bc15a0f57200c793cbaf20fe0626773c14b8994fdacc43,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706506608149200,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506121689561448.pdf,446879,96bd8ba992edbd41a9d70c28e9b87a5117721dd8b0efbcbb040ba81d7c3412bf,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706512892219300,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506171692418270.html,41986,6eeb98bf4389961e4c766696dc12e5aafe790729a512a992bbe3c7c8d16bb049,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706508910441000,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506171692418270.pdf,809177,960b83050feb3fc2001d439454a35280fc7da31368ea1b2bd26604835be48c1a,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706514259696000,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506171692727020.html,42373,6596e9736e386143f6f52f9cfe687b8b4da042a1b6a697184ce6a796ed8dd1f6,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706509683850100,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506171692727020.pdf,934990,fcefb59e5816b826991b04fc634f9b1d2af127b10eb222df5f1abcd8eeda3991,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706512496634400,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506201694199403.html,40897,8477e1a438eb7dcc9ffba75ab5a718b2c775c19718d468a429bbb1baac8ffe61,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706514211215800,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506201694199403.pdf,1023103,0ec70d847159f5664d6b5e00ed6e10a6dfebfc5160bd27cbf7b5ff881a4103af,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706517548769500,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506251697173589.html,44129,166883262bf550a6ff180b3d030ca6abdefb2112abf7114b2a608d98db7f1d2a,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706514470850500,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506251697173589.pdf,294612,acf82e21485a30b188d43f7ee876ed14ed097aebf93e7ced25726afd8f008187,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706517135840300,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506271698628091.html,41736,6e6b9b72e855abc91efa7493653adcaad6d398505714467b4a24ebbe0a52ffaf,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706515996320000,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506271698628091.pdf,472017,f63c4020c59cd60b404dfbfad57f0c5b420e359330f21d4a137b7dbed9c61e07,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706518590256500,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507011700857193.html,51009,47c93529fabc540db31f75857813f4aa056ea2e72b33ccbc42374421b5f94727,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706518450718900,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507011700857193.pdf,365336,bf4fd870d1508f8a01f915a21cc13f870a1af31ab6db87d3d148a2d0b21f5ecd,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706522085078900,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507011700857196.html,49783,bec971949b94df516ad7d9347230c088f4c43455147d86cfecb6548f4afc6cb1,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706518913697500,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507011700857196.pdf,305202,5ce2b950c48a592c3f22e59dc7f296bdafb0c4620e41083d8521aa6069993a61,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706521336055500,False
