study_path,files,bytes,report_entry,latest_source_mtime_ns
reports/research/510300_entry_vintage_exit_v1,57,2261918,,1788894659247943300
reports/research/510300_entry_volatility_sizing_v1,48,2030286,,1788771434258917700
reports/research/510300_entry_wait_policy_v1,65,4532919,,1788856153312928800
reports/research/510300_entry_wait_transition_20260908,3,715392,,1788854159691905800
reports/research/510300_episode_trend_admission_v1,44,2104209,,1788935532656899100
reports/research/510300_episode_trend_reference_preflight_20260909,1,5306,,1788930072094594100
reports/research/510300_episode_trend_reference_v1,51,2575245,,1788930912412725000
reports/research/510300_equal_reference_pair_preflight_20260909,1,4578,,1788923152001584700
reports/research/510300_equal_reference_pair_v1,46,2212908,,1788923885781407400
reports/research/510300_exit_forecast_pair_availability_20260908,4,33894,,1788862925837568500
reports/research/510300_factor_definition_review_20260906,3,77128,reports/research/510300_factor_definition_review_20260906/六轮95项因子_完整中文说明与修正.md,1788681126901052900
reports/research/510300_final_target_cap_preflight_20260909,1,3658,,1788926841964571500
reports/research/510300_final_target_volatility_cap_v1,52,2851456,,1788927924968286700
reports/research/510300_financial_annual_components_v1,23,412758,,1788697602627114200
reports/research/510300_financial_original_facts_v1,31,275704,,1788694483459344100
reports/research/510300_financial_original_facts_v1_1,34,379712,,1788694702874474800
reports/research/510300_financial_original_layout_inventory_v1,28,1196150,,1788692273834228600
reports/research/510300_financial_quarter_history_v1,508,11370999,,1788698791885665700
reports/research/510300_financial_report_subject_repair_v1,6,173742,,1788692582022371100
reports/research/510300_financial_ttm_dependencies_v1,35,9393623,,1788695261830574200
reports/research/510300_financial_ttm_vintage_bridge_v1,4,229596,,1788697996236605500
reports/research/510300_finite_horizon_age_support_20260908,3,234241,,1788878215820524700
reports/research/510300_finite_horizon_exit_v1,76,16024260,,1788880001304293200
reports/research/510300_force_pullback_preflight_20260909,1,743,,1788888652968918000
reports/research/510300_force_pullback_v1,47,2374112,,1788890317304621100
reports/research/510300_forward_eps_composition_change_explanation_v1,4,30975,,1788719974595365100
reports/research/510300_forward_eps_corrected_account_attribution_v1,46,3883000,,1788720875929255000
reports/research/510300_forward_eps_corrected_account_attribution_v1_1,46,3914692,,1788720891105365700
reports/research/510300_forward_eps_coverage_representativeness_v1,7,446597,,1788715834336885200
reports/research/510300_forward_eps_csi_directory_v1,183,34785307,,1788701153035274700
reports/research/510300_forward_eps_csi_facts_v1_1,3356,10901461,,1788707517540793000
reports/research/510300_forward_eps_csi_facts_v2,3356,51340290,,1788708239862519800
reports/research/510300_forward_eps_csi_originals_v1,6706,99502212,,1788707399307356500
reports/research/510300_forward_eps_csi_pipeline_v1,7,11830,,1788707599020502800
reports/research/510300_forward_eps_explicit_entry_exit_v2,37,889986,,1788709235361638200
reports/research/510300_forward_eps_exposure_attribution_v1_1_financial,18,1436421,,1788705474034421000
reports/research/510300_forward_eps_exposure_attribution_v1_2_financial,52,3981217,,1788705810428491700
reports/research/510300_forward_eps_exposure_attribution_v1_financial,3,40347,,1788705346107015400
reports/research/510300_forward_eps_financial_facts_v1,155,1118088,,1788703578960438200
reports/research/510300_forward_eps_financial_facts_v1_1,160,3062924,,1788702041857712200
reports/research/510300_forward_eps_financial_originals_v1,310,3524581,,1788701427906118800
reports/research/510300_forward_eps_forecast_entry_exit_v1,53,1962172,,1788709237401631900
reports/research/510300_forward_eps_guosen_pe_condition_policy_v1,118,2106806,,1788725770803553900
reports/research/510300_forward_eps_history_directory_v1,301,8127516,,1788702457468481200
reports/research/510300_forward_eps_monthly_policy_v1_csi,48,1461895,,1788707598239165400
reports/research/510300_forward_eps_monthly_policy_v1_financial,124,1861910,,1788703159444432700
reports/research/510300_forward_eps_monthly_policy_v2_csi,157,2175611,,1788709298771986800
reports/research/510300_forward_eps_multi_institution_probe_v1,8,69279,,1788715897676885000
reports/research/510300_forward_eps_optional_valuation_v1,38,1286950,,1788714558468072500
reports/research/510300_forward_eps_price_share_alignment_inventory_v1,4,231888,,1788712133117846300
reports/research/510300_forward_eps_public_api_probe_v1,12,261304,,1788699218443836200
reports/research/510300_forward_eps_report_pe_identity_v1,15,11246965,,1788722845053333900
reports/research/510300_forward_eps_report_valuation_policy_v1,89,2448218,,1788713858338297100
reports/research/510300_forward_eps_report_valuation_source_v1,2798,4106833,,1788713330670780400
reports/research/510300_forward_eps_residual_policy_v1,149,1952814,,1788708470272289800
reports/research/510300_forward_eps_residual_policy_v2,185,2350352,,1788709025192034100
reports/research/510300_forward_eps_revision_diagnostic_v1,6,258716,,1788711231390278800
reports/research/510300_forward_eps_revision_distribution_policy_v1,139,3173350,,1788711741347356300
reports/research/510300_forward_eps_saved_pe_usage_diagnostic_v1,7,485392,,1788724310981516800
reports/research/510300_forward_eps_share_snapshot_reconciliation_v1,4,42071,,1788713163325640900
reports/research/510300_forward_eps_soochow_directory_v1,353,73297022,,1788716401176279500
reports/research/510300_forward_eps_soochow_facts_v1,6739,72918324,,1788726256181319000
reports/research/510300_forward_eps_soochow_facts_v2,254,1800290,,1788718174419917100
reports/research/510300_forward_eps_soochow_facts_v3,6996,90004566,,1788726604752238600
reports/research/510300_forward_eps_soochow_facts_v4,6742,112613985,,1788727333769358000
reports/research/510300_forward_eps_soochow_first_250_layout_check_v1,7,894366,,1788717821698746100
reports/research/510300_forward_eps_soochow_header_date_diagnostic_v1,4,3296756,,1788754960915928700
reports/research/510300_forward_eps_soochow_latest_share_field_diagnostic_v1,5,1852113,,1788754341428038900
reports/research/510300_forward_eps_soochow_originals_v1,13471,149493644,,1788725992957676200
reports/research/510300_forward_eps_soochow_pilot_facts_v1,8,86621,,1788716514310678800
reports/research/510300_forward_eps_soochow_source_pilot_v1,12,1746337,,1788716239611651200
reports/research/510300_forward_eps_source_pilot_v1,1,13199,,1788698597779448200
reports/research/510300_forward_eps_source_pilot_v1_1,3,42954,,1788698792509287200
reports/research/510300_forward_eps_source_pilot_v2,17,326623,,1788699413428627100
reports/research/510300_forward_eps_source_v4_replay_comparison_v1,10,985507,,1788755463012816100
reports/research/510300_forward_eps_source_v4_replay_pipeline_v1,16,13948,,1788755441451366900
reports/research/510300_forward_eps_two_institution_features_v1,1,2919,,1788716955098777500
reports/research/510300_forward_eps_two_institution_features_v2,7,699017,,1788726753535824900
reports/research/510300_forward_eps_two_institution_features_v3,7,787972,,1788754994953552800
reports/research/510300_forward_eps_two_institution_pipeline_v1,15,12813,,1788726830362296300
reports/research/510300_forward_eps_two_institution_policy_v2,216,3306045,,1788754601266855000
reports/research/510300_forward_eps_two_institution_policy_v3,294,3599456,,1788756048176683600
reports/research/510300_forward_eps_utility_exit_v1,50,1801754,,1788710458753333500
reports/research/510300_forward_eps_valuation_consistency_features_v1,9,22433090,,1788726968146871900
reports/research/510300_forward_eps_valuation_consistency_features_v2,9,26284369,,1788755281597864100
reports/research/510300_forward_eps_valuation_consistency_pipeline_v1,11,7831,,1788727078023674300
reports/research/510300_forward_eps_valuation_consistency_policy_v1,291,3580932,,1788754601280533400
reports/research/510300_forward_eps_valuation_consistency_policy_v2,294,3635127,,1788756048176683600
reports/research/510300_free_macro_condition_information_v1,3,15713,,1788639193916336700
reports/research/510300_fundamental_and_fund_flow_rebuild_v1,11,502675,reports/research/510300_fundamental_and_fund_flow_rebuild_v1/公募月报PDF版本与原始公布时钟_补充说明.md,1788683233692304100
reports/research/510300_gap_recovery_v1,55,3552538,,1788802954953745000
reports/research/510300_heikin_price_state_v1,61,5753741,,1788939702603980800
reports/research/510300_high_low_relation_v1,64,2861978,,1788766485087375300
reports/research/510300_ichimoku_cloud_v1,51,3016677,,1788882777042962000
reports/research/510300_index_prehistory_exit_v1,56,2991407,reports/research/510300_index_prehistory_exit_v1/每月八项模型中文规则.md,1788850710980084000
reports/research/510300_index_preinception_source_probe_20260908,8,904154,reports/research/510300_index_preinception_source_probe_20260908/来源与可用范围说明.md,1788848895515342200
reports/research/510300_intraday_overnight_increment_v1,45,4277545,reports/research/510300_intraday_overnight_increment_v1/REPORT.md,1788602575936831200
reports/research/510300_joint_downside_reference_pair_v1,59,3365406,,1788926762690375000
reports/research/510300_joint_entry_exit_v1,71,5702195,,1788884472569087800
reports/research/510300_joint_state_action_support_20260908,4,155002,,1788882488602617000
reports/research/510300_kernel_continuation_exit_v1,58,51096398,reports/research/510300_kernel_continuation_exit_v1/每月八项核状态退出模型中文规则.md,1788821390753229200
reports/research/510300_known_cash_risk_budget_v1,44,2832718,,1788859400193578800
reports/research/510300_learned_cycle_exit_v1,167,10448265,reports/research/510300_learned_cycle_exit_v1/每月模型中文规则.md,1788763426722478800
reports/research/510300_learned_entry_opportunity_v1,42,1894130,reports/research/510300_learned_entry_opportunity_v1/每月入场模型中文规则.md,1788766485152218200
reports/research/510300_learned_panic_saved_diagnostic_v1,5,669698,,1788773434286482500
reports/research/510300_learned_rearm_saved_diagnostic_v1,6,345953,,1788763177168776200
reports/research/510300_liquidity_increment_exit_v1,59,3013964,reports/research/510300_liquidity_increment_exit_v1/每月九项流动性退出模型中文规则.md,1788821093135229500
reports/research/510300_low_anchored_reclaim_v1,54,2566374,,1788789373462562000
reports/research/510300_market_path_exit_v1,62,4125850,,1788877993122451200
reports/research/510300_market_path_state_preflight_20260908,3,256209,,1788877276797456500
reports/research/510300_market_state_signal_router_v1,42,2350889,,1788768585507236200
reports/research/510300_mechanism_event_dossiers_v1,7,16833,reports/research/510300_mechanism_event_dossiers_v1/CASE_01_2023-07-12.md,1788077780182662600
reports/research/510300_median_continuation_v1,60,3213385,reports/research/510300_median_continuation_v1/每月中位数退出模型中文规则.md,1788806199177143700
reports/research/510300_model_support_reference_router_v1,55,2685219,,1788929310962662700
reports/research/510300_model_support_router_preflight_20260909,1,5332,,1788928066749313700
reports/research/510300_model_update_veto_preflight_20260909,1,9614,,1788935628180563400
reports/research/510300_model_update_veto_v1,45,2345938,,1788937030883548400
reports/research/510300_monotone_episode_budget_v1,56,2646183,,1788938562657541800
reports/research/510300_nbs_1000_negative_information_drift_v1,4,9958,reports/research/510300_nbs_1000_negative_information_drift_v1/FINAL_EXECUTION_STOP_REPORT.md,1788577915269332200
reports/research/510300_nbs_1000_negative_information_drift_v2,7,20341,reports/research/510300_nbs_1000_negative_information_drift_v2/RESEARCH_SUMMARY.md,1788578687421215400
reports/research/510300_nbs_fixed_5min_usage_v2_1,14,922561,,1788585817296042900
reports/research/510300_nbs_v2_g2_execution_v1,4,125193,,1788583998137333100
reports/research/510300_negative_volume_trend_preflight_20260909,1,1089,,1788894925568394500
reports/research/510300_negative_volume_trend_v1,48,2223049,,1788895358971450400
reports/research/510300_observed_return_state_support_20260908,2,8979,,1788870522575624100
reports/research/510300_observed_return_state_v1,52,2757891,,1788872040667591700
reports/research/510300_old_inventory_cost_diagnostic_20260907,1,934,,1788761195914270200
reports/research/510300_original_earnings_breadth_v1,134,39260912,,1788683653995536100
reports/research/510300_original_earnings_source_completion_v1,33,1237140,reports/research/510300_original_earnings_source_completion_v1/金融公司每股盈利与股东回报_原始报告口径实例.md,1788684313209932900
reports/research/510300_original_fund_subscription_reports_v1,134,1022434,reports/research/510300_original_fund_subscription_reports_v1/公募申购_原始基金报告路线与已核实实例.md,1788690534089448600
reports/research/510300_original_quarterly_flow_policy_v1,152,3211521,,1788691462050727400
reports/research/510300_overnight_downside_exit_v1,60,3062621,,1788866668150892400
reports/research/510300_overnight_downside_share_availability_20260908,1,966,,1788865749753023900
reports/research/510300_overnight_global_information_v1,131,14773515,reports/research/510300_overnight_global_information_v1/510300免费全球盘后信息_实际结果.md,1788669332850511400
reports/research/510300_own_cushion_risk_v1,51,2342486,,1788851279448571400
reports/research/510300_paired_forecast_mse_exit_v1,52,2359643,,1788864290871856400
reports/research/510300_panic_learned_equal_blend_v1,34,1570921,,1788773943638951300
reports/research/510300_panic_learned_signal_union_v1,49,2070781,,1788793800781831200
reports/research/510300_parabolic_reversal_v1,53,3412444,,1788810488883563200
reports/research/510300_partial_exit_saved_diagnostic_v1,7,18178,,1788776519258157800
reports/research/510300_partial_learned_exit_v1,40,2116844,,1788777636688323300
reports/research/510300_past_sharpe_parent_selector_v1,50,2927775,,1788844158397180000
reports/research/510300_peak_age_exit_v1,58,2920082,,1788874003909870800
reports/research/510300_policy_liquidity_quantity_v1,134,8915202,reports/research/510300_policy_liquidity_quantity_v1/510300央行操作量与资金压力_实际结果.md,1788676431303272000
reports/research/510300_position_state_exit_v1,60,3118607,reports/research/510300_position_state_exit_v1/每月三项持仓退出模型中文规则.md,1788808648314687700
reports/research/510300_price_concession_review_20260907,51,545467,reports/research/510300_price_concession_review_20260907/00_README_FIRST.md,1788718645452977500
reports/research/510300_price_path_dsv5_risk_budget_policy_v1,6,8972,,1788577915265156100
reports/research/510300_price_streak_exit_v1,37,1648689,,1788771434475758500
reports/research/510300_profit_drawdown_interaction_v1,58,2951731,,1788862341670805900
reports/research/510300_range_overnight_risk_preflight_20260909,1,3785,,1788934257429105500
reports/research/510300_range_overnight_risk_v1,43,2931986,,1788935006192269400
reports/research/510300_rearmed_session_exit_v1,100,4760789,,1788763426726865400
reports/research/510300_recency_weighted_exit_v1,42,2297823,reports/research/510300_recency_weighted_exit_v1/每月加权退出模型中文规则.md,1788768585389186600
reports/research/510300_recent_reference_selection_preflight_20260909,1,8097,,1788923971178976400
reports/research/510300_recent_reference_selection_v1,49,2340450,,1788925356760258700
reports/research/510300_return_classification_v1,198,11452746,reports/research/510300_return_classification_v1/510300涨跌分类与幅度加权_实际结果.md,1788669472560507400
reports/research/510300_robust_block_growth_v1,49,2425857,,1788937969385306400
reports/research/510300_robust_cycle_exit_v1,60,4190096,,1788880945644439900
reports/research/510300_robust_cycle_scale_preflight_20260908,2,15415,,1788880274505413300
reports/research/510300_saved_budget_state_differences_20260908,6,128218,,1788857952797814800
reports/research/510300_saved_candidate_frontier_20260909,11,2232864,,1788897204780354700
reports/research/510300_saved_reference_own_exit_states_20260908,4,407605,,1788860852189121800
reports/research/510300_saved_state_failure_diagnostic_v1,11,2222824,,1788940589152517900
reports/research/510300_self_performance_entry_v1,38,1849914,,1788773943521298900
reports/research/510300_session_strength_within_preflight_20260909,1,2375,,1788891724375253400
reports/research/510300_session_strength_within_v1,61,4181374,,1788892942122765700
reports/research/510300_setup_nine_reversal_preflight_20260909,1,995,,1788895870878164700
reports/research/510300_setup_nine_reversal_v1,47,2054870,,1788896307065973900
reports/research/510300_shared_episode_continuation_v1,60,3114240,,1788868120838920300
reports/research/510300_shared_reference_episode_support_20260908,4,43224,,1788866506119520300
reports/research/510300_short_horizon_cycle_exit_v1,41,2372637,reports/research/510300_short_horizon_cycle_exit_v1/每月短期退出模型中文规则.md,1788773943422179000
reports/research/510300_signed_volume_balance_preflight_20260908,3,178632,,1788876212343176700
reports/research/510300_signed_volume_within_v1,62,4184183,,1788877121124185900
reports/research/510300_simple_adaptation_saved_diagnostic_v1,3,3855,,1788768585271881300
reports/research/510300_simple_intraday_protection_v1,156,6246105,,1788761196229671400
reports/research/510300_simple_limit_execution_v1,274,8225770,,1788759347531541300
reports/research/510300_simple_pair_risk_v1,157,10221322,,1788761196229671400
reports/research/510300_simple_pair_saved_uncertainty_v1,10,411053,,1788758908387378800
reports/research/510300_simple_pair_static_risk_attribution_v1,14,557982,,1788759001690143700
reports/research/510300_simple_panic_earlier_history_v1,16,443335,,1788757212417365300
reports/research/510300_simple_price_entry_exit_v1,112,4950513,,1788757434354081500
reports/research/510300_simple_regime_local_v1,292,15043298,,1788757435895411600
reports/research/510300_simple_session_divergence_v1,137,6351234,,1788757436777423800
reports/research/510300_simple_signal_blend_v1,125,6750516,,1788759347533630300
reports/research/510300_simple_volume_reversal_v1,57,1794078,,1788757437076620600
reports/research/510300_sizing_exit_saved_diagnostic_v1,3,11890,,1788771434945930600
reports/research/510300_staged_entry_v1,54,3119539,,1788817952991250200
reports/research/510300_staged_entry_v1_1,56,3234349,,1788817952991250200
reports/research/510300_standing_profit_limit_v1,62,1989417,,1788870573021130000
reports/research/510300_synthetic_fear_recovery_v1,56,4257732,,1788820296317540000
reports/research/510300_tangency_reference_budget_v1,43,2765317,,1788857605470623900
reports/research/510300_three_policy_min_variance_v1,57,3777749,,1788821992943851900
reports/research/510300_total_reverse_repo_v2,133,13067052,,1788680831502322200
reports/research/510300_trend_coherence_blend_v1,47,2852802,,1788934242191398800
reports/research/510300_trend_learned_equal_blend_v1,42,2517812,,1788766485009468500
reports/research/510300_trend_noise_reference_blend_v1,53,3416942,,1788932247160509600
reports/research/510300_trend_reference_router_v1,51,2525582,,1788929964314518200
reports/research/510300_two_policy_min_variance_v1,53,3135075,,1788818468004598500
reports/research/510300_two_policy_risk_budget_v1,46,2698526,,1788812823931466600
reports/research/510300_two_policy_tail_loss_v1,57,3310269,,1788819103972033200
reports/research/510300_two_policy_wealth_budget_v1,57,4046449,,1788819860819777400
reports/research/510300_universal_reference_budget_v1,43,2762811,,1788856946533017700
reports/research/510300_variance_ratio_entry_router_v1,57,2711353,,1788781351229467900
reports/research/510300_vintage_reference_risk_preflight_20260909,1,3504,,1788897278069584900
reports/research/510300_vintage_reference_risk_v1,48,2470637,,1788921187251458000
reports/research/510300_volatility_capped_entry_v1,40,1831195,,1788777636866381900
reports/research/510300_volatility_expert_router_v1,49,2421854,,1788794560714682400
reports/research/510300_volatility_term_v1,7,545831,,1788804235788359800
reports/research/510300_volatility_term_v1_output_fix,59,4124790,,1788804853324162800
reports/research/510300_volume_weighted_trend_v1,49,2386827,,1788768585293961300
reports/research/510300_vortex_risk_v1,43,4259498,,1788943354712328200
reports/research/510300_within_cycle_exit_v1,59,4075096,,1788875104410622500
reports/research/510300_within_cycle_target_structure_20260908,2,1466,,1788874040421042100
