fit_index,fit_origin,status,failure,source_input_identity,first_attempt_fit_index,parameter_first_fit_index,reused_previous_input,fixed_prediction_identity,nonzero_factor_count,nonzero_factors,score_residual_covariance,zero_covariance_model
1121,2017-01-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
1139,2017-02-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
1157,2017-03-01,FIT_COMPLETE,,1cb31bffc24bd537dd1692d791af7135ba11c06537785ff28b56573ecb5c1138,1157.0,1157.0,False,3b36e614b07274eb7a2a6894a0b9b3c9593063eff4e8551ed3a482d25c465109,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.6653345369377347e-17,False
1180,2017-04-05,FIT_COMPLETE,,1cb31bffc24bd537dd1692d791af7135ba11c06537785ff28b56573ecb5c1138,1157.0,1157.0,True,3b36e614b07274eb7a2a6894a0b9b3c9593063eff4e8551ed3a482d25c465109,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.6653345369377347e-17,False
1198,2017-05-02,FIT_COMPLETE,,1cb31bffc24bd537dd1692d791af7135ba11c06537785ff28b56573ecb5c1138,1157.0,1157.0,True,3b36e614b07274eb7a2a6894a0b9b3c9593063eff4e8551ed3a482d25c465109,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.6653345369377347e-17,False
1218,2017-06-01,FIT_COMPLETE,,0fd5293d35dbb53ce038c5373044fe8c6c3f75357a726504938b2122deb93132,1218.0,1218.0,False,0349e702a19e35136a55d60bfca9b51b31907c13ced321e367583794b97242c2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.3877787807814457e-17,False
1240,2017-07-03,FIT_COMPLETE,,0fd5293d35dbb53ce038c5373044fe8c6c3f75357a726504938b2122deb93132,1218.0,1218.0,True,0349e702a19e35136a55d60bfca9b51b31907c13ced321e367583794b97242c2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.3877787807814457e-17,False
1261,2017-08-01,FIT_COMPLETE,,0fd5293d35dbb53ce038c5373044fe8c6c3f75357a726504938b2122deb93132,1218.0,1218.0,True,0349e702a19e35136a55d60bfca9b51b31907c13ced321e367583794b97242c2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.3877787807814457e-17,False
1284,2017-09-01,FIT_COMPLETE,,a8a5327f8ac0cc8e4d04d27c4b06f057c1b3bf4b9f53a0e65f3b53d19c360db2,1284.0,1284.0,False,7b83f5beb52cf32d15b27c23b602b66b9659dc2ceae2dadf599429a5421d59fd,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",1.1564823173178713e-18,False
1305,2017-10-09,FIT_COMPLETE,,a8a5327f8ac0cc8e4d04d27c4b06f057c1b3bf4b9f53a0e65f3b53d19c360db2,1284.0,1284.0,True,7b83f5beb52cf32d15b27c23b602b66b9659dc2ceae2dadf599429a5421d59fd,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",1.1564823173178713e-18,False
1322,2017-11-01,FIT_COMPLETE,,a8a5327f8ac0cc8e4d04d27c4b06f057c1b3bf4b9f53a0e65f3b53d19c360db2,1284.0,1284.0,True,7b83f5beb52cf32d15b27c23b602b66b9659dc2ceae2dadf599429a5421d59fd,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",1.1564823173178713e-18,False
1344,2017-12-01,FIT_COMPLETE,,857e3e71a6963e7c4620c7e1fcbb7110e281aa7fc6c8e4b6591b29f432f33a44,1344.0,1344.0,False,a0654b9f421edf3e4f63019477e9a43e2705c6d5808c26e170d9d8eb58bef131,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-9.340818716798193e-18,False
1365,2018-01-02,FIT_COMPLETE,,857e3e71a6963e7c4620c7e1fcbb7110e281aa7fc6c8e4b6591b29f432f33a44,1344.0,1344.0,True,a0654b9f421edf3e4f63019477e9a43e2705c6d5808c26e170d9d8eb58bef131,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-9.340818716798193e-18,False
1387,2018-02-01,FIT_COMPLETE,,857e3e71a6963e7c4620c7e1fcbb7110e281aa7fc6c8e4b6591b29f432f33a44,1344.0,1344.0,True,a0654b9f421edf3e4f63019477e9a43e2705c6d5808c26e170d9d8eb58bef131,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-9.340818716798193e-18,False
1402,2018-03-01,FIT_COMPLETE,,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402.0,1402.0,False,b56ada769559ca5d72c648c29d28ea0571bee6296b30533835c1932372d286f2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.956352788505163e-19,False
1424,2018-04-02,FIT_COMPLETE,,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402.0,1402.0,True,b56ada769559ca5d72c648c29d28ea0571bee6296b30533835c1932372d286f2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.956352788505163e-19,False
1442,2018-05-02,FIT_COMPLETE,,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402.0,1402.0,True,b56ada769559ca5d72c648c29d28ea0571bee6296b30533835c1932372d286f2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.956352788505163e-19,False
1464,2018-06-01,FIT_COMPLETE,,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402.0,1402.0,True,b56ada769559ca5d72c648c29d28ea0571bee6296b30533835c1932372d286f2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.956352788505163e-19,False
1484,2018-07-02,FIT_COMPLETE,,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402.0,1402.0,True,b56ada769559ca5d72c648c29d28ea0571bee6296b30533835c1932372d286f2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.956352788505163e-19,False
1506,2018-08-01,FIT_COMPLETE,,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402.0,1402.0,True,b56ada769559ca5d72c648c29d28ea0571bee6296b30533835c1932372d286f2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.956352788505163e-19,False
1529,2018-09-03,FIT_COMPLETE,,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402.0,1402.0,True,b56ada769559ca5d72c648c29d28ea0571bee6296b30533835c1932372d286f2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.956352788505163e-19,False
1548,2018-10-08,FIT_COMPLETE,,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402.0,1402.0,True,b56ada769559ca5d72c648c29d28ea0571bee6296b30533835c1932372d286f2,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.956352788505163e-19,False
1566,2018-11-01,FIT_COMPLETE,,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566.0,1566.0,False,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",6.0137080500529315e-18,False
1588,2018-12-03,FIT_COMPLETE,,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566.0,1566.0,True,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",6.0137080500529315e-18,False
1608,2019-01-02,FIT_COMPLETE,,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566.0,1566.0,True,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",6.0137080500529315e-18,False
1630,2019-02-01,FIT_COMPLETE,,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566.0,1566.0,True,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",6.0137080500529315e-18,False
1645,2019-03-01,FIT_COMPLETE,,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566.0,1566.0,True,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",6.0137080500529315e-18,False
1666,2019-04-01,FIT_COMPLETE,,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566.0,1566.0,True,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",6.0137080500529315e-18,False
1687,2019-05-06,FIT_COMPLETE,,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566.0,1566.0,True,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",6.0137080500529315e-18,False
1707,2019-06-03,FIT_COMPLETE,,6066f14a3dd6aef7dadf4e24b04d6dce8f6ba69c6338c173442c122c409b28ec,1707.0,1707.0,False,66259943b1e3aba7add14234988b2fc779f5b2cb5a9b5fee0fb8a5eca85eb0be,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-3.469446951953614e-18,False
1726,2019-07-01,FIT_COMPLETE,,6066f14a3dd6aef7dadf4e24b04d6dce8f6ba69c6338c173442c122c409b28ec,1707.0,1707.0,True,66259943b1e3aba7add14234988b2fc779f5b2cb5a9b5fee0fb8a5eca85eb0be,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-3.469446951953614e-18,False
1749,2019-08-01,FIT_COMPLETE,,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749.0,1749.0,False,230798b505172513f4ccdb3e81b6b13e8452bffd09fbd2470d642a3b4c496f5d,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-4.89804275569922e-18,False
1771,2019-09-02,FIT_COMPLETE,,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749.0,1749.0,True,230798b505172513f4ccdb3e81b6b13e8452bffd09fbd2470d642a3b4c496f5d,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-4.89804275569922e-18,False
1791,2019-10-08,FIT_COMPLETE,,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749.0,1749.0,True,230798b505172513f4ccdb3e81b6b13e8452bffd09fbd2470d642a3b4c496f5d,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-4.89804275569922e-18,False
1809,2019-11-01,FIT_COMPLETE,,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749.0,1749.0,True,230798b505172513f4ccdb3e81b6b13e8452bffd09fbd2470d642a3b4c496f5d,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-4.89804275569922e-18,False
1830,2019-12-02,FIT_COMPLETE,,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749.0,1749.0,True,230798b505172513f4ccdb3e81b6b13e8452bffd09fbd2470d642a3b4c496f5d,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-4.89804275569922e-18,False
1852,2020-01-02,FIT_COMPLETE,,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749.0,1749.0,True,230798b505172513f4ccdb3e81b6b13e8452bffd09fbd2470d642a3b4c496f5d,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-4.89804275569922e-18,False
1868,2020-02-03,FIT_COMPLETE,,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749.0,1749.0,True,230798b505172513f4ccdb3e81b6b13e8452bffd09fbd2470d642a3b4c496f5d,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-4.89804275569922e-18,False
1888,2020-03-02,FIT_COMPLETE,,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749.0,1749.0,True,230798b505172513f4ccdb3e81b6b13e8452bffd09fbd2470d642a3b4c496f5d,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-4.89804275569922e-18,False
1910,2020-04-01,FIT_COMPLETE,,cffcefedf6d9a984653189b1fdc1d2e8bf7d3a94369ec2e75e765e1533c44a10,1910.0,1910.0,False,369638e9273a27d4be0729948c9a9a64c6f289c8d412d70f0a6878faf70f6706,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.5419764230904951e-18,False
1931,2020-05-06,FIT_COMPLETE,,cffcefedf6d9a984653189b1fdc1d2e8bf7d3a94369ec2e75e765e1533c44a10,1910.0,1910.0,True,369638e9273a27d4be0729948c9a9a64c6f289c8d412d70f0a6878faf70f6706,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.5419764230904951e-18,False
1949,2020-06-01,FIT_COMPLETE,,cc4109799b9dd3293153c2f8b0b99b3c3ffc1df22db461022e40547ac6ee416e,1949.0,1949.0,False,f2f9fbb867e7bec07f85510f9d8746fbcd3adb8f721906083cb28b29e2eeb6cd,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-5.843279076974508e-18,False
1969,2020-07-01,FIT_COMPLETE,,cc4109799b9dd3293153c2f8b0b99b3c3ffc1df22db461022e40547ac6ee416e,1949.0,1949.0,True,f2f9fbb867e7bec07f85510f9d8746fbcd3adb8f721906083cb28b29e2eeb6cd,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-5.843279076974508e-18,False
1992,2020-08-03,FIT_COMPLETE,,cc4109799b9dd3293153c2f8b0b99b3c3ffc1df22db461022e40547ac6ee416e,1949.0,1949.0,True,f2f9fbb867e7bec07f85510f9d8746fbcd3adb8f721906083cb28b29e2eeb6cd,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-5.843279076974508e-18,False
2013,2020-09-01,FIT_COMPLETE,,cc4109799b9dd3293153c2f8b0b99b3c3ffc1df22db461022e40547ac6ee416e,1949.0,1949.0,True,f2f9fbb867e7bec07f85510f9d8746fbcd3adb8f721906083cb28b29e2eeb6cd,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-5.843279076974508e-18,False
2035,2020-10-09,FIT_COMPLETE,,699087d2ae38b82c212683dae07fce54ad57407dcb17a1727a418dee19c8207b,2035.0,2035.0,False,a130be966158b1ac632116e15bfc882a2ea1c96089c090bffec2cb3855afd53c,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.1102230246251566e-17,False
2051,2020-11-02,FIT_COMPLETE,,699087d2ae38b82c212683dae07fce54ad57407dcb17a1727a418dee19c8207b,2035.0,2035.0,True,a130be966158b1ac632116e15bfc882a2ea1c96089c090bffec2cb3855afd53c,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.1102230246251566e-17,False
2072,2020-12-01,FIT_COMPLETE,,699087d2ae38b82c212683dae07fce54ad57407dcb17a1727a418dee19c8207b,2035.0,2035.0,True,a130be966158b1ac632116e15bfc882a2ea1c96089c090bffec2cb3855afd53c,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.1102230246251566e-17,False
2095,2021-01-04,FIT_COMPLETE,,699087d2ae38b82c212683dae07fce54ad57407dcb17a1727a418dee19c8207b,2035.0,2035.0,True,a130be966158b1ac632116e15bfc882a2ea1c96089c090bffec2cb3855afd53c,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.1102230246251566e-17,False
2115,2021-02-01,FIT_COMPLETE,,699087d2ae38b82c212683dae07fce54ad57407dcb17a1727a418dee19c8207b,2035.0,2035.0,True,a130be966158b1ac632116e15bfc882a2ea1c96089c090bffec2cb3855afd53c,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.1102230246251566e-17,False
2130,2021-03-01,FIT_COMPLETE,,f6090ea032fd7753a398ad60583e05f87a9e4f883e2304a5f19414c0ac3c1c4e,2130.0,2130.0,False,84d9682b5f5fca5d18c3a987c3a84db9f6ac4a5a7b19fc1c28a7a67daea1b868,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.3877787807814458e-18,False
2153,2021-04-01,FIT_COMPLETE,,f6090ea032fd7753a398ad60583e05f87a9e4f883e2304a5f19414c0ac3c1c4e,2130.0,2130.0,True,84d9682b5f5fca5d18c3a987c3a84db9f6ac4a5a7b19fc1c28a7a67daea1b868,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.3877787807814458e-18,False
2174,2021-05-06,FIT_COMPLETE,,f6090ea032fd7753a398ad60583e05f87a9e4f883e2304a5f19414c0ac3c1c4e,2130.0,2130.0,True,84d9682b5f5fca5d18c3a987c3a84db9f6ac4a5a7b19fc1c28a7a67daea1b868,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.3877787807814458e-18,False
2192,2021-06-01,FIT_COMPLETE,,f6090ea032fd7753a398ad60583e05f87a9e4f883e2304a5f19414c0ac3c1c4e,2130.0,2130.0,True,84d9682b5f5fca5d18c3a987c3a84db9f6ac4a5a7b19fc1c28a7a67daea1b868,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.3877787807814458e-18,False
2213,2021-07-01,FIT_COMPLETE,,f6090ea032fd7753a398ad60583e05f87a9e4f883e2304a5f19414c0ac3c1c4e,2130.0,2130.0,True,84d9682b5f5fca5d18c3a987c3a84db9f6ac4a5a7b19fc1c28a7a67daea1b868,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.3877787807814458e-18,False
2235,2021-08-02,FIT_COMPLETE,,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235.0,2235.0,False,dd8eb00df7a21ff614c1bdb8ace63ae57308a31ec66bf538b95df89bc2868477,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-6.938893903907228e-18,False
2257,2021-09-01,FIT_COMPLETE,,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235.0,2235.0,True,dd8eb00df7a21ff614c1bdb8ace63ae57308a31ec66bf538b95df89bc2868477,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-6.938893903907228e-18,False
2277,2021-10-08,FIT_COMPLETE,,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235.0,2235.0,True,dd8eb00df7a21ff614c1bdb8ace63ae57308a31ec66bf538b95df89bc2868477,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-6.938893903907228e-18,False
2293,2021-11-01,FIT_COMPLETE,,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235.0,2235.0,True,dd8eb00df7a21ff614c1bdb8ace63ae57308a31ec66bf538b95df89bc2868477,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-6.938893903907228e-18,False
2315,2021-12-01,FIT_COMPLETE,,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235.0,2235.0,True,dd8eb00df7a21ff614c1bdb8ace63ae57308a31ec66bf538b95df89bc2868477,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-6.938893903907228e-18,False
2338,2022-01-04,FIT_COMPLETE,,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235.0,2235.0,True,dd8eb00df7a21ff614c1bdb8ace63ae57308a31ec66bf538b95df89bc2868477,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-6.938893903907228e-18,False
2357,2022-02-07,FIT_COMPLETE,,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357.0,2357.0,False,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.857225732735061e-18,False
2373,2022-03-01,FIT_COMPLETE,,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357.0,2357.0,True,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.857225732735061e-18,False
2396,2022-04-01,FIT_COMPLETE,,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357.0,2357.0,True,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.857225732735061e-18,False
2415,2022-05-05,FIT_COMPLETE,,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357.0,2357.0,True,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.857225732735061e-18,False
2434,2022-06-01,FIT_COMPLETE,,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357.0,2357.0,True,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.857225732735061e-18,False
2455,2022-07-01,FIT_COMPLETE,,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357.0,2357.0,True,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.857225732735061e-18,False
2476,2022-08-01,FIT_COMPLETE,,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357.0,2357.0,True,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",4.857225732735061e-18,False
2499,2022-09-01,FIT_COMPLETE,,3dbd715fff6102857396780dfdd3ea8c800b77700e68ca1fde9cab4fabf9f84d,2499.0,2499.0,False,10d20ec51e7298f248190f7dc83d607c29ac4d83aca40d5a16ee53800410775d,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",2.949029909160572e-18,False
2520,2022-10-10,FIT_COMPLETE,,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520.0,2520.0,False,247463c6810a0966f2d22edc4ee15d09b13542d26de238858e9ff5b187e0f348,7.0,"log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20",-1.2143064331837649e-18,False
