fit_index,fit_origin,fit_time,status,eligible_for_fit,training_cycle_count,training_rows,latest_exit_index,latest_exit_date,failure,deletion_fits_attempted,deletion_fits_completed
3264,2025-11-03,2025-11-03 15:05:00,FIT_COMPLETE,True,20,842,3250,2025-10-14,,20,20
3284,2025-12-01,2025-12-01 15:05:00,FIT_COMPLETE,True,20,842,3250,2025-10-14,,20,20
3307,2026-01-05,2026-01-05 15:05:00,FIT_COMPLETE,True,20,842,3250,2025-10-14,,20,20
3327,2026-02-02,2026-02-02 15:05:00,FIT_COMPLETE,True,20,842,3313,2026-01-13,,20,20
3341,2026-03-02,2026-03-02 15:05:00,FIT_COMPLETE,True,20,795,3329,2026-02-04,,20,20
3363,2026-04-01,2026-04-01 15:05:00,FIT_COMPLETE,True,20,795,3329,2026-02-04,,20,20
3384,2026-05-06,2026-05-06 15:05:00,FIT_COMPLETE,True,20,795,3329,2026-02-04,,20,20
3402,2026-06-01,2026-06-01 15:05:00,FIT_COMPLETE,True,20,795,3329,2026-02-04,,20,20
3423,2026-07-01,2026-07-01 15:05:00,FIT_COMPLETE,True,20,795,3329,2026-02-04,,20,20
3446,2026-08-03,2026-08-03 15:05:00,FIT_COMPLETE,True,20,790,3436,2026-07-20,,20,20
