fit_index,fit_origin,deleted_cycle_id,training_cycles,training_rows,latest_exit_index,status,failure
1261,2017-08-01,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12]",438,1205,FIT_COMPLETE,
1261,2017-08-01,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12]",496,1205,FIT_COMPLETE,
1261,2017-08-01,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12]",438,1205,FIT_COMPLETE,
1261,2017-08-01,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12]",438,1205,FIT_COMPLETE,
1261,2017-08-01,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12]",438,1205,FIT_COMPLETE,
1261,2017-08-01,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]",438,1142,FIT_COMPLETE,
1284,2017-09-01,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1284,2017-09-01,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]",504,1270,FIT_COMPLETE,
1284,2017-09-01,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13]",550,1270,FIT_COMPLETE,
1284,2017-09-01,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1284,2017-09-01,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13]",531,1270,FIT_COMPLETE,
1284,2017-09-01,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1284,2017-09-01,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13]",555,1270,FIT_COMPLETE,
1284,2017-09-01,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1284,2017-09-01,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13]",497,1270,FIT_COMPLETE,
1284,2017-09-01,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13]",497,1270,FIT_COMPLETE,
1284,2017-09-01,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13]",497,1270,FIT_COMPLETE,
1284,2017-09-01,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",497,1205,FIT_COMPLETE,
1305,2017-10-09,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1305,2017-10-09,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]",504,1270,FIT_COMPLETE,
1305,2017-10-09,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13]",550,1270,FIT_COMPLETE,
1305,2017-10-09,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1305,2017-10-09,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13]",531,1270,FIT_COMPLETE,
1305,2017-10-09,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1305,2017-10-09,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13]",555,1270,FIT_COMPLETE,
1305,2017-10-09,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1305,2017-10-09,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13]",497,1270,FIT_COMPLETE,
1305,2017-10-09,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13]",497,1270,FIT_COMPLETE,
1305,2017-10-09,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13]",497,1270,FIT_COMPLETE,
1305,2017-10-09,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",497,1205,FIT_COMPLETE,
1322,2017-11-01,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1322,2017-11-01,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]",504,1270,FIT_COMPLETE,
1322,2017-11-01,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13]",550,1270,FIT_COMPLETE,
1322,2017-11-01,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1322,2017-11-01,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13]",531,1270,FIT_COMPLETE,
1322,2017-11-01,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1322,2017-11-01,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13]",555,1270,FIT_COMPLETE,
1322,2017-11-01,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13]",497,1270,FIT_COMPLETE,
1322,2017-11-01,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13]",497,1270,FIT_COMPLETE,
1322,2017-11-01,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13]",497,1270,FIT_COMPLETE,
1322,2017-11-01,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13]",497,1270,FIT_COMPLETE,
1322,2017-11-01,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",497,1205,FIT_COMPLETE,
1344,2017-12-01,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1344,2017-12-01,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",563,1333,FIT_COMPLETE,
1344,2017-12-01,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",609,1333,FIT_COMPLETE,
1344,2017-12-01,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1344,2017-12-01,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14]",590,1333,FIT_COMPLETE,
1344,2017-12-01,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1344,2017-12-01,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14]",614,1333,FIT_COMPLETE,
1344,2017-12-01,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1344,2017-12-01,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1344,2017-12-01,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14]",556,1333,FIT_COMPLETE,
1344,2017-12-01,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14]",556,1333,FIT_COMPLETE,
1344,2017-12-01,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14]",556,1333,FIT_COMPLETE,
1344,2017-12-01,14,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]",556,1270,FIT_COMPLETE,
1365,2018-01-02,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1365,2018-01-02,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",563,1333,FIT_COMPLETE,
1365,2018-01-02,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",609,1333,FIT_COMPLETE,
1365,2018-01-02,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1365,2018-01-02,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14]",590,1333,FIT_COMPLETE,
1365,2018-01-02,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1365,2018-01-02,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14]",614,1333,FIT_COMPLETE,
1365,2018-01-02,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1365,2018-01-02,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1365,2018-01-02,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14]",556,1333,FIT_COMPLETE,
1365,2018-01-02,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14]",556,1333,FIT_COMPLETE,
1365,2018-01-02,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14]",556,1333,FIT_COMPLETE,
1365,2018-01-02,14,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]",556,1270,FIT_COMPLETE,
1387,2018-02-01,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1387,2018-02-01,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",563,1333,FIT_COMPLETE,
1387,2018-02-01,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",609,1333,FIT_COMPLETE,
1387,2018-02-01,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1387,2018-02-01,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14]",590,1333,FIT_COMPLETE,
1387,2018-02-01,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1387,2018-02-01,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14]",614,1333,FIT_COMPLETE,
1387,2018-02-01,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1387,2018-02-01,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14]",556,1333,FIT_COMPLETE,
1387,2018-02-01,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14]",556,1333,FIT_COMPLETE,
1387,2018-02-01,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14]",556,1333,FIT_COMPLETE,
1387,2018-02-01,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14]",556,1333,FIT_COMPLETE,
1387,2018-02-01,14,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]",556,1270,FIT_COMPLETE,
1402,2018-03-01,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1402,2018-03-01,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",619,1393,FIT_COMPLETE,
1402,2018-03-01,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",665,1393,FIT_COMPLETE,
1402,2018-03-01,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1402,2018-03-01,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15]",646,1393,FIT_COMPLETE,
1402,2018-03-01,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1402,2018-03-01,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15]",670,1393,FIT_COMPLETE,
1402,2018-03-01,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1402,2018-03-01,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1402,2018-03-01,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1402,2018-03-01,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15]",612,1393,FIT_COMPLETE,
1402,2018-03-01,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15]",612,1393,FIT_COMPLETE,
1402,2018-03-01,14,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15]",612,1393,FIT_COMPLETE,
1402,2018-03-01,15,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",615,1333,FIT_COMPLETE,
1424,2018-04-02,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1424,2018-04-02,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",619,1393,FIT_COMPLETE,
1424,2018-04-02,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",665,1393,FIT_COMPLETE,
1424,2018-04-02,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1424,2018-04-02,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15]",646,1393,FIT_COMPLETE,
1424,2018-04-02,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1424,2018-04-02,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15]",670,1393,FIT_COMPLETE,
1424,2018-04-02,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1424,2018-04-02,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1424,2018-04-02,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1424,2018-04-02,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15]",612,1393,FIT_COMPLETE,
1424,2018-04-02,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15]",612,1393,FIT_COMPLETE,
1424,2018-04-02,14,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15]",612,1393,FIT_COMPLETE,
1424,2018-04-02,15,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",615,1333,FIT_COMPLETE,
1442,2018-05-02,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1442,2018-05-02,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",619,1393,FIT_COMPLETE,
1442,2018-05-02,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",665,1393,FIT_COMPLETE,
1442,2018-05-02,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1442,2018-05-02,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15]",646,1393,FIT_COMPLETE,
1442,2018-05-02,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1442,2018-05-02,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15]",670,1393,FIT_COMPLETE,
1442,2018-05-02,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1442,2018-05-02,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1442,2018-05-02,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1442,2018-05-02,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15]",612,1393,FIT_COMPLETE,
1442,2018-05-02,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15]",612,1393,FIT_COMPLETE,
1442,2018-05-02,14,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15]",612,1393,FIT_COMPLETE,
1442,2018-05-02,15,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",615,1333,FIT_COMPLETE,
1464,2018-06-01,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1464,2018-06-01,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",619,1393,FIT_COMPLETE,
1464,2018-06-01,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",665,1393,FIT_COMPLETE,
1464,2018-06-01,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1464,2018-06-01,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15]",646,1393,FIT_COMPLETE,
1464,2018-06-01,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1464,2018-06-01,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15]",670,1393,FIT_COMPLETE,
1464,2018-06-01,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1464,2018-06-01,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1464,2018-06-01,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1464,2018-06-01,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15]",612,1393,FIT_COMPLETE,
1464,2018-06-01,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15]",612,1393,FIT_COMPLETE,
1464,2018-06-01,14,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15]",612,1393,FIT_COMPLETE,
1464,2018-06-01,15,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",615,1333,FIT_COMPLETE,
1484,2018-07-02,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1484,2018-07-02,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",619,1393,FIT_COMPLETE,
1484,2018-07-02,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",665,1393,FIT_COMPLETE,
1484,2018-07-02,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1484,2018-07-02,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15]",646,1393,FIT_COMPLETE,
1484,2018-07-02,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1484,2018-07-02,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15]",670,1393,FIT_COMPLETE,
1484,2018-07-02,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1484,2018-07-02,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1484,2018-07-02,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1484,2018-07-02,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15]",612,1393,FIT_COMPLETE,
1484,2018-07-02,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15]",612,1393,FIT_COMPLETE,
1484,2018-07-02,14,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15]",612,1393,FIT_COMPLETE,
1484,2018-07-02,15,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",615,1333,FIT_COMPLETE,
1506,2018-08-01,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
1506,2018-08-01,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",619,1393,FIT_COMPLETE,
1506,2018-08-01,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",665,1393,FIT_COMPLETE,
1506,2018-08-01,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]",612,1393,FIT_COMPLETE,
