cost,model,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
STRESS,PRICE_MEANVAR_EXPANDING,0.09878733239999685,0.014314786855787588,0.018518854631962324,0.09276654376681516,0.199628593240605,-0.2586171996031,1604,0.49756882515302614,45,461.53352000000007,1292.600000000001,False,4.814282306142559e-11,-0.021770157657955057,False
STRESS,PRICE_MEANVAR_ROLL756,-0.004526982600003257,-0.0006843150143338926,0.002849208755610767,0.08400431079534561,0.03391741124514567,-0.24937291190804994,1604,0.4061680714907114,63,626.1965200000001,1721.4999999999827,False,4.729372449219227e-11,-0.03676925952807654,False
STRESS,FULL_SHARPE_EXPANDING,0.14581153400000227,0.020748084231346272,0.02333056007081603,0.07487740566554904,0.3115834458130856,-0.22373994110096868,1604,0.3597729929900279,187,2007.5932000000003,5574.000000000017,False,5.155698090675287e-11,-0.015336860282396374,False
STRESS,FULL_SHARPE_ROLL756,-0.08035559360000231,-0.012558815670530733,-0.010525741379312874,0.0649572446572458,-0.16204106924259384,-0.1958509030986163,1604,0.23800839005620106,138,1401.3187200000002,3869.0000000000146,False,4.1382008930668235e-11,-0.04864376018427338,False
STRESS,FULL_MEANVAR_EXPANDING,0.13603766759999927,0.01942964214592818,0.023863158733262085,0.09617370942472875,0.24812559353280234,-0.2914741148782134,1604,0.5051899966850089,82,814.6664800000001,2267.200000000018,False,5.093170329928398e-11,-0.016655302367814467,False
STRESS,FULL_MEANVAR_ROLL756,-0.01772013840000108,-0.0026938232260319515,0.000831120963790569,0.0839635724582555,0.00989858982243497,-0.2556836276264036,1604,0.41062817763833265,102,989.6276800000002,2714.199999999989,False,5.002220859751105e-11,-0.038778767739774594,False
STRESS,U1_PRIMARY_FULL_SHARPE,0.05011117239999847,0.00740436060660803,0.009380505117479801,0.06332100944188965,0.14814206532965002,-0.21294619805068782,1604,0.2947563021155383,126,1284.26552,3556.399999999984,False,5.502442945726216e-11,-0.028680583907134617,False
STRESS,U2_PRICE_SHARPE,-0.05601831819999751,-0.00865987969392425,-0.006784852689360423,0.061794576164688184,-0.10979689659620241,-0.2326462402227994,1604,0.30180334578806683,93,878.5636400000002,2452.4999999999827,False,3.7971403799019754e-11,-0.0447448242076669,False
STRESS,U3_FULL_MEANVAR,0.07338151659999977,0.010741178542431206,0.014528643866278683,0.08768217145113638,0.16569667043858766,-0.2765211197049678,1604,0.45835201503923684,66,669.69668,1855.79999999999,False,4.5929482439532876e-11,-0.02534376597131144,False
STRESS,U4_PRICE_MEANVAR,0.06499439519999872,0.009545663377703054,0.01309894102749467,0.08482297153995216,0.15442681138947115,-0.2553717327246357,1604,0.4402018187071027,42,431.2209600000001,1197.6999999999953,False,4.581579560181126e-11,-0.026539281136039594,False
STRESS,BUY_HOLD,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
