ts_code,trade_time,vol,amount,low,high,bar_vwap
510300.SH,2017-08-17 11:19:00,0,0,3.758,3.758,
510300.SH,2017-08-17 11:29:00,0,0,3.763,3.763,
510300.SH,2017-08-17 13:04:00,0,0,3.765,3.765,
510300.SH,2017-08-17 13:33:00,100,377,3.763,3.763,3.77
510300.SH,2017-08-17 13:41:00,200,752,3.763,3.763,3.76
510300.SH,2017-08-17 13:52:00,100,376,3.762,3.762,3.76
510300.SH,2017-08-21 09:40:00,599800,2279370,3.795,3.798,3.800216738912971
510300.SH,2017-08-21 10:12:00,0,0,3.798,3.798,
510300.SH,2017-08-21 10:49:00,0,0,3.797,3.797,
510300.SH,2017-08-21 13:21:00,0,0,3.788,3.788,
510300.SH,2017-08-21 13:27:00,0,0,3.79,3.79,
510300.SH,2017-08-21 13:31:00,300,1137,3.788,3.788,3.79
510300.SH,2017-08-21 13:34:00,100,378,3.788,3.788,3.78
510300.SH,2017-08-22 13:29:00,0,0,3.802,3.802,
510300.SH,2017-08-22 14:09:00,300,1139,3.799,3.799,3.796666666666667
510300.SH,2017-08-23 09:45:00,100,381,3.803,3.803,3.81
510300.SH,2017-08-23 11:23:00,0,0,3.808,3.808,
510300.SH,2017-08-23 13:11:00,0,0,3.809,3.809,
510300.SH,2017-08-23 13:23:00,100,380,3.808,3.808,3.8
510300.SH,2017-08-23 13:28:00,0,0,3.809,3.809,
510300.SH,2017-08-23 13:29:00,0,0,3.809,3.809,
510300.SH,2017-08-23 13:30:00,0,0,3.809,3.809,
510300.SH,2017-08-23 14:00:00,0,0,3.811,3.811,
510300.SH,2017-08-24 11:17:00,0,0,3.81,3.81,
510300.SH,2017-08-24 11:23:00,0,0,3.808,3.808,
510300.SH,2017-08-24 11:25:00,0,0,3.808,3.808,
510300.SH,2017-08-24 13:03:00,200,761,3.807,3.807,3.805
510300.SH,2017-08-24 13:35:00,200,760,3.802,3.802,3.8
510300.SH,2017-08-24 13:47:00,0,0,3.802,3.802,
510300.SH,2017-09-05 14:43:00,200,784,3.918,3.918,3.92
510300.SH,2017-09-06 13:34:00,0,0,3.909,3.909,
510300.SH,2017-09-07 11:25:00,0,0,3.907,3.907,
510300.SH,2017-09-07 13:09:00,200,781,3.907,3.907,3.905
510300.SH,2017-09-07 13:51:00,100,391,3.908,3.908,3.91
510300.SH,2017-09-08 10:01:00,200,778,3.893,3.893,3.89
510300.SH,2017-09-12 10:38:00,200,778,3.888,3.888,3.89
510300.SH,2017-09-12 10:40:00,0,0,3.888,3.888,
510300.SH,2017-09-12 10:53:00,0,0,3.894,3.894,
510300.SH,2017-09-12 11:28:00,0,0,3.893,3.893,
510300.SH,2017-09-12 13:12:00,0,0,3.894,3.894,
510300.SH,2017-09-13 10:27:00,822600,3201616,3.891,3.891,3.8920690493557015
510300.SH,2017-09-13 13:29:00,0,0,3.9,3.9,
510300.SH,2017-09-13 13:37:00,0,0,3.898,3.898,
510300.SH,2017-09-13 13:39:00,0,0,3.899,3.899,
510300.SH,2017-09-13 13:49:00,0,0,3.897,3.897,
510300.SH,2017-09-13 14:41:00,100,390,3.902,3.902,3.9
510300.SH,2017-09-13 14:42:00,100,391,3.902,3.902,3.91
510300.SH,2017-09-14 10:42:00,100,390,3.906,3.906,3.9
510300.SH,2017-09-14 10:46:00,300,1171,3.906,3.906,3.9033333333333333
510300.SH,2017-09-14 13:34:00,0,0,3.891,3.891,
510300.SH,2017-09-14 13:41:00,0,0,3.893,3.893,
510300.SH,2017-09-15 11:17:00,200,779,3.897,3.897,3.895
510300.SH,2017-09-15 13:03:00,400,1559,3.899,3.899,3.8975
510300.SH,2017-09-15 13:04:00,0,0,3.899,3.899,
510300.SH,2017-09-15 13:05:00,0,0,3.899,3.899,
510300.SH,2017-09-15 13:09:00,200,779,3.898,3.898,3.895
510300.SH,2017-09-15 13:45:00,100,389,3.892,3.892,3.89
510300.SH,2017-09-15 13:52:00,0,0,3.893,3.893,
510300.SH,2017-09-18 14:06:00,0,0,3.907,3.907,
510300.SH,2017-09-19 11:08:00,0,0,3.9,3.9,
510300.SH,2017-09-19 11:18:00,0,0,3.901,3.901,
510300.SH,2017-09-19 13:41:00,0,0,3.895,3.895,
510300.SH,2017-09-20 10:25:00,0,0,3.888,3.888,
510300.SH,2017-09-20 10:49:00,0,0,3.895,3.895,
510300.SH,2017-09-20 10:56:00,100,390,3.895,3.895,3.9
510300.SH,2017-09-20 13:10:00,0,0,3.904,3.904,
510300.SH,2017-09-20 13:18:00,0,0,3.903,3.903,
510300.SH,2017-09-20 14:23:00,0,0,3.902,3.902,
510300.SH,2017-09-21 10:56:00,0,0,3.904,3.904,
510300.SH,2017-09-21 13:04:00,0,0,3.911,3.911,
510300.SH,2017-09-21 13:05:00,0,0,3.911,3.911,
510300.SH,2017-09-21 13:42:00,0,0,3.907,3.907,
510300.SH,2017-09-21 13:53:00,0,0,3.907,3.907,
510300.SH,2017-09-22 09:44:00,415200,1618222,3.899,3.899,3.89745183044316
510300.SH,2017-09-25 10:44:00,0,0,3.882,3.882,
510300.SH,2017-09-25 10:45:00,0,0,3.882,3.882,
510300.SH,2017-09-25 10:55:00,400,1553,3.884,3.884,3.8825
510300.SH,2017-09-25 10:57:00,0,0,3.882,3.882,
510300.SH,2017-09-27 10:39:00,0,0,3.881,3.881,
510300.SH,2017-09-27 10:48:00,100,388,3.882,3.882,3.88
510300.SH,2017-09-27 11:27:00,0,0,3.884,3.884,
510300.SH,2017-09-27 11:29:00,0,0,3.884,3.884,
510300.SH,2017-09-28 10:24:00,100,388,3.875,3.875,3.88
510300.SH,2017-09-28 10:35:00,300,1162,3.876,3.876,3.8733333333333335
510300.SH,2017-09-28 13:16:00,0,0,3.88,3.88,
510300.SH,2017-09-29 11:00:00,0,0,3.908,3.908,
510300.SH,2017-09-29 13:09:00,0,0,3.905,3.905,
510300.SH,2017-09-29 13:23:00,0,0,3.907,3.907,
510300.SH,2017-10-09 11:22:00,0,0,3.971,3.971,
510300.SH,2017-10-12 14:06:00,0,0,3.961,3.961,
510300.SH,2017-10-13 10:24:00,0,0,3.975,3.975,
510300.SH,2017-10-13 10:27:00,100,398,3.974,3.974,3.98
510300.SH,2017-10-13 10:38:00,100,398,3.976,3.976,3.98
510300.SH,2017-10-13 10:49:00,0,0,3.975,3.975,
510300.SH,2017-10-20 13:06:00,0,0,3.977,3.977,
510300.SH,2017-10-20 13:45:00,43400,172712,3.981,3.981,3.9795391705069125
510300.SH,2017-10-25 10:37:00,0,0,4.024,4.024,
510300.SH,2017-10-25 13:03:00,100,403,4.032,4.032,4.03
510300.SH,2017-10-27 11:10:00,0,0,4.064,4.064,
510300.SH,2017-10-27 11:12:00,0,0,4.064,4.064,
510300.SH,2017-10-27 13:03:00,787500,3203211,4.066,4.066,4.0675695238095235
510300.SH,2017-10-27 13:22:00,30400,123589,4.067,4.067,4.065427631578947
510300.SH,2017-10-30 13:16:00,0,0,4.059,4.059,
510300.SH,2017-10-31 14:30:00,107600,436897,4.062,4.063,4.060381040892193
510300.SH,2017-11-01 10:28:00,1288603,5259240,4.083,4.084,4.081350113262192
510300.SH,2017-11-06 13:59:00,0,0,4.064,4.064,
510300.SH,2017-11-07 14:18:00,71600,294264,4.107,4.108,4.109832402234637
510300.SH,2017-11-13 13:25:00,169000,709195,4.198,4.199,4.1964201183431955
510300.SH,2017-11-23 14:54:00,3967200,16470732,4.153,4.156,4.1517271627344225
510300.SH,2017-11-29 14:20:00,809200,3329068,4.11,4.112,4.114023727137914
510300.SH,2017-11-30 13:13:00,317400,1296880,4.087,4.088,4.085948330182735
510300.SH,2017-12-05 11:08:00,128800,526533,4.09,4.09,4.087989130434782
510300.SH,2017-12-06 10:12:00,495400,2020342,4.075,4.076,4.078203471941865
510300.SH,2017-12-07 10:21:00,243400,987203,4.057,4.058,4.05588742810189
510300.SH,2017-12-08 13:13:00,200,808,4.042,4.042,4.04
510300.SH,2017-12-18 09:52:00,485300,1966458,4.05,4.051,4.052046157016279
510300.SH,2018-01-12 14:06:00,82200,349681,4.253,4.253,4.254026763990268
510300.SH,2018-01-22 13:12:00,270800,1180206,4.36,4.362,4.358220088626292
510300.SH,2018-01-23 14:00:00,745200,3250373,4.363,4.364,4.361745840042942
510300.SH,2018-01-26 10:09:00,132400,577508,4.363,4.364,4.361842900302115
510300.SH,2018-02-02 11:23:00,59100,250970,4.248,4.25,4.24653130287648
510300.SH,2018-02-06 14:50:00,1345900,5603983,4.16,4.162,4.163743963147336
510300.SH,2018-02-13 10:19:00,1607200,6360844,3.96,3.962,3.957717770034843
510300.SH,2018-02-22 10:32:00,236700,953292,4.029,4.031,4.027427122940431
510300.SH,2018-02-26 10:26:00,517900,2104643,4.065,4.066,4.063801892257192
510300.SH,2018-02-26 14:24:00,1213300,5000576,4.123,4.124,4.121467073271243
510300.SH,2018-03-02 13:23:00,100,402,4.027,4.027,4.02
510300.SH,2018-03-05 14:22:00,539200,2157166,4.002,4.002,4.0006787833827895
510300.SH,2018-03-08 10:40:00,798100,3240337,4.058,4.059,4.0600639017666955
510300.SH,2018-03-22 13:11:00,277500,1115323,4.016,4.018,4.019181981981982
510300.SH,2018-03-27 13:04:00,105600,413000,3.909,3.909,3.9109848484848486
510300.SH,2018-03-29 10:35:00,191200,727107,3.804,3.805,3.802860878661088
510300.SH,2018-04-09 10:34:00,0,0,3.842,3.842,
510300.SH,2018-04-23 13:09:00,100,376,3.756,3.756,3.76
510300.SH,2018-04-25 13:57:00,100,382,3.822,3.822,3.82
510300.SH,2018-04-27 10:57:00,687727,2575263,3.742,3.743,3.7446006918442927
510300.SH,2018-04-27 13:41:00,192800,719935,3.733,3.733,3.7341026970954356
510300.SH,2018-05-16 11:23:00,0,0,3.905,3.905,
510300.SH,2018-05-16 14:12:00,362000,1413292,3.906,3.906,3.904121546961326
510300.SH,2018-05-29 13:32:00,76300,290468,3.808,3.808,3.8069200524246396
510300.SH,2018-06-04 14:27:00,238800,910151,3.809,3.81,3.811352596314908
510300.SH,2018-06-06 14:01:00,366000,1405927,3.839,3.84,3.841330601092896
510300.SH,2018-06-08 13:13:00,343400,1298980,3.784,3.785,3.7827023878858475
510300.SH,2018-06-13 11:18:00,0,0,3.813,3.813,
510300.SH,2018-06-13 11:19:00,123800,472057,3.815,3.815,3.8130613893376415
510300.SH,2018-06-13 13:15:00,0,0,3.806,3.806,
510300.SH,2018-06-19 09:38:00,1907000,7096549,3.719,3.72,3.7213156790770845
510300.SH,2018-06-20 13:01:00,2386400,8663831,3.632,3.636,3.6305024304391553
510300.SH,2018-06-21 10:58:00,990600,3648882,3.682,3.682,3.6835069654754693
510300.SH,2018-07-04 10:35:00,230700,788077,3.413,3.415,3.416025140875596
510300.SH,2018-07-05 13:23:00,1087100,3665196,3.373,3.375,3.3715352773433906
510300.SH,2018-07-17 11:21:00,0,0,3.49,3.49,
510300.SH,2018-07-17 11:25:00,0,0,3.482,3.482,
510300.SH,2018-07-23 09:51:00,100,354,3.533,3.533,3.54
510300.SH,2018-07-23 09:52:00,0,0,3.533,3.533,
510300.SH,2018-07-30 13:25:00,0,0,3.565,3.565,
510300.SH,2018-07-30 14:49:00,2873700,10191918,3.548,3.55,3.5466186449525003
510300.SH,2018-08-09 10:33:00,379800,1300059,3.421,3.422,3.4230094786729857
510300.SH,2018-08-13 10:05:00,1109600,3784471,3.412,3.415,3.4106624008651765
510300.SH,2018-08-15 14:57:00,1558700,5224422,3.353,3.354,3.3517816128825304
510300.SH,2018-08-28 14:12:00,379800,1315736,3.461,3.463,3.464286466561348
510300.SH,2018-08-29 13:56:00,1016100,3507976,3.45,3.451,3.452392481055014
510300.SH,2018-09-06 10:58:00,2392300,8032057,3.355,3.356,3.357462274798311
510300.SH,2018-09-17 14:45:00,600,1963,3.273,3.273,3.2716666666666665
510300.SH,2018-09-28 10:18:00,369800,1287251,3.482,3.483,3.480938345051379
510300.SH,2018-10-08 11:15:00,875300,2963284,3.387,3.391,3.3854495601508052
510300.SH,2018-10-08 13:12:00,1084800,3675275,3.389,3.39,3.3879747418879056
510300.SH,2018-10-11 10:28:00,456000,1490667,3.267,3.268,3.2690065789473683
510300.SH,2018-10-26 14:06:00,414700,1332351,3.214,3.215,3.2128068483240897
510300.SH,2018-11-01 11:29:00,2300100,7533621,3.27,3.273,3.275344985000652
510300.SH,2018-12-19 10:45:00,1084500,3449096,3.179,3.179,3.1803559243891195
510300.SH,2018-12-19 13:30:00,2080600,6603721,3.176,3.177,3.17395030279727
510300.SH,2019-01-03 13:20:00,683000,2060304,3.018,3.019,3.0165505124450953
510300.SH,2019-02-21 10:21:00,521400,1790770,3.436,3.437,3.434541618718834
510300.SH,2019-03-01 14:20:00,1057800,3909468,3.692,3.694,3.6958479863868408
510300.SH,2019-03-05 10:30:00,4215300,15935101,3.777,3.779,3.7803005717268046
510300.SH,2019-03-05 13:22:00,840600,3183821,3.789,3.79,3.787557696883179
510300.SH,2019-03-06 10:41:00,6667100,25381428,3.809,3.812,3.8069667471614346
510300.SH,2019-03-20 13:47:00,255400,968188,3.792,3.794,3.790869224745497
510300.SH,2019-03-29 10:05:00,3499500,13144904,3.751,3.755,3.7562234604943563
510300.SH,2019-04-08 14:54:00,0,0,4.04,4.04,
510300.SH,2019-04-30 14:20:00,836200,3256047,3.895,3.896,3.89386151638364
510300.SH,2019-05-07 13:49:00,1739800,6410724,3.686,3.688,3.684747672146224
510300.SH,2019-06-04 11:11:00,958500,3448119,3.599,3.6,3.597411580594679
510300.SH,2019-06-13 14:07:00,1570000,5804114,3.699,3.702,3.696887898089172
510300.SH,2019-07-11 14:51:00,616200,2356126,3.825,3.826,3.823638429081467
510300.SH,2019-08-12 10:56:00,322200,1199938,3.722,3.723,3.7242023587833644
510300.SH,2019-08-16 10:16:00,917600,3451313,3.76,3.76,3.761239102005231
510300.SH,2019-09-06 14:02:00,2442400,9759492,3.997,3.999,3.9958614477563055
510300.SH,2019-10-22 13:32:00,0,0,3.933,3.933,
510300.SH,2019-10-23 10:52:00,233700,922053,3.947,3.948,3.9454557124518614
510300.SH,2019-11-07 09:59:00,244200,987507,4.045,4.047,4.043845208845209
510300.SH,2019-11-07 13:14:00,1043100,4211244,4.039,4.04,4.0372389991371875
510300.SH,2019-12-27 11:05:00,2397100,9701967,4.045,4.046,4.047376830336657
510300.SH,2019-12-31 11:07:00,2596700,10563354,4.069,4.07,4.0679916817499135
510300.SH,2020-01-09 14:43:00,1523700,6334032,4.155,4.156,4.157007284898602
510300.SH,2020-01-23 10:59:00,1568600,6355834,4.053,4.054,4.051915083513961
510300.SH,2020-02-03 09:38:00,22713000,83782260,3.681,3.685,3.688735966186765
510300.SH,2020-02-06 13:29:00,1597600,6171535,3.858,3.862,3.863003880821232
510300.SH,2020-02-11 14:29:00,448128,1770590,3.948,3.95,3.9510809411596686
510300.SH,2020-02-13 11:10:00,817600,3242636,3.962,3.965,3.966042074363992
510300.SH,2020-02-17 10:53:00,1287300,5175053,4.016,4.019,4.020083119707916
510300.SH,2020-02-25 10:59:00,4811000,19549872,4.065,4.067,4.0635776345874035
510300.SH,2020-03-09 14:44:00,2662900,10631407,3.994,3.996,3.992416913890871
510300.SH,2020-03-18 13:16:00,1072700,3994731,3.725,3.726,3.723996457537056
510300.SH,2020-03-27 13:26:00,1384900,5158834,3.723,3.724,3.7250588490143692
510300.SH,2020-03-30 14:55:00,4241700,15528704,3.662,3.663,3.6609623500011788
510300.SH,2020-04-02 14:27:00,895100,3303544,3.692,3.694,3.6906982460060327
510300.SH,2020-04-07 10:46:00,1274700,4812066,3.772,3.774,3.7750576606260298
510300.SH,2020-04-07 13:04:00,1392100,5254815,3.772,3.773,3.7747396020400834
510300.SH,2020-04-07 13:25:00,1244000,4701185,3.776,3.777,3.7790876205787782
510300.SH,2020-04-07 13:47:00,1137800,4304850,3.78,3.782,3.7834856741079275
510300.SH,2020-04-07 14:17:00,1149800,4356955,3.786,3.788,3.7893155331361976
510300.SH,2020-04-07 14:18:00,1254600,4754522,3.787,3.788,3.789671608480791
510300.SH,2020-04-07 14:29:00,1156100,4378431,3.784,3.785,3.7872424530749935
510300.SH,2020-04-27 14:05:00,1218900,4647037,3.814,3.815,3.8124842070719502
510300.SH,2020-05-11 14:26:00,1739100,6846097,3.938,3.94,3.9365746650566384
510300.SH,2020-06-01 13:53:00,713100,2832774,3.97,3.971,3.972477913336138
510300.SH,2020-06-03 14:29:00,534300,2128378,3.985,3.986,3.9834886767733484
510300.SH,2020-06-04 13:30:00,882000,3509514,3.977,3.978,3.9790408163265307
510300.SH,2020-06-12 11:00:00,565900,2253245,3.983,3.984,3.9817017140837603
510300.SH,2020-06-12 11:14:00,654000,2608017,3.989,3.991,3.9877935779816513
510300.SH,2020-06-12 13:35:00,554800,2212791,3.992,3.993,3.988448089401586
510300.SH,2020-06-12 14:24:00,621600,2487625,4.003,4.005,4.0019707207207205
510300.SH,2020-07-06 14:03:00,3351900,15820862,4.712,4.718,4.719968376144873
510300.SH,2020-07-08 11:28:00,3145300,14944026,4.744,4.75,4.7512243665151175
510300.SH,2020-07-21 14:13:00,1155500,5457859,4.725,4.726,4.723374296841194
510300.SH,2020-07-22 14:27:00,1523500,7310297,4.792,4.797,4.798357072530358
510300.SH,2020-07-23 09:48:00,1389300,6639647,4.775,4.778,4.779131217159721
510300.SH,2020-07-28 14:48:00,1487100,6846520,4.605,4.61,4.60394055544348
510300.SH,2020-08-05 11:07:00,1016900,4897782,4.812,4.815,4.816385091946111
510300.SH,2020-08-12 14:58:00,1700899,7996069,4.699,4.7,4.701083956190226
510300.SH,2020-08-17 14:03:00,2970600,14506908,4.885,4.887,4.883494243587154
510300.SH,2020-08-28 11:04:00,831500,4023002,4.835,4.837,4.838246542393265
510300.SH,2020-08-31 14:41:00,1707300,8361658,4.899,4.901,4.89759151877233
510300.SH,2020-09-16 14:34:00,1514900,7152929,4.717,4.72,4.721716945012872
510300.SH,2020-11-04 14:32:00,1557600,7598207,4.874,4.877,4.878150359527478
510300.SH,2020-11-05 09:31:00,15813383,78055790,4.938,4.949,4.936058906560349
510300.SH,2020-11-17 10:44:00,1558500,7711413,4.949,4.95,4.947971126082772
510300.SH,2020-12-23 14:45:00,678700,3442464,5.069,5.071,5.072143804331811
510300.SH,2021-02-04 11:11:00,1871800,10228111,5.466,5.469,5.464318303237525
510300.SH,2021-02-10 10:29:00,1741300,10004830,5.747,5.748,5.745609602021478
510300.SH,2021-03-04 10:19:00,3320600,17704836,5.333,5.335,5.331818346082033
510300.SH,2021-04-14 13:02:00,2187600,10836670,4.955,4.956,4.953679831779119
510300.SH,2021-05-13 13:12:00,1110400,5546799,4.997,5.0,4.995316102305475
510300.SH,2021-06-10 11:22:00,7159900,38003616,5.309,5.312,5.307841729633095
510300.SH,2021-06-16 13:41:00,2731800,13976926,5.113,5.115,5.116379676403836
510300.SH,2021-07-29 14:35:00,2124500,10415933,4.897,4.901,4.902769122146387
