date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
2021-10-08,4.978,5.006,CLOSE,222151.38911999998,0,0.0,222151.38911999998,0.0018350944461364982,406.9220400000049,485.9000000000017,0.0,0.0,0.0,2.0392576516314875e-12,2021-09-30,False,0.2528677819254584,-11300,-11300,4.978,4.973,22.477960000000003,56.49999999999879,56194.9,FILLED,165978.96707999997,11300,222151.38911999998,0.0
2021-11-01,4.957,4.965,CLOSE,56354.29679999998,33400,0.0,222185.29679999998,0.00015263321167746646,33.90768000000389,267.2000000000002,0.0,0.0,0.7463635190463243,1.4210854715202004e-13,2021-10-29,False,0.7460263951375826,33400,33400,4.957,4.962,66.29232,166.99999999999645,165730.8,FILLED,222151.38911999998,0,56354.29679999998,33400.0
2021-12-01,4.911,4.924,CLOSE,289.47983999997814,44800,0.0,220884.67984,0.002282326741755103,502.983040000021,582.4000000000353,0.0,0.0,0.9986894526129667,-5.4285465012071654e-12,2021-11-30,False,0.2542969802563023,11400,11400,4.911,4.916,22.416960000000003,57.00000000000891,56042.4,FILLED,56354.29679999998,33400,289.47983999997814,44800.0
2022-02-07,4.625,4.626,CLOSE,105248.82383999997,22800,0.0,210721.62383999996,0.014701032444334627,3052.9439999999595,3203.5999999999954,0.0,0.0,0.5005314503464773,-3.821298832917819e-11,2022-01-28,False,0.4820500390948463,-22000,-22000,4.625,4.62,40.656,109.99999999999766,101640.0,FILLED,3649.479839999978,44800,105248.82383999997,22800.0
2022-03-01,4.588,4.609,CLOSE,209699.42687999998,0,0.0,209699.42687999998,0.0011066294434938229,231.80304000002798,387.6000000000079,0.0,0.0,0.0,1.7635670701565687e-11,2022-02-28,False,0.49792613254015633,-22800,-22800,4.588,4.583,41.796960000000006,113.99999999999757,104492.40000000001,FILLED,105248.82383999997,22800,209699.42687999998,0.0
2024-07-01,3.487,3.501,CLOSE,155.64287999997032,60000,0.0,210215.64287999997,0.002461694853822305,516.2159999999858,839.9999999999874,0.0,0.0,0.9992596037199343,-1.3642420526593924e-12,2024-06-28,False,0.9988582377951037,60000,60000,3.487,3.491,83.784,240.00000000000023,209460.0,FILLED,209699.42687999998,0,155.64287999997032,60000.0
2024-11-01,3.964,3.979,CLOSE,59531.88287999997,45000,0.0,238586.88287999996,0.000718241462394964,171.2399999999907,254.99999999999852,0.0,0.0,0.7504813250360364,-7.773337529215496e-12,2024-10-31,False,0.24958440113103303,-15000,-15000,3.964,3.96,23.76,60.00000000000006,59400.0,FILLED,155.64287999997032,60000,59531.88287999997,45000.0
2025-01-02,4.02,3.909,CLOSE,120134.13227999996,29900,0.0,237013.23227999994,-0.01458765646596294,-3508.6506000000227,-3408.900000000023,0.0,0.0,0.49313322667960885,-1.4637180356658064e-12,2024-12-31,False,0.25215665773519236,-15100,-15100,4.02,4.015,24.2506,75.4999999999984,60626.49999999999,FILLED,59531.88287999997,45000,120134.13227999996,29900.0
2025-02-05,3.93,3.887,CLOSE,59132.74147999996,45400,0.0,235602.54147999996,-0.00570108137705172,-1350.8907999999938,-1264.500000000003,0.0,0.0,0.7490148403809995,9.251266419596504e-12,2025-01-27,False,0.2565927851587327,15500,15500,3.93,3.934,24.390800000000002,62.00000000000006,60977.0,FILLED,120134.13227999996,29900,59132.74147999996,45400.0
2025-05-06,3.886,3.903,CLOSE,370.24587999995856,60500,0.0,236501.74587999994,0.00789521064647869,1852.604399999982,1936.499999999995,0.0,0.0,0.9984344898655091,-1.2967404927621828e-11,2025-04-30,False,0.2493620003662137,15200,15100,3.886,3.89,23.4956,60.400000000000055,58739.0,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,59132.74147999996,45400,370.24587999995856,60500.0
2025-07-01,3.98,3.988,CLOSE,61733.42123999996,46400,0.0,246776.62123999998,0.0006949380147551754,171.37536000003456,250.1999999999868,0.0,0.0,0.7498408847248063,4.780531526193954e-11,2025-06-30,False,0.22744496225244923,-14100,-14100,3.98,3.976,22.42464,56.40000000000005,56061.6,FILLED,5694.245879999959,60500,61733.42123999996,46400.0
2025-10-09,4.754,4.816,CLOSE,317.76479999995354,59300,0.0,285906.56479999993,0.014875783481218763,4190.7435599999735,4279.800000000012,0.0,0.0,0.9988885711658204,-2.8393287720973603e-11,2025-09-30,False,0.2174529357970936,13000,12900,4.754,4.759,24.556440000000002,64.50000000001009,61391.100000000006,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,61733.42123999996,46400,317.76479999995354,59300.0
2026-02-02,4.68,4.6,CLOSE,110.66479999995227,60900,0.0,280250.66479999997,-0.02342825769817025,-6723.300000000047,-6710.300000000039,0.0,0.0,0.9996051220785545,-6.0254023992456496e-12,2026-01-30,False,0.026289240264832706,1600,1600,4.68,4.6850000000000005,5.0,8.00000000000125,7496.000000000001,FILLED,7611.664799999953,59300,110.66479999995227,60900.0
2026-04-01,4.52,4.534,CLOSE,69162.53299999995,45600,0.0,275912.93299999996,0.014731370748071626,4005.5681999999797,4109.69999999998,0.0,0.0,0.7493320365667673,-1.7479351299698465e-12,2026-03-31,False,0.25085276686256924,-15300,-15300,4.52,4.515,27.631800000000002,76.49999999999837,69079.5,FILLED,110.66479999995227,60900,69162.53299999995,45600.0
2026-05-06,4.866,4.888,CLOSE,453.9605599999486,59700,0.0,292267.5605599999,0.010827491069776096,3130.6275599999353,3228.600000000006,0.0,0.0,0.9984467637833973,-5.945821612840518e-11,2026-04-30,False,0.2359752505232457,14300,14100,4.866,4.871,27.472440000000002,70.50000000001103,68681.1,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,69162.53299999995,45600,453.9605599999486,59700.0
2026-08-03,4.624,4.599,CLOSE,138506.81731999994,29800,0.0,275557.01732,-0.009635788988048066,-2681.0432399999117,-2476.2999999999793,0.0,0.0,0.4973569583998138,6.434675015043467e-11,2026-07-31,False,0.49947458687915713,-29900,-29900,4.624,4.619,55.24324000000001,149.49999999999682,138108.1,FILLED,453.9605599999486,59700,138506.81731999994,29800.0
2026-08-14,4.737,4.737,OPEN_TERMINAL,279464.01187999995,0,0.0,279464.01187999995,0.00011807765765015077,32.9945599999628,238.4000000000002,0.0,0.0,0.0,-4.058620106661692e-11,2026-08-13,False,0.504215303022036,-29800,-29800,4.737,4.732,56.405440000000006,148.99999999999682,141013.6,FILLED,138506.81731999994,29800,279464.01187999995,0.0
