ts_code,reports,first,last
300498.SZ,13,2022-04-22 00:00:00.000,2026-04-26 00:00:00.000
300601.SZ,6,2022-05-09 00:00:00.000,2024-10-31 00:00:00.000
300628.SZ,8,2022-04-13 00:00:00.000,2025-12-10 00:00:00.000
300661.SZ,15,2022-04-25 00:00:00.000,2026-05-12 00:00:00.000
300676.SZ,1,2020-06-12 00:00:00.000,2020-06-12 00:00:00.000
300677.SZ,2,2026-01-09 00:00:00.000,2026-05-06 00:00:00.000
300750.SZ,19,2022-05-10 00:00:00.000,2026-07-31 00:00:00.000
300751.SZ,2,2023-07-25 00:00:00.000,2023-11-09 00:00:00.000
300760.SZ,14,2022-05-13 00:00:00.000,2026-04-08 00:00:00.000
300763.SZ,2,2023-03-02 00:00:00.000,2023-05-10 00:00:00.000
300769.SZ,5,2022-04-26 00:00:00.000,2023-05-04 00:00:00.000
300782.SZ,12,2022-04-30 00:00:00.000,2026-04-30 00:00:00.000
300803.SZ,5,2023-04-24 00:00:00.000,2024-01-30 00:00:00.000
300832.SZ,12,2023-03-06 00:00:00.000,2026-05-07 00:00:00.000
300866.SZ,20,2022-04-12 00:00:00.000,2026-05-14 00:00:00.000
300888.SZ,19,2022-04-27 00:00:00.000,2026-04-24 00:00:00.000
300896.SZ,23,2022-04-27 00:00:00.000,2026-01-11 00:00:00.000
300919.SZ,4,2024-12-30 00:00:00.000,2025-10-30 00:00:00.000
300957.SZ,16,2022-03-23 00:00:00.000,2026-04-27 00:00:00.000
300979.SZ,30,2022-03-04 00:00:00.000,2026-04-30 00:00:00.000
300999.SZ,8,2022-03-28 00:00:00.000,2025-11-07 00:00:00.000
301165.SZ,7,2022-12-19 00:00:00.000,2025-10-23 00:00:00.000
301269.SZ,2,2022-08-26 00:00:00.000,2022-10-26 00:00:00.000
301308.SZ,7,2023-05-15 00:00:00.000,2026-05-07 00:00:00.000
600000.SH,5,2024-05-30 00:00:00.000,2026-03-31 00:00:00.000
600004.SH,5,2022-04-11 00:00:00.000,2023-08-31 00:00:00.000
600009.SH,5,2022-04-19 00:00:00.000,2024-08-29 00:00:00.000
600011.SH,14,2022-03-30 00:00:00.000,2025-08-07 00:00:00.000
600019.SH,8,2022-05-07 00:00:00.000,2025-04-29 00:00:00.000
600021.SH,7,2022-11-14 00:00:00.000,2025-08-29 00:00:00.000
600023.SH,4,2022-11-14 00:00:00.000,2024-10-31 00:00:00.000
600026.SH,10,2022-07-27 00:00:00.000,2025-11-06 00:00:00.000
600027.SH,9,2023-04-03 00:00:00.000,2026-05-26 00:00:00.000
600028.SH,6,2023-04-06 00:00:00.000,2023-11-13 00:00:00.000
600029.SH,8,2022-04-01 00:00:00.000,2026-02-06 00:00:00.000
600030.SH,21,2022-03-29 00:00:00.000,2026-05-29 00:00:00.000
600031.SH,7,2022-04-26 00:00:00.000,2025-04-23 00:00:00.000
600036.SH,22,2020-03-17 00:00:00.000,2026-04-29 00:00:00.000
600048.SH,14,2022-04-20 00:00:00.000,2026-04-20 00:00:00.000
600050.SH,11,2017-12-04 00:00:00.000,2025-08-13 00:00:00.000
600060.SH,2,2025-07-01 00:00:00.000,2025-08-28 00:00:00.000
600066.SH,22,2022-03-30 00:00:00.000,2026-04-30 00:00:00.000
600089.SH,3,2024-03-07 00:00:00.000,2025-07-23 00:00:00.000
600104.SH,4,2022-04-06 00:00:00.000,2022-08-29 00:00:00.000
600111.SH,10,2022-04-15 00:00:00.000,2025-09-01 00:00:00.000
600115.SH,7,2022-04-02 00:00:00.000,2026-05-05 00:00:00.000
600132.SH,14,2022-08-19 00:00:00.000,2026-05-07 00:00:00.000
600143.SH,7,2022-04-27 00:00:00.000,2026-04-24 00:00:00.000
600160.SH,21,2022-04-22 00:00:00.000,2026-04-23 00:00:00.000
600176.SH,13,2018-10-19 00:00:00.000,2025-09-01 00:00:00.000
600183.SH,1,2025-07-21 00:00:00.000,2025-07-21 00:00:00.000
600188.SH,3,2026-01-22 00:00:00.000,2026-04-30 00:00:00.000
600219.SH,5,2024-07-01 00:00:00.000,2026-03-31 00:00:00.000
600233.SH,12,2022-03-10 00:00:00.000,2025-10-31 00:00:00.000
600256.SH,18,2022-03-11 00:00:00.000,2025-05-20 00:00:00.000
600299.SH,3,2024-12-20 00:00:00.000,2025-04-29 00:00:00.000
600309.SH,25,2022-03-09 00:00:00.000,2026-07-07 00:00:00.000
600315.SH,14,2022-03-17 00:00:00.000,2026-04-29 00:00:00.000
600339.SH,4,2025-09-02 00:00:00.000,2026-04-13 00:00:00.000
600340.SH,1,2019-08-20 00:00:00.000,2019-08-20 00:00:00.000
600346.SH,1,2024-01-31 00:00:00.000,2024-01-31 00:00:00.000
600362.SH,3,2025-09-02 00:00:00.000,2026-04-03 00:00:00.000
600383.SH,4,2022-04-26 00:00:00.000,2023-08-31 00:00:00.000
600395.SH,6,2022-11-14 00:00:00.000,2026-04-24 00:00:00.000
600398.SH,13,2022-05-05 00:00:00.000,2026-03-31 00:00:00.000
600406.SH,11,2017-01-16 00:00:00.000,2025-11-07 00:00:00.000
600415.SH,17,2023-10-23 00:00:00.000,2026-04-26 00:00:00.000
600426.SH,17,2022-03-30 00:00:00.000,2026-04-28 00:00:00.000
600438.SH,7,2017-11-08 00:00:00.000,2023-11-02 00:00:00.000
600460.SH,15,2022-03-15 00:00:00.000,2026-06-03 00:00:00.000
600487.SH,8,2022-05-30 00:00:00.000,2025-04-30 00:00:00.000
600489.SH,9,2023-08-01 00:00:00.000,2026-04-30 00:00:00.000
600497.SH,12,2022-04-25 00:00:00.000,2026-03-30 00:00:00.000
600515.SH,7,2023-04-23 00:00:00.000,2026-05-12 00:00:00.000
600516.SH,1,2022-04-25 00:00:00.000,2022-04-25 00:00:00.000
600519.SH,36,2020-10-27 00:00:00.000,2026-04-27 00:00:00.000
600522.SH,12,2022-03-11 00:00:00.000,2025-05-16 00:00:00.000
600547.SH,9,2023-05-16 00:00:00.000,2026-04-03 00:00:00.000
600549.SH,1,2026-06-03 00:00:00.000,2026-06-03 00:00:00.000
600570.SH,5,2022-04-01 00:00:00.000,2023-04-03 00:00:00.000
600582.SH,10,2023-02-10 00:00:00.000,2026-04-02 00:00:00.000
600584.SH,11,2023-04-03 00:00:00.000,2026-04-13 00:00:00.000
600585.SH,8,2022-03-28 00:00:00.000,2025-08-27 00:00:00.000
600588.SH,7,2022-03-21 00:00:00.000,2025-11-13 00:00:00.000
600600.SH,14,2022-03-29 00:00:00.000,2026-05-06 00:00:00.000
600633.SH,11,2023-04-18 00:00:00.000,2026-04-02 00:00:00.000
600660.SH,20,2022-03-21 00:00:00.000,2026-04-22 00:00:00.000
600690.SH,15,2022-04-08 00:00:00.000,2026-04-07 00:00:00.000
600732.SH,3,2023-04-17 00:00:00.000,2023-09-06 00:00:00.000
600737.SH,2,2022-03-15 00:00:00.000,2023-04-23 00:00:00.000
600745.SH,7,2022-04-27 00:00:00.000,2024-05-17 00:00:00.000
600754.SH,20,2017-07-21 00:00:00.000,2026-03-30 00:00:00.000
600795.SH,9,2022-11-14 00:00:00.000,2025-08-20 00:00:00.000
600803.SH,4,2023-08-30 00:00:00.000,2025-04-14 00:00:00.000
600809.SH,29,2020-09-08 00:00:00.000,2026-05-11 00:00:00.000
600827.SH,10,2023-07-03 00:00:00.000,2026-04-17 00:00:00.000
600845.SH,13,2021-08-03 00:00:00.000,2025-04-06 00:00:00.000
600863.SH,4,2022-11-14 00:00:00.000,2024-11-12 00:00:00.000
600867.SH,1,2017-08-08 00:00:00.000,2017-08-08 00:00:00.000
600872.SH,5,2022-08-23 00:00:00.000,2024-10-29 00:00:00.000
600875.SH,14,2022-07-07 00:00:00.000,2025-11-04 00:00:00.000
600887.SH,2,2025-07-16 00:00:00.000,2025-09-01 00:00:00.000
600893.SH,1,2026-04-14 00:00:00.000,2026-04-14 00:00:00.000
600900.SH,10,2022-11-14 00:00:00.000,2026-05-18 00:00:00.000
600905.SH,11,2022-05-13 00:00:00.000,2026-05-18 00:00:00.000
600919.SH,8,2023-07-17 00:00:00.000,2026-04-30 00:00:00.000
600926.SH,20,2022-04-18 00:00:00.000,2026-04-24 00:00:00.000
600938.SH,33,2023-09-20 00:00:00.000,2026-04-29 00:00:00.000
600941.SH,15,2022-03-25 00:00:00.000,2025-08-08 00:00:00.000
600958.SH,12,2023-04-10 00:00:00.000,2026-05-05 00:00:00.000
600968.SH,7,2024-07-12 00:00:00.000,2026-03-26 00:00:00.000
600989.SH,25,2022-03-10 00:00:00.000,2026-08-13 00:00:00.000
600999.SH,16,2022-04-26 00:00:00.000,2026-07-10 00:00:00.000
601006.SH,3,2022-07-15 00:00:00.000,2023-08-29 00:00:00.000
601009.SH,1,2026-05-18 00:00:00.000,2026-05-18 00:00:00.000
601012.SH,2,2022-12-29 00:00:00.000,2023-05-09 00:00:00.000
601016.SH,3,2022-07-15 00:00:00.000,2023-05-16 00:00:00.000
601021.SH,7,2022-05-07 00:00:00.000,2026-04-14 00:00:00.000
601058.SH,3,2022-04-06 00:00:00.000,2022-08-25 00:00:00.000
601077.SH,10,2023-01-08 00:00:00.000,2026-04-01 00:00:00.000
601088.SH,12,2017-11-01 00:00:00.000,2026-04-03 00:00:00.000
601100.SH,9,2022-04-26 00:00:00.000,2026-05-26 00:00:00.000
601111.SH,8,2022-03-31 00:00:00.000,2025-04-01 00:00:00.000
601117.SH,3,2023-04-18 00:00:00.000,2024-11-12 00:00:00.000
601118.SH,6,2024-04-29 00:00:00.000,2025-11-02 00:00:00.000
601127.SH,4,2024-05-06 00:00:00.000,2025-09-08 00:00:00.000
601138.SH,12,2023-03-28 00:00:00.000,2025-11-05 00:00:00.000
601155.SH,2,2022-04-01 00:00:00.000,2022-09-06 00:00:00.000
601166.SH,15,2022-03-25 00:00:00.000,2026-03-27 00:00:00.000
601168.SH,12,2022-05-19 00:00:00.000,2026-07-06 00:00:00.000
601169.SH,1,2022-09-02 00:00:00.000,2022-09-02 00:00:00.000
601186.SH,8,2023-03-09 00:00:00.000,2025-11-07 00:00:00.000
601211.SH,3,2025-12-28 00:00:00.000,2026-04-26 00:00:00.000
601225.SH,10,2023-05-11 00:00:00.000,2026-04-28 00:00:00.000
601229.SH,1,2026-06-11 00:00:00.000,2026-06-11 00:00:00.000
601231.SH,4,2023-01-19 00:00:00.000,2024-07-25 00:00:00.000
601238.SH,5,2022-04-30 00:00:00.000,2023-05-16 00:00:00.000
601288.SH,14,2022-03-31 00:00:00.000,2025-10-31 00:00:00.000
601318.SH,12,2022-03-20 00:00:00.000,2026-04-29 00:00:00.000
601328.SH,10,2022-03-28 00:00:00.000,2026-03-31 00:00:00.000
601333.SH,1,2022-09-02 00:00:00.000,2022-09-02 00:00:00.000
601336.SH,15,2022-04-06 00:00:00.000,2026-05-05 00:00:00.000
601360.SH,2,2018-05-08 00:00:00.000,2018-08-30 00:00:00.000
601377.SH,9,2020-04-28 00:00:00.000,2026-05-05 00:00:00.000
601390.SH,8,2023-01-16 00:00:00.000,2025-11-07 00:00:00.000
601398.SH,15,2022-03-30 00:00:00.000,2025-10-31 00:00:00.000
601456.SH,14,2022-03-25 00:00:00.000,2025-09-02 00:00:00.000
601577.SH,7,2024-05-06 00:00:00.000,2026-04-30 00:00:00.000
601600.SH,11,2023-08-04 00:00:00.000,2026-04-06 00:00:00.000
601601.SH,12,2020-02-05 00:00:00.000,2026-04-29 00:00:00.000
601607.SH,1,2017-11-01 00:00:00.000,2017-11-01 00:00:00.000
601615.SH,1,2022-04-21 00:00:00.000,2022-04-21 00:00:00.000
601618.SH,8,2022-04-07 00:00:00.000,2025-04-09 00:00:00.000
601628.SH,17,2022-03-28 00:00:00.000,2026-07-16 00:00:00.000
601633.SH,16,2021-11-22 00:00:00.000,2025-09-04 00:00:00.000
601658.SH,29,2020-03-26 00:00:00.000,2026-03-29 00:00:00.000
601668.SH,9,2023-02-06 00:00:00.000,2025-08-31 00:00:00.000
601669.SH,4,2022-05-13 00:00:00.000,2023-06-06 00:00:00.000
601688.SH,17,2022-03-31 00:00:00.000,2026-04-30 00:00:00.000
601689.SH,24,2022-03-16 00:00:00.000,2026-05-06 00:00:00.000
601728.SH,12,2022-03-21 00:00:00.000,2025-08-17 00:00:00.000
601799.SH,27,2018-05-07 00:00:00.000,2026-04-30 00:00:00.000
601800.SH,7,2023-03-22 00:00:00.000,2025-04-02 00:00:00.000
601808.SH,4,2025-10-27 00:00:00.000,2026-03-25 00:00:00.000
601816.SH,6,2023-07-06 00:00:00.000,2026-04-30 00:00:00.000
601818.SH,8,2023-08-28 00:00:00.000,2026-03-31 00:00:00.000
601825.SH,14,2022-05-19 00:00:00.000,2026-04-26 00:00:00.000
601838.SH,14,2022-03-02 00:00:00.000,2026-04-26 00:00:00.000
601857.SH,26,2023-05-04 00:00:00.000,2026-04-30 00:00:00.000
601865.SH,3,2023-03-31 00:00:00.000,2024-08-29 00:00:00.000
601868.SH,3,2022-04-08 00:00:00.000,2023-05-09 00:00:00.000
601872.SH,9,2023-03-15 00:00:00.000,2026-03-31 00:00:00.000
601877.SH,2,2024-05-19 00:00:00.000,2025-09-10 00:00:00.000
601888.SH,26,2022-03-11 00:00:00.000,2026-04-03 00:00:00.000
601898.SH,11,2024-03-04 00:00:00.000,2026-04-30 00:00:00.000
601899.SH,20,2022-03-21 00:00:00.000,2026-03-23 00:00:00.000
601916.SH,12,2022-11-14 00:00:00.000,2026-03-31 00:00:00.000
601919.SH,9,2022-07-11 00:00:00.000,2025-11-06 00:00:00.000
601933.SH,2,2022-05-10 00:00:00.000,2022-08-30 00:00:00.000
601939.SH,9,2022-03-30 00:00:00.000,2026-03-31 00:00:00.000
601958.SH,1,2026-04-16 00:00:00.000,2026-04-16 00:00:00.000
601966.SH,14,2022-07-06 00:00:00.000,2025-09-05 00:00:00.000
601985.SH,17,2022-03-10 00:00:00.000,2026-05-12 00:00:00.000
601988.SH,13,2022-03-30 00:00:00.000,2026-03-31 00:00:00.000
601991.SH,3,2022-09-07 00:00:00.000,2024-10-31 00:00:00.000
601995.SH,15,2022-04-01 00:00:00.000,2026-05-05 00:00:00.000
601998.SH,9,2024-01-23 00:00:00.000,2026-03-22 00:00:00.000
603019.SH,2,2020-02-16 00:00:00.000,2024-06-02 00:00:00.000
603185.SH,2,2022-12-07 00:00:00.000,2023-05-09 00:00:00.000
603195.SH,10,2022-04-19 00:00:00.000,2025-09-04 00:00:00.000
603233.SH,3,2025-11-19 00:00:00.000,2026-05-10 00:00:00.000
603259.SH,10,2023-04-18 00:00:00.000,2026-08-06 00:00:00.000
603288.SH,13,2022-03-28 00:00:00.000,2026-04-29 00:00:00.000
603290.SH,10,2022-09-01 00:00:00.000,2025-08-29 00:00:00.000
603296.SH,4,2025-05-07 00:00:00.000,2026-08-04 00:00:00.000
603338.SH,1,2022-05-13 00:00:00.000,2022-05-13 00:00:00.000
603369.SH,20,2021-04-20 00:00:00.000,2026-05-10 00:00:00.000
603392.SH,4,2022-08-30 00:00:00.000,2023-03-27 00:00:00.000
603486.SH,7,2022-04-26 00:00:00.000,2025-08-19 00:00:00.000
603501.SH,13,2022-04-20 00:00:00.000,2025-11-05 00:00:00.000
603659.SH,5,2022-05-09 00:00:00.000,2023-11-02 00:00:00.000
603799.SH,4,2022-08-22 00:00:00.000,2026-04-09 00:00:00.000
603806.SH,6,2022-03-28 00:00:00.000,2024-08-26 00:00:00.000
603833.SH,12,2022-04-25 00:00:00.000,2025-11-05 00:00:00.000
603882.SH,5,2023-11-30 00:00:00.000,2024-11-13 00:00:00.000
603885.SH,7,2022-04-20 00:00:00.000,2025-09-04 00:00:00.000
603893.SH,1,2023-11-06 00:00:00.000,2023-11-06 00:00:00.000
603899.SH,18,2018-12-12 00:00:00.000,2026-05-11 00:00:00.000
603939.SH,3,2025-11-11 00:00:00.000,2026-05-10 00:00:00.000
603986.SH,12,2022-05-09 00:00:00.000,2025-11-06 00:00:00.000
603993.SH,15,2022-03-21 00:00:00.000,2026-04-10 00:00:00.000
605117.SH,7,2023-03-06 00:00:00.000,2026-07-10 00:00:00.000
605499.SH,8,2024-10-30 00:00:00.000,2026-08-02 00:00:00.000
688005.SH,7,2022-04-06 00:00:00.000,2024-08-08 00:00:00.000
688008.SH,9,2024-04-23 00:00:00.000,2026-04-03 00:00:00.000
688009.SH,4,2023-03-30 00:00:00.000,2024-09-01 00:00:00.000
688012.SH,11,2022-03-31 00:00:00.000,2026-05-06 00:00:00.000
688036.SH,8,2022-05-07 00:00:00.000,2025-05-12 00:00:00.000
688041.SH,9,2022-09-06 00:00:00.000,2025-10-20 00:00:00.000
688047.SH,5,2024-05-17 00:00:00.000,2025-11-10 00:00:00.000
688072.SH,6,2023-04-24 00:00:00.000,2025-11-19 00:00:00.000
688111.SH,13,2022-03-28 00:00:00.000,2026-03-26 00:00:00.000
688126.SH,9,2022-04-13 00:00:00.000,2026-04-21 00:00:00.000
688169.SH,12,2022-04-24 00:00:00.000,2025-08-18 00:00:00.000
688187.SH,10,2022-07-27 00:00:00.000,2024-11-03 00:00:00.000
688223.SH,6,2022-03-08 00:00:00.000,2023-11-07 00:00:00.000
688256.SH,2,2025-06-17 00:00:00.000,2025-10-21 00:00:00.000
688271.SH,10,2022-10-12 00:00:00.000,2026-05-05 00:00:00.000
688303.SH,4,2023-03-20 00:00:00.000,2024-04-02 00:00:00.000
