stockCode,stockName,infoCode,publishDate,orgCode,orgName,orgSName,title,attachPages,source_raw_path,directory_retrieved_at,ts_code
300450,先导智能,AP201903221308620223,2019-03-22 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2018年年报点评：业绩符合预期，迎来新一轮扩产周期,6,data/raw/510300_forward_eps_csi_directory_v1/2019_0001.json,2026-09-06T21:22:55.714162+08:00,300450.SZ
000338,潍柴动力,AP201903261309684498,2019-03-26 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2018年报点评：精进不休，业绩稳健增长,9,data/raw/510300_forward_eps_csi_directory_v1/2019_0001.json,2026-09-06T21:22:55.714162+08:00,000338.SZ
002841,视源股份,AP201904041315606799,2019-04-04 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2018年报点评：巩固板卡业务优势，持续深耕交互平板市场,7,data/raw/510300_forward_eps_csi_directory_v1/2019_0001.json,2026-09-06T21:22:55.714162+08:00,002841.SZ
600340,华夏幸福,AP201908201344691883,2019-08-20 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2019年中报点评：净利增22%，轻资产模式助发展,6,data/raw/510300_forward_eps_csi_directory_v1/2019_0001.json,2026-09-06T21:22:55.714162+08:00,600340.SH
000338,潍柴动力,AP201908301345380799,2019-08-30 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2019半年报点评：多元布局，业绩稳健增长,7,data/raw/510300_forward_eps_csi_directory_v1/2019_0001.json,2026-09-06T21:22:55.714162+08:00,000338.SZ
000338,潍柴动力,AP201910311370095913,2019-10-31 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2019三季报点评：行业景气度持续，业绩稳健增长,7,data/raw/510300_forward_eps_csi_directory_v1/2019_0001.json,2026-09-06T21:22:55.714162+08:00,000338.SZ
000401,冀东水泥,AP202001071373642320,2020-01-07 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：经营不断向好，未来改善空间大,7,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,000401.SZ
601601,中国太保,AP202002051374796706,2020-02-05 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2019年年度业绩预增公告点评：业绩高增，基本面坚实,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,601601.SH
603019,中科曙光,AP202002161375152765,2020-02-16 00:00:00.000,80000007,国信证券股份有限公司,国信证券,跟踪报告：手握核心资产，2020年期待反转,13,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,603019.SH
600036,招商银行,AP202003171376568839,2020-03-17 00:00:00.000,80000007,国信证券股份有限公司,国信证券,金融科技护城河,24,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,600036.SH
601658,邮储银行,AP202003261376985027,2020-03-26 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2019年报点评：ROE小幅上升，资产质量稳定,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,601658.SH
601799,星宇股份,AP202005131379672503,2020-04-10 00:00:00.000,80000007,国信证券股份有限公司,国信证券,星宇股份系列点评之三十：“家文化”：换个视角看星宇,12,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,601799.SH
688396,华润微,AP202004241378537202,2020-04-24 00:00:00.000,80000007,国信证券股份有限公司,国信证券,财报点评：中国最大的IDM半导体迎风起航,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,688396.SH
601377,兴业证券,AP202004281378893592,2020-04-28 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2019年年报及一季报点评：19年净利大增，一季度业绩下滑,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,601377.SH
601658,邮储银行,AP202005061379307595,2020-05-06 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年一季报点评：资产质量稳定，成本收入比降低,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,601658.SH
300676,华大基因,AP202006121384335334,2020-06-12 00:00:00.000,80000007,国信证券股份有限公司,国信证券,基因测序龙头，新冠检测先锋,14,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,300676.SZ
688981,中芯国际,AP202007091390465427,2020-07-09 00:00:00.000,80000007,国信证券股份有限公司,国信证券,动态点评：筚路蓝缕，中国第一“芯”开启新征程,11,data/raw/510300_forward_eps_csi_directory_v1/2020_0002.json,2026-09-06T21:23:00.181363+08:00,688981.SH
688981,中芯国际,AP202007161391996103,2020-07-16 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：中芯国际比贵州茅台更珍贵,7,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,688981.SH
688981,中芯国际,AP202007171392221782,2020-07-17 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：中芯国际市值正确计算方式,7,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,688981.SH
688981,中芯国际,AP202007211393062948,2020-07-21 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：国产半导体中军，科技投资必配品种,9,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,688981.SH
688396,华润微,AP202007291395092222,2020-07-29 00:00:00.000,80000007,国信证券股份有限公司,国信证券,财报点评：多业务齐头并进，业绩超预期,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,688396.SH
601799,星宇股份,AP202008181399388291,2020-08-18 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年中报点评：业绩符合预期，毛利率改善显著,10,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,601799.SH
000860,顺鑫农业,AP202008301404193861,2020-08-30 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年中报点评：Q2白酒收入略超预期，下半年向好确定性高,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,000860.SZ
601658,邮储银行,AP202009011405118140,2020-09-01 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年中报点评：资产质量稳中向好,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,601658.SH
600809,山西汾酒,AP202009081409213944,2020-09-08 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年中报点评：Q2业绩超预期，全年高增长仍可期待,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,600809.SH
300182,捷成股份,AP202009081409213948,2020-09-08 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：华视网聚引入战投小米集团，产业链价值凸显,7,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,300182.SZ
688396,华润微,AP202010201422526535,2020-10-20 00:00:00.000,80000007,国信证券股份有限公司,国信证券,财报点评：利润加速释放，募投助推成长,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,688396.SH
600519,贵州茅台,AP202010271423959276,2020-10-27 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020三季报点评：直营占比继续提升，全年双位数增长有望顺利达成,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,600519.SH
601658,邮储银行,AP202010301425000808,2020-10-30 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年三季报点评：资产质量稳定，盈利增速回升,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,601658.SH
000568,泸州老窖,AP202011031425985402,2020-11-03 00:00:00.000,80000007,国信证券股份有限公司,国信证券,国窖高增长+费用率下滑，Q3利润大超预期,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,000568.SZ
002304,洋河股份,AP202011031425999044,2020-11-03 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020三季报点评：Q3业绩符合预期，苏酒龙头调整已见效,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,002304.SZ
000858,五粮液,AP202011031426026898,2020-11-03 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年三季报点评：Q3收入略超预期，公司势能持续向上,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,000858.SZ
000860,顺鑫农业,AP202011031426038423,2020-11-03 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020三季报点评：费用增加致业绩低预期，中长期成长逻辑仍在,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,000860.SZ
