date,history_available,reference_year_net_return,positive_history
2014-04-09,False,,False
2014-04-10,False,,False
2014-04-11,False,,False
2014-04-14,False,,False
2014-04-15,False,,False
2014-04-16,False,,False
2014-04-17,False,,False
2014-04-18,False,,False
2014-04-21,False,,False
2014-04-22,False,,False
2014-04-23,False,,False
2014-04-24,False,,False
2014-04-25,False,,False
2014-04-28,False,,False
2014-04-29,False,,False
2014-04-30,False,,False
2014-05-05,False,,False
2014-05-06,False,,False
2014-05-07,False,,False
2014-05-08,False,,False
2014-05-09,False,,False
2014-05-12,False,,False
2014-05-13,False,,False
2014-05-14,False,,False
2014-05-15,False,,False
2014-05-16,False,,False
2014-05-19,False,,False
2014-05-20,False,,False
2014-05-21,False,,False
2014-05-22,False,,False
2014-05-23,False,,False
2014-05-26,False,,False
2014-05-27,False,,False
2014-05-28,False,,False
2014-05-29,False,,False
2014-05-30,False,,False
2014-06-03,True,0.0,False
2014-06-04,True,0.0,False
2014-06-05,True,0.0,False
2014-06-06,True,0.0,False
2014-06-09,True,0.0,False
2014-06-10,True,0.0,False
2014-06-11,True,0.0,False
2014-06-12,True,0.0,False
2014-06-13,True,0.0,False
2014-06-16,True,0.0,False
2014-06-17,True,0.0,False
2014-06-18,True,0.0,False
2014-06-19,True,0.0,False
2014-06-20,True,0.0,False
2014-06-23,True,0.0,False
2014-06-24,True,0.0,False
2014-06-25,True,0.0,False
2014-06-26,True,0.0,False
2014-06-27,True,0.0,False
2014-06-30,True,0.0,False
2014-07-01,True,0.0,False
2014-07-02,True,0.0,False
2014-07-03,True,0.0,False
2014-07-04,True,0.0,False
2014-07-07,True,0.0,False
2014-07-08,True,0.0,False
2014-07-09,True,0.0,False
2014-07-10,True,0.0,False
2014-07-11,True,0.0,False
2014-07-14,True,0.0,False
2014-07-15,True,0.0,False
2014-07-16,True,0.0,False
2014-07-17,True,0.0,False
2014-07-18,True,0.0,False
2014-07-21,True,0.0,False
2014-07-22,True,0.0,False
2014-07-23,True,0.0,False
2014-07-24,True,0.0,False
2014-07-25,True,0.0,False
2014-07-28,True,0.0,False
2014-07-29,True,0.0,False
2014-07-30,True,-0.0001989806000001204,False
2014-07-31,True,0.013257019399999868,True
2014-08-01,True,0.0010625193999999488,True
2014-08-04,True,0.02250801939999985,True
2014-08-05,True,0.019564519399999817,True
2014-08-06,True,0.013257019399999995,True
2014-08-07,True,0.0023240193999997695,True
2014-08-08,True,0.002744519399999941,True
2014-08-11,True,0.016621019399999902,True
2014-08-12,True,0.012416019399999924,True
2014-08-13,True,0.015359519399999808,True
2014-08-14,True,0.003165019399999979,True
2014-08-15,True,0.015780019399999907,True
2014-08-18,True,0.019144019399999875,True
2014-08-19,True,0.01998501940000015,True
2014-08-20,True,0.01620051939999984,True
2014-08-21,True,0.01241601940000002,True
2014-08-22,True,0.017462019399999845,True
2014-08-25,True,0.00863151939999991,True
2014-08-26,True,0.0023240193999997357,True
2014-08-27,True,0.0019035193999998978,True
2014-08-28,True,-0.0027219806000001725,False
2014-08-29,True,0.0069495193999997784,True
2014-09-01,True,0.011575019399999987,True
2014-09-02,True,0.026713019399999857,True
2014-09-03,True,0.036384519399999864,True
2014-09-04,True,0.04605601939999993,True
2014-09-05,True,0.0561480193999998,True
2014-09-09,True,0.05362501939999991,True
2014-09-10,True,0.04689701939999987,True
2014-09-11,True,0.04101001939999972,True
2014-09-12,True,0.04942001939999978,True
2014-09-15,True,0.04647651939999966,True
2014-09-16,True,0.028395019399999832,True
2014-09-17,True,0.031759019399999845,True
2014-09-18,True,0.03596401939999968,True
2014-09-19,True,0.04437401939999981,True
2014-09-22,True,0.0225080193999998,True
2014-09-23,True,0.03302051939999978,True
2014-09-24,True,0.05278401939999986,True
2014-09-25,True,0.047317519399999806,True
2014-09-26,True,0.04773801939999991,True
2014-09-29,True,0.052363519399999926,True
2014-09-30,True,0.052363519399999926,True
2014-10-08,True,0.06371701939999985,True
2014-10-09,True,0.06413751939999991,True
2014-10-10,True,0.05909151939999988,True
2014-10-13,True,0.05320451939999976,True
2014-10-14,True,0.04942001939999981,True
2014-10-15,True,0.0561480193999999,True
2014-10-16,True,0.052363519399999905,True
2014-10-17,True,0.04773801939999993,True
2014-10-20,True,0.05236351939999995,True
2014-10-21,True,0.0456355193999999,True
2014-10-22,True,0.039748519399999745,True
2014-10-23,True,0.028815519399999885,True
2014-10-24,True,0.02797451939999978,True
2014-10-27,True,0.018303019399999853,True
2014-10-28,True,0.038487019399999954,True
2014-10-29,True,0.05152251939999986,True
2014-10-30,True,0.05047236269999993,True
2014-10-31,True,0.05047236269999993,True
2014-11-03,True,0.05047236269999993,True
2014-11-04,True,0.05047236269999993,True
2014-11-05,True,0.05047236269999993,True
2014-11-06,True,0.05047236269999993,True
2014-11-07,True,0.05047236269999993,True
2014-11-10,True,0.05047236269999993,True
2014-11-11,True,0.04103947929999989,True
2014-11-12,True,0.05627747930000009,True
2014-11-13,True,0.0502624793,True
2014-11-14,True,0.05146547929999992,True
2014-11-17,True,0.04705447929999991,True
2014-11-18,True,0.03582647929999994,True
2014-11-19,True,0.03261847930000005,True
2014-11-20,True,0.034222479299999976,True
2014-11-21,True,0.053871479299999844,True
2014-11-24,True,0.0839464793,True
2014-11-25,True,0.09517447929999996,True
2014-11-26,True,0.1072044792999999,True
2014-11-27,True,0.11722947929999981,True
2014-11-28,True,0.14369547929999993,True
2014-12-01,True,0.14489847929999997,True
2014-12-02,True,0.19021147929999993,True
2014-12-03,True,0.2030434792999998,True
2014-12-04,True,0.2760254792999998,True
2014-12-05,True,0.26840647929999994,True
2014-12-08,True,0.32935847930000006,True
2014-12-09,True,0.2559754792999999,True
2014-12-10,True,0.30128847929999986,True
2014-12-11,True,0.28725347930000006,True
2014-12-12,True,0.2912634793000002,True
2014-12-15,True,0.3061004793000003,True
2014-12-16,True,0.3365764793000004,True
2014-12-17,True,0.3594334793000002,True
2014-12-18,True,0.35782947930000025,True
2014-12-19,True,0.37787947930000015,True
2014-12-22,True,0.3682554793000003,True
2014-12-23,True,0.34058647930000036,True
2014-12-24,True,0.3032934793000003,True
2014-12-25,True,0.35061147930000036,True
2014-12-26,True,0.4031424793000003,True
2014-12-29,True,0.39632547930000045,True
2014-12-30,True,0.39632547930000045,True
2014-12-31,True,0.4340194793000006,True
2015-01-05,True,0.4797334793000008,True
2015-01-06,True,0.4697084793000005,True
2015-01-07,True,0.46930747930000033,True
2015-01-08,True,0.4372274793000004,True
2015-01-09,True,0.42680147930000056,True
2015-01-12,True,0.42239047930000057,True
2015-01-13,True,0.41958347930000045,True
2015-01-14,True,0.4163754793000004,True
2015-01-15,True,0.4564754793000006,True
2015-01-16,True,0.46930747930000055,True
2015-01-19,True,0.32254147930000066,True
2015-01-20,True,0.3411231777000008,True
2015-01-21,True,0.3411231777000008,True
2015-01-22,True,0.3411231777000008,True
2015-01-23,True,0.3411231777000008,True
2015-01-26,True,0.3411231777000008,True
2015-01-27,True,0.3411231777000008,True
2015-01-28,True,0.3411231777000008,True
2015-01-29,True,0.3411231777000008,True
2015-01-30,True,0.3411231777000008,True
2015-02-02,True,0.3411231777000008,True
2015-02-03,True,0.3411231777000008,True
2015-02-04,True,0.3411231777000008,True
2015-02-05,True,0.3411231777000008,True
2015-02-06,True,0.3411231777000008,True
2015-02-09,True,0.3411231777000008,True
2015-02-10,True,0.3411231777000008,True
2015-02-11,True,0.34715120420000095,True
2015-02-12,True,0.35266020420000094,True
2015-02-13,True,0.3613172042000009,True
2015-02-16,True,0.3727287042000011,True
2015-02-17,True,0.38492720420000087,True
2015-02-25,True,0.36367820420000124,True
2015-02-26,True,0.40420870420000127,True
2015-02-27,True,0.401454204200001,True
2015-03-02,True,0.41247220420000125,True
2015-03-03,True,0.37390920420000096,True
2015-03-04,True,0.3853207042000009,True
2015-03-05,True,0.37351570420000096,True
2015-03-06,True,0.3648587042000012,True
2015-03-09,True,0.39161670420000116,True
2015-03-10,True,0.3817792042000013,True
2015-03-11,True,0.38374670420000123,True
2015-03-12,True,0.40893070420000127,True
2015-03-13,True,0.4168007042000013,True
2015-03-16,True,0.45182220420000124,True
2015-03-17,True,0.4703167042000015,True
2015-03-18,True,0.5092732042000019,True
2015-03-19,True,0.5014032042000018,True
2015-03-20,True,0.5226522042000017,True
2015-03-23,True,0.5533452042000018,True
2015-03-24,True,0.5517712042000018,True
2015-03-25,True,0.5423272042000016,True
2015-03-26,True,0.5435077042000018,True
2015-03-27,True,0.5553127042000019,True
2015-03-30,True,0.6048937042000015,True
2015-03-31,True,0.5871862042000016,True
2015-04-01,True,0.613157204200002,True
2015-04-02,True,0.6107962042000019,True
2015-04-03,True,0.6367672042000019,True
2015-04-07,True,0.6654927042000023,True
2015-04-08,True,0.6788717042000023,True
2015-04-09,True,0.6666732042000019,True
2015-04-10,True,0.7056297042000019,True
2015-04-13,True,0.733961704200002,True
2015-04-14,True,0.7347487042000018,True
2015-04-15,True,0.7201892042000018,True
2015-04-16,True,0.7764597042000021,True
2015-04-17,True,0.8071527042000022,True
