fit_index,fit_origin,fit_time,status,training_cycle_count,training_rows,latest_exit_index,latest_exit_date,latest_label_exit_index,shortened_label_rows
1630,2019-02-01,2019-02-01 15:05:00,FIT_COMPLETE,15,678,1557,2018-10-19,1557,607
1645,2019-03-01,2019-03-01 15:05:00,FIT_COMPLETE,15,678,1557,2018-10-19,1557,607
1666,2019-04-01,2019-04-01 15:05:00,FIT_COMPLETE,15,678,1557,2018-10-19,1557,607
1687,2019-05-06,2019-05-06 15:05:00,FIT_COMPLETE,15,678,1557,2018-10-19,1557,607
1707,2019-06-03,2019-06-03 15:05:00,FIT_COMPLETE,16,721,1688,2019-05-07,1688,645
1726,2019-07-01,2019-07-01 15:05:00,FIT_COMPLETE,16,721,1688,2019-05-07,1688,645
1749,2019-08-01,2019-08-01 15:05:00,FIT_COMPLETE,17,759,1730,2019-07-05,1730,678
1771,2019-09-02,2019-09-02 15:05:00,FIT_COMPLETE,17,759,1730,2019-07-05,1730,678
1791,2019-10-08,2019-10-08 15:05:00,FIT_COMPLETE,17,759,1730,2019-07-05,1730,678
1809,2019-11-01,2019-11-01 15:05:00,FIT_COMPLETE,17,759,1730,2019-07-05,1730,678
1830,2019-12-02,2019-12-02 15:05:00,FIT_COMPLETE,17,759,1730,2019-07-05,1730,678
1852,2020-01-02,2020-01-02 15:05:00,FIT_COMPLETE,17,759,1730,2019-07-05,1730,678
1868,2020-02-03,2020-02-03 15:05:00,FIT_COMPLETE,17,759,1730,2019-07-05,1730,678
1888,2020-03-02,2020-03-02 15:05:00,FIT_COMPLETE,17,759,1730,2019-07-05,1730,678
1910,2020-04-01,2020-04-01 15:05:00,FIT_COMPLETE,18,787,1899,2020-03-17,1899,701
1931,2020-05-06,2020-05-06 15:05:00,FIT_COMPLETE,18,787,1899,2020-03-17,1899,701
1949,2020-06-01,2020-06-01 15:05:00,FIT_COMPLETE,19,829,1945,2020-05-26,1945,738
1969,2020-07-01,2020-07-01 15:05:00,FIT_COMPLETE,19,829,1945,2020-05-26,1945,738
1992,2020-08-03,2020-08-03 15:05:00,FIT_COMPLETE,19,829,1945,2020-05-26,1945,738
2013,2020-09-01,2020-09-01 15:05:00,FIT_COMPLETE,19,829,1945,2020-05-26,1945,738
2035,2020-10-09,2020-10-09 15:05:00,FIT_COMPLETE,20,888,2029,2020-09-23,2029,792
2051,2020-11-02,2020-11-02 15:05:00,FIT_COMPLETE,20,888,2029,2020-09-23,2029,792
2072,2020-12-01,2020-12-01 15:05:00,FIT_COMPLETE,20,888,2029,2020-09-23,2029,792
2095,2021-01-04,2021-01-04 15:05:00,FIT_COMPLETE,20,888,2029,2020-09-23,2029,792
2115,2021-02-01,2021-02-01 15:05:00,FIT_COMPLETE,20,888,2029,2020-09-23,2029,792
2130,2021-03-01,2021-03-01 15:05:00,FIT_COMPLETE,20,862,2130,2021-03-01,2130,766
2153,2021-04-01,2021-04-01 15:05:00,FIT_COMPLETE,20,862,2130,2021-03-01,2130,766
2174,2021-05-06,2021-05-06 15:05:00,FIT_COMPLETE,20,862,2130,2021-03-01,2130,766
2192,2021-06-01,2021-06-01 15:05:00,FIT_COMPLETE,20,862,2130,2021-03-01,2130,766
2213,2021-07-01,2021-07-01 15:05:00,FIT_COMPLETE,20,862,2130,2021-03-01,2130,766
2235,2021-08-02,2021-08-02 15:05:00,FIT_COMPLETE,20,844,2232,2021-07-28,2232,748
2257,2021-09-01,2021-09-01 15:05:00,FIT_COMPLETE,20,844,2232,2021-07-28,2232,748
2277,2021-10-08,2021-10-08 15:05:00,FIT_COMPLETE,20,844,2232,2021-07-28,2232,748
2293,2021-11-01,2021-11-01 15:05:00,FIT_COMPLETE,20,844,2232,2021-07-28,2232,748
2315,2021-12-01,2021-12-01 15:05:00,FIT_COMPLETE,20,844,2232,2021-07-28,2232,748
2338,2022-01-04,2022-01-04 15:05:00,FIT_COMPLETE,20,844,2232,2021-07-28,2232,748
2357,2022-02-07,2022-02-07 15:05:00,FIT_COMPLETE,20,892,2347,2022-01-17,2347,796
2373,2022-03-01,2022-03-01 15:05:00,FIT_COMPLETE,20,892,2347,2022-01-17,2347,796
2396,2022-04-01,2022-04-01 15:05:00,FIT_COMPLETE,20,892,2347,2022-01-17,2347,796
2415,2022-05-05,2022-05-05 15:05:00,FIT_COMPLETE,20,892,2347,2022-01-17,2347,796
2434,2022-06-01,2022-06-01 15:05:00,FIT_COMPLETE,20,892,2347,2022-01-17,2347,796
2455,2022-07-01,2022-07-01 15:05:00,FIT_COMPLETE,20,892,2347,2022-01-17,2347,796
2476,2022-08-01,2022-08-01 15:05:00,FIT_COMPLETE,20,892,2347,2022-01-17,2347,796
2499,2022-09-01,2022-09-01 15:05:00,FIT_COMPLETE,20,890,2479,2022-08-04,2479,794
2520,2022-10-10,2022-10-10 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2536,2022-11-01,2022-11-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2558,2022-12-01,2022-12-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2580,2023-01-03,2023-01-03 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2596,2023-02-01,2023-02-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2616,2023-03-01,2023-03-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2639,2023-04-03,2023-04-03 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2658,2023-05-04,2023-05-04 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2678,2023-06-01,2023-06-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2698,2023-07-03,2023-07-03 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2719,2023-08-01,2023-08-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2742,2023-09-01,2023-09-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2762,2023-10-09,2023-10-09 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2779,2023-11-01,2023-11-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2801,2023-12-01,2023-12-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2822,2024-01-02,2024-01-02 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2844,2024-02-01,2024-02-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2859,2024-03-01,2024-03-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2880,2024-04-01,2024-04-01 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2900,2024-05-06,2024-05-06 15:05:00,FIT_COMPLETE,20,885,2504,2022-09-08,2504,789
2920,2024-06-03,2024-06-03 15:05:00,FIT_COMPLETE,20,885,2910,2024-05-20,2910,789
2939,2024-07-01,2024-07-01 15:05:00,FIT_COMPLETE,20,885,2910,2024-05-20,2910,789
2962,2024-08-01,2024-08-01 15:05:00,FIT_COMPLETE,20,915,2945,2024-07-09,2945,815
2984,2024-09-02,2024-09-02 15:05:00,FIT_COMPLETE,20,915,2945,2024-07-09,2945,815
3003,2024-10-08,2024-10-08 15:05:00,FIT_COMPLETE,20,896,2989,2024-09-09,2989,796
3021,2024-11-01,2024-11-01 15:05:00,FIT_COMPLETE,20,842,3005,2024-10-10,3005,742
3042,2024-12-02,2024-12-02 15:05:00,FIT_COMPLETE,20,842,3005,2024-10-10,3005,742
3064,2025-01-02,2025-01-02 15:05:00,FIT_COMPLETE,20,842,3005,2024-10-10,3005,742
3082,2025-02-05,2025-02-05 15:05:00,FIT_COMPLETE,20,842,3005,2024-10-10,3005,742
3100,2025-03-03,2025-03-03 15:05:00,FIT_COMPLETE,20,842,3005,2024-10-10,3005,742
3121,2025-04-01,2025-04-01 15:05:00,FIT_COMPLETE,20,842,3005,2024-10-10,3005,742
3142,2025-05-06,2025-05-06 15:05:00,FIT_COMPLETE,20,842,3005,2024-10-10,3005,742
3161,2025-06-03,2025-06-03 15:05:00,FIT_COMPLETE,20,842,3005,2024-10-10,3005,742
3181,2025-07-01,2025-07-01 15:05:00,FIT_COMPLETE,20,842,3005,2024-10-10,3005,742
3204,2025-08-01,2025-08-01 15:05:00,FIT_COMPLETE,20,842,3187,2025-07-09,3187,742
3225,2025-09-01,2025-09-01 15:05:00,FIT_COMPLETE,20,842,3187,2025-07-09,3187,742
3247,2025-10-09,2025-10-09 15:05:00,FIT_COMPLETE,20,842,3187,2025-07-09,3187,742
3264,2025-11-03,2025-11-03 15:05:00,FIT_COMPLETE,20,842,3250,2025-10-14,3250,742
3284,2025-12-01,2025-12-01 15:05:00,FIT_COMPLETE,20,842,3250,2025-10-14,3250,742
3307,2026-01-05,2026-01-05 15:05:00,FIT_COMPLETE,20,842,3250,2025-10-14,3250,742
3327,2026-02-02,2026-02-02 15:05:00,FIT_COMPLETE,20,842,3313,2026-01-13,3313,742
3341,2026-03-02,2026-03-02 15:05:00,FIT_COMPLETE,20,795,3329,2026-02-04,3329,695
3363,2026-04-01,2026-04-01 15:05:00,FIT_COMPLETE,20,795,3329,2026-02-04,3329,695
3384,2026-05-06,2026-05-06 15:05:00,FIT_COMPLETE,20,795,3329,2026-02-04,3329,695
3402,2026-06-01,2026-06-01 15:05:00,FIT_COMPLETE,20,795,3329,2026-02-04,3329,695
3423,2026-07-01,2026-07-01 15:05:00,FIT_COMPLETE,20,795,3329,2026-02-04,3329,695
3446,2026-08-03,2026-08-03 15:05:00,FIT_COMPLETE,20,790,3436,2026-07-20,3436,690
