period,cost,model,label,stage,calendar_days,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit,loss_day_profit_sum,positive_day_profit_sum,arithmetic_return_contribution,filled_trade_days
evaluation,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,区间182,核心辅助同时,11,11,7849.600000000005,0.0,7849.600000000006,-13736.800000000076,21586.40000000008,0.03366947446530044,0
evaluation,STRESS,BINARY_SIGNAL_EXPOSURE,满仓183,辅助独有,124,124,41655.59999999999,3317.5657599999618,38338.034240000066,-105622.94960000005,143960.98384000012,0.1479128727429555,8
evaluation,STRESS,BINARY_SIGNAL_EXPOSURE,满仓183,零目标或退出过渡,1168,0,11203.599999999746,12434.789319999742,-1231.189320000005,-21962.426559999905,20731.2372399999,-0.006470573613419073,29
evaluation,STRESS,BINARY_SIGNAL_EXPOSURE,满仓183,核心独有,301,300,110098.30000000019,9635.56576000018,100462.73423999999,-274780.10543999955,375242.8396799995,0.4020463860867741,23
evaluation,STRESS,BINARY_SIGNAL_EXPOSURE,满仓183,核心辅助同时,11,11,8096.000000000002,0.0,8096.000000000029,-14168.0,22264.00000000003,0.03371210466678187,0
earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,核心辅助同时,48,48,36586.69999999998,282.24714000000245,36304.45285999999,-34751.30468000012,71055.75754000011,0.1696598037268071,9
earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,辅助独有,144,143,18233.7,1883.2376200000426,16350.462379999954,-86080.57699999993,102431.03937999989,0.06552249269356136,16
earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,核心独有,254,254,46828.5,1348.1615600000396,45480.33843999979,-114417.07900000035,159897.41744000014,0.17851181334366728,22
earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,零目标或退出过渡,773,0,377.5999999999907,2057.8459599999383,-1680.2459599997965,-3533.1365999998816,1852.890640000085,-0.006352840254393977,15
earlier_diagnostic,BASE,EXPOSURE_EXPANSION_200,两倍180,核心辅助同时,48,48,34706.299999999974,224.47013999999572,34481.82986,-47100.19999999998,81582.02985999998,0.1632157349865211,3
earlier_diagnostic,BASE,EXPOSURE_EXPANSION_200,两倍180,辅助独有,144,143,20982.199999999983,2043.2476200000397,18938.952380000002,-120321.63873999994,139260.59111999994,0.07396769860032293,9
earlier_diagnostic,BASE,EXPOSURE_EXPANSION_200,两倍180,核心独有,254,254,80751.70000000001,1737.1828800000826,79014.51711999997,-217666.50125999993,296681.0183799999,0.3018980861518835,16
earlier_diagnostic,BASE,EXPOSURE_EXPANSION_200,两倍180,零目标或退出过渡,773,0,773.1999999999808,3019.0581599998986,-2245.8581599999743,-5176.588820000092,2930.7306600001175,-0.00817181600800132,15
earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,每日181,核心辅助同时,48,48,32489.199999999986,387.7371400000056,32101.46285999997,-33898.80468000009,66000.26754000006,0.15159633363905345,10
earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,每日181,辅助独有,144,143,20495.599999999995,2086.4555600000335,18409.144439999858,-101409.5735400001,119818.71797999996,0.06741902025396274,12
earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,每日181,核心独有,254,254,75114.79999999999,2250.7219200000654,72864.07807999989,-177062.18976000018,249926.26784000007,0.2839847887170013,26
earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,每日181,零目标或退出过渡,773,0,679.3999999999862,2508.8707799999233,-1829.4707799998869,-4311.381519999937,2481.9107400000503,-0.00666447676927262,15
earlier_diagnostic,BASE,EPISODE_ACCOUNT_RISK_BUDGET,区间182,核心辅助同时,48,48,36586.69999999998,282.24714000000245,36304.45285999999,-34751.30468000012,71055.75754000011,0.1696598037268071,9
earlier_diagnostic,BASE,EPISODE_ACCOUNT_RISK_BUDGET,区间182,辅助独有,144,143,16802.09999999998,1867.672360000036,14934.427640000096,-110211.24695999996,125145.67460000006,0.05776817345448382,9
earlier_diagnostic,BASE,EPISODE_ACCOUNT_RISK_BUDGET,区间182,核心独有,254,254,67440.10000000002,1491.648460000055,65948.45153999992,-133053.99182000034,199002.44336000027,0.25121123097801756,18
earlier_diagnostic,BASE,EPISODE_ACCOUNT_RISK_BUDGET,区间182,零目标或退出过渡,773,0,794.0999999999838,2357.979899999904,-1563.8798999998253,-3560.735159999924,1996.8552600000985,-0.0058065920585573805,15
earlier_diagnostic,BASE,BINARY_SIGNAL_EXPOSURE,满仓183,核心辅助同时,48,48,34624.99999999997,150.75447999998778,34474.24552,-49305.99999999991,83780.24551999991,0.16035284211426415,1
earlier_diagnostic,BASE,BINARY_SIGNAL_EXPOSURE,满仓183,辅助独有,144,143,24092.499999999978,1987.8928200000464,22104.607179999934,-133958.82442,156063.43159999992,0.09288457757514679,8
earlier_diagnostic,BASE,BINARY_SIGNAL_EXPOSURE,满仓183,核心独有,254,254,76907.90000000002,1747.4969200001024,75160.40307999981,-296321.5537600002,371481.95684000006,0.2980649602459572,8
earlier_diagnostic,BASE,BINARY_SIGNAL_EXPOSURE,满仓183,零目标或退出过渡,773,0,318.2999999999672,3505.949679999855,-3187.649679999886,-6409.653659999982,3222.003980000096,-0.011126979058316833,15
earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,核心辅助同时,48,48,36522.599999999984,553.3956799999997,35969.20431999996,-34781.14544000011,70750.34976000007,0.16830224107332503,9
earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,辅助独有,144,143,18107.399999999994,3526.696999999981,14580.703000000067,-86497.28235999984,101077.9853599999,0.05933356934190415,16
earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,核心独有,260,260,52366.0,2644.6998800000138,49721.30012000006,-116547.9868800001,166269.28700000016,0.19412694481696102,22
earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,零目标或退出过渡,767,0,-73.9000000000097,3910.6567999999547,-3984.556799999962,-5261.84639999998,1277.2896000000183,-0.014790005869702139,15
earlier_diagnostic,STRESS,EXPOSURE_EXPANSION_200,两倍180,核心辅助同时,48,48,34696.49999999997,449.0105200000003,34247.48947999996,-47100.19999999998,81347.68947999994,0.1623016316167255,3
earlier_diagnostic,STRESS,EXPOSURE_EXPANSION_200,两倍180,辅助独有,144,143,20940.999999999978,3848.678559999977,17092.32144,-120750.61939999979,137842.9408399998,0.06785078820502344,9
earlier_diagnostic,STRESS,EXPOSURE_EXPANSION_200,两倍180,核心独有,260,260,88553.29999999999,3424.64508000004,85128.65492000003,-220794.4133600001,305923.0682800001,0.32276257486785487,16
earlier_diagnostic,STRESS,EXPOSURE_EXPANSION_200,两倍180,零目标或退出过渡,767,0,114.49999999997965,5714.000959999936,-5599.500959999888,-7688.518039999937,2089.0170800000487,-0.019545425768605518,15
earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,每日181,核心辅助同时,48,48,32439.99999999998,736.1865599999968,31703.81343999997,-33931.745440000086,65635.55888000006,0.14993977645946188,10
earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,每日181,辅助独有,144,143,19509.999999999993,3916.602759999982,15593.39724000005,-101225.27555999992,116818.67279999997,0.05830395003402511,13
earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,每日181,核心独有,260,260,82704.9,4420.153760000014,78284.7462400001,-180227.4672000002,258512.21344000028,0.30287572156725084,26
earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,每日181,零目标或退出过渡,767,0,51.699999999984925,4804.754999999946,-4753.055000000022,-6517.864640000014,1764.8096399999922,-0.01665085420720369,15
earlier_diagnostic,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,区间182,核心辅助同时,48,48,36522.599999999984,553.3956799999997,35969.20431999996,-34781.14544000011,70750.34976000007,0.16830224107332503,9
earlier_diagnostic,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,区间182,辅助独有,144,143,15437.799999999983,3538.63755999998,11899.162440000044,-108970.23479999998,120869.39724000002,0.04745973013084459,11
earlier_diagnostic,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,区间182,核心独有,260,260,75027.20000000001,2931.4788000000135,72095.72120000006,-136135.50668000028,208231.22788000034,0.27285331381058364,18
earlier_diagnostic,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,区间182,零目标或退出过渡,767,0,179.5999999999823,4504.061959999946,-4324.4619600001315,-5653.013280000101,1328.5513199999696,-0.015459896322224886,15
earlier_diagnostic,STRESS,BINARY_SIGNAL_EXPOSURE,满仓183,核心辅助同时,48,48,34624.99999999997,301.5532800000002,34323.44671999998,-49305.99999999991,83629.44671999989,0.15969526850111682,1
earlier_diagnostic,STRESS,BINARY_SIGNAL_EXPOSURE,满仓183,辅助独有,144,143,24031.299999999985,3734.7773599999764,20296.522639999923,-134335.57951999982,154632.10215999975,0.0871481246555722,8
earlier_diagnostic,STRESS,BINARY_SIGNAL_EXPOSURE,满仓183,核心独有,260,260,84884.30000000005,3460.521200000048,81423.77880000003,-299317.27768000035,380741.0564800004,0.31938584833843797,8
earlier_diagnostic,STRESS,BINARY_SIGNAL_EXPOSURE,满仓183,零目标或退出过渡,767,0,-329.6000000000338,6633.860919999932,-6963.460920000129,-9256.543560000166,2293.082640000037,-0.02397219133749595,15
