fit_origin,cycles,rows,maximum_coefficient_gradient,maximum_intercept_gradient
2020-10-09,20,888,5.178149575790769e-16,1.4137996329210978e-16
2020-11-02,20,888,5.178149575790769e-16,1.4137996329210978e-16
2020-12-01,20,888,5.178149575790769e-16,1.4137996329210978e-16
2021-01-04,20,888,5.178149575790769e-16,1.4137996329210978e-16
2021-02-01,20,888,5.178149575790769e-16,1.4137996329210978e-16
2021-03-01,20,862,2.389039487071809e-16,8.174884380540703e-17
2021-04-01,20,862,2.389039487071809e-16,8.174884380540703e-17
2021-05-06,20,862,2.389039487071809e-16,8.174884380540703e-17
2021-06-01,20,862,2.389039487071809e-16,8.174884380540703e-17
2021-07-01,20,862,2.389039487071809e-16,8.174884380540703e-17
2021-08-02,20,844,6.615801656506548e-16,7.39425881635114e-17
2021-09-01,20,844,6.615801656506548e-16,7.39425881635114e-17
2021-10-08,20,844,6.615801656506548e-16,7.39425881635114e-17
2021-11-01,20,844,6.615801656506548e-16,7.39425881635114e-17
2021-12-01,20,844,6.615801656506548e-16,7.39425881635114e-17
2022-01-04,20,844,6.615801656506548e-16,7.39425881635114e-17
2022-02-07,20,892,6.392456008974534e-16,4.2934406030425976e-17
2022-03-01,20,892,6.392456008974534e-16,4.2934406030425976e-17
2022-04-01,20,892,6.392456008974534e-16,4.2934406030425976e-17
2022-05-05,20,892,6.392456008974534e-16,4.2934406030425976e-17
2022-06-01,20,892,6.392456008974534e-16,4.2934406030425976e-17
2022-07-01,20,892,6.392456008974534e-16,4.2934406030425976e-17
2022-08-01,20,892,6.392456008974534e-16,4.2934406030425976e-17
2022-09-01,20,890,3.3480163086352377e-16,3.763536791240307e-17
2022-10-10,20,885,2.393918396847994e-16,3.382710778154774e-17
2022-11-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2022-12-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-01-03,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-02-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-03-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-04-03,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-05-04,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-06-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-07-03,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-08-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-09-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-10-09,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-11-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2023-12-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2024-01-02,20,885,2.393918396847994e-16,3.382710778154774e-17
2024-02-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2024-03-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2024-04-01,20,885,2.393918396847994e-16,3.382710778154774e-17
2024-05-06,20,885,2.393918396847994e-16,3.382710778154774e-17
2024-06-03,20,885,2.0990154059319366e-16,2.927046757201363e-17
2024-07-01,20,885,2.0990154059319366e-16,2.927046757201363e-17
2024-08-01,20,915,4.536301889679351e-16,4.141652298894627e-17
2024-09-02,20,915,4.536301889679351e-16,4.141652298894627e-17
2024-10-08,20,896,6.895525817007808e-17,2.3418766925686896e-17
2024-11-01,20,842,3.122502256758253e-16,2.2741140567883456e-17
2024-12-02,20,842,3.122502256758253e-16,2.2741140567883456e-17
2025-01-02,20,842,3.122502256758253e-16,2.2741140567883456e-17
2025-02-05,20,842,3.122502256758253e-16,2.2741140567883456e-17
2025-03-03,20,842,3.122502256758253e-16,2.2741140567883456e-17
2025-04-01,20,842,3.122502256758253e-16,2.2741140567883456e-17
2025-05-06,20,842,3.122502256758253e-16,2.2741140567883456e-17
2025-06-03,20,842,3.122502256758253e-16,2.2741140567883456e-17
2025-07-01,20,842,3.122502256758253e-16,2.2741140567883456e-17
2025-08-01,20,842,7.667477763817487e-16,2.6806898714704097e-17
2025-09-01,20,842,7.667477763817487e-16,2.6806898714704097e-17
2025-10-09,20,842,7.667477763817487e-16,2.6806898714704097e-17
2025-11-03,20,842,3.174543961037557e-16,2.120970499924768e-17
2025-12-01,20,842,3.174543961037557e-16,2.120970499924768e-17
2026-01-05,20,842,3.174543961037557e-16,2.120970499924768e-17
2026-02-02,20,842,2.706168622523819e-16,3.415236843329339e-17
2026-03-02,20,795,1.7694179454963432e-16,2.949029909160572e-17
2026-04-01,20,795,1.7694179454963432e-16,2.949029909160572e-17
2026-05-06,20,795,1.7694179454963432e-16,2.949029909160572e-17
2026-06-01,20,795,1.7694179454963432e-16,2.949029909160572e-17
2026-07-01,20,795,1.7694179454963432e-16,2.949029909160572e-17
2026-08-03,20,790,3.8077180297690916e-16,4.5319650809894085e-17
