date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
2022-10-10,3.867,3.789,CLOSE,99261.81990000006,25500,0.0,195881.31990000006,-0.010209107839087683,-2020.4000000000233,-2013.5999999999933,0.0,0.0,0.49325530402452616,-2.976641155783e-11,2022-09-30,False,0.017597284626740716,900,900,3.867,3.869,5.0,1.8000000000002014,3482.1000000000004,FILLED,102748.91990000007,24600,99261.81990000006,25500.0
2022-12-01,3.98,3.956,CLOSE,200680.53210000007,0,0.0,200680.53210000007,0.008483805811442258,1688.212200000009,1759.4999999999986,0.0,0.0,0.0,4.789058039023075e-12,2022-11-30,False,0.5052955437740466,-25500,-25500,3.98,3.978,20.2878,50.99999999999439,101439.0,FILLED,99261.81990000006,25500,200680.53210000007,0.0
2023-02-01,4.164,4.19,CLOSE,150666.53130000006,12000,0.0,200946.53130000006,0.0013254858217510712,265.9991999999911,312.0000000000083,0.0,0.0,0.25021581449910796,-1.5830892152735032e-11,2023-01-31,False,0.24917215176150104,12000,12000,4.164,4.167,10.0008,36.000000000001364,50004.0,FILLED,200680.53210000007,0,150666.53130000006,12000.0
2023-03-01,4.067,4.12,CLOSE,50117.425500000056,36700,0.0,201321.42550000007,0.00903622429582307,1802.8942000000097,1897.1000000000029,0.0,0.0,0.7510576662393043,9.677592061052565e-12,2023-02-28,False,0.5039792060753385,24700,24700,4.067,4.07,20.105800000000002,74.10000000000281,100529.0,FILLED,150666.53130000006,12000,50117.425500000056,36700.0
2023-04-03,4.05,4.08,CLOSE,149249.09520000004,12200,0.0,199025.09520000004,0.0013719062764341317,272.66969999996945,366.000000000003,0.0,0.0,0.250099114134226,-3.078071131312754e-11,2023-03-31,False,0.49886938360910704,-24500,-24500,4.05,4.047,19.8303,73.50000000000279,99151.5,FILLED,50117.425500000056,36700,149249.09520000004,12200.0
2023-05-04,4.013,4.025,CLOSE,627.3768000000273,49200,0.0,198657.37680000006,0.001528990867036173,303.2816000000166,444.0000000000168,0.0,0.0,0.9968419154118217,4.007461029686965e-12,2023-04-28,False,0.7496782597167295,37000,37000,4.013,4.016,29.718400000000003,111.0000000000042,148592.0,FILLED,149249.09520000004,12200,627.3768000000273,49200.0
2023-06-01,3.799,3.81,CLOSE,242.27680000002727,49300,0.0,188075.27680000002,0.0020752771288314875,389.5,394.7000000000004,0.0,0.0,0.9987118094194929,-3.6415315207705135e-13,2023-05-31,False,0.002026787326643137,100,100,3.799,3.801,5.0,0.20000000000002238,380.1,FILLED,627.3768000000273,49200,242.27680000002727,49300.0
2023-07-03,3.89,3.927,CLOSE,96256.67008000001,24600,0.0,192860.87008000002,0.006450066925757225,1235.9932799999951,1304.5999999999985,0.0,0.0,0.5009009860835322,2.1245227799226996e-12,2023-06-30,False,0.5001247874713378,-24700,-24700,3.89,3.888,19.20672,49.40000000000553,96033.59999999999,FILLED,242.27680000002727,49300,96256.67008000001,24600.0
2023-08-01,4.08,4.066,CLOSE,147616.59604,12000,0.0,196408.59604,-0.0015985620795370137,-314.47404000000097,-266.39999999999196,0.0,0.0,0.24842089900211478,-7.574385563202668e-12,2023-07-31,False,0.26126019679574886,-12600,-12600,4.08,4.077,10.27404,37.80000000000143,51370.2,FILLED,96256.67008000001,24600,147616.59604,12000.0
2023-11-01,3.68,3.642,CLOSE,95321.73916,26200,0.0,190742.13916,-0.0031485440010757815,-602.4568800000125,-563.6000000000063,0.0,0.0,0.5002586236068088,-9.315215265814913e-12,2023-10-31,False,0.27263180742396076,14200,14200,3.68,3.682,10.45688,28.399999999996872,52284.4,FILLED,147616.59604,12000,95321.73916,26200.0
2023-12-01,3.561,3.548,CLOSE,141579.48576,13200,0.0,188413.08576000002,-0.001235399786275515,-233.05339999997523,-197.7999999999958,0.0,0.0,0.24856872234265345,1.7713830402499298e-11,2023-11-30,False,0.24529220084602638,-13000,-13000,3.561,3.559,9.253400000000001,25.999999999997137,46267.0,FILLED,95321.73916,26200,141579.48576,13200.0
2024-05-06,3.64,3.648,CLOSE,59.60532000000239,52300,0.0,190850.00532,0.004558910649370196,866.1195599999919,972.8000000000038,0.0,0.0,0.9996876849969165,-2.0520474208751693e-11,2024-04-30,False,0.7473679078826618,39500,39100,3.64,3.642,28.480439999999998,78.19999999999139,142402.19999999998,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,142490.28576,13200,59.60532000000239,52300.0
2024-10-08,4.656,4.412,CLOSE,182885.93274000002,13000,0.0,240241.93274000002,0.08488060027607358,18796.42742000002,18950.900000000005,0.0,0.0,0.2387426680506816,-1.3699263945454732e-11,2024-09-30,False,0.7507660928343923,-39300,-39300,4.656,4.6530000000000005,36.57258000000001,117.89999999996957,182862.90000000002,FILLED,59.60532000000239,52300,182885.93274000002,13000.0
2025-01-02,4.02,3.909,CLOSE,176444.13274000003,14600,0.0,233515.53274000002,-0.00704335751592966,-1656.3999999999942,-1646.6000000000051,0.0,0.0,0.2444008727399912,1.1141310096718371e-11,2024-12-31,False,0.027373639530976473,1600,1600,4.02,4.023,5.0,4.800000000000182,6436.799999999999,FILLED,182885.93274000002,13000,176444.13274000003,14600.0
2025-02-05,3.93,3.887,CLOSE,57673.98346000003,44800,0.0,231811.58346000005,-0.00717279362927381,-1674.749279999989,-1590.6000000000047,0.0,0.0,0.7512031857978663,8.945733043219661e-12,2025-01-27,False,0.5078492724725969,30200,30200,3.93,3.932,23.74928,60.39999999999335,118746.4,FILLED,176444.13274000003,14600,57673.98346000003,44800.0
2025-03-03,3.995,3.981,CLOSE,105.67210000003979,59200,0.0,235780.87210000004,-0.0034839108253913453,-824.3113599999924,-784.0000000000188,0.0,0.0,0.9995518207263427,2.3167245899458067e-11,2025-02-28,False,0.24321489128575657,14400,14400,3.995,3.997,11.51136,28.799999999996828,57556.799999999996,FILLED,57673.98346000003,44800,105.67210000003979,59200.0
2025-05-06,3.886,3.903,CLOSE,57577.37546000004,44400,0.0,230870.57546000005,0.008287896040240161,1897.703360000014,1938.799999999997,0.0,0.0,0.7506075629374618,2.0385471088957274e-11,2025-04-30,False,0.24975660937477603,-14800,-14800,3.886,3.884,11.49664,29.600000000003313,57483.2,FILLED,105.67210000003979,59200,57577.37546000004,44400.0
2025-06-03,3.946,3.957,CLOSE,319.92626000003656,58900,0.0,233387.22626000002,0.00012963315084268956,30.25079999997979,70.69999999998538,0.0,0.0,0.998629204069448,-8.782308213994838e-12,2025-05-30,False,0.24592342649560175,14500,14500,3.946,3.948,11.449200000000001,28.999999999996806,57246.0,FILLED,57577.37546000004,44400,319.92626000003656,58900.0
2025-07-01,3.98,3.988,CLOSE,120046.61298000005,30100,0.0,240085.41298000005,0.00017699634253731666,42.486719999986235,122.99999999998703,0.0,0.0,0.4999837287490667,-7.133849067031406e-12,2025-06-30,False,0.47750897034372153,-28800,-28800,3.98,3.978,22.913280000000004,57.599999999993656,114566.40000000001,FILLED,5503.126260000036,58900,120046.61298000005,30100.0
2025-08-01,4.148,4.133,CLOSE,473.90322000006563,58900,0.0,243907.60322000008,-0.004914117647454974,-1204.5097599999863,-1094.199999999998,0.0,0.0,0.998057037936728,1.5006662579253316e-11,2025-07-31,False,0.48815071560964407,28800,28800,4.148,4.151,23.90976,86.40000000000327,119548.79999999999,FILLED,120046.61298000005,30100,473.90322000006563,58900.0
2025-09-01,4.607,4.616,CLOSE,7.9032200000655735,59000,0.0,272351.90322000004,0.0032382617690343007,879.0999999999185,884.3999999999811,0.0,0.0,0.9999709815870328,-6.258460416574962e-11,2025-08-29,False,0.001695936574690314,100,100,4.607,4.61,5.0,0.30000000000001137,461.00000000000006,FILLED,473.90322000006563,58900,7.9032200000655735,59000.0
2026-02-02,4.68,4.6,CLOSE,235.40322000006563,60500,0.0,278535.4032200001,-0.02341575892549852,-6678.5,-6669.000000000039,0.0,0.0,0.9991548535041552,3.927880243281834e-11,2026-01-30,False,0.024787841272358366,1500,1500,4.68,4.683,5.0,4.5000000000001705,7024.5,FILLED,7264.903220000066,59000,235.40322000006563,60500.0
2026-08-03,4.624,4.599,CLOSE,69998.54780000007,45400,0.0,278793.1478000001,-0.010466158517064672,-2948.7554200000013,-2889.499999999971,0.0,0.0,0.7489229977409076,-4.212097337585874e-11,2026-07-31,False,0.2492151403867718,-15100,-15100,4.624,4.621,13.955420000000002,45.2999999999883,69777.1,FILLED,235.40322000006563,60500,69998.54780000007,45400.0
2026-08-14,4.737,4.737,OPEN_TERMINAL,284879.1630800001,0,0.0,284879.1630800001,0.0006463590314833567,184.01527999999234,363.20000000000033,0.0,0.0,0.0,-2.8137492336099967e-12,2026-08-13,False,0.7539635364433973,-45400,-45400,4.737,4.734,42.98472,136.20000000000516,214923.6,FILLED,69998.54780000007,45400,284879.1630800001,0.0
