episode_id,start_index,end_index,closed_index,close_status,reference_left_truncated,attempted_paths,filled_paths,naturally_completed_paths,unresolved_paths,group_mature_index,maturity_status,start_date,end_date,closed_date,group_mature_date,has_usable_labels
18,1968,1986,1987.0,已经观察到原条件不成立,False,19,19,19,0,2034.0,整组自然成熟,2020-06-30,2020-07-24,2020-07-27,2020-09-30,True
19,2003,2007,2008.0,已经观察到原条件不成立,False,5,5,5,0,2034.0,整组自然成熟,2020-08-18,2020-08-24,2020-08-25,2020-09-30,True
20,2095,2113,2114.0,已经观察到原条件不成立,False,19,19,19,0,2130.0,整组自然成熟,2021-01-04,2021-01-28,2021-01-29,2021-03-01,True
21,2116,2124,2125.0,已经观察到原条件不成立,False,9,9,9,0,2130.0,整组自然成熟,2021-02-02,2021-02-19,2021-02-22,2021-03-01,True
22,2196,2213,2214.0,已经观察到原条件不成立,False,18,18,18,0,2232.0,整组自然成熟,2021-06-07,2021-07-01,2021-07-02,2021-07-28,True
23,2216,2229,2230.0,已经观察到原条件不成立,False,14,14,14,0,2277.0,整组自然成熟,2021-07-06,2021-07-23,2021-07-26,2021-10-08,True
24,2291,2298,2299.0,已经观察到原条件不成立,False,8,8,8,0,2347.0,整组自然成熟,2021-10-28,2021-11-08,2021-11-09,2022-01-17,True
25,2310,2310,2311.0,已经观察到原条件不成立,False,1,1,1,0,2347.0,整组自然成熟,2021-11-24,2021-11-24,2021-11-25,2022-01-17,True
26,2314,2334,2335.0,已经观察到原条件不成立,False,21,21,21,0,2347.0,整组自然成熟,2021-11-30,2021-12-28,2021-12-29,2022-01-17,True
27,2420,2420,2421.0,已经观察到原条件不成立,False,1,1,1,0,2479.0,整组自然成熟,2022-05-12,2022-05-12,2022-05-13,2022-08-04,True
28,2437,2477,2478.0,已经观察到原条件不成立,False,41,41,41,0,2504.0,整组自然成熟,2022-06-07,2022-08-02,2022-08-03,2022-09-08,True
29,2482,2494,2495.0,已经观察到原条件不成立,False,13,13,13,0,2504.0,整组自然成熟,2022-08-09,2022-08-25,2022-08-26,2022-09-08,True
30,2849,2924,2925.0,已经观察到原条件不成立,False,76,76,76,0,2983.0,整组自然成熟,2024-02-08,2024-06-07,2024-06-11,2024-08-30,True
31,2929,2929,2930.0,已经观察到原条件不成立,False,1,1,1,0,2985.0,整组自然成熟,2024-06-17,2024-06-17,2024-06-18,2024-09-03,True
32,2937,2956,2957.0,已经观察到原条件不成立,False,20,20,20,0,2992.0,整组自然成熟,2024-06-27,2024-07-24,2024-07-25,2024-09-12,True
33,2962,2964,2965.0,已经观察到原条件不成立,False,3,3,3,0,3005.0,整组自然成熟,2024-08-01,2024-08-05,2024-08-06,2024-10-10,True
34,2980,2980,2981.0,已经观察到原条件不成立,False,1,1,1,0,3005.0,整组自然成熟,2024-08-27,2024-08-27,2024-08-28,2024-10-10,True
35,2984,2988,2989.0,已经观察到原条件不成立,False,5,5,5,0,3005.0,整组自然成熟,2024-09-02,2024-09-06,2024-09-09,2024-10-10,True
36,2998,2998,2999.0,已经观察到原条件不成立,False,1,1,1,0,3005.0,整组自然成熟,2024-09-24,2024-09-24,2024-09-25,2024-10-10,True
37,3001,3002,3003.0,已经观察到原条件不成立,False,2,1,1,0,3005.0,整组自然成熟,2024-09-27,2024-09-30,2024-10-08,2024-10-10,True
38,3126,3157,3158.0,已经观察到原条件不成立,False,32,32,32,0,3218.0,整组自然成熟,2025-04-09,2025-05-27,2025-05-28,2025-08-21,True
39,3160,3165,3166.0,已经观察到原条件不成立,False,6,6,6,0,3226.0,整组自然成熟,2025-05-30,2025-06-09,2025-06-10,2025-09-02,True
40,3168,3168,3169.0,已经观察到原条件不成立,False,1,1,1,0,3229.0,整组自然成熟,2025-06-12,2025-06-12,2025-06-13,2025-09-05,True
41,3171,3292,3293.0,已经观察到原条件不成立,False,122,122,122,0,3329.0,整组自然成熟,2025-06-17,2025-12-11,2025-12-12,2026-02-04,True
42,3297,3304,3305.0,已经观察到原条件不成立,False,8,8,8,0,3329.0,整组自然成熟,2025-12-18,2025-12-29,2025-12-30,2026-02-04,True
43,3315,3315,3316.0,已经观察到原条件不成立,False,1,1,1,0,3329.0,整组自然成熟,2026-01-15,2026-01-15,2026-01-16,2026-02-04,True
44,3383,3384,3385.0,已经观察到原条件不成立,False,2,2,2,0,3436.0,整组自然成熟,2026-04-30,2026-05-06,2026-05-07,2026-07-20,True
45,3388,3389,3390.0,已经观察到原条件不成立,False,2,2,2,0,3436.0,整组自然成熟,2026-05-12,2026-05-13,2026-05-14,2026-07-20,True
46,3405,3405,3406.0,已经观察到原条件不成立,False,1,1,1,0,3436.0,整组自然成熟,2026-06-04,2026-06-04,2026-06-05,2026-07-20,True
47,3416,3435,3436.0,已经观察到原条件不成立,False,20,20,10,10,,NO_VIEW_组内尚有未结束路径或信号结束未确认,2026-06-22,2026-07-17,2026-07-20,,False
48,3438,3444,3445.0,已经观察到原条件不成立,False,7,7,0,7,,NO_VIEW_组内尚有未结束路径或信号结束未确认,2026-07-22,2026-07-30,2026-07-31,,False
49,3449,3455,,信号尚未结束,False,6,5,0,6,,NO_VIEW_组内尚有未结束路径或信号结束未确认,2026-08-06,2026-08-14,,,False
