,R01_SMA60,R02_SMA120,R03_SMA200,R04_MOM20,R05_MOM60,R06_MOM120,R07_TREND_VOTE,R08_BREAKOUT,R09_RSI2,R10_RSI2_TREND,R11_REGIME,R12_RISK_TREND,M_RIDGE_H5_EXPANDING,M_RIDGE_H5_ROLL756,M_RIDGE_H20_EXPANDING,M_RIDGE_H20_ROLL756,M_HGB_H5_EXPANDING,M_HGB_H5_ROLL756,M_HGB_H20_EXPANDING,M_HGB_H20_ROLL756,M_ET_H5_EXPANDING,M_ET_H5_ROLL756,M_ET_H20_EXPANDING,M_ET_H20_ROLL756
R11_REGIME,0.6208068309065288,0.6285941475668705,0.6653521895330413,0.5946860810906457,0.6525082958286634,0.6310877403428097,0.6218187265284255,0.6091851052705941,0.4370735304784666,0.4337205743566671,1.0,0.6115474086402966,0.5446755093578595,0.3044070679164638,0.5993652342971428,0.2975833409113314,0.6721845142568372,0.4847312595974043,0.5045124902687511,0.3279417967061196,0.7110454991565254,0.47336740046065806,0.6848192366325431,0.3798954346211935
R12_RISK_TREND,0.947471421755733,0.9164368306272139,0.8557040325969534,0.8824662333717841,0.8753670018905195,0.8349533241162446,0.9748630261282235,0.8398898238041003,0.30627853650451436,0.45064705996758675,0.6115474086402966,1.0,0.5466469059478402,0.16028731069352042,0.6166726942281884,0.21943803132898934,0.6469395255797391,0.35107400769726427,0.5014878007705554,0.24310456334043942,0.7600128482110937,0.3965257589013791,0.7462573472553883,0.23761012873916265
M_RIDGE_H5_EXPANDING,0.4995696311626013,0.4581532259548118,0.5258763646730371,0.5462583750150747,0.44429187655478336,0.48257497370867625,0.5183449771403966,0.44779925341075366,0.4702902013937236,0.2928932901942434,0.5446755093578595,0.5466469059478402,1.0,0.45950328553438613,0.7836791737142845,0.36831785078975376,0.7308271240243517,0.4880056531114319,0.6567977471679407,0.3534804944760258,0.7681480323496085,0.4464283470109112,0.7535254397132204,0.38790912778711795
M_RIDGE_H5_ROLL756,0.13303761830281804,0.15473747798830717,0.20798529501665516,0.145916168130367,0.2041868111769022,0.1981296718471887,0.15647361789595562,0.1107765407031101,0.4583834199730251,0.16998922923979082,0.3044070679164638,0.16028731069352042,0.45950328553438613,1.0,0.3622837355894439,0.7266164279679358,0.501188685729835,0.6611946608887657,0.49329013492268187,0.6681378260702234,0.5072392375336593,0.7209139094664724,0.51065216929927,0.634279187971707
M_RIDGE_H20_EXPANDING,0.6194140118929993,0.5761044838935047,0.6034106382953243,0.6577963500109,0.5500091487634934,0.5733821019787724,0.6343899553281217,0.5544401644547866,0.45709684002993506,0.34298919669124,0.5993652342971428,0.6166726942281884,0.7836791737142845,0.3622837355894439,1.0,0.41740858071657355,0.7586997481592592,0.44765569607634353,0.6530014120565963,0.3400630227309016,0.8143036307779588,0.4412071699717455,0.8220978254255549,0.45215634647906244
M_RIDGE_H20_ROLL756,0.2008061029917143,0.20952617277905472,0.23114177850114342,0.19012123569182965,0.252387912271736,0.20923910455370226,0.2145187389411311,0.15353281581989017,0.4025980784338624,0.17230812621919855,0.2975833409113314,0.21943803132898934,0.36831785078975376,0.7266164279679358,0.41740858071657355,1.0,0.4918790559431377,0.5711422480088733,0.5145125912915567,0.7852499464434065,0.4744345850535932,0.6205508056926425,0.5006280882268858,0.6779773448506194
M_HGB_H5_EXPANDING,0.6133239880011118,0.6057680856334178,0.6494130108078765,0.6160634900936199,0.6140223268920892,0.5835910741523707,0.632025854044848,0.5773438556196433,0.5097537437516625,0.3746166774504219,0.6721845142568372,0.6469395255797391,0.7308271240243517,0.501188685729835,0.7586997481592592,0.4918790559431377,1.0,0.6240258304354702,0.7046283430469373,0.5175729142329788,0.8683625587162009,0.6156204719462539,0.8455414139870191,0.5294485883370127
M_HGB_H5_ROLL756,0.31915806566412314,0.33696057084873815,0.43072549933422943,0.2948055247713001,0.38843755753197107,0.39609820445654953,0.33223051958292077,0.29082703566291973,0.5074635741143498,0.3153929931702452,0.4847312595974043,0.35107400769726427,0.4880056531114319,0.6611946608887657,0.44765569607634353,0.5711422480088733,0.6240258304354702,1.0,0.5529847674722819,0.6075876135820716,0.5929736656295862,0.7717646456199865,0.5963117170416835,0.5791949964565773
M_HGB_H20_EXPANDING,0.46683594360594677,0.4522401839909413,0.50184177601362,0.46937972583479537,0.4639919834516108,0.4523779043503447,0.46439522197834404,0.4172720438790423,0.5806154236409442,0.4473872233799398,0.5045124902687511,0.5014878007705554,0.6567977471679407,0.49329013492268187,0.6530014120565963,0.5145125912915567,0.7046283430469373,0.5529847674722819,1.0,0.5845265917700727,0.7441506340568934,0.5724805000167228,0.8201940501163769,0.6206858062971268
M_HGB_H20_ROLL756,0.23222698761235905,0.22997082087738954,0.2890503407112316,0.20185023905449595,0.2890710998354099,0.2508663675919559,0.2394445749432858,0.15038020824305037,0.4362731947165297,0.2428614765046686,0.3279417967061196,0.24310456334043942,0.3534804944760258,0.6681378260702234,0.3400630227309016,0.7852499464434065,0.5175729142329788,0.6075876135820716,0.5845265917700727,1.0,0.48590675621817603,0.6590009066783679,0.508940637782303,0.7677388767836127
M_ET_H5_EXPANDING,0.7213519089311566,0.7143189253060145,0.7269430100371441,0.7001927815365988,0.7269529381997688,0.6968350814163867,0.7420590440908068,0.6764512521019366,0.5510627343750613,0.43948450269451306,0.7110454991565254,0.7600128482110937,0.7681480323496085,0.5072392375336593,0.8143036307779588,0.4744345850535932,0.8683625587162009,0.5929736656295862,0.7441506340568934,0.48590675621817603,1.0,0.6356166380495065,0.9495988599361475,0.5265948729509483
M_ET_H5_ROLL756,0.35921378333115805,0.37179991719469035,0.4209970536402656,0.34385142201059377,0.43645507764034114,0.4102123430894089,0.35570310994654664,0.34273416713027033,0.41137163290397105,0.3191042900049713,0.47336740046065806,0.3965257589013791,0.4464283470109112,0.7209139094664724,0.4412071699717455,0.6205508056926425,0.6156204719462539,0.7717646456199865,0.5724805000167228,0.6590009066783679,0.6356166380495065,1.0,0.6198270653403509,0.7965080432924027
M_ET_H20_EXPANDING,0.7125981567767504,0.7077512460682882,0.7424357956553113,0.6949339799615071,0.7187521327555286,0.6975778824920179,0.7278086834999429,0.652617069696937,0.6021367134480697,0.5106044865381335,0.6848192366325431,0.7462573472553883,0.7535254397132204,0.51065216929927,0.8220978254255549,0.5006280882268858,0.8455414139870191,0.5963117170416835,0.8201940501163769,0.508940637782303,0.9495988599361475,0.6198270653403509,1.0,0.5625209132231735
M_ET_H20_ROLL756,0.24569794389007454,0.20668486356102406,0.2780034039227237,0.2599966101597463,0.2814152040875597,0.26975454442292607,0.2176266157092026,0.19128162313484828,0.3837853470798037,0.28517517601569087,0.3798954346211935,0.23761012873916265,0.38790912778711795,0.634279187971707,0.45215634647906244,0.6779773448506194,0.5294485883370127,0.5791949964565773,0.6206858062971268,0.7677388767836127,0.5265948729509483,0.7965080432924027,0.5625209132231735,1.0
