origin,origin_index,label_exit_date,Y60,source_eligible,training_samples,status,M0,M1
2025-01-27,3081,2025-05-06,-0.01119592875318065,True,30,TRAINED_PAIRED_MODELS,0.08085795642569907,0.07419725408476599
2025-02-28,3099,2025-05-30,-0.009011264080100112,True,30,TRAINED_PAIRED_MODELS,0.0376102791564461,0.030050733620267743
2025-03-31,3120,2025-07-01,0.020060180541624728,True,31,TRAINED_PAIRED_MODELS,0.02203625822616908,0.01916856641180024
2025-04-30,3141,2025-07-30,0.11039629439011844,True,32,TRAINED_PAIRED_MODELS,0.0335644673580313,0.03845340543730402
2025-05-30,3160,2025-08-26,0.1763811454637607,True,34,TRAINED_PAIRED_MODELS,0.011996016684019473,0.02137814916630181
2025-06-30,3180,2025-09-23,0.16256281407035167,True,34,TRAINED_PAIRED_MODELS,0.027048820774134057,0.03022441766371526
2025-07-31,3203,2025-11-03,0.145612343297975,True,36,TRAINED_PAIRED_MODELS,0.03244268077034317,0.035767493726672484
2025-08-29,3224,2025-12-02,0.017147818537008863,True,37,TRAINED_PAIRED_MODELS,0.05250039250899984,0.04788748014240944
2025-09-30,3246,2026-01-05,0.00610012620950795,True,38,TRAINED_PAIRED_MODELS,0.05928251698179042,0.05626490083804982
2025-10-31,3263,2026-01-28,0.02020202020202011,True,38,TRAINED_PAIRED_MODELS,0.038997718175081554,0.0506788382088618
2025-11-28,3283,2026-03-05,0.02668962548428766,True,39,TRAINED_PAIRED_MODELS,0.05373390503468898,0.07779522717763342
2025-12-31,3306,2026-04-08,-0.029479406230399352,True,40,TRAINED_PAIRED_MODELS,0.032208351630317676,0.06542442023660523
2026-01-30,3326,2026-05-11,0.049358974358974406,True,42,TRAINED_PAIRED_MODELS,0.03853473716264956,0.06001928003371197
2026-02-27,3340,2026-05-29,0.05368555602897307,True,42,TRAINED_PAIRED_MODELS,0.06765313113384136,0.09584023235276647
2026-03-31,3362,,,False,43,NO_VIEW_SOURCE,,
2026-04-30,3383,2026-07-30,-0.048499794492396164,True,44,TRAINED_PAIRED_MODELS,0.05228946820625176,0.05915133353121043
2026-05-29,3401,,,True,46,TRAINED_PAIRED_MODELS,0.062039406705081214,0.06738670132779818
2026-06-30,3422,,,True,46,TRAINED_PAIRED_MODELS,0.045133538766083864,0.05724365113944904
2026-07-31,3445,,,True,47,TRAINED_PAIRED_MODELS,0.021475053672759484,0.0394757952575696
