period,date,selected_parent,target,two_parent_target,three_parent_target,relative_prediction,prediction_origin,selection_status,selection_update_scheduled,selection_changed,prediction_mom20,prediction_sma120,prediction_vol20,two_reference_return,three_reference_return
evaluation,2024-02-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0002133419852900693,2024-02-01,PREDICTION_AVAILABLE,True,False,-0.03793759858289793,-0.09099162056010301,0.1748795069304111,0.0,0.0
evaluation,2024-03-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0027407370381977714,2024-03-01,PREDICTION_AVAILABLE,True,False,0.056825191577618374,0.011353590470584374,0.17921555996936717,0.0,0.0
evaluation,2024-04-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.003431086476878298,2024-04-01,PREDICTION_AVAILABLE,True,False,0.016031843858769008,0.03681582374182102,0.11339005724449508,0.0,0.0
evaluation,2024-05-06,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0039578870732933456,2024-05-06,PREDICTION_AVAILABLE,True,False,0.0176995770994011,0.05750167730304789,0.14288287443825098,0.0,0.0
evaluation,2024-06-03,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0033711620172436887,2024-06-03,PREDICTION_AVAILABLE,True,False,-0.016862873661939413,0.036091955717184376,0.0961225215925284,0.0,0.0
evaluation,2024-07-01,TWO_POLICY_MIN_VARIANCE,0.31963395805301875,0.31963395805301875,0.07359926951983498,-0.0030959529273831164,2024-07-01,PREDICTION_AVAILABLE,True,False,-0.022872661665991556,0.0034997754108592183,0.07049810882905747,0.0012658267930980571,0.0002847446772207274
evaluation,2024-08-01,TWO_POLICY_MIN_VARIANCE,0.31963395805301875,0.31963395805301875,0.07359926951983498,-0.002862498346882146,2024-08-01,PREDICTION_AVAILABLE,True,False,0.0022995123671086092,-0.012395854501117909,0.14638604593894095,0.0,0.0
evaluation,2024-09-02,TWO_POLICY_MIN_VARIANCE,0.31963395805301875,0.31963395805301875,0.07359926951983498,-0.0033549804107401667,2024-09-02,PREDICTION_AVAILABLE,True,False,-0.02255288466247278,-0.05405852989188287,0.10156449496891418,-0.005666167849157189,-0.0012951121596682658
evaluation,2024-10-08,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.6046028748689166,-0.017683937222269023,2024-10-08,PREDICTION_AVAILABLE,True,False,0.2629083834615997,0.25805232855163873,0.45157690867828293,0.0,0.02636949086098883
evaluation,2024-11-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0172919303090322,2024-11-01,PREDICTION_AVAILABLE,True,False,0.0280344557264155,0.11297845509788806,0.5347591958781138,0.0,0.0
evaluation,2024-12-02,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.005575327222700695,2024-12-02,PREDICTION_AVAILABLE,True,False,-0.00024804663403885183,0.10380141979914703,0.23088295299622427,0.0,0.0
evaluation,2025-01-02,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.00036001260868642304,2025-01-02,PREDICTION_AVAILABLE,True,False,-0.026506663563329088,0.04297943301834306,0.16439857529555812,0.0,0.0
evaluation,2025-02-05,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,0.0029460821270853275,2025-02-05,PREDICTION_AVAILABLE,True,True,-0.04992884452534395,0.021756464289782063,0.16676643415733874,0.0,0.0
