period,date,status,training_rows,latest_maturity_index,prediction,selected_parent
evaluation,2023-06-01,FIT_COMPLETE,504,2678.0,-0.0001970940534559771,TWO_POLICY_MIN_VARIANCE
evaluation,2023-07-03,FIT_COMPLETE,504,2698.0,-0.0005988965714443335,TWO_POLICY_MIN_VARIANCE
evaluation,2023-08-01,FIT_COMPLETE,504,2719.0,-0.0008173191679990748,TWO_POLICY_MIN_VARIANCE
evaluation,2023-09-01,FIT_COMPLETE,504,2742.0,-0.001997356727007665,TWO_POLICY_MIN_VARIANCE
evaluation,2023-10-09,FIT_COMPLETE,504,2762.0,-0.0020115678739720698,TWO_POLICY_MIN_VARIANCE
evaluation,2023-11-01,FIT_COMPLETE,504,2779.0,-0.001659165744040708,TWO_POLICY_MIN_VARIANCE
evaluation,2023-12-01,FIT_COMPLETE,504,2801.0,-0.0016403613217872944,TWO_POLICY_MIN_VARIANCE
evaluation,2024-01-02,FIT_COMPLETE,504,2822.0,-0.0008356781139925923,TWO_POLICY_MIN_VARIANCE
evaluation,2024-02-01,FIT_COMPLETE,504,2844.0,-0.00021334198529006842,TWO_POLICY_MIN_VARIANCE
evaluation,2024-03-01,FIT_COMPLETE,504,2859.0,-0.0027407370381977722,TWO_POLICY_MIN_VARIANCE
evaluation,2024-04-01,FIT_COMPLETE,504,2880.0,-0.003431086476878298,TWO_POLICY_MIN_VARIANCE
evaluation,2024-05-06,FIT_COMPLETE,504,2900.0,-0.003957887073293344,TWO_POLICY_MIN_VARIANCE
evaluation,2024-06-03,FIT_COMPLETE,504,2920.0,-0.003371162017243687,TWO_POLICY_MIN_VARIANCE
evaluation,2024-07-01,FIT_COMPLETE,504,2939.0,-0.003095952927383116,TWO_POLICY_MIN_VARIANCE
evaluation,2024-08-01,FIT_COMPLETE,504,2962.0,-0.002862498346882146,TWO_POLICY_MIN_VARIANCE
evaluation,2024-09-02,FIT_COMPLETE,504,2984.0,-0.003354980410740168,TWO_POLICY_MIN_VARIANCE
evaluation,2024-10-08,FIT_COMPLETE,504,3003.0,-0.01768393722226902,TWO_POLICY_MIN_VARIANCE
evaluation,2024-11-01,FIT_COMPLETE,504,3021.0,-0.01729193030903219,TWO_POLICY_MIN_VARIANCE
evaluation,2024-12-02,FIT_COMPLETE,504,3042.0,-0.0055753272227006875,TWO_POLICY_MIN_VARIANCE
evaluation,2025-01-02,FIT_COMPLETE,504,3064.0,-0.00036001260868642054,TWO_POLICY_MIN_VARIANCE
evaluation,2025-02-05,FIT_COMPLETE,504,3082.0,0.0029460821270853345,THREE_POLICY_MIN_VARIANCE
evaluation,2025-03-03,FIT_COMPLETE,504,3100.0,-0.0032362249617205073,TWO_POLICY_MIN_VARIANCE
evaluation,2025-04-01,FIT_COMPLETE,504,3121.0,-0.0019066117893098426,TWO_POLICY_MIN_VARIANCE
evaluation,2025-05-06,FIT_COMPLETE,504,3142.0,0.006093572630327489,THREE_POLICY_MIN_VARIANCE
evaluation,2025-06-03,FIT_COMPLETE,504,3161.0,-0.006098826282063843,TWO_POLICY_MIN_VARIANCE
evaluation,2025-07-01,FIT_COMPLETE,504,3181.0,-0.007130504642238595,TWO_POLICY_MIN_VARIANCE
evaluation,2025-08-01,FIT_COMPLETE,504,3204.0,-0.0071338131148772615,TWO_POLICY_MIN_VARIANCE
evaluation,2025-09-01,FIT_COMPLETE,504,3225.0,-0.013346478778095803,TWO_POLICY_MIN_VARIANCE
evaluation,2025-10-09,FIT_COMPLETE,504,3247.0,-0.008901935287937408,TWO_POLICY_MIN_VARIANCE
evaluation,2025-11-03,FIT_COMPLETE,504,3264.0,-0.004880156392616158,TWO_POLICY_MIN_VARIANCE
evaluation,2025-12-01,FIT_COMPLETE,504,3284.0,-0.0016508421242463398,TWO_POLICY_MIN_VARIANCE
evaluation,2026-01-05,FIT_COMPLETE,504,3307.0,-0.003290517676525834,TWO_POLICY_MIN_VARIANCE
evaluation,2026-02-02,FIT_COMPLETE,504,3327.0,0.0006138193407528878,THREE_POLICY_MIN_VARIANCE
evaluation,2026-03-02,FIT_COMPLETE,504,3341.0,-0.000522200673626066,TWO_POLICY_MIN_VARIANCE
evaluation,2026-04-01,FIT_COMPLETE,504,3363.0,0.003552492474022134,THREE_POLICY_MIN_VARIANCE
evaluation,2026-05-06,FIT_COMPLETE,504,3384.0,-0.002154569055287701,TWO_POLICY_MIN_VARIANCE
evaluation,2026-06-01,FIT_COMPLETE,504,3402.0,0.0002142361936555693,THREE_POLICY_MIN_VARIANCE
evaluation,2026-07-01,FIT_COMPLETE,504,3423.0,0.00016913034586871114,THREE_POLICY_MIN_VARIANCE
evaluation,2026-08-03,FIT_COMPLETE,504,3446.0,0.006555476484659769,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-01-05,NO_VIEW_INSUFFICIENT_MATURE_ROWS,0,,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-02-02,NO_VIEW_INSUFFICIENT_MATURE_ROWS,2,653.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-03-02,NO_VIEW_INSUFFICIENT_MATURE_ROWS,17,668.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-04-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,39,690.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-05-04,NO_VIEW_INSUFFICIENT_MATURE_ROWS,60,711.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-06-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,80,731.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-07-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,101,752.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-08-03,NO_VIEW_INSUFFICIENT_MATURE_ROWS,124,775.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-09-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,145,796.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-10-08,NO_VIEW_INSUFFICIENT_MATURE_ROWS,165,816.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-11-02,NO_VIEW_INSUFFICIENT_MATURE_ROWS,182,833.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2015-12-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,203,854.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-01-04,NO_VIEW_INSUFFICIENT_MATURE_ROWS,226,877.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-02-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,246,897.0,,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-03-01,FIT_COMPLETE,262,913.0,-0.005826517018696577,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-04-01,FIT_COMPLETE,285,936.0,-0.008496719959744927,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-05-03,FIT_COMPLETE,305,956.0,-0.010776487631125303,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-06-01,FIT_COMPLETE,326,977.0,-0.00800971203963474,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-07-01,FIT_COMPLETE,346,997.0,-0.005927472106884904,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-08-01,FIT_COMPLETE,367,1018.0,-0.004736735856164633,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-09-01,FIT_COMPLETE,390,1041.0,-0.0035418704710310995,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-10-10,FIT_COMPLETE,410,1061.0,-0.004216601996394144,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-11-01,FIT_COMPLETE,426,1077.0,-0.002699841522287986,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2016-12-01,FIT_COMPLETE,448,1099.0,0.001524696786758708,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-01-03,FIT_COMPLETE,470,1121.0,-0.00034297114144397477,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-02-03,FIT_COMPLETE,488,1139.0,0.000985064716233763,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-03-01,FIT_COMPLETE,504,1157.0,0.0016947873815396143,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-04-05,FIT_COMPLETE,504,1180.0,0.001015037997593746,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-05-02,FIT_COMPLETE,504,1198.0,0.0006188216235930121,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-06-01,FIT_COMPLETE,504,1218.0,0.002100788812201628,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-07-03,FIT_COMPLETE,504,1240.0,0.006472408462256416,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-08-01,FIT_COMPLETE,504,1261.0,0.008931529933399613,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-09-01,FIT_COMPLETE,504,1284.0,0.008541562803734123,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-10-09,FIT_COMPLETE,504,1305.0,0.006172056152224421,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-11-01,FIT_COMPLETE,504,1322.0,0.008000584845530786,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2017-12-01,FIT_COMPLETE,504,1344.0,0.006636252749001642,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-01-02,FIT_COMPLETE,504,1365.0,0.004863078796205502,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-02-01,FIT_COMPLETE,504,1387.0,0.005224477612044296,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-03-01,FIT_COMPLETE,504,1402.0,-0.009088983876335721,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-04-02,FIT_COMPLETE,504,1424.0,-0.0003995834754750606,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-05-02,FIT_COMPLETE,504,1442.0,0.0018992714779792735,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-06-01,FIT_COMPLETE,504,1464.0,0.0006530034483293199,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-07-02,FIT_COMPLETE,504,1484.0,-0.00020779287062666412,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-08-01,FIT_COMPLETE,504,1506.0,-0.0021510902031834506,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-09-03,FIT_COMPLETE,504,1529.0,-0.002173159135240115,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-10-08,FIT_COMPLETE,504,1548.0,-0.0028450376686009063,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-11-01,FIT_COMPLETE,504,1566.0,-0.007195033340857873,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2018-12-03,FIT_COMPLETE,504,1588.0,0.0002749065682632402,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-01-02,FIT_COMPLETE,504,1608.0,0.0018816574099692301,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-02-01,FIT_COMPLETE,504,1630.0,0.0005207341003450264,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-03-01,FIT_COMPLETE,504,1645.0,-0.0025311652056804676,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-04-01,FIT_COMPLETE,504,1666.0,-0.0007490254724232089,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-05-06,FIT_COMPLETE,504,1687.0,0.00023583740285853833,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-06-03,FIT_COMPLETE,504,1707.0,0.0002514070084107747,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-07-01,FIT_COMPLETE,504,1726.0,-0.00045497861308340466,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-08-01,FIT_COMPLETE,504,1749.0,0.002027343515575323,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-09-02,FIT_COMPLETE,504,1771.0,-0.0002653901962798397,TWO_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-10-08,FIT_COMPLETE,504,1791.0,0.001331574248676557,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-11-01,FIT_COMPLETE,504,1809.0,0.0009230217326547006,THREE_POLICY_MIN_VARIANCE
earlier_diagnostic,2019-12-02,FIT_COMPLETE,504,1830.0,0.0013210338011450367,THREE_POLICY_MIN_VARIANCE
