cycle_new,entry_date_new,entry_origin,buy_debit_new,gross_price_profit_new,commission_new,slippage_new,dividend_recognized_new,held_closes_new,buy_trades_new,sell_trades_new,exit_date_new,exit_origin_new,terminal_exit_new,net_profit_new,cycle_net_return_new,cycle_old,entry_date_old,buy_debit_old,gross_price_profit_old,commission_old,slippage_old,dividend_recognized_old,held_closes_old,buy_trades_old,sell_trades_old,exit_date_old,exit_origin_old,terminal_exit_old,net_profit_old,cycle_net_return_old,_merge,period,cost
14,2024-06-18,2024-06-17,239030.09646000003,-403.79999999995925,95.45832,269.2000000000301,0.0,2,1,1,2024-06-20,2024-06-19,False,-768.4583199999894,-0.0032149019365374574,13.0,2024-06-18,241161.12258000002,-543.2000000000116,96.28220000000002,271.60000000000025,0.0,22.0,1.0,1.0,2024-07-18,2024-07-17,False,-911.0822000000119,-0.0037778983206456914,both,evaluation,BASE
15,2024-06-28,2024-06-27,237805.95168,1368.0,95.32224000000001,273.60000000000025,0.0,2,1,1,2024-07-02,2024-07-01,False,999.0777599999998,0.004201231100155112,,,,,,,,,,,,,,,,left_only,evaluation,BASE
16,2024-08-02,2024-08-01,237886.96788,-2198.399999999994,94.64112000000002,274.80000000000024,0.0,2,1,1,2024-08-06,2024-08-05,False,-2567.8411199999946,-0.01079437492050981,14.0,2024-08-02,238579.50636000003,-2204.8000000000175,94.91664,275.60000000000025,0.0,2.0,1.0,1.0,2024-08-06,2024-08-05,False,-2575.3166400000177,-0.010794374920509905,both,evaluation,BASE
17,2024-08-28,2024-08-27,236424.47543999998,-1962.7999999999884,94.10224,280.4000000000002,0.0,2,1,1,2024-08-30,2024-08-29,False,-2337.3022399999886,-0.009886041771479583,15.0,2024-08-28,237099.01032,-7803.3000000000175,93.20374000000001,281.199999999969,0.0,11.0,1.0,1.0,2024-09-12,2024-09-11,False,-8177.703739999986,-0.03449067007476316,both,evaluation,BASE
18,2024-09-04,2024-09-03,233690.02866,280.3999999999942,93.45732000000001,280.4000000000002,0.0,2,1,1,2024-09-06,2024-09-05,False,-93.45732000000604,-0.00039992001599682643,,,,,,,,,,,,,,,,left_only,evaluation,BASE
19,2024-09-25,2024-09-24,234292.94922,14158.100000000006,96.47638,268.40000000003005,0.0,2,1,1,2024-09-27,2024-09-26,False,13793.223619999975,0.05887169744509981,16.0,2024-09-25,229404.57174,34032.59999999998,98.48430000000002,328.49999999996385,0.0,3.0,1.0,1.0,2024-09-30,2024-09-27,False,33605.61570000002,0.14649061021367776,both,evaluation,BASE
20,2025-04-10,2025-04-09,248284.647,2730.0,99.78800000000001,259.99999999997135,0.0,2,1,1,2025-04-14,2025-04-11,False,2370.2120000000286,0.009546349436580462,17.0,2025-04-10,262799.74944,5159.999999999942,106.07584,275.1999999999697,0.0,9.0,1.0,1.0,2025-04-23,2025-04-22,False,4778.724159999972,0.018183899224344602,both,evaluation,BASE
21,2025-06-03,2025-05-30,249563.50272000002,2022.3999999999942,100.15936,252.80000000000024,0.0,2,1,1,2025-06-05,2025-06-04,False,1669.440639999994,0.006689442253393268,18.0,2025-06-03,266938.17696,-2906.8000000000466,106.11848,270.3999999999702,5948.799999999999,11.0,1.0,1.0,2025-06-18,2025-06-17,False,2665.4815199999825,0.009985388940448927,both,evaluation,BASE
22,2025-06-13,2025-06-12,251650.32,-440.30000000001746,100.50162,251.60000000000022,0.0,2,1,1,2025-06-17,2025-06-16,False,-792.4016200000177,-0.0031488202359528797,,,,,,,,,,,,,,,,left_only,evaluation,BASE
23,2025-12-19,2025-12-18,251527.39542,11438.100000000006,102.81402,322.2000000000122,0.0,14,1,1,2026-01-12,2026-01-09,False,11013.085979999994,0.04378483688271953,19.0,2025-12-19,270263.14181999996,12982.5,110.61090000000002,346.2000000000131,0.0,18.0,1.0,1.0,2026-01-16,2026-01-15,False,12525.689099999987,0.04634627206525379,both,evaluation,BASE
