account,category,period,window,model,cost,year,days,return
early_ETF_VOL10_BASE,comparators,early,,ETF_VOL10,BASE,2019,244,0.2442590191641485
early_ETF_VOL10_STRESS,comparators,early,,ETF_VOL10,STRESS,2015,244,0.12335804220000024
early_ETF_VOL10_STRESS,comparators,early,,ETF_VOL10,STRESS,2016,244,-0.009144506928424945
early_ETF_VOL10_STRESS,comparators,early,,ETF_VOL10,STRESS,2017,244,0.21589449997309917
early_ETF_VOL10_STRESS,comparators,early,,ETF_VOL10,STRESS,2018,243,-0.15609720850758557
early_ETF_VOL10_STRESS,comparators,early,,ETF_VOL10,STRESS,2019,244,0.24126537204631737
main_BUY_HOLD_BASE,comparators,main,,BUY_HOLD,BASE,2020,243,0.28148844679999985
main_BUY_HOLD_BASE,comparators,main,,BUY_HOLD,BASE,2021,243,-0.039090481170617974
main_BUY_HOLD_BASE,comparators,main,,BUY_HOLD,BASE,2022,242,-0.19554254173042285
main_BUY_HOLD_BASE,comparators,main,,BUY_HOLD,BASE,2023,242,-0.09161073352048277
main_BUY_HOLD_BASE,comparators,main,,BUY_HOLD,BASE,2024,242,0.1592079702550402
main_BUY_HOLD_BASE,comparators,main,,BUY_HOLD,BASE,2025,243,0.19000526796167483
main_BUY_HOLD_BASE,comparators,main,,BUY_HOLD,BASE,2026,169,-0.009942670164257317
main_BUY_HOLD_STRESS,comparators,main,,BUY_HOLD,STRESS,2020,243,0.2808047
main_BUY_HOLD_STRESS,comparators,main,,BUY_HOLD,STRESS,2021,243,-0.039111349294705056
main_BUY_HOLD_STRESS,comparators,main,,BUY_HOLD,STRESS,2022,242,-0.1956511794364021
main_BUY_HOLD_STRESS,comparators,main,,BUY_HOLD,STRESS,2023,242,-0.09167400984745544
main_BUY_HOLD_STRESS,comparators,main,,BUY_HOLD,STRESS,2024,242,0.15932903507643226
main_BUY_HOLD_STRESS,comparators,main,,BUY_HOLD,STRESS,2025,243,0.1901298949468968
main_BUY_HOLD_STRESS,comparators,main,,BUY_HOLD,STRESS,2026,169,-0.009948149843221343
main_ETF_VOL10_BASE,comparators,main,,ETF_VOL10,BASE,2020,243,0.13452182689999992
main_ETF_VOL10_BASE,comparators,main,,ETF_VOL10,BASE,2021,243,0.0001377093823102804
main_ETF_VOL10_BASE,comparators,main,,ETF_VOL10,BASE,2022,242,-0.1741815055373348
main_ETF_VOL10_BASE,comparators,main,,ETF_VOL10,BASE,2023,242,-0.07267417626944761
main_ETF_VOL10_BASE,comparators,main,,ETF_VOL10,BASE,2024,242,0.09570593436219132
main_ETF_VOL10_BASE,comparators,main,,ETF_VOL10,BASE,2025,243,0.15119897485524025
main_ETF_VOL10_BASE,comparators,main,,ETF_VOL10,BASE,2026,169,-0.020470364402414676
main_ETF_VOL10_STRESS,comparators,main,,ETF_VOL10,STRESS,2020,243,0.1307845994000001
main_ETF_VOL10_STRESS,comparators,main,,ETF_VOL10,STRESS,2021,243,-0.007154450285485892
main_ETF_VOL10_STRESS,comparators,main,,ETF_VOL10,STRESS,2022,242,-0.17445495107232822
main_ETF_VOL10_STRESS,comparators,main,,ETF_VOL10,STRESS,2023,242,-0.07510149532566568
main_ETF_VOL10_STRESS,comparators,main,,ETF_VOL10,STRESS,2024,242,0.09372538474054792
main_ETF_VOL10_STRESS,comparators,main,,ETF_VOL10,STRESS,2025,243,0.1565848610619951
main_ETF_VOL10_STRESS,comparators,main,,ETF_VOL10,STRESS,2026,169,-0.02230556795732197
