entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage,account
2018-10-09,916,251654.73180000004,2018-10-19,924,9,-7761.823280000011,-0.030843144591330973,243892.90852000003,-0.030843144591330973,74.42328,231.20000000000022,early_N60_STRESS
2019-02-28,1011,243892.90852000003,2019-05-07,1055,45,-38.477000000013504,-0.0001577618645556278,243854.43152,-0.049701073931520345,83.977,228.0000000000002,early_N60_STRESS
2019-05-31,1073,243854.43152,2019-07-05,1097,25,9730.630320000026,0.03990343853645317,253585.06184000004,-0.010120251760926346,116.36968000000002,308.8000000000003,early_N60_STRESS
2015-01-05,0,200000.0,2015-01-20,11,12,-4602.404799999989,-0.02301202399999991,195397.5952,-0.033457974582804195,26.4048,73.59999999999438,early_N70_BASE
2015-03-31,56,195397.5952,2015-06-23,113,58,10858.57421999998,0.0555716881207553,206256.16942,-0.03730855702747671,37.625780000000006,125.3999999999948,early_N70_BASE
2015-10-16,189,206256.16942,2016-01-05,245,57,-3833.3913200000243,-0.01858558379504316,202422.77809999997,-0.046218749398314385,30.591320000000003,84.80000000000949,early_N70_BASE
2016-01-18,254,202422.77809999997,2016-01-27,261,8,-2384.562819999992,-0.011780111123768755,200038.21527999997,-0.02334138706601263,21.762819999999998,71.60000000000801,early_N70_BASE
2016-05-17,333,200038.21527999997,2016-08-11,393,61,8430.140719999996,0.042142651133934894,208468.35599999997,-0.026269967692122753,104.05928,320.7999999999696,early_N70_BASE
2019-02-27,1010,208468.35599999997,2019-05-07,1055,46,-272.1444800000172,-0.0013054474320314258,208196.21151999995,-0.04965297055655116,36.64448,97.20000000001087,early_N70_BASE
2015-01-05,0,200000.0,2015-01-20,11,12,-4700.381759999989,-0.023501908799999915,195299.61824,-0.033466124700441746,50.781760000000006,147.20000000000013,early_N70_STRESS
2015-03-31,56,195299.61824,2015-06-23,113,58,10736.47192000001,0.05497436204307449,206036.09016000002,-0.0371541370381413,73.52808,208.99999999999557,early_N70_STRESS
